0,1,2,3,4,5,6,7,8,9
2025-05-29,93.60,93.70,90.50,91.10,-2.10,-2.25,"7,807,086",,
2025-05-28,91.20,93.20,91.10,93.20,2.20,2.42,"3,985,457",,
2025-05-27,92.20,92.50,89.80,91.00,-1.50,-1.62,"4,893,950",,
2025-05-26,92.30,92.80,90.90,92.50,0.40,0.43,"3,526,695",,
2025-05-25,94.60,94.60,91.90,92.10,-1.90,-2.02,"2,699,195",,
2025-05-22,95.90,95.90,94.00,94.00,-2.00,-2.08,"3,669,028",,
2025-05-21,97.00,97.80,95.90,96.00,-1.40,-1.44,"3,583,438",,
2025-05-20,96.70,97.50,96.50,97.40,0.40,0.41,"2,459,333",,
2025-05-19,96.90,97.10,96.30,97.00,0.10,0.10,"1,784,456",,
2025-05-18,97.80,98.00,96.60,96.90,-0.90,-0.92,"1,641,832",,
2025-05-15,98.40,98.70,97.20,97.80,-0.50,-0.51,"2,053,121",,
2025-05-14,98.30,98.60,97.50,98.30,0.20,0.20,"2,602,912",,
2025-05-13,97.40,98.40,97.20,98.10,1.20,1.24,"3,146,335",,
2025-05-12,96.50,97.80,96.50,96.90,0.90,0.94,"3,564,741",,
2025-05-11,96.50,96.70,95.90,96.00,-0.50,-0.52,"1,831,484",,
2025-05-08,95.90,96.90,95.50,96.50,1.00,1.05,"3,250,186",,
2025-05-07,96.40,96.90,95.50,95.50,-1.00,-1.04,"2,493,506",,
2025-05-06,95.60,96.50,95.00,96.50,0.90,0.94,"4,401,165",,
2025-05-05,96.00,96.40,94.70,95.60,-0.90,-0.93,"3,631,310",,
2025-05-04,96.60,97.00,95.70,96.50,0.00,0.00,"1,264,932",,
2025-05-01,97.40,97.60,95.70,96.50,-0.90,-0.92,"3,904,278",,
2025-04-30,98.70,99.00,97.40,97.40,-1.30,-1.32,"5,496,670",,
2025-04-29,98.90,99.00,98.30,98.70,-0.20,-0.20,"2,605,046",,
2025-04-28,98.40,98.90,98.30,98.90,0.70,0.71,"2,666,511",,
2025-04-27,98.90,99.00,98.20,98.20,0.00,0.00,"1,409,648",,
2025-04-24,97.70,99.00,97.50,98.20,0.80,0.82,"5,282,427",,
2025-04-23,99.50,99.90,97.40,97.40,-0.60,-0.61,"7,417,801",,
2025-04-22,97.80,98.50,97.60,98.00,0.40,0.41,"3,753,856",,
2025-04-21,97.70,98.10,97.40,97.60,-0.10,-0.10,"1,690,723",,
2025-04-20,97.70,98.20,97.40,97.70,0.10,0.10,"1,809,172",,
2025-04-17,97.80,98.70,97.40,97.60,-0.50,-0.51,"2,509,103",,
2025-04-16,97.50,98.20,97.40,98.10,0.50,0.51,"4,550,974",,
2025-04-15,97.50,98.40,97.40,97.60,0.50,0.51,"3,963,888",,
2025-04-14,97.10,97.60,96.80,97.10,-0.90,-0.92,"3,458,281",,
2025-04-13,97.90,99.00,97.80,98.00,0.40,0.41,"3,488,427",,
2025-04-10,98.90,99.00,97.30,97.60,3.00,3.17,"6,817,928",,
2025-04-09,96.20,97.60,93.70,94.60,-1.70,-1.77,"5,176,501",,
2025-04-08,99.00,99.00,96.30,96.30,1.80,1.90,"6,746,328",,
2025-04-07,91.50,96.10,91.00,94.50,-0.20,-0.21,"8,990,982",,
2025-04-06,95.70,98.20,94.20,94.70,-5.90,-5.86,"9,299,570",,
2025-04-03,100.60,102.40,100.00,100.60,-1.40,-1.37,"5,542,408",,
2025-03-27,101.80,104.00,101.60,102.00,0.00,0.00,"5,719,176",,
2025-03-26,99.10,102.00,99.00,102.00,3.00,3.03,"4,465,937",,
2025-03-25,100.00,100.40,98.80,99.00,-1.60,-1.59,"3,203,555",,
2025-03-24,99.50,100.60,98.80,100.60,1.40,1.41,"5,386,087",,
2025-03-23,100.40,101.00,99.20,99.20,-1.60,-1.59,"2,081,948",,
2025-03-20,101.20,101.40,100.00,100.80,-0.60,-0.59,"4,361,526",,
2025-03-19,101.80,101.80,100.40,101.40,-0.40,-0.39,"2,804,535",,
2025-03-18,102.20,103.40,101.00,101.80,-0.60,-0.59,"3,963,564",,
2025-03-17,101.80,102.60,101.60,102.40,0.60,0.59,"4,621,747",,
2025-03-16,101.00,102.00,100.80,101.80,0.60,0.59,"2,502,258",,
2025-03-13,100.40,102.00,100.20,101.20,0.60,0.60,"2,912,558",,
2025-03-12,100.20,100.80,99.60,100.60,0.40,0.40,"2,840,046",,
2025-03-11,101.20,101.40,99.00,100.20,-1.60,-1.57,"5,312,987",,
2025-03-10,100.80,102.00,100.60,101.80,1.00,0.99,"3,312,324",,
2025-03-09,100.80,102.00,100.40,100.80,-0.60,-0.59,"3,318,833",,
2025-03-06,101.00,102.00,98.90,101.40,0.40,0.40,"6,421,322",,
2025-03-05,100.60,101.60,99.60,101.00,0.40,0.40,"4,337,070",,
2025-03-04,101.80,103.00,100.40,100.60,-1.40,-1.37,"5,226,426",,
2025-03-03,99.60,102.20,99.60,102.00,2.60,2.62,"4,292,229",,
2025-03-02,100.00,100.40,99.20,99.40,-0.40,-0.40,"1,616,276",,
2025-02-27,100.60,101.20,99.70,99.80,-1.00,-0.99,"6,912,305",,
2025-02-26,100.00,101.00,99.80,100.80,0.80,0.80,"5,268,388",,
2025-02-25,99.90,100.40,98.60,100.00,0.30,0.30,"3,619,048",,
2025-02-24,100.00,101.20,99.70,99.70,-0.50,-0.50,"6,175,593",,
2025-02-20,99.70,100.60,99.70,100.20,0.00,0.00,"2,631,945",,
2025-02-19,99.50,100.60,99.50,100.20,0.30,0.30,"3,330,649",,
2025-02-18,99.00,100.00,99.00,99.90,0.90,0.91,"2,635,770",,
2025-02-17,99.90,100.00,98.60,99.00,-1.00,-1.00,"2,776,474",,
2025-02-16,99.50,100.60,99.50,100.00,0.50,0.50,"1,572,413",,
2025-02-13,99.60,100.20,99.40,99.50,-0.10,-0.10,"1,784,530",,
2025-02-12,99.50,99.90,99.40,99.60,0.10,0.10,"3,006,006",,
2025-02-11,101.00,101.00,99.50,99.50,-1.50,-1.49,"3,318,080",,
2025-02-10,101.40,102.00,100.80,101.00,-0.20,-0.20,"2,029,239",,
2025-02-09,99.90,101.20,99.80,101.20,1.30,1.30,"1,732,607",,
2025-02-06,100.00,101.20,99.40,99.90,-1.30,-1.28,"5,264,869",,
2025-02-05,101.40,102.20,101.20,101.20,-0.60,-0.59,"5,000,256",,
2025-02-04,100.20,102.00,99.70,101.80,1.60,1.60,"5,185,936",,
2025-02-03,98.80,100.40,98.00,100.20,1.40,1.42,"6,748,599",,
2025-02-02,99.00,99.40,98.30,98.80,-0.20,-0.20,"3,423,686",,
2025-01-30,100.60,100.80,98.80,99.00,-1.40,-1.39,"5,501,169",,
2025-01-29,97.60,100.60,97.60,100.40,4.50,4.69,"14,867,481",,
2025-01-28,95.50,97.00,95.00,95.90,0.40,0.42,"4,729,874",,
2025-01-27,96.00,96.40,95.50,95.50,-0.50,-0.52,"1,973,575",,
2025-01-26,96.10,96.50,95.60,96.00,0.10,0.10,"1,281,884",,
2025-01-23,97.00,97.10,95.60,95.90,-1.20,-1.24,"4,241,587",,
