0,1,2,3,4,5,6,7,8,9
2025-05-29,26.65,26.65,25.85,25.85,-0.65,-2.45,"23,569,905",,
2025-05-28,26.75,26.80,26.50,26.50,-0.15,-0.56,"6,887,229",,
2025-05-27,26.70,26.80,26.55,26.65,0.10,0.38,"4,998,478",,
2025-05-26,26.40,26.70,26.35,26.55,0.30,1.14,"6,490,393",,
2025-05-25,27.35,27.40,26.20,26.25,-1.05,-3.85,"12,406,717",,
2025-05-22,27.50,27.70,27.25,27.30,-0.20,-0.73,"5,061,256",,
2025-05-21,27.55,27.75,27.50,27.50,-0.05,-0.18,"4,355,679",,
2025-05-20,27.40,27.75,27.10,27.55,0.15,0.55,"6,849,770",,
2025-05-19,27.95,28.00,27.30,27.40,-0.55,-1.97,"7,314,584",,
2025-05-18,27.95,28.00,27.85,27.95,0.10,0.36,"1,565,603",,
2025-05-15,28.05,28.10,27.80,27.85,-0.20,-0.71,"4,822,970",,
2025-05-14,28.15,28.20,27.85,28.05,-0.10,-0.36,"5,007,458",,
2025-05-13,28.50,28.50,28.10,28.15,-0.30,-1.05,"8,765,934",,
2025-05-12,28.20,28.50,28.20,28.45,0.25,0.89,"8,322,915",,
2025-05-11,28.35,28.40,28.10,28.20,0.00,0.00,"5,545,181",,
2025-05-08,28.60,28.80,28.15,28.20,-0.30,-1.05,"7,993,019",,
2025-05-07,28.45,28.60,28.35,28.50,0.10,0.35,"3,519,491",,
2025-05-06,28.30,28.55,28.25,28.40,0.20,0.71,"3,167,183",,
2025-05-05,28.25,28.50,28.00,28.20,-0.20,-0.70,"6,580,759",,
2025-05-04,28.70,28.75,28.25,28.40,-0.30,-1.05,"2,954,437",,
2025-05-01,29.05,29.05,28.40,28.70,-0.30,-1.03,"5,878,352",,
2025-04-30,29.25,29.30,28.95,29.00,-0.20,-0.68,"5,887,825",,
2025-04-29,29.80,29.90,29.20,29.20,-0.65,-2.18,"9,089,415",,
2025-04-28,29.75,29.85,29.60,29.85,0.10,0.34,"4,127,799",,
2025-04-27,29.90,29.90,29.70,29.75,-0.25,-0.83,"3,073,311",,
2025-04-24,30.05,30.25,29.95,30.00,-0.05,-0.17,"7,322,514",,
2025-04-23,29.90,30.15,29.80,30.05,0.25,0.84,"7,132,971",,
2025-04-22,29.35,29.80,29.20,29.80,0.40,1.36,"5,292,549",,
2025-04-21,29.45,29.60,29.30,29.40,-0.05,-0.17,"1,803,046",,
2025-04-20,29.40,29.65,29.35,29.45,0.05,0.17,"2,622,477",,
2025-04-17,29.25,29.50,29.25,29.40,0.00,0.00,"3,271,823",,
2025-04-16,29.20,29.60,29.15,29.40,0.15,0.51,"6,131,190",,
2025-04-15,29.30,29.30,29.05,29.25,0.05,0.17,"3,883,031",,
2025-04-14,29.20,29.45,29.05,29.20,0.10,0.34,"4,190,799",,
2025-04-13,29.05,29.25,28.90,29.10,0.30,1.04,"3,510,748",,
2025-04-10,29.30,29.55,28.65,28.80,0.75,2.67,"13,475,102",,
2025-04-09,28.75,29.10,28.05,28.05,-0.70,-2.43,"9,721,935",,
2025-04-08,29.20,29.30,28.65,28.75,0.15,0.52,"8,153,033",,
2025-04-07,28.00,29.10,27.50,28.60,0.05,0.18,"12,687,247",,
2025-04-06,28.90,29.30,28.45,28.55,-2.05,-6.70,"13,578,448",,
2025-04-03,30.55,30.90,30.15,30.60,-0.10,-0.33,"6,361,796",,
2025-03-27,30.60,31.30,30.60,30.70,0.15,0.49,"7,672,041",,
2025-03-26,29.80,30.75,29.80,30.55,0.75,2.52,"9,135,058",,
2025-03-25,29.90,30.10,29.75,29.80,-0.05,-0.17,"2,296,136",,
2025-03-24,29.80,30.10,29.70,29.85,0.00,0.00,"2,368,401",,
2025-03-23,30.10,30.30,29.85,29.85,-0.30,-1.00,"2,262,840",,
2025-03-20,30.20,30.25,30.00,30.15,-0.10,-0.33,"4,293,916",,
2025-03-19,30.15,30.35,30.05,30.25,0.10,0.33,"3,777,640",,
2025-03-18,30.15,30.40,30.00,30.15,0.00,0.00,"4,631,279",,
2025-03-17,29.75,30.20,29.75,30.15,0.45,1.52,"4,938,779",,
2025-03-16,29.25,29.70,29.25,29.70,0.50,1.71,"3,977,887",,
2025-03-13,29.20,29.25,28.70,29.20,0.05,0.17,"7,004,991",,
2025-03-12,29.50,29.50,29.10,29.15,-0.40,-1.35,"6,281,194",,
2025-03-11,29.70,29.75,29.30,29.55,-0.30,-1.01,"4,331,154",,
2025-03-10,30.00,30.15,29.70,29.85,-0.15,-0.50,"4,249,260",,
2025-03-09,29.90,30.15,29.60,30.00,-0.10,-0.33,"2,745,295",,
2025-03-06,30.20,30.35,29.65,30.10,-0.05,-0.17,"6,206,699",,
2025-03-05,30.10,30.60,30.05,30.15,0.15,0.50,"4,311,861",,
2025-03-04,30.40,30.55,29.95,30.00,-0.40,-1.32,"6,265,582",,
2025-03-03,30.10,30.80,30.10,30.40,0.35,1.16,"9,269,553",,
2025-03-02,30.30,30.50,29.95,30.05,-0.25,-0.83,"2,811,534",,
2025-02-27,30.50,30.50,30.10,30.30,-0.10,-0.33,"5,509,729",,
2025-02-26,30.80,30.80,30.30,30.40,-0.45,-1.46,"5,213,387",,
2025-02-25,30.75,30.90,30.55,30.85,0.10,0.33,"4,155,914",,
2025-02-24,30.70,30.95,30.70,30.75,0.00,0.00,"4,606,229",,
2025-02-20,30.70,30.90,30.55,30.75,0.05,0.16,"6,848,920",,
2025-02-19,30.75,30.90,30.55,30.70,-0.05,-0.16,"4,288,901",,
2025-02-18,30.55,30.80,30.50,30.75,0.20,0.65,"2,812,913",,
2025-02-17,30.90,30.90,30.45,30.55,-0.35,-1.13,"3,491,808",,
2025-02-16,30.90,31.10,30.75,30.90,0.00,0.00,"3,579,684",,
