0,1,2,3,4,5,6,7,8,9
2025-05-29,21.50,21.66,21.20,21.66,0.20,0.93,"3,325,355",,
2025-05-28,21.16,21.46,21.14,21.46,0.42,2.00,"1,408,458",,
2025-05-27,21.30,21.48,21.04,21.04,-0.42,-1.96,"1,074,259",,
2025-05-26,21.56,21.56,21.26,21.46,0.12,0.56,"970,787",,
2025-05-25,21.68,21.68,21.26,21.34,-0.34,-1.57,"389,677",,
2025-05-22,21.64,21.70,21.50,21.68,0.02,0.09,"529,443",,
2025-05-21,21.62,21.88,21.52,21.66,0.04,0.19,"1,120,857",,
2025-05-20,21.62,21.82,21.58,21.62,-0.08,-0.37,"2,751,915",,
2025-05-19,21.70,21.80,21.58,21.70,0.00,0.00,"809,583",,
2025-05-18,21.84,21.94,21.58,21.70,-0.14,-0.64,"509,002",,
2025-05-15,21.66,21.92,21.60,21.84,0.16,0.74,"670,708",,
2025-05-14,22.18,22.18,21.68,21.68,-0.50,-2.25,"1,188,772",,
2025-05-13,21.86,22.18,21.84,22.18,0.34,1.56,"1,531,575",,
2025-05-12,21.96,22.02,21.72,21.84,0.04,0.18,"1,383,154",,
2025-05-11,21.70,21.86,21.70,21.80,0.14,0.65,"208,977",,
2025-05-08,21.56,21.66,21.44,21.66,0.10,0.46,"1,341,189",,
2025-05-07,21.48,21.80,21.48,21.56,0.08,0.37,"2,339,926",,
2025-05-06,21.40,21.68,21.34,21.48,0.06,0.28,"731,403",,
2025-05-05,21.40,21.56,21.30,21.42,-0.08,-0.37,"1,283,401",,
2025-05-04,21.18,21.50,21.18,21.50,0.26,1.22,"1,047,161",,
2025-05-01,21.50,21.50,21.10,21.24,-0.26,-1.21,"1,485,476",,
2025-04-30,21.68,21.70,21.30,21.50,-0.18,-0.83,"3,283,795",,
2025-04-29,21.60,21.80,21.34,21.68,0.12,0.56,"2,642,208",,
2025-04-28,21.98,22.18,21.52,21.56,-0.42,-1.91,"3,328,232",,
2025-04-27,22.32,22.34,21.90,21.98,-0.30,-1.35,"1,193,083",,
2025-04-24,22.54,22.68,22.14,22.28,-0.26,-1.15,"3,274,108",,
2025-04-23,22.50,22.74,22.36,22.54,0.14,0.63,"1,766,716",,
2025-04-22,22.14,22.54,22.14,22.40,0.26,1.17,"1,406,398",,
2025-04-21,22.46,22.48,22.14,22.14,-0.26,-1.16,"339,961",,
2025-04-20,22.40,22.44,22.28,22.40,0.00,0.00,"374,386",,
2025-04-17,22.06,22.54,22.06,22.40,0.32,1.45,"2,000,635",,
2025-04-16,21.92,22.16,21.90,22.08,0.18,0.82,"2,216,522",,
2025-04-15,22.16,22.20,21.80,21.90,-0.08,-0.36,"2,104,739",,
2025-04-14,22.40,22.52,21.96,21.98,-0.42,-1.88,"1,983,928",,
2025-04-13,22.00,22.42,21.98,22.40,0.40,1.82,"541,221",,
2025-04-10,21.54,22.00,21.22,22.00,1.44,7.00,"3,705,189",,
2025-04-09,21.00,21.50,20.52,20.56,-0.54,-2.56,"2,207,924",,
2025-04-08,20.60,21.32,20.54,21.10,0.76,3.74,"1,795,500",,
2025-04-07,20.02,20.84,19.50,20.34,-0.58,-2.77,"3,898,543",,
2025-04-06,22.00,22.00,20.90,20.92,-1.98,-8.65,"2,344,757",,
2025-04-03,22.00,23.20,22.00,22.90,-0.20,-0.87,"3,471,372",,
2025-03-27,23.00,23.48,22.82,23.10,0.20,0.87,"3,041,925",,
2025-03-26,22.48,23.04,22.42,22.90,0.66,2.97,"4,693,579",,
2025-03-25,22.36,22.60,22.04,22.24,-0.08,-0.36,"1,593,781",,
2025-03-24,22.00,22.58,22.00,22.32,0.32,1.45,"1,500,588",,
2025-03-23,22.16,22.26,22.00,22.00,-0.24,-1.08,"548,413",,
2025-03-20,22.50,22.62,22.00,22.24,-0.26,-1.16,"1,991,997",,
2025-03-19,22.20,22.68,22.12,22.50,0.30,1.35,"1,470,703",,
2025-03-18,22.00,22.48,21.98,22.20,0.20,0.91,"1,304,771",,
2025-03-17,21.90,22.16,21.84,22.00,0.20,0.92,"721,465",,
2025-03-16,21.56,22.22,21.32,21.80,0.24,1.11,"844,813",,
2025-03-13,21.56,21.64,21.22,21.56,-0.08,-0.37,"945,492",,
2025-03-12,21.50,21.66,21.38,21.64,0.16,0.74,"826,207",,
2025-03-11,21.82,21.82,21.44,21.48,-0.42,-1.92,"1,039,581",,
2025-03-10,21.84,22.14,21.64,21.90,0.12,0.55,"1,211,413",,
