0,1,2,3,4,5,6,7,8,9
2025-05-29,26.20,26.25,25.65,25.85,-0.40,-1.52,"6,350,537",,
2025-05-28,26.10,26.35,26.05,26.25,0.15,0.57,"2,501,667",,
2025-05-27,26.50,26.50,25.95,26.10,-0.35,-1.32,"2,182,493",,
2025-05-26,26.90,26.90,26.30,26.45,-0.30,-1.12,"2,286,919",,
2025-05-25,26.90,27.00,26.50,26.75,-0.15,-0.56,"1,326,563",,
2025-05-22,26.95,27.10,26.60,26.90,0.10,0.37,"1,952,587",,
2025-05-21,27.25,27.25,26.50,26.80,-0.30,-1.11,"2,628,007",,
2025-05-20,26.35,27.30,26.30,27.10,0.70,2.65,"2,627,552",,
2025-05-19,26.85,26.85,26.35,26.40,-0.45,-1.68,"1,368,085",,
2025-05-18,27.10,27.10,26.80,26.85,-0.20,-0.74,"975,353",,
2025-05-15,27.10,27.20,26.90,27.05,0.05,0.19,"1,395,065",,
2025-05-14,27.45,27.50,26.95,27.00,-0.25,-0.92,"1,183,176",,
2025-05-13,27.60,27.65,27.10,27.25,-0.25,-0.91,"1,429,690",,
2025-05-12,27.65,28.00,27.45,27.50,0.05,0.18,"1,836,071",,
2025-05-11,27.60,27.80,27.40,27.45,-0.15,-0.54,"658,381",,
2025-05-08,27.65,27.75,27.25,27.60,0.00,0.00,"1,381,152",,
2025-05-07,27.60,27.80,27.45,27.60,0.00,0.00,"1,088,182",,
2025-05-06,27.85,28.00,27.55,27.60,-0.30,-1.08,"1,370,071",,
2025-05-05,28.00,28.10,27.80,27.90,-0.10,-0.36,"1,466,332",,
2025-05-04,28.35,28.35,28.00,28.00,-0.35,-1.23,"1,068,501",,
2025-05-01,29.00,29.00,28.25,28.35,-0.55,-1.90,"1,090,975",,
2025-04-30,29.00,29.20,28.80,28.90,-0.10,-0.34,"1,744,796",,
2025-04-29,29.30,29.40,29.00,29.00,-0.35,-1.19,"1,194,808",,
2025-04-28,29.65,29.70,29.05,29.35,-0.20,-0.68,"2,159,112",,
2025-04-27,29.40,29.65,29.05,29.55,0.15,0.51,"1,744,174",,
2025-04-24,29.05,29.60,28.90,29.40,0.35,1.20,"2,364,458",,
2025-04-23,29.10,29.30,28.90,29.05,0.10,0.35,"2,598,924",,
2025-04-22,28.90,29.15,28.70,28.95,0.00,0.00,"1,464,953",,
2025-04-21,29.05,29.20,28.70,28.95,-0.15,-0.52,"1,120,603",,
2025-04-20,29.10,29.30,29.00,29.10,0.00,0.00,"963,012",,
2025-04-17,29.45,29.50,29.00,29.10,-0.50,-1.69,"2,321,126",,
2025-04-16,29.50,29.80,29.35,29.60,0.20,0.68,"1,784,399",,
2025-04-15,29.35,29.70,29.15,29.40,0.15,0.51,"1,912,548",,
2025-04-14,29.33,30.00,29.08,29.25,-0.08,-0.27,"2,494,585",,
2025-04-13,29.38,29.92,29.17,29.33,0.16,0.55,"1,696,381",,
2025-04-10,28.00,29.33,27.92,29.17,2.29,8.52,"5,515,218",,
2025-04-09,28.33,28.42,26.88,26.88,-1.83,-6.37,"6,599,794",,
2025-04-08,29.29,29.42,28.63,28.71,-0.21,-0.73,"1,903,746",,
2025-04-07,27.92,29.00,26.92,28.92,0.59,2.08,"2,042,190",,
2025-04-06,29.17,29.46,28.33,28.33,-2.00,-6.59,"2,639,093",,
2025-04-03,30.33,30.71,30.00,30.33,-0.42,-1.37,"1,774,944",,
2025-03-27,30.54,31.00,30.50,30.75,0.25,0.82,"1,877,662",,
2025-03-26,29.92,30.67,29.75,30.50,0.67,2.25,"2,633,323",,
2025-03-25,30.33,30.38,29.71,29.83,-0.34,-1.13,"3,002,885",,
2025-03-24,29.92,31.67,29.71,30.17,0.25,0.84,"1,588,060",,
2025-03-23,30.33,30.42,29.92,29.92,-0.41,-1.35,"684,061",,
2025-03-20,30.38,30.42,29.92,30.33,0.08,0.26,"2,517,932",,
2025-03-19,30.75,30.75,30.25,30.25,-0.50,-1.63,"1,213,921",,
2025-03-18,31.13,31.25,30.63,30.75,-0.46,-1.47,"1,543,882",,
2025-03-17,31.08,31.42,31.04,31.21,0.21,0.68,"2,050,949",,
2025-03-16,31.00,31.25,30.79,31.00,0.00,0.00,"822,314",,
2025-03-13,30.88,31.13,30.83,31.00,0.08,0.26,"771,776",,
2025-03-12,31.50,31.50,30.75,30.92,-0.54,-1.72,"1,565,078",,
2025-03-11,30.88,31.46,30.58,31.46,0.38,1.22,"1,005,725",,
2025-03-10,31.25,31.50,30.92,31.08,-0.42,-1.33,"953,404",,
2025-03-09,30.29,31.75,30.29,31.50,0.12,0.38,"861,952",,
2025-03-06,31.50,31.54,31.04,31.38,0.09,0.29,"993,253",,
2025-03-05,31.46,31.88,31.29,31.29,-0.17,-0.54,"1,537,171",,
2025-03-04,31.75,32.08,31.38,31.46,-0.46,-1.44,"1,304,158",,
2025-03-03,31.54,32.04,31.33,31.92,0.63,2.01,"1,858,367",,
2025-03-02,31.58,31.63,31.08,31.29,-0.29,-0.92,"501,703",,
2025-02-27,31.46,31.63,31.25,31.58,0.12,0.38,"3,211,069",,
2025-02-26,32.08,32.42,31.33,31.46,-0.62,-1.93,"2,655,710",,
2025-02-25,31.83,32.50,31.38,32.08,0.20,0.63,"3,054,913",,
2025-02-24,32.08,32.92,31.88,31.88,-0.25,-0.78,"3,171,684",,
2025-02-20,31.42,32.25,31.38,32.13,0.63,2.00,"1,360,747",,
2025-02-19,31.71,31.92,31.04,31.50,-0.33,-1.04,"1,197,145",,
2025-02-18,31.25,32.04,31.25,31.83,0.58,1.86,"1,324,187",,
2025-02-17,31.96,31.96,31.25,31.25,-0.71,-2.22,"1,563,547",,
2025-02-16,32.00,32.38,31.96,31.96,-0.04,-0.13,"822,193",,
2025-02-13,32.63,32.63,31.96,32.00,-0.63,-1.93,"1,392,509",,
2025-02-12,32.63,32.75,32.46,32.63,0.00,0.00,"950,174",,
2025-02-11,32.67,32.79,32.50,32.63,-0.08,-0.24,"864,366",,
2025-02-10,32.54,32.92,32.54,32.71,0.17,0.52,"1,818,791",,
2025-02-09,32.08,32.63,32.04,32.54,0.87,2.75,"2,349,990",,
2025-02-06,31.83,31.83,31.38,31.67,-0.08,-0.25,"2,221,440",,
2025-02-05,32.08,32.17,31.67,31.75,-0.46,-1.43,"3,007,990",,
2025-02-04,32.54,32.79,32.17,32.21,-0.17,-0.53,"2,063,144",,
2025-02-03,32.67,32.67,32.17,32.38,-0.33,-1.01,"1,013,405",,
2025-02-02,32.92,33.17,32.67,32.71,-0.54,-1.62,"1,192,166",,
2025-01-30,33.08,33.46,32.71,33.25,0.33,1.00,"873,985",,
2025-01-29,33.33,33.83,32.46,32.92,-0.33,-0.99,"2,437,633",,
2025-01-28,33.25,33.67,33.21,33.25,-0.17,-0.51,"738,947",,
2025-01-27,33.13,33.58,33.00,33.42,0.17,0.51,"935,546",,
2025-01-26,32.88,33.38,32.79,33.25,0.37,1.13,"911,776",,
2025-01-23,33.54,33.75,32.88,32.88,-0.66,-1.97,"1,400,322",,
2025-01-22,33.38,33.88,33.25,33.54,0.16,0.48,"1,393,108",,
2025-01-21,33.00,33.58,32.92,33.38,0.25,0.75,"1,455,377",,
2025-01-20,32.67,33.13,32.63,33.13,0.46,1.41,"1,419,682",,
2025-01-19,31.50,32.67,31.50,32.67,0.84,2.64,"1,894,853",,
2025-01-16,31.67,31.92,31.46,31.83,0.16,0.51,"1,157,034",,
2025-01-15,31.88,31.92,31.46,31.67,-0.21,-0.66,"1,639,901",,
2025-01-14,32.08,32.42,31.67,31.88,-0.20,-0.62,"1,171,961",,
2025-01-13,32.08,32.42,31.83,32.08,-0.25,-0.77,"1,364,578",,
2025-01-12,32.13,32.42,31.96,32.33,0.00,0.00,"495,690",,
2025-01-09,31.63,32.50,31.08,32.33,0.79,2.50,"1,800,690",,
2025-01-08,32.54,32.54,31.42,31.54,-1.00,-3.07,"2,068,570",,
2025-01-07,32.67,32.96,32.38,32.54,-0.13,-0.40,"1,638,182",,
2025-01-06,32.75,32.96,32.46,32.67,-0.08,-0.24,"1,863,444",,
2025-01-05,32.50,32.83,32.29,32.75,0.21,0.65,"524,678",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,32.50,32.83,32.29,32.75,0.21,0.65,"524,678",,
2025-01-02,32.67,32.92,32.50,32.54,-0.13,-0.40,"1,171,561",,
2025-01-01,32.54,32.83,32.46,32.67,0.13,0.40,"695,232",,
2024-12-31,32.21,32.75,32.08,32.54,0.33,1.02,"2,192,022",,
2024-12-30,31.29,32.29,31.25,32.21,0.92,2.94,"1,407,424",,
2024-12-29,30.83,31.50,30.83,31.29,0.33,1.07,"1,033,176",,
2024-12-26,31.08,31.46,30.92,30.96,-0.12,-0.39,"681,574",,
2024-12-25,31.17,31.50,31.08,31.08,-0.09,-0.29,"424,796",,
2024-12-24,31.54,31.67,30.92,31.17,-0.21,-0.67,"1,049,504",,
2024-12-23,30.71,31.63,30.71,31.38,0.67,2.18,"3,075,001",,
2024-12-22,30.42,31.13,30.42,30.71,0.38,1.25,"750,200",,
2024-12-19,30.58,31.13,30.13,30.33,-0.67,-2.16,"2,287,400",,
2024-12-18,30.54,31.21,30.50,31.00,0.25,0.81,"702,475",,
2024-12-17,31.33,31.33,30.58,30.75,-0.58,-1.85,"1,975,866",,
2024-12-16,31.00,31.38,30.88,31.33,0.25,0.80,"859,126",,
2024-12-15,30.96,31.38,30.83,31.08,0.12,0.39,"605,326",,
2024-12-12,30.88,31.38,30.79,30.96,0.08,0.26,"1,324,016",,
2024-12-11,30.46,31.04,30.29,30.88,0.25,0.82,"1,573,508",,
2024-12-10,30.50,30.92,30.29,30.63,0.13,0.43,"1,712,584",,
2024-12-09,29.42,30.71,29.42,30.50,1.00,3.39,"2,464,388",,
2024-12-08,29.54,29.79,29.42,29.50,-0.04,-0.14,"942,883",,
2024-12-05,29.58,29.67,29.33,29.54,-0.04,-0.14,"1,485,838",,
2024-12-04,29.75,29.88,29.33,29.58,-0.13,-0.44,"999,929",,
2024-12-03,29.17,29.71,29.13,29.71,0.46,1.57,"802,325",,
2024-12-02,29.33,29.50,29.08,29.25,-0.17,-0.58,"532,722",,
2024-12-01,29.29,29.75,29.21,29.42,0.21,0.72,"507,888",,
2024-11-28,29.00,29.33,28.96,29.21,0.29,1.00,"853,614",,
2024-11-27,29.42,29.63,28.92,28.92,-0.50,-1.70,"780,829",,
2024-11-26,29.63,29.88,29.33,29.42,-0.21,-0.71,"804,785",,
2024-11-25,29.71,29.83,29.50,29.63,-0.08,-0.27,"1,975,337",,
2024-11-24,29.96,30.08,29.71,29.71,-0.25,-0.83,"577,555",,
2024-11-21,30.17,30.17,29.71,29.96,-0.08,-0.27,"1,036,600",,
2024-11-20,30.13,30.21,30.00,30.04,-0.09,-0.30,"859,018",,
2024-11-19,30.25,30.33,29.92,30.13,-0.08,-0.26,"810,602",,
2024-11-18,30.13,30.42,29.88,30.21,0.13,0.43,"1,387,115",,
2024-11-17,30.42,30.42,30.00,30.08,-0.46,-1.51,"1,011,209",,
2024-11-14,30.92,31.33,30.50,30.54,-0.71,-2.27,"1,621,039",,
2024-11-13,31.21,31.29,30.71,31.25,-0.04,-0.13,"1,082,088",,
2024-11-12,31.58,31.92,31.13,31.29,-0.38,-1.20,"1,167,616",,
2024-11-11,31.58,31.96,31.33,31.67,0.00,0.00,"1,409,360",,
2024-11-10,31.38,31.79,31.08,31.67,0.42,1.34,"1,834,633",,
2024-11-07,30.83,31.50,30.58,31.25,0.37,1.20,"2,211,576",,
2024-11-06,30.00,30.92,30.00,30.88,0.92,3.07,"2,182,819",,
2024-11-05,30.25,30.50,29.71,29.96,-0.50,-1.64,"1,008,400",,
2024-11-04,30.46,30.54,30.13,30.46,0.00,0.00,"764,750",,
2024-11-03,30.50,30.63,30.25,30.46,-0.21,-0.68,"409,949",,
2024-10-31,30.46,30.71,30.33,30.67,0.17,0.56,"1,212,520",,
2024-10-30,30.54,30.67,30.00,30.50,-0.04,-0.13,"912,012",,
2024-10-29,30.42,30.79,30.42,30.54,-0.09,-0.29,"1,095,482",,
2024-10-28,30.88,30.96,30.46,30.63,-0.25,-0.81,"780,304",,
2024-10-27,30.58,31.04,30.38,30.88,0.88,2.93,"1,195,802",,
