0,1,2,3,4,5,6,7,8,9
2025-05-29,12.88,12.94,12.58,12.78,-0.08,-0.62,"3,053,768",,
2025-05-28,12.78,12.90,12.68,12.86,0.16,1.26,"2,008,510",,
2025-05-27,12.64,12.88,12.58,12.70,0.02,0.16,"2,123,533",,
2025-05-26,12.68,12.76,12.48,12.68,0.16,1.28,"3,265,081",,
2025-05-25,12.98,13.00,12.52,12.52,-0.46,-3.54,"3,673,849",,
2025-05-22,13.14,13.18,12.92,12.98,-0.24,-1.82,"2,845,464",,
2025-05-21,13.18,13.28,13.16,13.22,0.00,0.00,"1,771,149",,
2025-05-20,13.26,13.26,13.00,13.22,-0.04,-0.30,"3,134,630",,
2025-05-19,13.32,13.34,13.22,13.26,-0.06,-0.45,"1,061,517",,
2025-05-18,13.26,13.36,13.24,13.32,0.04,0.30,"502,996",,
2025-05-15,13.32,13.40,13.26,13.28,-0.04,-0.30,"1,287,757",,
2025-05-14,13.50,13.54,13.30,13.32,-0.10,-0.75,"1,766,727",,
2025-05-13,13.48,13.58,13.42,13.42,-0.02,-0.15,"2,791,839",,
2025-05-12,13.24,13.54,13.22,13.44,0.20,1.51,"3,614,707",,
2025-05-11,13.22,13.30,13.18,13.24,0.02,0.15,"933,787",,
2025-05-08,13.42,13.46,13.16,13.22,-0.14,-1.05,"2,003,089",,
2025-05-07,13.12,13.40,13.12,13.36,0.24,1.83,"3,308,922",,
2025-05-06,13.20,13.24,13.10,13.12,-0.08,-0.61,"1,738,381",,
2025-05-05,13.00,13.28,12.98,13.20,0.20,1.54,"2,307,643",,
2025-05-04,13.12,13.20,12.98,13.00,-0.12,-0.91,"2,825,391",,
2025-05-01,13.64,13.72,13.04,13.12,-0.38,-2.81,"6,510,314",,
2025-04-30,13.80,13.84,13.48,13.50,-0.26,-1.89,"3,106,223",,
2025-04-29,13.78,13.98,13.70,13.76,0.12,0.88,"4,624,476",,
2025-04-28,13.66,13.67,13.56,13.64,0.03,0.22,"3,489,438",,
2025-04-27,13.78,13.78,13.59,13.61,0.02,0.15,"2,286,732",,
2025-04-24,13.43,13.69,13.43,13.59,0.11,0.82,"2,942,499",,
2025-04-23,13.58,13.59,13.42,13.48,0.00,0.00,"2,871,797",,
2025-04-22,13.66,13.77,13.42,13.48,-0.18,-1.32,"3,142,636",,
2025-04-21,13.51,13.67,13.43,13.66,0.18,1.34,"2,311,356",,
2025-04-20,13.38,13.59,13.38,13.48,0.13,0.97,"1,573,700",,
2025-04-17,13.30,13.45,13.29,13.35,0.00,0.00,"1,893,172",,
2025-04-16,13.32,13.38,13.24,13.35,0.09,0.68,"2,240,963",,
2025-04-15,13.40,13.43,13.26,13.26,-0.11,-0.82,"2,104,753",,
2025-04-14,13.32,13.48,13.27,13.37,0.10,0.75,"1,963,029",,
2025-04-13,13.26,13.37,13.26,13.27,0.05,0.38,"1,937,045",,
2025-04-10,13.27,13.34,13.11,13.22,0.44,3.44,"3,557,417",,
2025-04-09,12.97,13.05,12.68,12.78,-0.33,-2.52,"4,394,617",,
2025-04-08,13.21,13.26,12.94,13.11,0.19,1.47,"2,923,511",,
2025-04-07,12.65,13.00,12.19,12.92,0.16,1.25,"4,996,439",,
2025-04-06,12.66,13.19,12.65,12.76,-1.02,-7.40,"6,213,110",,
2025-04-03,13.91,13.93,13.74,13.78,-0.20,-1.43,"2,472,791",,
2025-03-27,13.91,14.15,13.91,13.98,0.07,0.50,"2,740,279",,
2025-03-26,13.67,13.98,13.67,13.91,0.30,2.20,"2,686,804",,
2025-03-25,13.85,13.85,13.61,13.61,-0.09,-0.66,"1,531,741",,
2025-03-24,13.62,13.85,13.59,13.70,0.06,0.44,"2,281,587",,
2025-03-23,13.88,13.88,13.64,13.64,-0.16,-1.16,"878,846",,
2025-03-20,13.83,13.93,13.78,13.80,-0.02,-0.14,"1,843,598",,
2025-03-19,13.93,13.99,13.75,13.82,-0.16,-1.14,"2,188,729",,
2025-03-18,13.94,14.18,13.85,13.98,0.04,0.29,"2,507,890",,
2025-03-17,13.83,14.02,13.77,13.94,0.12,0.87,"5,047,598",,
2025-03-16,13.78,13.83,13.64,13.82,0.05,0.36,"2,279,766",,
2025-03-13,13.80,13.86,13.72,13.77,-0.06,-0.43,"1,292,281",,
2025-03-12,13.74,13.86,13.64,13.83,0.13,0.95,"2,391,887",,
2025-03-11,13.66,13.80,13.45,13.70,-0.04,-0.29,"2,981,156",,
2025-03-10,13.83,13.86,13.67,13.74,-0.09,-0.65,"2,364,096",,
2025-03-09,14.07,14.07,13.75,13.83,-0.24,-1.71,"1,876,683",,
2025-03-06,14.17,14.23,14.04,14.07,-0.21,-1.47,"1,961,139",,
2025-03-05,14.12,14.30,14.07,14.28,0.06,0.42,"1,560,590",,
2025-03-04,14.09,14.25,14.06,14.22,-0.01,-0.07,"2,266,621",,
2025-03-03,13.91,14.23,13.91,14.23,0.35,2.52,"2,298,140",,
2025-03-02,14.22,14.22,13.88,13.88,-0.30,-2.12,"1,241,341",,
2025-02-27,14.20,14.22,14.14,14.18,-0.04,-0.28,"1,571,206",,
2025-02-26,14.38,14.39,14.18,14.22,-0.14,-0.97,"1,636,776",,
2025-02-25,14.47,14.47,14.30,14.36,-0.14,-0.97,"2,052,546",,
