0,1,2,3,4,5,6,7,8,9
2025-05-29,17.18,17.28,16.90,17.28,0.18,1.05,"3,630,846",,
2025-05-28,16.98,17.20,16.98,17.10,0.12,0.71,"1,428,593",,
2025-05-27,17.20,17.20,16.76,16.98,-0.20,-1.16,"1,758,870",,
2025-05-26,17.18,17.18,16.90,17.18,0.18,1.06,"1,059,484",,
2025-05-25,17.50,17.50,16.94,17.00,-0.46,-2.63,"738,596",,
2025-05-22,17.50,17.50,17.26,17.46,-0.06,-0.34,"2,172,770",,
2025-05-21,17.62,17.64,17.48,17.52,-0.10,-0.57,"1,750,216",,
2025-05-20,17.62,17.64,17.36,17.62,0.04,0.23,"2,130,403",,
2025-05-19,17.60,17.64,17.42,17.58,-0.02,-0.11,"1,317,117",,
2025-05-18,17.56,17.62,17.52,17.60,0.04,0.23,"458,533",,
2025-05-15,17.70,17.74,17.46,17.56,-0.48,-2.66,"1,780,417",,
2025-05-14,18.02,18.10,17.90,18.04,0.00,0.00,"2,093,529",,
2025-05-13,18.00,18.08,17.92,18.04,0.08,0.45,"1,598,058",,
2025-05-12,17.94,18.04,17.80,17.96,0.30,1.70,"1,486,313",,
2025-05-11,17.90,18.00,17.64,17.66,-0.18,-1.01,"1,206,835",,
2025-05-08,17.92,17.96,17.74,17.84,-0.06,-0.34,"1,626,888",,
2025-05-07,17.80,18.04,17.78,17.90,0.08,0.45,"1,181,905",,
2025-05-06,17.88,17.96,17.72,17.82,-0.02,-0.11,"888,616",,
2025-05-05,17.96,18.10,17.72,17.84,-0.30,-1.65,"3,385,946",,
2025-05-04,18.20,18.22,17.80,18.14,-0.14,-0.77,"1,573,680",,
2025-05-01,18.30,18.38,18.00,18.28,-0.10,-0.54,"2,048,117",,
2025-04-30,18.36,18.44,18.22,18.38,0.04,0.22,"2,073,152",,
2025-04-29,18.40,18.42,18.28,18.34,-0.06,-0.33,"1,102,882",,
2025-04-28,18.40,18.60,18.24,18.40,0.00,0.00,"1,394,236",,
2025-04-27,18.48,18.60,18.32,18.40,-0.06,-0.33,"469,832",,
2025-04-24,18.36,18.58,18.32,18.46,0.08,0.44,"3,051,565",,
2025-04-23,18.00,18.38,18.00,18.38,0.38,2.11,"2,098,175",,
2025-04-22,17.50,18.08,17.48,18.00,0.50,2.86,"4,451,279",,
2025-04-21,17.62,17.74,17.34,17.50,0.16,0.92,"1,747,417",,
2025-04-20,17.42,17.48,17.26,17.34,-0.08,-0.46,"449,305",,
2025-04-17,17.18,17.42,17.10,17.42,0.26,1.52,"1,531,448",,
2025-04-16,17.08,17.26,17.00,17.16,-0.02,-0.12,"2,114,092",,
2025-04-15,17.28,17.34,17.04,17.18,-0.10,-0.58,"2,088,726",,
2025-04-14,17.26,17.46,17.20,17.28,0.08,0.47,"1,595,280",,
2025-04-13,16.90,17.20,16.88,17.20,0.28,1.65,"1,217,461",,
2025-04-10,16.98,17.04,16.48,16.92,0.56,3.42,"4,917,184",,
2025-04-09,16.78,16.86,16.12,16.36,-0.56,-3.31,"4,403,903",,
2025-04-08,16.92,17.10,16.60,16.92,0.08,0.48,"5,052,921",,
2025-04-07,15.90,16.84,15.56,16.84,0.38,2.31,"4,655,500",,
2025-04-06,17.12,17.56,16.46,16.46,-1.82,-9.96,"2,456,611",,
2025-04-03,18.00,18.58,18.00,18.28,-0.32,-1.72,"2,233,530",,
2025-03-27,18.46,18.94,18.46,18.60,0.10,0.54,"5,980,007",,
2025-03-26,18.00,18.74,17.96,18.50,0.60,3.35,"6,987,395",,
2025-03-25,18.00,18.00,17.86,17.90,-0.10,-0.56,"1,032,362",,
2025-03-24,17.40,18.00,17.40,18.00,0.40,2.27,"4,487,057",,
2025-03-23,17.54,17.82,17.38,17.60,-0.04,-0.23,"896,109",,
2025-03-20,17.70,17.78,17.60,17.64,-0.06,-0.34,"2,516,898",,
2025-03-19,17.46,17.70,17.42,17.70,0.24,1.37,"3,611,084",,
2025-03-18,17.30,17.60,17.20,17.46,0.18,1.04,"3,452,231",,
2025-03-17,17.22,17.34,17.12,17.28,0.26,1.53,"3,353,784",,
2025-03-16,17.08,17.14,16.96,17.02,-0.06,-0.35,"751,546",,
2025-03-13,16.90,17.10,16.86,17.08,0.20,1.18,"2,560,559",,
2025-03-12,16.88,16.96,16.72,16.88,0.08,0.48,"4,481,601",,
2025-03-11,16.96,16.96,16.62,16.80,-0.20,-1.18,"3,352,579",,
2025-03-10,17.04,17.06,16.88,17.00,-0.02,-0.12,"1,651,358",,
2025-03-09,17.20,17.28,16.96,17.02,0.02,0.12,"2,306,504",,
2025-03-06,17.20,17.20,16.76,17.00,-0.20,-1.16,"1,859,277",,
2025-03-05,17.14,17.28,17.10,17.20,0.06,0.35,"2,695,787",,
2025-03-04,17.28,17.44,17.06,17.14,-0.14,-0.81,"5,019,430",,
2025-03-03,17.04,17.36,17.02,17.28,0.24,1.41,"4,338,553",,
2025-03-02,16.80,17.18,16.80,17.04,-0.04,-0.23,"1,125,914",,
2025-02-27,17.18,17.22,17.04,17.08,-0.08,-0.47,"4,309,334",,
2025-02-26,17.32,17.32,17.08,17.16,-0.06,-0.35,"2,724,594",,
2025-02-25,17.06,17.32,17.00,17.22,0.18,1.06,"3,214,067",,
2025-02-24,17.00,17.14,16.92,17.04,0.08,0.47,"3,506,356",,
2025-02-20,16.82,16.96,16.76,16.96,0.16,0.95,"2,898,415",,
2025-02-19,16.88,16.88,16.72,16.80,-0.02,-0.12,"2,320,279",,
2025-02-18,16.64,16.88,16.64,16.82,0.08,0.48,"3,605,709",,
2025-02-17,16.90,16.90,16.64,16.74,-0.14,-0.83,"1,005,725",,
2025-02-16,16.74,17.04,16.74,16.88,0.02,0.12,"694,578",,
2025-02-13,16.70,16.88,16.66,16.86,0.16,0.96,"1,862,919",,
2025-02-12,16.84,16.84,16.64,16.70,-0.12,-0.71,"2,394,708",,
2025-02-11,16.96,16.96,16.72,16.82,-0.12,-0.71,"2,072,332",,
2025-02-10,16.62,17.32,16.62,16.94,0.28,1.68,"5,651,334",,
2025-02-09,16.72,16.78,16.56,16.66,-0.06,-0.36,"957,416",,
2025-02-06,16.10,16.80,16.10,16.72,0.66,4.11,"7,415,081",,
2025-02-05,16.18,16.22,16.06,16.06,-0.08,-0.50,"2,061,568",,
2025-02-04,16.12,16.20,16.10,16.14,0.06,0.37,"1,119,043",,
2025-02-03,16.04,16.20,16.04,16.08,-0.06,-0.37,"1,624,426",,
2025-02-02,16.04,16.18,16.02,16.14,0.08,0.50,"553,040",,
2025-01-30,16.08,16.16,15.98,16.06,0.06,0.38,"2,116,589",,
2025-01-29,16.04,16.18,15.92,16.00,-0.02,-0.12,"2,384,529",,
2025-01-28,15.98,16.14,15.98,16.02,0.02,0.13,"2,024,973",,
2025-01-27,16.12,16.18,15.98,16.00,-0.10,-0.62,"1,403,086",,
2025-01-26,16.22,16.26,16.08,16.10,-0.10,-0.62,"1,074,977",,
2025-01-23,16.18,16.28,16.08,16.20,-0.02,-0.12,"2,655,616",,
2025-01-22,16.22,16.38,16.14,16.22,0.00,0.00,"2,316,524",,
2025-01-21,16.20,16.32,16.12,16.22,-0.06,-0.37,"1,445,776",,
2025-01-20,16.38,16.42,16.14,16.28,-0.06,-0.37,"1,776,582",,
2025-01-19,16.26,16.42,16.18,16.34,0.06,0.37,"1,779,611",,
2025-01-16,16.10,16.28,16.00,16.28,0.18,1.12,"2,040,818",,
2025-01-15,15.80,16.18,15.80,16.10,0.30,1.90,"3,382,765",,
2025-01-14,15.58,15.90,15.54,15.80,0.28,1.80,"2,925,802",,
2025-01-13,15.66,15.74,15.48,15.52,-0.06,-0.39,"1,666,438",,
2025-01-12,15.72,15.76,15.56,15.58,-0.12,-0.76,"515,237",,
2025-01-09,15.48,15.70,15.40,15.70,0.22,1.42,"2,047,533",,
2025-01-08,15.76,15.80,15.46,15.48,-0.28,-1.78,"1,870,396",,
2025-01-07,15.50,15.76,15.38,15.76,0.30,1.94,"2,245,269",,
2025-01-06,15.40,15.48,15.20,15.46,0.14,0.91,"2,305,579",,
2025-01-05,15.50,15.56,15.30,15.32,-0.26,-1.67,"1,377,801",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,15.50,15.56,15.30,15.32,-0.26,-1.67,"1,377,801",,
2025-01-02,15.98,15.98,15.58,15.58,-0.34,-2.14,"2,993,811",,
2025-01-01,15.92,16.00,15.86,15.92,0.08,0.51,"719,516",,
2024-12-31,15.96,16.06,15.84,15.84,-0.08,-0.50,"2,604,226",,
2024-12-30,16.00,16.14,15.92,15.92,-0.06,-0.38,"4,139,798",,
2024-12-29,15.92,16.00,15.80,15.98,-0.06,-0.37,"1,367,423",,
2024-12-26,16.04,16.04,15.84,16.04,-0.04,-0.25,"794,323",,
2024-12-25,16.00,16.08,15.82,16.08,0.14,0.88,"540,886",,
2024-12-24,16.34,16.60,15.94,15.94,-0.10,-0.62,"943,675",,
2024-12-23,15.92,16.04,15.82,16.04,0.17,1.07,"1,334,168",,
2024-12-22,16.02,16.06,15.87,15.87,-0.10,-0.63,"1,543,705",,
2024-12-19,15.80,15.97,15.73,15.97,0.15,0.95,"2,942,380",,
2024-12-18,15.80,15.87,15.80,15.82,0.02,0.13,"416,645",,
2024-12-17,15.92,15.97,15.78,15.80,-0.12,-0.75,"3,227,462",,
2024-12-16,15.80,15.92,15.78,15.92,0.12,0.76,"1,294,903",,
2024-12-15,15.92,15.99,15.78,15.80,-0.12,-0.75,"1,096,873",,
2024-12-12,16.02,16.11,15.90,15.92,-0.05,-0.31,"1,026,197",,
2024-12-11,16.11,16.23,15.94,15.97,-0.12,-0.75,"1,742,001",,
2024-12-10,15.94,16.16,15.82,16.09,0.19,1.19,"2,659,330",,
2024-12-09,15.65,15.97,15.65,15.90,0.17,1.08,"3,851,653",,
2024-12-08,15.58,15.80,15.58,15.73,0.12,0.77,"974,081",,
2024-12-05,15.44,15.63,15.44,15.61,0.17,1.10,"1,143,984",,
2024-12-04,15.44,15.58,15.32,15.44,0.15,0.98,"1,941,304",,
2024-12-03,15.00,15.41,15.00,15.29,0.38,2.55,"2,625,367",,
2024-12-02,14.95,15.03,14.86,14.91,-0.07,-0.47,"856,719",,
2024-12-01,14.88,15.03,14.88,14.98,0.17,1.15,"394,952",,
2024-11-28,14.86,14.98,14.81,14.81,0.00,0.00,"1,441,128",,
2024-11-27,15.10,15.12,14.76,14.81,-0.29,-1.92,"1,724,790",,
2024-11-26,15.20,15.27,15.03,15.10,-0.02,-0.13,"1,698,764",,
2024-11-25,15.17,15.27,15.05,15.12,-0.03,-0.20,"5,261,124",,
2024-11-24,15.05,15.20,15.05,15.15,0.10,0.66,"1,636,395",,
2024-11-21,15.08,15.92,15.00,15.05,0.00,0.00,"1,995,011",,
2024-11-20,15.05,15.12,14.95,15.05,0.07,0.47,"1,690,191",,
2024-11-19,14.98,15.08,14.88,14.98,0.03,0.20,"1,628,742",,
2024-11-18,15.22,15.22,14.91,14.95,-0.13,-0.86,"1,534,213",,
2024-11-17,15.15,15.20,15.05,15.08,-0.07,-0.46,"826,409",,
2024-11-14,15.22,15.27,15.08,15.15,-0.02,-0.13,"1,969,802",,
2024-11-13,15.49,15.49,15.15,15.17,-0.29,-1.88,"1,834,771",,
