0,1,2,3,4,5,6,7,8,9
2025-05-29,28.25,29.05,28.00,29.05,0.95,3.38,"6,007,732",,
2025-05-28,28.00,28.50,27.85,28.10,0.10,0.36,"3,544,508",,
2025-05-27,28.00,28.05,27.55,28.00,0.00,0.00,"1,928,922",,
2025-05-26,28.65,28.65,27.80,28.00,-0.25,-0.88,"1,763,003",,
2025-05-25,28.35,28.35,28.10,28.25,-0.10,-0.35,"529,542",,
2025-05-22,27.95,28.35,27.95,28.35,0.00,0.00,"1,813,344",,
2025-05-21,28.60,28.90,28.05,28.35,-0.30,-1.05,"2,078,647",,
2025-05-20,28.70,28.90,28.40,28.65,-0.05,-0.17,"2,314,191",,
2025-05-19,29.00,29.05,28.60,28.70,-0.25,-0.86,"1,399,569",,
2025-05-18,28.90,29.10,28.90,28.95,0.05,0.17,"536,056",,
2025-05-15,28.75,29.15,28.65,28.90,0.15,0.52,"2,096,806",,
2025-05-14,29.55,29.60,28.75,28.75,-0.95,-3.20,"3,819,265",,
2025-05-13,29.70,29.75,29.35,29.70,-0.05,-0.17,"2,052,077",,
2025-05-12,29.40,30.00,29.30,29.75,0.35,1.19,"1,990,175",,
2025-05-11,29.20,29.40,29.00,29.40,0.30,1.03,"878,911",,
2025-05-08,29.25,29.35,28.90,29.10,0.00,0.00,"2,287,625",,
2025-05-07,29.10,29.30,29.00,29.10,0.05,0.17,"1,923,001",,
2025-05-06,29.20,29.35,28.75,29.05,-0.15,-0.51,"2,535,680",,
2025-05-05,29.45,29.70,29.00,29.20,-0.40,-1.35,"4,421,854",,
2025-05-04,30.40,30.55,29.50,29.60,-0.70,-2.31,"1,641,806",,
2025-05-01,30.80,30.80,30.00,30.30,-0.45,-1.46,"1,835,313",,
2025-04-30,30.75,31.05,30.65,30.75,0.00,0.00,"1,862,652",,
2025-04-29,31.30,31.60,30.75,30.75,-0.50,-1.60,"1,957,959",,
2025-04-28,31.35,31.75,31.25,31.25,-0.10,-0.32,"1,891,879",,
2025-04-27,31.50,31.55,31.20,31.35,0.05,0.16,"441,978",,
2025-04-24,31.60,31.90,31.15,31.30,-0.25,-0.79,"3,209,525",,
2025-04-23,31.10,31.55,31.10,31.55,0.60,1.94,"1,834,895",,
2025-04-22,30.20,31.10,30.10,30.95,0.80,2.65,"3,300,639",,
2025-04-21,30.60,30.90,30.15,30.15,-0.25,-0.82,"1,971,261",,
2025-04-20,30.50,30.60,30.40,30.40,0.10,0.33,"536,277",,
2025-04-17,30.35,30.60,30.25,30.30,-0.20,-0.66,"1,400,435",,
2025-04-16,30.60,30.90,30.25,30.50,-0.30,-0.97,"1,984,177",,
2025-04-15,30.45,30.80,30.30,30.80,0.35,1.15,"2,176,079",,
2025-04-14,32.10,32.10,30.40,30.45,-1.70,-5.29,"5,734,772",,
2025-04-13,31.30,32.15,31.05,32.15,1.20,3.88,"2,085,798",,
2025-04-10,30.60,30.95,30.15,30.95,1.95,6.72,"3,071,730",,
2025-04-09,29.70,30.35,28.95,29.00,-0.90,-3.01,"2,611,987",,
2025-04-08,29.75,30.80,29.75,29.90,0.55,1.87,"4,237,754",,
2025-04-07,29.20,29.65,28.40,29.35,-0.05,-0.17,"5,559,109",,
2025-04-06,30.00,30.95,29.35,29.40,-3.20,-9.82,"2,901,976",,
2025-04-03,31.80,33.00,31.80,32.60,-0.35,-1.06,"3,489,099",,
2025-03-27,32.45,33.20,32.45,32.95,0.45,1.38,"5,467,704",,
2025-03-26,31.00,33.15,31.00,32.50,1.60,5.18,"7,457,153",,
2025-03-25,31.50,31.50,30.85,30.90,-0.15,-0.48,"1,396,794",,
2025-03-24,30.70,31.25,30.30,31.05,0.65,2.14,"1,433,334",,
2025-03-23,30.90,31.40,30.40,30.40,-0.70,-2.25,"736,245",,
2025-03-20,30.90,31.20,30.75,31.10,0.15,0.48,"4,149,883",,
2025-03-19,30.60,30.95,30.55,30.95,0.35,1.14,"1,905,904",,
2025-03-18,30.25,30.65,30.15,30.60,0.25,0.82,"1,483,116",,
2025-03-17,29.80,30.35,29.80,30.35,0.45,1.51,"1,901,470",,
2025-03-16,29.65,29.90,29.60,29.90,0.15,0.50,"665,861",,
2025-03-13,29.75,30.00,29.45,29.75,0.00,0.00,"1,444,143",,
2025-03-12,29.60,29.90,29.35,29.75,0.30,1.02,"3,591,472",,
2025-03-11,30.35,30.35,29.40,29.45,-0.95,-3.13,"3,022,526",,
2025-03-10,29.40,30.40,29.15,30.40,1.30,4.47,"6,569,170",,
2025-03-09,29.15,29.55,29.10,29.10,-0.25,-0.85,"856,263",,
2025-03-06,29.90,29.90,29.05,29.35,-0.65,-2.17,"3,559,396",,
2025-03-05,30.15,30.25,29.70,30.00,0.00,0.00,"1,853,229",,
