0,1,2,3,4,5,6,7,8,9
2021-04-04,-,-,-,38.50,0.00,0.00,-,,
2021-04-01,-,-,-,38.50,0.00,0.00,-,,
2021-03-31,38.50,39.10,37.80,38.50,1.70,4.62,"8,954,421",,
2021-03-31,-,-,-,-,0.00,0.00,-,,
2021-03-30,36.55,37.00,36.50,36.80,0.30,0.82,"1,963,037",,
2021-03-29,35.35,36.50,35.30,36.50,1.20,3.40,"1,331,320",,
2021-03-28,35.20,35.50,35.20,35.30,0.10,0.28,"1,376,924",,
2021-03-25,35.50,35.60,34.85,35.20,0.00,0.00,"1,427,480",,
2021-03-24,35.80,35.80,35.20,35.20,-0.50,-1.40,"972,661",,
2021-03-23,35.70,35.90,35.60,35.70,0.10,0.28,"906,718",,
2021-03-22,36.05,36.10,35.40,35.60,-0.45,-1.25,"736,835",,
2021-03-21,36.30,36.30,36.00,36.05,-0.15,-0.41,"462,068",,
2021-03-18,37.10,37.10,36.20,36.20,-0.90,-2.43,"1,760,600",,
2021-03-17,37.30,37.40,36.90,37.10,-0.20,-0.54,"821,171",,
2021-03-16,37.35,37.55,37.10,37.30,0.00,0.00,"643,767",,
2021-03-15,37.50,37.70,37.15,37.30,-0.40,-1.06,"533,109",,
2021-03-14,37.35,37.80,37.25,37.70,0.50,1.34,"443,674",,
2021-03-11,37.20,37.80,37.10,37.20,0.00,0.00,"1,199,875",,
2021-03-10,36.10,37.50,36.10,37.20,1.10,3.05,"3,227,620",,
2021-03-09,35.55,36.15,35.45,36.10,0.55,1.55,"2,518,418",,
2021-03-08,35.00,35.60,34.95,35.55,0.50,1.43,"1,817,757",,
2021-03-07,35.20,36.00,35.00,35.05,0.25,0.72,"942,871",,
2021-03-04,35.55,35.65,34.80,34.80,-0.85,-2.38,"1,591,900",,
2021-03-03,35.90,36.45,35.25,35.65,0.05,0.14,"2,647,521",,
2021-03-02,34.95,35.85,34.90,35.60,0.80,2.30,"3,232,001",,
2021-03-01,34.00,34.90,33.70,34.80,1.20,3.57,"2,843,401",,
2021-02-28,33.70,34.10,33.25,33.60,-0.15,-0.44,"1,265,882",,
2021-02-25,32.95,33.75,32.95,33.75,1.15,3.53,"2,100,422",,
2021-02-24,33.10,33.30,32.60,32.60,-0.35,-1.06,"2,027,550",,
2021-02-23,32.70,33.20,32.60,32.95,0.55,1.70,"1,671,394",,
2021-02-22,33.15,33.15,32.40,32.40,-0.75,-2.26,"1,478,520",,
2021-02-21,33.20,33.20,32.70,33.15,0.55,1.69,"687,009",,
2021-02-18,33.50,33.50,32.60,32.60,-0.80,-2.40,"1,142,423",,
2021-02-17,33.35,33.40,33.15,33.40,0.20,0.60,"929,457",,
2021-02-16,33.05,33.50,33.00,33.20,0.15,0.45,"2,181,962",,
2021-02-15,32.70,33.15,32.70,33.05,0.35,1.07,"2,278,852",,
2021-02-14,32.60,33.00,32.60,32.70,0.05,0.15,"412,399",,
