0,1,2,3,4,5,6,7,8,9
2025-05-29,33.65,33.90,33.25,33.75,0.25,0.75,"3,399,782",,
2025-05-28,33.25,33.90,33.25,33.50,0.05,0.15,"1,672,299",,
2025-05-27,33.50,33.60,33.05,33.45,-0.05,-0.15,"1,685,598",,
2025-05-26,33.50,33.50,33.00,33.50,0.20,0.60,"2,069,083",,
2025-05-25,33.60,33.60,33.30,33.30,-0.30,-0.89,"315,767",,
2025-05-22,33.95,34.00,33.50,33.60,-0.35,-1.03,"1,020,457",,
2025-05-21,34.05,34.35,33.95,33.95,-0.10,-0.29,"740,210",,
2025-05-20,34.00,34.40,33.55,34.05,0.05,0.15,"2,497,626",,
2025-05-19,34.60,34.90,34.00,34.00,-0.85,-2.44,"2,815,361",,
2025-05-18,34.90,35.00,34.65,34.85,-0.05,-0.14,"709,925",,
2025-05-15,34.40,34.90,34.10,34.90,0.45,1.31,"1,762,436",,
2025-05-14,34.95,35.15,34.30,34.45,-0.60,-1.71,"1,498,334",,
2025-05-13,34.95,35.30,34.85,35.05,0.10,0.29,"1,563,245",,
2025-05-12,34.50,34.95,34.15,34.95,0.75,2.19,"4,013,605",,
2025-05-11,34.30,34.60,34.05,34.20,-0.30,-0.87,"1,002,645",,
2025-05-08,34.30,34.60,33.95,34.50,0.40,1.17,"1,494,928",,
2025-05-07,33.70,34.20,33.40,34.10,0.60,1.79,"1,954,352",,
2025-05-06,33.40,33.65,33.25,33.50,0.15,0.45,"1,368,986",,
2025-05-05,33.25,33.50,33.10,33.35,0.00,0.00,"912,040",,
2025-05-04,33.55,33.60,33.30,33.35,0.15,0.45,"480,390",,
2025-05-01,34.00,34.05,33.20,33.20,-1.80,-5.14,"2,171,940",,
2025-04-30,35.25,35.35,35.00,35.00,-0.20,-0.57,"2,782,045",,
2025-04-29,35.35,35.70,35.20,35.20,-0.05,-0.14,"1,156,026",,
2025-04-28,35.50,35.65,35.20,35.25,-0.25,-0.70,"1,638,205",,
2025-04-27,35.90,36.00,35.50,35.50,0.10,0.28,"802,165",,
2025-04-24,35.75,36.30,35.30,35.40,-0.30,-0.84,"4,339,412",,
2025-04-23,34.90,35.75,34.85,35.70,1.20,3.48,"3,353,117",,
2025-04-22,34.25,34.80,34.20,34.50,0.30,0.88,"3,564,834",,
2025-04-21,35.00,35.00,34.15,34.20,-0.45,-1.30,"2,053,307",,
2025-04-20,34.40,34.80,34.40,34.65,0.50,1.46,"578,742",,
2025-04-17,34.55,34.75,34.15,34.15,-0.50,-1.44,"3,204,163",,
2025-04-16,34.30,34.65,34.30,34.65,0.30,0.87,"1,576,270",,
2025-04-15,34.70,34.70,34.30,34.35,-0.35,-1.01,"2,239,228",,
2025-04-14,34.55,34.80,34.35,34.70,-0.05,-0.14,"1,923,334",,
2025-04-13,35.00,35.15,34.55,34.75,0.40,1.16,"503,622",,
2025-04-10,34.10,34.35,33.35,34.35,1.95,6.02,"4,705,103",,
2025-04-09,32.65,33.15,32.00,32.40,-0.40,-1.22,"4,081,793",,
2025-04-08,33.20,33.90,32.80,32.80,0.00,0.00,"4,862,669",,
2025-04-07,32.15,33.35,31.90,32.80,-0.70,-2.09,"4,585,255",,
2025-04-06,35.00,35.30,33.25,33.50,-3.30,-8.97,"1,315,967",,
2025-04-03,37.00,37.55,36.65,36.80,-0.70,-1.87,"2,293,527",,
2025-03-27,37.35,38.00,37.35,37.50,-0.05,-0.13,"2,081,041",,
2025-03-26,36.15,37.75,36.15,37.55,1.40,3.87,"2,894,877",,
2025-03-25,36.60,36.60,36.15,36.15,-0.45,-1.23,"845,346",,
2025-03-24,35.60,36.60,35.60,36.60,0.95,2.66,"1,488,790",,
2025-03-23,35.95,36.25,35.65,35.65,-0.35,-0.97,"521,006",,
2025-03-20,36.45,36.45,36.00,36.00,-0.30,-0.83,"2,105,677",,
2025-03-19,35.90,36.35,35.65,36.30,0.40,1.11,"1,481,635",,
2025-03-18,35.75,36.00,35.50,35.90,0.25,0.70,"868,240",,
2025-03-17,35.35,35.75,35.35,35.65,0.50,1.42,"1,487,377",,
2025-03-16,35.25,35.60,35.00,35.15,-0.10,-0.28,"751,708",,
2025-03-13,35.35,35.45,35.15,35.25,-0.10,-0.28,"1,370,985",,
2025-03-12,35.35,35.40,34.90,35.35,0.30,0.86,"1,850,331",,
2025-03-11,35.15,35.65,34.90,35.05,-0.45,-1.27,"1,741,671",,
2025-03-10,35.50,35.95,35.05,35.50,-0.10,-0.28,"1,262,445",,
2025-03-09,35.15,36.30,35.15,35.60,0.15,0.42,"557,534",,
2025-03-06,36.00,36.00,34.90,35.45,-0.55,-1.53,"1,656,996",,
2025-03-05,36.45,36.55,35.65,36.00,-0.20,-0.55,"1,786,220",,
2025-03-04,36.00,36.45,35.95,36.20,-0.30,-0.82,"1,842,986",,
2025-03-03,35.70,36.75,35.70,36.50,0.80,2.24,"2,811,878",,
2025-03-02,35.40,35.90,35.20,35.70,0.30,0.85,"369,520",,
2025-02-27,36.05,36.05,35.40,35.40,-0.70,-1.94,"2,886,701",,
2025-02-26,36.70,36.70,35.80,36.10,-0.55,-1.50,"1,547,162",,
2025-02-25,36.60,36.70,36.25,36.65,0.05,0.14,"1,166,585",,
2025-02-24,37.45,37.70,36.30,36.60,-0.65,-1.74,"2,793,862",,
2025-02-20,36.40,37.50,36.30,37.25,0.80,2.19,"3,174,090",,
2025-02-19,36.10,36.45,36.00,36.45,0.10,0.28,"947,514",,
2025-02-18,35.40,36.50,35.40,36.35,0.85,2.39,"1,665,117",,
2025-02-17,35.80,35.85,35.20,35.50,-0.60,-1.66,"1,218,223",,
2025-02-16,35.95,36.55,35.75,36.10,0.30,0.84,"494,316",,
2025-02-13,35.70,36.00,35.55,35.80,-0.10,-0.28,"1,011,671",,
2025-02-12,36.20,36.35,35.65,35.90,-0.20,-0.55,"2,425,812",,
2025-02-11,36.15,36.30,35.95,36.10,-0.20,-0.55,"1,918,336",,
2025-02-10,35.10,36.55,35.10,36.30,1.00,2.83,"2,593,138",,
2025-02-09,35.35,35.65,35.25,35.30,-0.05,-0.14,"394,485",,
2025-02-06,35.30,35.70,35.10,35.35,-0.15,-0.42,"1,463,491",,
2025-02-05,35.35,35.90,35.30,35.50,0.00,0.00,"1,676,231",,
2025-02-04,35.65,35.85,35.35,35.50,-0.25,-0.70,"1,227,817",,
2025-02-03,36.00,36.50,35.45,35.75,-0.90,-2.46,"1,434,973",,
2025-02-02,36.40,36.65,35.65,36.65,0.70,1.95,"268,729",,
2025-01-30,35.80,36.20,35.50,35.95,0.15,0.42,"1,390,474",,
2025-01-29,36.50,37.50,35.55,35.80,-0.60,-1.65,"1,928,260",,
2025-01-28,36.00,36.80,36.00,36.40,0.40,1.11,"2,274,393",,
2025-01-27,36.00,36.35,35.75,36.00,0.00,0.00,"3,144,780",,
2025-01-26,36.05,36.20,35.80,36.00,0.25,0.70,"262,896",,
2025-01-23,36.20,36.20,35.50,35.75,-0.20,-0.56,"1,214,148",,
2025-01-22,35.55,36.40,35.05,35.95,0.15,0.42,"3,003,533",,
2025-01-21,35.85,35.95,35.55,35.80,-0.05,-0.14,"935,985",,
2025-01-20,35.55,36.10,35.50,35.85,0.40,1.13,"1,628,512",,
2025-01-19,36.00,36.00,35.20,35.45,0.00,0.00,"612,074",,
2025-01-16,35.35,35.95,34.90,35.45,0.10,0.28,"1,976,810",,
2025-01-15,34.00,35.35,33.95,35.35,1.35,3.97,"6,135,642",,
2025-01-14,33.30,34.00,33.00,34.00,0.55,1.64,"3,793,402",,
2025-01-13,33.40,33.65,33.05,33.45,0.15,0.45,"2,174,850",,
2025-01-12,33.55,33.55,33.20,33.30,-0.25,-0.75,"261,265",,
2025-01-09,33.50,33.60,32.90,33.55,0.20,0.60,"3,606,036",,
2025-01-08,33.70,34.10,33.35,33.35,-0.35,-1.04,"1,016,740",,
2025-01-07,33.55,33.95,33.35,33.70,0.30,0.90,"3,814,893",,
2025-01-06,32.90,33.50,32.90,33.40,0.50,1.52,"3,112,656",,
2025-01-05,32.95,33.20,32.70,32.90,-0.05,-0.15,"314,219",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,32.95,33.20,32.70,32.90,-0.05,-0.15,"314,219",,
2025-01-02,33.60,33.60,32.80,32.95,-0.60,-1.79,"1,314,796",,
2025-01-01,33.55,33.75,33.50,33.55,-0.10,-0.30,"239,775",,
2024-12-31,33.90,33.95,33.60,33.65,-0.10,-0.30,"2,032,473",,
2024-12-30,33.20,33.90,33.15,33.75,0.60,1.81,"2,099,634",,
2024-12-29,32.90,33.20,32.90,33.15,0.30,0.91,"1,335,339",,
2024-12-26,33.00,33.10,32.70,32.85,-0.15,-0.45,"597,254",,
2024-12-25,32.80,33.15,32.55,33.00,0.10,0.30,"378,907",,
2024-12-24,32.15,33.00,32.15,32.90,0.70,2.17,"2,707,996",,
2024-12-23,32.20,32.65,31.90,32.20,0.00,0.00,"2,477,878",,
2024-12-22,32.10,32.55,31.95,32.20,0.30,0.94,"753,746",,
2024-12-19,30.80,32.10,30.80,31.90,0.15,0.47,"2,639,212",,
2024-12-18,31.45,31.75,31.30,31.75,0.45,1.44,"1,041,084",,
2024-12-17,31.95,32.10,31.30,31.30,-0.65,-2.03,"3,279,896",,
2024-12-16,32.35,32.40,31.90,31.95,-0.20,-0.62,"2,398,978",,
2024-12-15,32.50,32.70,32.10,32.15,-0.30,-0.92,"533,538",,
2024-12-12,32.95,33.10,32.45,32.45,-0.35,-1.07,"1,292,451",,
2024-12-11,32.90,32.95,32.60,32.80,0.15,0.46,"2,120,173",,
2024-12-10,32.50,32.95,32.35,32.65,0.25,0.77,"3,597,185",,
2024-12-09,32.20,32.55,32.20,32.40,0.30,0.93,"2,618,971",,
2024-12-08,32.00,32.25,31.90,32.10,0.30,0.94,"2,054,063",,
2024-12-05,31.80,31.90,31.55,31.80,0.15,0.47,"7,157,859",,
2024-12-04,31.75,31.95,31.40,31.65,-0.05,-0.16,"2,514,170",,
2024-12-03,31.10,31.75,31.10,31.70,0.65,2.09,"1,323,054",,
2024-12-02,31.20,31.35,30.85,31.05,-0.10,-0.32,"1,384,509",,
2024-12-01,31.20,31.90,31.05,31.15,0.10,0.32,"689,576",,
2024-11-28,31.30,31.40,31.00,31.05,-0.15,-0.48,"2,155,585",,
2024-11-27,32.15,32.15,31.20,31.20,-0.95,-2.95,"1,260,472",,
2024-11-26,32.40,32.40,31.75,32.15,-0.50,-1.53,"1,260,604",,
2024-11-25,31.60,32.65,31.30,32.65,0.90,2.83,"7,488,134",,
2024-11-24,31.75,31.85,31.45,31.75,0.25,0.79,"804,101",,
2024-11-21,31.40,31.80,31.40,31.50,-0.20,-0.63,"1,393,622",,
2024-11-20,31.45,31.85,31.40,31.70,0.20,0.63,"1,455,481",,
2024-11-19,31.75,31.75,31.35,31.50,-0.20,-0.63,"1,513,090",,
2024-11-18,32.05,32.25,31.35,31.70,-0.40,-1.25,"2,090,691",,
2024-11-17,31.95,32.30,31.85,32.10,0.35,1.10,"632,224",,
2024-11-14,32.90,32.95,31.75,31.75,-1.15,-3.50,"3,076,139",,
2024-11-13,33.65,33.65,32.80,32.90,-1.00,-2.95,"2,261,676",,
2024-11-12,34.20,34.40,33.65,33.90,-0.20,-0.59,"1,118,374",,
2024-11-11,34.25,34.70,34.10,34.10,-0.15,-0.44,"914,751",,
2024-11-10,34.55,34.55,34.00,34.25,-0.20,-0.58,"621,739",,
2024-11-07,33.85,34.55,33.50,34.45,0.60,1.77,"1,736,231",,
2024-11-06,33.75,34.20,33.65,33.85,0.30,0.89,"1,134,990",,
2024-11-05,33.75,33.80,33.20,33.55,-0.15,-0.45,"582,589",,
2024-11-04,33.80,33.85,33.25,33.70,0.10,0.30,"1,435,205",,
2024-11-03,34.00,34.10,33.50,33.60,-0.20,-0.59,"268,581",,
2024-10-31,34.35,34.60,33.60,33.80,-0.60,-1.74,"2,299,842",,
2024-10-30,34.70,34.80,33.95,34.40,-1.05,-2.96,"2,719,616",,
2024-10-29,35.40,35.55,34.90,35.45,0.05,0.14,"1,464,626",,
2024-10-28,36.30,36.30,35.25,35.40,-0.60,-1.67,"1,165,208",,
2024-10-27,35.90,36.35,35.50,36.00,1.00,2.86,"761,051",,
2024-10-24,34.60,35.00,34.30,35.00,0.00,0.00,"1,491,546",,
2024-10-23,34.90,35.15,34.70,35.00,0.10,0.29,"646,265",,
2024-10-22,35.00,35.10,34.60,34.90,0.00,0.00,"1,260,275",,
2024-10-21,34.30,35.10,34.30,34.90,0.65,1.90,"860,056",,
2024-10-20,34.45,34.65,34.10,34.25,-0.20,-0.58,"428,951",,
2024-10-17,35.10,35.10,34.35,34.45,-0.45,-1.29,"1,270,298",,
2024-10-16,35.00,35.40,34.90,34.90,-0.25,-0.71,"1,803,126",,
2024-10-15,34.70,35.15,34.15,35.15,0.50,1.44,"1,666,238",,
2024-10-14,35.00,35.10,34.45,34.65,-0.45,-1.28,"1,608,372",,
2024-10-13,34.95,35.20,34.50,35.10,0.35,1.01,"837,949",,
2024-10-10,34.00,34.90,33.80,34.75,0.60,1.76,"895,259",,
2024-10-09,34.15,34.35,33.85,34.15,0.05,0.15,"762,259",,
2024-10-08,34.00,34.40,33.70,34.10,0.10,0.29,"2,055,629",,
2024-10-07,33.75,34.45,33.50,34.00,0.00,0.00,"1,952,177",,
2024-10-06,34.00,34.10,33.35,34.00,0.30,0.89,"449,346",,
2024-10-03,33.90,34.15,33.35,33.70,-0.25,-0.74,"2,139,219",,
2024-10-02,34.45,34.70,33.95,33.95,-0.95,-2.72,"1,497,444",,
2024-10-01,34.40,35.05,34.35,34.90,0.25,0.72,"1,618,907",,
2024-09-30,36.00,36.00,34.40,34.65,-0.35,-1.00,"2,634,887",,
2024-09-29,35.90,35.90,35.00,35.00,-0.95,-2.64,"953,984",,
2024-09-26,35.35,35.95,35.35,35.95,0.40,1.13,"1,961,041",,
2024-09-25,35.80,35.80,35.35,35.55,-0.35,-0.97,"1,533,261",,
2024-09-24,35.50,35.90,35.25,35.90,0.15,0.42,"2,244,441",,
2024-09-22,35.60,35.75,35.30,35.75,0.60,1.71,"785,882",,
2024-09-19,35.25,35.35,34.65,35.15,0.10,0.29,"2,943,072",,
2024-09-18,33.30,35.10,33.30,35.05,1.45,4.32,"3,037,455",,
2024-09-17,33.65,33.65,33.10,33.60,0.10,0.30,"1,157,724",,
2024-09-16,33.40,33.75,33.15,33.50,0.15,0.45,"3,363,853",,
2024-09-15,33.15,33.35,32.70,33.35,0.20,0.60,"1,176,354",,
2024-09-12,33.50,33.60,33.05,33.15,-0.15,-0.45,"4,081,628",,
2024-09-11,34.20,34.20,33.10,33.30,-0.85,-2.49,"1,978,633",,
2024-09-10,34.50,34.60,33.85,34.15,-0.35,-1.01,"2,059,055",,
2024-09-09,34.95,35.00,34.20,34.50,-0.70,-1.99,"3,885,966",,
2024-09-08,34.90,35.20,34.25,35.20,0.30,0.86,"1,000,783",,
2024-09-05,34.50,35.25,34.35,34.90,0.45,1.31,"7,803,155",,
2024-09-04,34.00,34.45,33.50,34.45,-0.05,-0.14,"3,558,529",,
2024-09-03,34.90,34.90,34.20,34.50,-0.30,-0.86,"2,234,012",,
2024-09-02,35.30,35.70,34.65,34.80,-0.50,-1.42,"2,648,667",,
2024-09-01,35.20,35.40,34.85,35.30,0.45,1.29,"820,898",,
2024-08-29,34.90,35.10,34.50,34.85,0.10,0.29,"8,098,190",,
2024-08-28,35.10,35.30,34.40,34.75,-0.30,-0.86,"7,610,108",,
2024-08-27,35.80,35.80,34.95,35.05,-0.60,-1.68,"8,225,177",,
2024-08-26,36.15,36.15,35.15,35.65,-0.30,-0.83,"4,193,443",,
2024-08-25,36.25,36.55,35.90,35.95,-0.30,-0.83,"2,749,676",,
2024-08-22,36.55,36.85,36.05,36.25,-0.05,-0.14,"6,898,044",,
2024-08-21,36.00,36.60,35.95,36.30,0.30,0.83,"3,273,587",,
2024-08-20,36.70,36.95,35.90,36.00,-0.65,-1.77,"2,753,140",,
2024-08-19,37.15,37.20,36.55,36.65,-0.55,-1.48,"1,011,999",,
2024-08-18,36.60,37.25,36.60,37.20,-0.25,-0.67,"617,345",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
