0,1,2,3,4,5,6,7,8,9
2025-05-29,14.64,14.80,14.56,14.80,0.20,1.37,"2,532,434",,
2025-05-28,14.54,14.68,14.54,14.60,0.06,0.41,"375,409",,
2025-05-27,14.60,14.68,14.46,14.54,-0.10,-0.68,"474,034",,
2025-05-26,14.78,14.78,14.54,14.64,-0.16,-1.08,"628,347",,
2025-05-25,14.80,14.80,14.66,14.80,0.02,0.14,"234,428",,
2025-05-22,14.84,14.90,14.64,14.78,-0.06,-0.40,"541,952",,
2025-05-21,15.06,15.06,14.84,14.84,-0.20,-1.33,"455,411",,
2025-05-20,14.98,15.04,14.94,15.04,0.10,0.67,"1,002,814",,
2025-05-19,14.94,15.06,14.86,14.94,0.02,0.13,"401,028",,
2025-05-18,14.96,15.02,14.84,14.92,-0.04,-0.27,"192,283",,
2025-05-15,14.82,14.96,14.80,14.96,0.12,0.81,"270,374",,
2025-05-14,14.94,14.96,14.84,14.84,-0.08,-0.54,"288,480",,
2025-05-13,14.82,14.94,14.80,14.92,0.10,0.67,"288,075",,
2025-05-12,14.94,15.00,14.80,14.82,0.00,0.00,"540,429",,
2025-05-11,14.88,14.90,14.82,14.82,-0.06,-0.40,"49,290",,
2025-05-08,15.04,15.06,14.82,14.88,-0.14,-0.93,"415,945",,
2025-05-07,15.04,15.04,14.92,15.02,0.02,0.13,"493,270",,
2025-05-06,14.96,15.08,14.92,15.00,0.02,0.13,"228,606",,
2025-05-05,14.88,15.10,14.80,14.98,-0.02,-0.13,"508,102",,
2025-05-04,14.86,15.02,14.80,15.00,0.10,0.67,"317,381",,
2025-05-01,15.04,15.08,14.86,14.90,-0.14,-0.93,"289,873",,
2025-04-30,14.98,15.10,14.94,15.04,0.10,0.67,"2,062,981",,
2025-04-29,15.02,15.10,14.88,14.94,-0.06,-0.40,"886,352",,
2025-04-28,15.10,15.18,14.94,15.00,-0.08,-0.53,"356,935",,
2025-04-27,15.16,15.20,14.94,15.08,-0.06,-0.40,"210,637",,
2025-04-24,15.20,15.28,15.10,15.14,-0.02,-0.13,"951,749",,
2025-04-23,15.16,15.20,15.10,15.16,0.08,0.53,"561,966",,
2025-04-22,14.96,15.20,14.96,15.08,0.08,0.53,"641,789",,
2025-04-21,14.92,15.00,14.90,15.00,0.06,0.40,"331,375",,
2025-04-20,14.88,14.96,14.78,14.94,0.22,1.49,"428,870",,
2025-04-17,14.62,14.88,14.58,14.72,0.10,0.68,"1,151,902",,
2025-04-16,14.48,14.64,14.40,14.62,0.14,0.97,"921,746",,
2025-04-15,14.66,14.70,14.44,14.48,-0.16,-1.09,"1,143,658",,
2025-04-14,14.62,14.72,14.48,14.64,-0.04,-0.27,"634,261",,
2025-04-13,14.52,14.72,14.52,14.68,0.28,1.94,"235,989",,
2025-04-10,14.38,14.62,14.32,14.40,0.24,1.69,"865,632",,
2025-04-09,14.36,14.46,14.00,14.16,-0.22,-1.53,"923,752",,
2025-04-08,14.32,14.54,14.30,14.38,0.12,0.84,"1,015,372",,
2025-04-07,13.90,14.28,13.40,14.26,0.16,1.13,"1,595,017",,
2025-04-06,13.80,14.20,13.20,14.10,-0.42,-2.89,"1,827,468",,
2025-04-03,14.60,14.64,14.48,14.52,-0.06,-0.41,"828,101",,
2025-03-27,14.50,14.78,14.50,14.58,-0.02,-0.14,"1,199,591",,
2025-03-26,14.26,14.60,14.24,14.60,0.42,2.96,"1,216,311",,
2025-03-25,14.10,14.36,14.02,14.18,0.14,1.00,"804,023",,
2025-03-24,14.10,14.18,14.04,14.04,-0.04,-0.28,"621,728",,
2025-03-23,14.10,14.24,14.06,14.08,-0.10,-0.71,"197,205",,
2025-03-20,14.12,14.26,14.02,14.18,0.08,0.57,"1,693,089",,
2025-03-19,14.14,14.30,14.10,14.10,0.04,0.28,"522,137",,
2025-03-18,14.08,14.18,14.00,14.06,0.06,0.43,"915,316",,
2025-03-17,14.04,14.10,13.94,14.00,-0.02,-0.14,"1,114,700",,
2025-03-16,13.90,14.06,13.80,14.02,0.04,0.29,"874,505",,
2025-03-13,13.70,13.98,13.66,13.98,0.30,2.19,"2,503,932",,
2025-03-12,13.98,13.98,13.62,13.68,-0.24,-1.72,"1,362,348",,
2025-03-11,14.04,14.06,13.84,13.92,-0.18,-1.28,"703,958",,
2025-03-10,14.12,14.24,14.06,14.10,-0.06,-0.42,"707,952",,
2025-03-09,13.94,14.24,13.94,14.16,0.06,0.43,"468,261",,
2025-03-06,14.38,14.38,13.90,14.10,-0.30,-2.08,"941,460",,
2025-03-05,14.62,14.76,14.34,14.40,-0.22,-1.50,"1,566,586",,
2025-03-04,14.64,14.92,14.54,14.62,0.06,0.41,"762,109",,
2025-03-03,14.30,14.64,14.20,14.56,0.26,1.82,"469,427",,
2025-03-02,14.46,14.46,14.14,14.30,-0.12,-0.83,"166,010",,
2025-02-27,14.58,14.60,14.26,14.42,-0.16,-1.10,"1,043,004",,
2025-02-26,14.68,14.68,14.44,14.58,-0.04,-0.27,"573,463",,
