0,1,2,3,4,5,6,7,8,9
2025-05-29,34.75,35.05,34.20,34.70,0.15,0.43,"9,045,276",,
2025-05-28,34.35,34.80,34.30,34.55,0.15,0.44,"5,247,930",,
2025-05-27,34.70,34.85,34.25,34.40,-0.30,-0.86,"3,699,921",,
2025-05-26,34.90,35.00,34.30,34.70,0.20,0.58,"4,370,551",,
2025-05-25,35.45,35.50,34.50,34.50,-1.00,-2.82,"3,292,979",,
2025-05-22,35.05,35.50,34.85,35.50,0.40,1.14,"4,503,699",,
2025-05-21,35.75,35.90,35.10,35.10,-0.85,-2.36,"4,307,406",,
2025-05-20,35.55,35.95,35.40,35.95,0.40,1.13,"6,296,417",,
2025-05-19,35.10,35.55,35.00,35.55,0.40,1.14,"3,587,066",,
2025-05-18,35.40,35.55,35.15,35.15,-0.35,-0.99,"1,527,960",,
2025-05-15,35.60,35.80,35.40,35.50,-0.30,-0.84,"2,957,190",,
2025-05-14,35.45,35.80,35.35,35.80,0.35,0.99,"4,956,047",,
2025-05-13,35.10,35.45,35.00,35.45,0.40,1.14,"3,559,071",,
2025-05-12,35.25,35.35,34.90,35.05,0.05,0.14,"5,593,423",,
2025-05-11,35.15,35.35,34.85,35.00,-0.15,-0.43,"1,405,070",,
2025-05-08,35.00,35.20,34.70,35.15,0.25,0.72,"3,030,561",,
2025-05-07,34.95,35.10,34.75,34.90,-0.05,-0.14,"3,740,693",,
2025-05-06,34.70,35.05,34.65,34.95,0.30,0.87,"3,811,055",,
2025-05-05,34.20,34.85,34.15,34.65,0.25,0.73,"5,065,921",,
2025-05-04,35.00,35.10,34.15,34.40,-0.50,-1.43,"3,553,500",,
2025-05-01,35.55,35.55,34.90,34.90,-0.80,-2.24,"4,304,758",,
2025-04-30,35.40,35.85,35.40,35.70,0.10,0.28,"7,170,421",,
2025-04-29,35.50,35.60,35.15,35.60,0.10,0.28,"3,810,044",,
2025-04-28,35.50,35.55,35.25,35.50,0.20,0.57,"3,814,035",,
2025-04-27,35.75,35.90,35.25,35.30,-0.50,-1.40,"3,426,037",,
2025-04-24,35.70,36.00,35.25,35.80,0.10,0.28,"9,202,620",,
2025-04-23,35.75,35.85,35.40,35.70,0.45,1.28,"8,105,535",,
2025-04-22,35.00,35.65,34.60,35.25,1.35,3.98,"12,673,037",,
2025-04-21,34.00,34.05,33.80,33.90,-0.05,-0.15,"2,628,837",,
2025-04-20,34.10,34.30,33.90,33.95,-0.10,-0.29,"3,837,945",,
2025-04-17,34.25,34.45,34.05,34.05,-0.30,-0.87,"5,044,530",,
2025-04-16,33.85,34.35,33.75,34.35,0.50,1.48,"5,500,159",,
2025-04-15,33.85,34.05,33.55,33.85,0.00,0.00,"6,076,781",,
2025-04-14,34.15,34.20,33.80,33.85,-0.05,-0.15,"4,208,227",,
2025-04-13,34.00,34.20,33.75,33.90,0.20,0.59,"3,408,832",,
2025-04-10,33.80,33.80,33.00,33.70,1.75,5.48,"10,997,297",,
2025-04-09,32.55,33.00,31.95,31.95,-0.65,-1.99,"7,519,728",,
2025-04-08,32.90,33.40,32.60,32.60,0.20,0.62,"9,226,559",,
2025-04-07,32.00,33.05,31.55,32.40,-0.40,-1.22,"11,560,729",,
2025-04-06,33.40,33.45,32.65,32.80,-2.40,-6.82,"9,782,492",,
2025-04-03,35.40,35.70,34.60,35.20,-0.65,-1.81,"7,004,210",,
2025-03-27,35.80,36.60,35.80,35.85,-0.10,-0.28,"6,089,874",,
2025-03-26,35.15,35.95,35.15,35.95,0.85,2.42,"7,184,894",,
2025-03-25,35.20,35.35,35.05,35.10,-0.10,-0.28,"4,253,828",,
2025-03-24,34.90,35.30,34.70,35.20,0.25,0.72,"3,271,520",,
2025-03-23,35.40,35.60,34.95,34.95,-0.55,-1.55,"2,722,192",,
2025-03-20,35.55,35.70,35.25,35.50,-0.05,-0.14,"7,374,620",,
2025-03-19,35.20,35.65,35.15,35.55,0.35,0.99,"4,446,873",,
2025-03-18,35.50,35.65,35.15,35.20,-0.30,-0.85,"5,335,139",,
2025-03-17,34.90,35.75,34.90,35.50,0.85,2.45,"8,081,710",,
2025-03-16,34.50,34.95,34.50,34.65,0.15,0.43,"4,678,897",,
2025-03-13,34.45,34.65,34.25,34.50,0.05,0.15,"2,148,883",,
2025-03-12,34.75,34.90,34.20,34.45,-0.20,-0.58,"5,701,846",,
2025-03-11,34.65,34.80,34.30,34.65,-0.45,-1.28,"5,734,816",,
2025-03-10,34.90,35.20,34.50,35.10,0.45,1.30,"7,136,161",,
2025-03-09,34.55,34.70,34.25,34.65,-0.15,-0.43,"2,160,734",,
2025-03-06,34.85,35.15,34.25,34.80,-0.35,-1.00,"6,636,092",,
2025-03-05,35.15,35.35,34.80,35.15,0.05,0.14,"5,760,952",,
2025-03-04,35.45,36.00,35.05,35.10,-0.40,-1.13,"6,549,045",,
2025-03-03,34.75,35.70,34.75,35.50,0.70,2.01,"7,452,692",,
2025-03-02,35.00,35.25,34.70,34.80,-0.20,-0.57,"2,326,601",,
2025-02-27,35.50,35.55,34.85,35.00,-0.60,-1.69,"7,362,154",,
2025-02-26,36.00,36.25,35.45,35.60,-0.65,-1.79,"4,856,791",,
2025-02-25,36.15,36.35,35.75,36.25,-0.10,-0.28,"4,250,994",,
2025-02-24,35.75,36.60,35.50,36.35,0.60,1.68,"15,298,775",,
2025-02-20,35.15,35.80,34.95,35.75,0.75,2.14,"9,001,282",,
2025-02-19,34.80,35.15,34.70,35.00,0.15,0.43,"9,199,784",,
2025-02-18,34.35,34.90,33.85,34.85,1.45,4.34,"18,187,700",,
2025-02-17,33.70,33.80,33.20,33.40,-0.30,-0.89,"4,102,511",,
2025-02-16,33.75,33.90,33.55,33.70,-0.05,-0.15,"1,288,004",,
2025-02-13,33.90,33.90,33.55,33.75,-0.15,-0.44,"2,998,328",,
2025-02-12,33.95,33.95,33.60,33.90,-0.05,-0.15,"2,609,834",,
2025-02-11,34.25,34.25,33.80,33.95,-0.20,-0.59,"3,346,198",,
2025-02-10,33.70,34.25,33.60,34.15,-0.45,-1.30,"6,168,246",,
2025-02-09,34.35,34.60,34.35,34.60,0.25,0.73,"3,696,656",,
2025-02-06,34.60,34.60,34.10,34.35,-0.15,-0.43,"7,161,022",,
2025-02-05,34.45,34.55,34.30,34.50,0.05,0.15,"6,356,544",,
2025-02-04,34.45,34.80,34.25,34.45,0.10,0.29,"4,366,907",,
2025-02-03,34.45,34.55,34.15,34.35,-0.10,-0.29,"10,463,823",,
2025-02-02,34.40,35.00,34.10,34.45,0.25,0.73,"5,435,158",,
2025-01-30,34.25,34.40,34.05,34.20,0.15,0.44,"6,904,883",,
2025-01-29,35.20,35.45,33.95,34.05,-1.00,-2.85,"12,795,826",,
2025-01-28,34.60,35.05,34.40,35.05,0.55,1.59,"3,510,642",,
2025-01-27,34.50,34.75,34.25,34.50,-0.10,-0.29,"3,442,238",,
2025-01-26,34.55,34.70,34.40,34.60,0.10,0.29,"2,069,194",,
2025-01-23,34.85,34.90,34.50,34.50,-0.40,-1.15,"2,899,365",,
2025-01-22,35.00,35.35,34.65,34.90,-0.15,-0.43,"4,407,987",,
2025-01-21,35.35,35.35,34.95,35.05,-0.35,-0.99,"4,101,131",,
2025-01-20,35.35,35.60,35.25,35.40,0.05,0.14,"6,428,682",,
2025-01-19,35.05,35.45,34.95,35.35,0.45,1.29,"6,988,404",,
