0,1,2,3,4,5,6,7,8,9
2025-05-29,49.85,50.50,48.65,49.75,0.30,0.61,"895,839",,
2025-05-28,47.60,49.45,47.60,49.45,2.05,4.32,"632,961",,
2025-05-27,48.90,49.50,47.40,47.40,-1.50,-3.07,"664,167",,
2025-05-26,50.00,50.20,48.00,48.90,-0.60,-1.21,"746,053",,
2025-05-25,51.50,51.90,49.50,49.50,-2.00,-3.88,"619,152",,
2025-05-22,49.80,51.80,49.45,51.50,1.65,3.31,"1,317,829",,
2025-05-21,50.60,51.20,49.75,49.85,-0.45,-0.89,"790,874",,
2025-05-20,49.25,50.70,48.90,50.30,1.20,2.44,"996,489",,
2025-05-19,48.65,50.10,48.30,49.10,0.45,0.92,"1,159,420",,
2025-05-18,48.90,49.35,48.30,48.65,0.15,0.31,"403,423",,
2025-05-15,49.70,49.75,48.35,48.50,-1.45,-2.90,"779,346",,
2025-05-14,49.00,51.20,48.95,49.95,0.95,1.94,"1,295,944",,
2025-05-13,50.00,51.20,48.65,49.00,0.70,1.45,"2,056,159",,
2025-05-12,46.10,48.35,46.10,48.30,2.25,4.89,"658,949",,
2025-05-11,47.35,47.60,45.70,46.05,-1.35,-2.85,"246,347",,
2025-05-08,47.90,47.90,46.60,47.40,-0.20,-0.42,"354,688",,
2025-05-07,47.60,49.50,47.55,47.60,-0.30,-0.63,"1,076,434",,
2025-05-06,48.10,48.10,47.40,47.90,0.25,0.52,"282,442",,
2025-05-05,45.05,48.15,44.90,47.65,2.35,5.19,"674,981",,
2025-05-04,46.55,47.20,44.95,45.30,-1.25,-2.69,"312,538",,
2025-05-01,47.35,47.50,46.00,46.55,-0.95,-2.00,"411,527",,
2025-04-30,48.00,48.75,47.00,47.50,-0.50,-1.04,"667,147",,
2025-04-29,47.75,48.45,47.30,48.00,0.45,0.95,"868,037",,
2025-04-28,45.00,48.60,44.80,47.55,3.00,6.73,"1,724,926",,
2025-04-27,44.50,45.00,44.35,44.55,0.25,0.56,"252,694",,
2025-04-24,44.80,45.20,44.30,44.30,-0.30,-0.67,"479,282",,
2025-04-23,43.70,44.80,43.70,44.60,1.30,3.00,"736,851",,
2025-04-22,43.00,43.70,42.40,43.30,0.30,0.70,"293,026",,
2025-04-21,43.05,43.55,42.55,43.00,0.00,0.00,"334,150",,
2025-04-20,43.00,43.30,42.70,43.00,0.40,0.94,"266,405",,
2025-04-17,43.00,43.55,42.45,42.60,-0.60,-1.39,"378,390",,
2025-04-16,43.90,44.70,42.85,43.20,-0.65,-1.48,"548,605",,
2025-04-15,43.45,45.50,43.45,43.85,0.40,0.92,"1,189,835",,
2025-04-14,44.65,44.95,43.40,43.45,-1.05,-2.36,"997,721",,
2025-04-13,42.00,44.60,42.00,44.50,2.80,6.71,"942,304",,
2025-04-10,40.90,42.00,40.35,41.70,3.05,7.89,"1,213,506",,
2025-04-09,39.85,40.55,38.65,38.65,-1.95,-4.80,"849,447",,
2025-04-08,41.80,42.40,40.55,40.60,-0.45,-1.10,"1,331,642",,
2025-04-07,39.00,41.60,37.55,41.05,1.15,2.88,"1,109,738",,
2025-04-06,41.90,42.15,39.90,39.90,-4.35,-9.83,"943,588",,
2025-04-03,45.00,45.60,44.00,44.25,-1.75,-3.80,"595,955",,
2025-03-27,46.10,46.60,45.30,46.00,0.15,0.33,"659,046",,
2025-03-26,44.80,46.00,44.75,45.85,0.85,1.89,"711,574",,
2025-03-25,46.10,46.45,44.30,45.00,-1.00,-2.17,"669,897",,
2025-03-24,46.60,47.00,45.05,46.00,-0.30,-0.65,"719,417",,
2025-03-23,45.05,46.30,44.20,46.30,4.20,9.98,"981,956",,
2025-03-20,40.70,43.20,40.70,42.10,1.40,3.44,"741,063",,
2025-03-19,40.25,41.10,40.25,40.70,0.05,0.12,"233,479",,
2025-03-18,41.25,41.75,40.65,40.65,-0.80,-1.93,"180,659",,
2025-03-17,42.30,42.35,41.35,41.45,-0.85,-2.01,"246,307",,
2025-03-16,40.90,42.60,40.90,42.30,1.25,3.05,"160,830",,
2025-03-13,41.60,41.90,40.60,41.05,-0.55,-1.32,"355,035",,
2025-03-12,39.00,41.80,38.85,41.60,2.75,7.08,"675,291",,
2025-03-11,38.80,39.75,37.85,38.85,-1.05,-2.63,"1,145,021",,
2025-03-10,41.50,42.10,39.90,39.90,-2.15,-5.11,"636,590",,
2025-03-09,42.20,42.60,39.50,42.05,-0.60,-1.41,"923,642",,
2025-03-06,45.25,45.25,42.65,42.65,-2.60,-5.75,"510,342",,
2025-03-05,44.85,45.55,44.85,45.25,0.30,0.67,"247,162",,
2025-03-04,45.60,45.85,44.80,44.95,-0.65,-1.43,"396,232",,
2025-03-03,45.30,45.85,44.20,45.60,0.30,0.66,"379,865",,
2025-03-02,45.15,45.70,44.70,45.30,-0.40,-0.88,"128,134",,
2025-02-27,45.05,45.95,44.95,45.70,0.70,1.56,"440,494",,
2025-02-26,45.50,46.95,44.65,45.00,-0.50,-1.10,"869,680",,
2025-02-25,44.15,45.60,42.30,45.50,1.85,4.24,"816,453",,
2025-02-24,43.95,44.15,42.15,43.65,-0.70,-1.58,"617,064",,
2025-02-20,44.60,45.50,44.35,44.35,0.10,0.23,"223,676",,
2025-02-19,45.75,46.25,44.25,44.25,-1.35,-2.96,"365,135",,
2025-02-18,47.20,47.85,45.60,45.60,-1.15,-2.46,"363,128",,
2025-02-17,46.00,47.15,46.00,46.75,0.40,0.86,"689,163",,
2025-02-16,46.00,46.90,45.30,46.35,0.10,0.22,"305,603",,
2025-02-13,48.00,48.50,46.00,46.25,-2.00,-4.15,"981,770",,
2025-02-12,46.90,48.60,46.80,48.25,1.15,2.44,"732,590",,
2025-02-11,47.35,48.10,46.85,47.10,0.10,0.21,"753,558",,
2025-02-10,45.30,47.55,44.85,47.00,2.00,4.44,"1,043,737",,
2025-02-09,43.45,45.40,43.45,45.00,1.40,3.21,"288,850",,
2025-02-06,44.00,44.00,43.50,43.60,-0.50,-1.13,"215,310",,
2025-02-05,44.20,44.40,43.65,44.10,-0.10,-0.23,"305,600",,
2025-02-04,45.60,46.15,44.00,44.20,-1.85,-4.02,"361,872",,
2025-02-03,45.90,46.05,45.10,46.05,-0.25,-0.54,"236,602",,
2025-02-02,46.20,46.80,45.35,46.30,0.25,0.54,"428,192",,
2025-01-30,45.40,46.80,45.20,46.05,0.65,1.43,"1,709,000",,
2025-01-29,44.35,45.45,43.35,45.40,1.00,2.25,"1,126,721",,
2025-01-28,42.70,44.50,42.70,44.40,1.50,3.50,"581,401",,
2025-01-27,41.65,43.75,41.60,42.90,1.00,2.39,"544,816",,
