0,1,2,3,4,5,6,7,8,9
2025-05-29,29.50,29.95,29.30,29.90,0.55,1.87,"65,517",,
2025-05-28,29.25,29.60,28.95,29.35,0.10,0.34,"43,198",,
2025-05-27,30.30,30.30,28.95,29.25,-0.70,-2.34,"32,384",,
2025-05-26,30.20,30.85,29.25,29.95,-0.25,-0.83,"61,050",,
2025-05-25,30.80,31.00,30.20,30.20,-0.65,-2.11,"16,379",,
2025-05-22,30.30,31.50,30.30,30.85,0.35,1.15,"39,686",,
2025-05-21,31.00,31.20,30.40,30.50,-0.70,-2.24,"51,057",,
2025-05-20,31.15,31.45,30.90,31.20,0.10,0.32,"22,716",,
2025-05-19,31.00,31.60,30.80,31.10,-0.25,-0.80,"44,586",,
2025-05-18,31.45,31.90,31.15,31.35,-0.10,-0.32,"41,328",,
2025-05-15,32.00,32.15,31.35,31.45,-0.70,-2.18,"53,276",,
2025-05-14,32.10,32.25,31.50,32.15,-0.05,-0.16,"48,869",,
2025-05-13,32.50,32.55,32.05,32.20,-0.30,-0.92,"16,978",,
2025-05-12,31.70,32.60,31.70,32.50,0.80,2.52,"33,871",,
2025-05-11,32.10,32.60,31.45,31.70,-0.75,-2.31,"59,578",,
2025-05-08,32.75,33.00,32.20,32.45,-0.30,-0.92,"28,674",,
2025-05-07,33.00,33.15,32.15,32.75,-0.25,-0.76,"78,270",,
2025-05-06,33.30,33.75,33.00,33.00,-0.50,-1.49,"43,790",,
2025-05-05,33.60,33.90,33.25,33.50,-0.05,-0.15,"20,502",,
2025-05-04,33.95,34.05,33.50,33.55,-0.40,-1.18,"34,864",,
2025-05-01,34.00,34.20,33.55,33.95,-0.15,-0.44,"56,262",,
2025-04-30,34.85,35.15,34.00,34.10,-0.80,-2.29,"108,901",,
2025-04-29,35.55,36.00,34.75,34.90,-0.55,-1.55,"206,418",,
2025-04-28,34.35,35.70,34.35,35.45,1.05,3.05,"352,219",,
2025-04-27,33.70,34.50,33.65,34.40,0.75,2.23,"86,038",,
2025-04-24,34.05,34.05,33.55,33.65,-0.40,-1.17,"57,076",,
2025-04-23,33.00,34.10,33.00,34.05,1.15,3.50,"115,048",,
2025-04-22,32.55,33.00,32.30,32.90,0.15,0.46,"17,253",,
2025-04-21,33.00,33.10,32.60,32.75,-0.25,-0.76,"24,166",,
2025-04-20,32.20,33.30,32.20,33.00,0.50,1.54,"46,169",,
2025-04-17,32.70,32.70,32.20,32.50,-0.10,-0.31,"26,220",,
2025-04-16,32.05,32.85,32.00,32.60,0.30,0.93,"55,108",,
2025-04-15,32.70,33.30,32.30,32.30,-0.40,-1.22,"47,063",,
2025-04-14,32.50,32.90,32.05,32.70,0.30,0.93,"41,444",,
2025-04-13,31.75,32.50,31.75,32.40,0.75,2.37,"55,746",,
2025-04-10,31.60,32.10,31.15,31.65,1.20,3.94,"69,940",,
2025-04-09,30.20,31.45,29.95,30.45,-0.40,-1.30,"62,096",,
2025-04-08,32.60,32.60,30.55,30.85,0.10,0.33,"84,141",,
2025-04-07,30.00,31.15,28.25,30.75,0.15,0.49,"135,204",,
2025-04-06,31.90,33.00,30.60,30.60,-3.35,-9.87,"57,785",,
2025-04-03,34.00,34.80,33.70,33.95,-0.75,-2.16,"25,864",,
2025-03-27,34.35,34.90,34.20,34.70,0.35,1.02,"37,862",,
2025-03-26,33.40,34.35,33.40,34.35,0.95,2.84,"34,428",,
