0,1,2,3,4,5,6,7,8,9
2025-05-29,26.55,27.25,26.55,27.00,0.55,2.08,"256,135",,
2025-05-28,25.70,26.60,25.70,26.45,0.80,3.12,"176,698",,
2025-05-27,26.30,26.50,25.65,25.65,-0.75,-2.84,"206,665",,
2025-05-26,27.10,27.10,26.20,26.40,-0.30,-1.12,"218,031",,
2025-05-25,26.80,27.30,26.55,26.70,-0.10,-0.37,"139,836",,
2025-05-22,27.05,27.30,26.70,26.80,-0.40,-1.47,"290,005",,
2025-05-21,27.25,27.60,26.95,27.20,-0.05,-0.18,"367,873",,
2025-05-20,27.40,27.45,27.15,27.25,0.05,0.18,"146,685",,
2025-05-19,27.45,27.50,27.00,27.20,-0.75,-2.68,"226,377",,
2025-05-18,28.55,28.55,27.95,27.95,-0.45,-1.58,"220,777",,
2025-05-15,28.45,28.45,27.65,28.40,0.10,0.35,"247,764",,
2025-05-14,28.30,28.50,28.10,28.30,0.25,0.89,"250,958",,
2025-05-13,28.25,28.50,27.80,28.05,-0.05,-0.18,"413,538",,
2025-05-12,27.20,28.15,27.15,28.10,1.00,3.69,"625,338",,
2025-05-11,27.10,27.30,27.00,27.10,0.15,0.56,"155,234",,
2025-05-08,27.50,27.55,26.55,26.95,-0.50,-1.82,"499,586",,
2025-05-07,29.40,29.40,27.15,27.45,-2.30,-7.73,"2,059,438",,
2025-05-06,29.35,30.50,29.35,29.75,0.45,1.54,"451,734",,
2025-05-05,28.90,29.40,28.70,29.30,0.30,1.03,"187,631",,
2025-05-04,29.60,29.75,29.00,29.00,-0.60,-2.03,"191,473",,
2025-05-01,30.85,30.85,29.55,29.60,-1.10,-3.58,"446,998",,
2025-04-30,30.90,31.55,30.25,30.70,-0.20,-0.65,"1,393,443",,
2025-04-29,30.70,31.00,30.40,30.90,0.35,1.15,"599,284",,
2025-04-28,30.10,30.75,29.90,30.55,0.45,1.50,"397,736",,
2025-04-27,30.25,30.50,29.90,30.10,-0.15,-0.50,"152,801",,
2025-04-24,30.00,30.40,29.90,30.25,0.15,0.50,"202,118",,
2025-04-23,31.00,31.00,29.60,30.10,0.10,0.33,"484,709",,
2025-04-22,29.50,30.30,29.50,30.00,0.05,0.17,"542,709",,
2025-04-21,29.70,30.30,29.45,29.95,0.05,0.17,"446,003",,
2025-04-20,29.30,30.80,28.80,29.90,1.55,5.47,"1,141,752",,
2025-04-17,28.70,28.85,28.00,28.35,-0.50,-1.73,"228,885",,
2025-04-16,29.15,29.15,28.60,28.85,-0.30,-1.03,"150,712",,
2025-04-15,29.30,29.55,28.85,29.15,0.20,0.69,"284,486",,
2025-04-14,28.80,29.65,28.50,28.95,0.20,0.70,"733,691",,
2025-04-13,27.60,28.80,27.60,28.75,1.20,4.36,"231,593",,
2025-04-10,28.35,28.35,27.15,27.55,1.70,6.58,"361,704",,
2025-04-09,26.00,27.00,25.75,25.85,-0.85,-3.18,"520,565",,
2025-04-08,26.50,26.95,25.50,26.70,1.30,5.12,"437,167",,
2025-04-07,25.10,26.70,24.50,25.40,-0.90,-3.42,"987,208",,
2025-04-06,26.20,27.10,26.15,26.30,-2.25,-7.88,"330,575",,
2025-04-03,29.80,30.00,28.50,28.55,-1.25,-4.19,"279,289",,
2025-03-27,29.40,30.00,29.05,29.80,0.45,1.53,"225,093",,
2025-03-26,28.45,29.35,28.40,29.35,0.95,3.35,"143,845",,
2025-03-25,29.00,29.35,28.35,28.40,-0.50,-1.73,"162,385",,
2025-03-24,29.50,29.50,28.80,28.90,-0.45,-1.53,"103,809",,
2025-03-23,28.85,29.45,28.85,29.35,0.35,1.21,"75,248",,
2025-03-20,28.60,29.20,28.45,29.00,0.40,1.40,"290,575",,
2025-03-19,28.80,29.25,28.30,28.60,-0.40,-1.38,"243,063",,
2025-03-18,29.65,29.65,28.85,29.00,-0.65,-2.19,"197,944",,
2025-03-17,29.90,29.90,29.20,29.65,-0.15,-0.50,"216,408",,
2025-03-16,28.85,29.95,28.65,29.80,1.25,4.38,"280,019",,
2025-03-13,28.25,29.20,28.00,28.55,0.15,0.53,"329,058",,
2025-03-12,27.60,29.10,27.40,28.40,0.60,2.16,"401,571",,
2025-03-11,26.50,28.00,25.70,27.80,0.95,3.54,"423,539",,
2025-03-10,28.55,28.75,26.85,26.85,-1.70,-5.95,"808,580",,
2025-03-09,28.85,29.30,28.40,28.55,-0.20,-0.70,"351,714",,
2025-03-06,29.05,29.30,28.40,28.75,-0.40,-1.37,"309,227",,
2025-03-05,28.60,29.60,28.50,29.15,0.20,0.69,"413,544",,
2025-03-04,29.90,30.75,28.45,28.95,-0.85,-2.85,"706,427",,
2025-03-03,29.50,29.90,28.75,29.80,0.90,3.11,"206,268",,
2025-03-02,29.75,30.20,28.60,28.90,-0.85,-2.86,"205,987",,
2025-02-27,30.70,30.90,29.45,29.75,-1.20,-3.88,"276,882",,
2025-02-26,30.85,31.40,30.55,30.95,0.15,0.49,"323,547",,
2025-02-25,31.90,31.90,30.50,30.80,-0.80,-2.53,"446,566",,
2025-02-24,30.95,31.95,30.85,31.60,0.65,2.10,"893,012",,
2025-02-20,31.00,31.50,30.45,30.95,-0.20,-0.64,"435,372",,
2025-02-19,31.05,31.95,30.35,31.15,0.15,0.48,"1,107,363",,
2025-02-18,29.30,31.65,29.30,31.00,1.70,5.80,"2,265,197",,
2025-02-17,28.20,29.55,28.00,29.30,1.10,3.90,"714,558",,
2025-02-16,28.65,28.65,28.15,28.20,-0.30,-1.05,"172,200",,
2025-02-13,28.25,28.70,28.00,28.50,0.15,0.53,"193,296",,
2025-02-12,28.35,28.60,28.10,28.35,0.00,0.00,"196,704",,
2025-02-11,28.70,28.70,28.25,28.35,-0.35,-1.22,"232,546",,
