0,1,2,3,4,5,6,7,8,9
2025-05-29,43.20,43.55,42.95,43.15,0.05,0.12,"67,830",,
2025-05-28,42.90,43.20,42.35,43.10,0.75,1.77,"74,843",,
2025-05-27,44.00,44.00,42.00,42.35,-1.55,-3.53,"132,625",,
2025-05-26,44.00,44.20,43.00,43.90,0.05,0.11,"83,185",,
2025-05-25,44.10,44.55,43.70,43.85,-0.30,-0.68,"49,185",,
2025-05-22,45.00,45.00,44.00,44.15,-0.95,-2.11,"86,502",,
2025-05-21,45.80,45.95,44.95,45.10,-0.60,-1.31,"69,943",,
2025-05-20,45.20,45.85,44.95,45.70,0.55,1.22,"47,039",,
2025-05-19,45.95,45.95,45.05,45.15,-0.80,-1.74,"82,024",,
2025-05-18,46.50,46.65,45.80,45.95,-0.60,-1.29,"119,541",,
2025-05-15,45.90,47.30,45.80,46.55,0.85,1.86,"300,201",,
2025-05-14,45.25,45.85,45.25,45.70,0.45,0.99,"89,062",,
2025-05-13,45.15,45.60,45.00,45.25,0.20,0.44,"93,893",,
2025-05-12,44.45,45.25,44.45,45.05,0.60,1.35,"56,744",,
2025-05-11,45.00,45.20,44.45,44.45,-0.60,-1.33,"36,670",,
2025-05-08,45.25,45.60,44.80,45.05,-0.25,-0.55,"74,214",,
2025-05-07,45.80,46.00,45.25,45.30,-0.50,-1.09,"82,778",,
2025-05-06,46.50,46.95,45.80,45.80,-0.70,-1.51,"59,572",,
2025-05-05,46.00,46.60,45.85,46.50,0.15,0.32,"55,360",,
2025-05-04,46.55,47.00,46.00,46.35,-0.30,-0.64,"46,108",,
2025-05-01,46.90,46.95,46.40,46.65,-0.30,-0.64,"53,736",,
2025-04-30,47.50,47.70,46.75,46.95,-0.55,-1.16,"95,826",,
2025-04-29,47.80,48.25,47.50,47.50,-0.30,-0.63,"81,100",,
2025-04-28,48.50,48.55,47.70,47.80,-0.45,-0.93,"123,766",,
2025-04-27,47.70,48.45,47.45,48.25,0.90,1.90,"200,508",,
2025-04-24,47.20,47.60,47.05,47.35,0.15,0.32,"62,643",,
2025-04-23,47.30,47.80,46.90,47.20,0.35,0.75,"77,338",,
2025-04-22,46.85,47.35,46.40,46.85,-0.35,-0.74,"83,997",,
2025-04-21,48.05,48.05,46.95,47.20,-0.65,-1.36,"65,004",,
2025-04-20,46.90,48.00,46.90,47.85,1.05,2.24,"81,534",,
2025-04-17,47.35,47.45,46.70,46.80,-0.85,-1.78,"98,150",,
2025-04-16,48.50,48.50,47.55,47.65,-0.85,-1.75,"117,058",,
2025-04-15,48.50,49.60,48.30,48.50,0.45,0.94,"283,072",,
2025-04-14,47.00,48.30,46.75,48.05,1.10,2.34,"204,253",,
2025-04-13,45.90,47.00,45.80,46.95,1.45,3.19,"150,456",,
2025-04-10,46.00,46.35,45.15,45.50,1.75,4.00,"206,103",,
2025-04-09,44.30,44.95,43.70,43.75,-1.05,-2.34,"296,404",,
2025-04-08,44.90,45.95,44.50,44.80,1.15,2.63,"189,567",,
2025-04-07,40.05,44.05,39.95,43.65,0.70,1.63,"461,032",,
2025-04-06,43.15,44.70,42.95,42.95,-4.75,-9.96,"382,111",,
2025-04-03,48.90,48.95,47.60,47.70,-1.55,-3.15,"151,837",,
2025-03-27,48.90,49.30,48.60,49.25,0.55,1.13,"121,229",,
2025-03-26,47.95,48.80,47.95,48.70,0.85,1.78,"104,170",,
2025-03-25,48.20,48.40,47.65,47.85,-0.25,-0.52,"102,527",,
2025-03-24,47.50,48.10,47.05,48.10,0.60,1.26,"141,338",,
2025-03-23,48.50,48.50,47.50,47.50,-0.25,-0.52,"216,176",,
2025-03-20,47.90,49.45,47.50,47.75,0.20,0.42,"186,794",,
2025-03-19,48.20,48.35,47.30,47.55,-0.70,-1.45,"81,496",,
