0,1,2,3,4,5,6,7,8,9
2025-05-29,157.00,159.00,155.40,159.00,3.00,1.92,"72,703",,
2025-05-28,153.00,157.20,153.00,156.00,3.00,1.96,"43,299",,
2025-05-27,157.20,158.80,152.40,153.00,-4.20,-2.67,"72,047",,
2025-05-26,154.40,159.00,154.20,157.20,6.60,4.38,"81,459",,
2025-05-25,160.40,164.40,150.60,150.60,-6.40,-4.08,"144,289",,
2025-05-22,158.00,159.40,156.20,157.00,-0.80,-0.51,"71,348",,
2025-05-21,161.00,162.80,156.80,157.80,-3.20,-1.99,"127,811",,
2025-05-20,160.00,163.20,160.00,161.00,1.00,0.63,"93,998",,
2025-05-19,161.80,163.20,159.20,160.00,-3.00,-1.84,"126,207",,
2025-05-18,158.80,163.80,158.80,163.00,3.00,1.88,"86,312",,
2025-05-15,160.00,163.00,159.20,160.00,1.00,0.63,"161,908",,
2025-05-14,154.40,159.80,154.20,159.00,4.80,3.11,"198,731",,
2025-05-13,152.20,154.40,152.20,154.20,0.80,0.52,"75,912",,
2025-05-12,150.00,154.00,150.00,153.40,3.80,2.54,"101,903",,
2025-05-11,149.20,150.20,149.00,149.60,0.40,0.27,"20,578",,
2025-05-08,150.20,151.00,148.20,149.20,-0.80,-0.53,"82,648",,
2025-05-07,150.00,152.00,149.20,150.00,0.00,0.00,"80,506",,
2025-05-06,145.20,151.80,145.20,150.00,3.00,2.04,"132,216",,
2025-05-05,146.80,147.40,143.20,147.00,0.20,0.14,"145,491",,
2025-05-04,145.60,147.60,145.20,146.80,1.20,0.82,"91,943",,
2025-05-01,148.60,148.60,143.80,145.60,-3.60,-2.41,"153,062",,
2025-04-30,153.00,153.00,148.40,149.20,-3.80,-2.48,"234,231",,
2025-04-29,155.20,157.60,151.80,153.00,-0.80,-0.52,"293,741",,
2025-04-28,148.80,154.00,148.80,153.80,5.00,3.36,"177,541",,
2025-04-27,149.80,149.80,147.40,148.80,1.20,0.81,"45,500",,
2025-04-24,148.40,150.00,147.00,147.60,0.40,0.27,"233,623",,
2025-04-23,146.60,149.80,144.60,147.20,2.80,1.94,"183,674",,
2025-04-22,145.20,146.60,143.20,144.40,-3.20,-2.17,"121,069",,
2025-04-21,151.00,151.40,147.00,147.60,-6.00,-3.91,"102,534",,
2025-04-20,155.00,155.00,152.00,153.60,1.60,1.05,"98,160",,
2025-04-17,153.20,155.40,151.20,152.00,-1.20,-0.78,"186,688",,
2025-04-16,157.60,157.60,153.00,153.20,-4.60,-2.92,"86,607",,
2025-04-15,154.00,160.00,153.00,157.80,4.00,2.60,"190,200",,
2025-04-14,159.40,159.40,153.60,153.80,-4.60,-2.90,"221,857",,
2025-04-13,146.20,158.40,146.20,158.40,13.40,9.24,"150,823",,
2025-04-10,146.00,147.00,142.80,145.00,10.60,7.89,"146,520",,
2025-04-09,139.60,143.00,134.40,134.40,-7.60,-5.35,"172,824",,
2025-04-08,137.00,145.00,135.00,142.00,8.80,6.61,"378,326",,
2025-04-07,130.00,136.60,125.60,133.20,-6.20,-4.45,"464,558",,
2025-04-06,147.00,150.00,139.40,139.40,-15.40,-9.95,"142,997",,
2025-04-03,155.00,156.80,152.00,154.80,-1.20,-0.77,"64,130",,
2025-03-27,152.00,157.40,150.00,156.00,5.00,3.31,"212,097",,
2025-03-26,153.00,154.60,149.80,151.00,-2.00,-1.31,"246,452",,
2025-03-25,160.60,160.80,152.20,153.00,-6.60,-4.14,"129,454",,
2025-03-24,162.60,162.60,159.00,159.60,-0.60,-0.37,"117,030",,
2025-03-23,161.00,163.80,160.20,160.20,0.20,0.13,"36,667",,
2025-03-20,164.00,165.20,160.00,160.00,-4.00,-2.44,"121,380",,
2025-03-19,163.40,166.40,161.00,164.00,-3.80,-2.26,"105,610",,
2025-03-18,170.00,172.00,166.00,167.80,-1.20,-0.71,"91,102",,
2025-03-17,163.00,170.00,161.00,169.00,7.20,4.45,"209,660",,
2025-03-16,161.80,164.00,160.00,161.80,0.00,0.00,"89,226",,
2025-03-13,164.00,164.60,160.80,161.80,-2.80,-1.70,"103,797",,
2025-03-12,166.80,168.20,164.00,164.60,-1.80,-1.08,"152,726",,
2025-03-11,166.00,171.00,160.60,166.40,-2.60,-1.54,"321,501",,
2025-03-10,171.60,175.00,167.40,169.00,-2.80,-1.63,"203,825",,
2025-03-09,169.00,172.00,165.20,171.80,2.80,1.66,"92,194",,
2025-03-06,176.60,179.20,168.80,169.00,-9.40,-5.27,"161,455",,
2025-03-05,177.00,180.40,177.00,178.40,1.20,0.68,"91,789",,
2025-03-04,181.60,183.40,176.80,177.20,-4.80,-2.64,"148,124",,
2025-03-03,187.40,187.40,179.20,182.00,-4.00,-2.15,"129,332",,
2025-03-02,185.80,187.00,182.00,186.00,2.40,1.31,"117,358",,
2025-02-27,181.40,185.00,179.00,183.60,2.20,1.21,"147,039",,
2025-02-26,182.00,184.40,179.40,181.40,-0.60,-0.33,"154,133",,
2025-02-25,182.00,184.40,180.60,182.00,2.20,1.22,"152,296",,
2025-02-24,182.00,187.60,179.80,179.80,-2.20,-1.21,"233,378",,
2025-02-20,187.60,188.20,176.00,182.00,-9.20,-4.81,"561,704",,
2025-02-19,186.40,192.40,186.40,191.20,1.60,0.84,"92,977",,
2025-02-18,188.60,191.20,187.60,189.60,0.00,0.00,"54,609",,
2025-02-17,187.60,190.60,187.00,189.60,2.00,1.07,"43,160",,
2025-02-16,192.00,193.00,187.60,187.60,-4.40,-2.29,"56,819",,
2025-02-13,189.00,192.00,187.40,192.00,3.20,1.69,"53,355",,
2025-02-12,190.00,190.00,187.80,188.80,-1.20,-0.63,"71,433",,
2025-02-11,187.80,191.00,187.40,190.00,2.00,1.06,"110,099",,
2025-02-10,188.00,188.40,185.80,188.00,0.00,0.00,"82,188",,
2025-02-09,186.80,189.60,186.60,188.00,1.20,0.64,"109,297",,
2025-02-06,187.60,189.00,186.60,186.80,-0.80,-0.43,"82,654",,
2025-02-05,188.00,190.00,186.80,187.60,-0.40,-0.21,"136,252",,
2025-02-04,187.60,189.00,187.00,188.00,0.40,0.21,"76,899",,
2025-02-03,186.00,190.00,182.60,187.60,1.60,0.86,"262,441",,
2025-02-02,190.40,190.40,185.60,186.00,-2.00,-1.06,"131,197",,
2025-01-30,192.20,194.00,186.80,188.00,-4.00,-2.08,"132,704",,
2025-01-29,192.80,194.00,190.40,192.00,-0.60,-0.31,"88,993",,
2025-01-28,189.20,193.00,187.80,192.60,4.80,2.56,"132,272",,
2025-01-27,189.80,191.80,187.80,187.80,-1.80,-0.95,"219,269",,
2025-01-26,190.00,191.80,188.00,189.60,-0.40,-0.21,"44,319",,
2025-01-23,191.80,191.80,188.00,190.00,-1.80,-0.94,"162,704",,
2025-01-22,191.20,194.40,189.40,191.80,0.20,0.10,"116,701",,
2025-01-21,184.00,191.60,183.00,191.60,8.40,4.59,"225,656",,
2025-01-20,186.60,189.00,182.60,183.20,-3.20,-1.72,"198,805",,
2025-01-19,191.40,192.40,185.40,186.40,-3.00,-1.58,"99,444",,
2025-01-16,190.80,193.80,187.00,189.40,-1.20,-0.63,"164,717",,
2025-01-15,201.60,204.20,190.00,190.60,-11.00,-5.46,"304,926",,
2025-01-14,196.00,202.00,195.20,201.60,5.60,2.86,"113,405",,
2025-01-13,197.20,200.00,195.00,196.00,-4.00,-2.00,"147,198",,
2025-01-12,202.00,204.00,198.00,200.00,-2.00,-0.99,"27,743",,
2025-01-09,198.60,204.00,194.80,202.00,3.40,1.71,"209,378",,
2025-01-08,197.20,207.00,197.20,198.60,-2.20,-1.10,"263,718",,
2025-01-07,195.40,202.60,195.00,200.80,5.40,2.76,"386,681",,
2025-01-06,186.00,199.00,185.00,195.40,9.40,5.05,"305,110",,
2025-01-05,185.80,190.00,184.00,186.00,0.20,0.11,"138,718",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,185.80,190.00,184.00,186.00,0.20,0.11,"138,718",,
