0,1,2,3,4,5,6,7,8,9
2025-05-29,2.24,2.25,2.21,2.23,0.00,0.00,"4,210,314",,
2025-05-28,2.21,2.25,2.21,2.23,0.03,1.36,"3,907,068",,
2025-05-27,2.28,2.28,2.19,2.20,-0.07,-3.08,"6,780,047",,
2025-05-26,2.28,2.31,2.23,2.27,-0.02,-0.87,"8,236,688",,
2025-05-25,2.30,2.31,2.27,2.29,-0.02,-0.87,"4,508,286",,
2025-05-22,2.31,2.35,2.30,2.31,-0.01,-0.43,"6,408,669",,
2025-05-21,2.36,2.37,2.31,2.32,-0.05,-2.11,"6,802,408",,
2025-05-20,2.36,2.39,2.35,2.37,0.00,0.00,"9,810,420",,
2025-05-19,2.38,2.39,2.33,2.37,-0.02,-0.84,"11,572,242",,
2025-05-18,2.45,2.46,2.37,2.39,-0.04,-1.65,"13,633,918",,
2025-05-15,2.48,2.49,2.39,2.43,-0.05,-2.02,"18,624,333",,
2025-05-14,2.38,2.52,2.36,2.48,0.11,4.64,"36,111,684",,
2025-05-13,2.38,2.42,2.28,2.37,0.01,0.42,"27,574,496",,
2025-05-12,2.21,2.40,2.21,2.36,0.17,7.76,"52,521,811",,
2025-05-11,2.24,2.24,2.18,2.19,-0.03,-1.35,"6,481,244",,
2025-05-08,2.23,2.26,2.19,2.22,-0.01,-0.45,"8,257,133",,
2025-05-07,2.29,2.30,2.23,2.23,-0.07,-3.04,"8,444,821",,
2025-05-06,2.28,2.34,2.27,2.30,0.03,1.32,"15,603,509",,
2025-05-05,2.21,2.28,2.20,2.27,0.06,2.71,"11,654,542",,
2025-05-04,2.29,2.30,2.21,2.21,-0.09,-3.91,"7,107,851",,
2025-05-01,2.31,2.33,2.27,2.30,-0.02,-0.86,"7,224,374",,
2025-04-30,2.38,2.38,2.30,2.32,-0.06,-2.52,"10,438,734",,
2025-04-29,2.36,2.42,2.35,2.38,0.03,1.28,"15,878,654",,
2025-04-28,2.39,2.41,2.32,2.35,-0.03,-1.26,"15,622,970",,
2025-04-27,2.39,2.42,2.36,2.38,0.02,0.85,"15,291,623",,
2025-04-24,2.35,2.37,2.31,2.36,0.02,0.85,"11,546,223",,
2025-04-23,2.34,2.38,2.33,2.34,0.02,0.86,"8,533,534",,
2025-04-22,2.34,2.35,2.30,2.32,-0.02,-0.85,"9,689,488",,
2025-04-21,2.43,2.43,2.32,2.34,-0.08,-3.31,"8,496,447",,
2025-04-20,2.38,2.45,2.38,2.42,0.03,1.26,"7,182,147",,
2025-04-17,2.45,2.45,2.37,2.39,-0.07,-2.85,"9,169,901",,
2025-04-16,2.45,2.49,2.40,2.46,0.00,0.00,"12,644,185",,
2025-04-15,2.45,2.53,2.43,2.46,0.03,1.23,"17,285,738",,
2025-04-14,2.38,2.47,2.33,2.43,0.07,2.97,"16,083,369",,
2025-04-13,2.34,2.42,2.31,2.36,0.07,3.06,"14,043,258",,
2025-04-10,2.26,2.31,2.23,2.29,0.13,6.02,"17,003,231",,
2025-04-09,2.27,2.27,2.15,2.16,-0.13,-5.68,"16,806,320",,
2025-04-08,2.27,2.32,2.24,2.29,0.08,3.62,"27,934,786",,
2025-04-07,2.25,2.37,2.21,2.21,-0.24,-9.80,"60,194,001",,
2025-04-06,2.52,2.58,2.45,2.45,-0.27,-9.93,"8,003,607",,
2025-04-03,2.70,2.74,2.65,2.72,-0.08,-2.86,"5,050,433",,
2025-03-27,2.60,2.84,2.58,2.80,0.21,8.11,"10,615,587",,
2025-03-26,2.53,2.59,2.51,2.59,0.06,2.37,"4,082,065",,
2025-03-25,2.59,2.60,2.50,2.53,-0.04,-1.56,"4,121,550",,
2025-03-24,2.58,2.58,2.52,2.57,0.01,0.39,"2,495,123",,
2025-03-23,2.61,2.63,2.53,2.56,-0.05,-1.92,"3,364,286",,
2025-03-20,2.66,2.69,2.60,2.61,-0.04,-1.51,"4,463,463",,
2025-03-19,2.69,2.71,2.59,2.65,-0.04,-1.49,"6,595,081",,
