0,1,2,3,4,5,6,7,8,9
2025-05-29,49.60,50.10,49.10,49.15,-0.35,-0.71,"137,210",,
2025-05-28,47.85,49.75,47.85,49.50,1.50,3.13,"109,136",,
2025-05-27,47.75,48.80,47.35,48.00,0.00,0.00,"145,277",,
2025-05-26,48.85,48.85,47.00,48.00,-0.85,-1.74,"153,917",,
2025-05-25,48.85,49.55,48.35,48.85,-0.70,-1.41,"109,475",,
2025-05-22,49.80,50.00,49.20,49.55,-0.95,-1.88,"136,084",,
2025-05-21,51.60,52.00,50.00,50.50,-1.60,-3.07,"192,806",,
2025-05-20,51.50,52.10,50.80,52.10,0.90,1.76,"128,817",,
2025-05-19,51.90,51.90,50.70,51.20,-0.70,-1.35,"128,613",,
2025-05-18,53.10,53.80,51.80,51.90,-1.00,-1.89,"155,150",,
2025-05-15,51.90,52.90,51.70,52.90,0.60,1.15,"160,441",,
2025-05-14,52.80,53.10,51.20,52.30,0.20,0.38,"223,485",,
2025-05-13,52.90,52.90,51.80,52.10,-0.80,-1.51,"114,444",,
2025-05-12,50.50,53.00,50.50,52.90,2.20,4.34,"252,009",,
2025-05-11,50.70,51.80,49.00,50.70,0.20,0.40,"133,331",,
2025-05-08,53.00,53.50,50.50,50.50,-2.50,-4.72,"236,634",,
2025-05-07,54.70,54.70,52.50,53.00,-1.70,-3.11,"106,984",,
2025-05-06,54.00,55.00,53.60,54.70,1.10,2.05,"179,147",,
2025-05-05,51.00,54.40,50.80,53.60,2.50,4.89,"181,316",,
2025-05-04,52.90,52.90,50.80,51.10,-1.70,-3.22,"119,600",,
2025-05-01,55.10,55.50,52.10,52.80,-2.30,-4.17,"177,267",,
2025-04-30,55.80,56.10,54.40,55.10,-0.90,-1.61,"151,154",,
2025-04-29,55.10,56.10,54.80,56.00,0.90,1.63,"91,014",,
2025-04-28,55.70,55.70,54.50,55.10,-0.40,-0.72,"107,706",,
2025-04-27,56.30,56.70,55.30,55.50,-0.60,-1.07,"95,552",,
2025-04-24,54.90,56.30,54.90,56.10,1.30,2.37,"184,327",,
2025-04-23,55.90,56.70,54.60,54.80,-1.00,-1.79,"288,813",,
2025-04-22,54.00,56.00,53.30,55.80,1.60,2.95,"494,947",,
