0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,6.90,7.16,6.85,7.13,0.23,3.33,"5,319,484",,,,,
2025-05-28,6.74,6.93,6.74,6.90,0.16,2.37,"2,458,834",,,,,
2025-05-27,6.93,7.00,6.71,6.74,-0.18,-2.60,"2,380,473",,,,,
2025-05-26,6.95,6.99,6.82,6.92,-0.03,-0.43,"2,258,140",,,,,
2025-05-25,6.98,7.02,6.95,6.95,-0.01,-0.14,"1,263,590",,,,,
2025-05-22,7.08,7.08,6.92,6.96,-0.12,-1.69,"3,574,072",,,,,
2025-05-21,7.22,7.25,7.07,7.08,-0.15,-2.07,"2,954,977",,,,,
2025-05-20,7.21,7.27,7.17,7.23,0.02,0.28,"1,419,453",,,,,
2025-05-19,7.29,7.30,7.18,7.21,-0.09,-1.23,"2,380,358",,,,,
2025-05-18,7.32,7.39,7.28,7.30,-0.02,-0.27,"1,646,844",,,,,
2025-05-15,7.40,7.40,7.23,7.32,-0.08,-1.08,"2,956,173",,,,,
2025-05-14,7.35,7.54,7.31,7.40,0.09,1.23,"8,765,582",,,,,
2025-05-13,7.23,7.40,7.23,7.31,0.10,1.39,"4,801,084",,,,,
2025-05-12,7.22,7.25,7.17,7.21,0.03,0.42,"4,180,238",,,,,
2025-05-11,7.08,7.22,7.07,7.18,0.12,1.70,"2,113,583",,,,,
2025-05-08,7.17,7.27,7.03,7.06,-0.08,-1.12,"3,837,743",,,,,
2025-05-07,7.20,7.23,7.11,7.14,-0.07,-0.97,"4,421,767",,,,,
2025-05-06,7.32,7.36,7.20,7.21,-0.12,-1.64,"3,909,460",,,,,
2025-05-05,7.42,7.46,7.25,7.33,-0.09,-1.21,"4,806,596",,,,,
2025-05-04,7.32,7.61,7.30,7.42,0.12,1.64,"8,477,404",,,,,
2025-05-01,7.35,7.63,7.25,7.30,0.20,2.82,"28,620,071",,,,,
2025-04-30,7.23,7.28,7.06,7.10,-0.15,-2.07,"5,381,906",,,,,
2025-04-29,7.18,7.25,7.13,7.25,0.05,0.69,"3,995,746",,,,,
2025-04-28,7.32,7.47,7.16,7.20,-0.11,-1.50,"8,957,854",,,,,
2025-04-27,7.01,7.47,7.01,7.31,0.30,4.28,"18,393,686",,,,,
2025-04-24,6.91,7.02,6.91,7.01,0.11,1.59,"4,561,073",,,,,
2025-04-23,7.05,7.10,6.82,6.90,-0.10,-1.43,"6,597,299",,,,,
2025-04-22,6.99,7.05,6.93,7.00,-0.01,-0.14,"4,507,513",,,,,
2025-04-21,7.06,7.06,6.99,7.01,-0.03,-0.43,"2,066,368",,,,,
2025-04-20,6.97,7.11,6.96,7.04,0.05,0.72,"3,452,939",,,,,
2025-04-17,6.99,7.07,6.91,6.99,-0.01,-0.14,"7,448,401",,,,,
2025-04-16,7.01,7.14,6.96,7.00,-0.01,-0.14,"9,308,174",,,,,
2025-04-15,7.20,7.22,6.89,7.01,0.04,0.57,"13,094,078",,,,,
2025-04-14,6.60,6.97,6.56,6.97,0.63,9.94,"24,225,526",,,,,
2025-04-13,5.91,6.34,5.89,6.34,0.57,9.88,"8,737,095",,,,,
2025-04-10,5.70,5.77,5.59,5.77,0.52,9.90,"8,763,900",,,,,
2025-04-09,5.56,5.56,5.23,5.25,-0.31,-5.58,"6,393,176",,,,,
2025-04-08,5.55,5.67,5.45,5.56,0.17,3.15,"7,421,615",,,,,
2025-04-07,4.90,5.39,4.89,5.39,0.02,0.37,"11,286,599",,,,,
2025-04-06,5.61,5.65,5.37,5.37,-0.59,-9.90,"4,793,265",,,,,
2025-04-03,6.05,6.05,5.89,5.96,-0.10,-1.65,"4,043,984",,,,,
2025-03-27,5.98,6.09,5.96,6.06,0.12,2.02,"3,359,614",,,,,
2025-03-26,5.86,5.99,5.82,5.94,0.09,1.54,"4,516,243",,,,,
2025-03-25,6.01,6.05,5.85,5.85,-0.15,-2.50,"4,157,765",,,,,
2025-03-24,6.14,6.17,5.96,6.00,-0.13,-2.12,"3,309,193",,,,,
2025-03-23,5.93,6.20,5.85,6.13,0.15,2.51,"4,249,737",,,,,
2025-03-20,6.00,6.06,5.93,5.98,-0.01,-0.17,"5,391,926",,,,,
2025-03-19,6.19,6.20,5.96,5.99,-0.18,-2.92,"6,362,162",,,,,
2025-03-18,6.20,6.23,6.13,6.17,0.00,0.00,"3,670,641",,,,,
2025-03-17,6.37,6.37,6.14,6.17,-0.14,-2.22,"6,175,643",,,,,
2025-03-16,6.20,6.35,6.13,6.31,0.16,2.60,"3,790,290",,,,,
2025-03-13,6.27,6.27,6.10,6.15,-0.11,-1.76,"5,574,351",,,,,
2025-03-12,6.12,6.31,6.06,6.26,0.14,2.29,"5,144,818",,,,,
2025-03-11,6.05,6.15,5.90,6.12,0.06,0.99,"7,887,890",,,,,
2025-03-10,6.19,6.28,6.00,6.06,-0.07,-1.14,"7,161,515",,,,,
2025-03-09,6.36,6.39,5.99,6.13,-0.19,-3.01,"5,646,937",,,,,
2025-03-06,6.48,6.50,6.19,6.32,-0.13,-2.02,"6,993,806",,,,,
2025-03-05,6.80,6.81,6.45,6.45,-0.34,-5.01,"5,751,715",,,,,
2025-03-04,6.90,7.09,6.50,6.79,-0.13,-1.88,"15,482,412",,,,,
2025-03-03,7.02,7.05,6.90,6.92,-0.09,-1.28,"3,893,572",,,,,
2025-03-02,6.95,7.22,6.92,7.01,0.06,0.86,"4,212,137",,,,,
2025-02-27,7.05,7.08,6.93,6.95,-0.10,-1.42,"3,070,136",,,,,
2025-02-26,7.10,7.15,7.04,7.05,-0.02,-0.28,"2,216,632",,,,,
2025-02-25,7.16,7.21,6.97,7.07,-0.13,-1.81,"4,915,324",,,,,
2025-02-24,7.25,7.26,7.12,7.20,-0.05,-0.69,"3,969,330",,,,,
2025-02-20,7.35,7.35,7.18,7.25,-0.10,-1.36,"4,750,622",,,,,
2025-02-19,6.87,7.38,6.87,7.35,0.49,7.14,"15,466,983",,,,,
2025-02-18,7.02,7.03,6.82,6.86,-0.14,-2.00,"5,984,414",,,,,
2025-02-17,7.15,7.15,6.98,7.00,-0.14,-1.96,"5,954,292",,,,,
2025-02-16,7.31,7.39,7.14,7.14,-0.17,-2.33,"5,066,519",,,,,
2025-02-13,7.31,7.33,7.22,7.31,0.01,0.14,"2,105,625",,,,,
2025-02-12,7.47,7.47,7.23,7.30,-0.17,-2.28,"4,143,895",,,,,
2025-02-11,7.23,7.47,7.22,7.47,0.21,2.89,"8,766,610",,,,,
2025-02-10,7.25,7.26,7.18,7.26,0.01,0.14,"2,064,193",,,,,
2025-02-09,7.16,7.26,7.13,7.25,0.09,1.26,"2,399,789",,,,,
2025-02-06,7.27,7.28,7.10,7.16,-0.10,-1.38,"3,997,424",,,,,
2025-02-05,7.06,7.30,7.06,7.26,0.21,2.98,"7,390,795",,,,,
2025-02-04,7.10,7.16,7.00,7.05,-0.05,-0.70,"5,537,150",,,,,
2025-02-03,7.26,7.26,7.09,7.10,-0.16,-2.20,"4,730,423",,,,,
2025-02-02,7.30,7.35,7.26,7.26,-0.04,-0.55,"1,744,568",,,,,
2025-01-30,7.21,7.32,7.20,7.30,0.10,1.39,"2,959,606",,,,,
2025-01-29,7.34,7.36,7.16,7.20,-0.14,-1.91,"6,341,863",,,,,
2025-01-28,7.32,7.40,7.27,7.34,0.02,0.27,"2,651,596",,,,,
2025-01-27,7.41,7.42,7.30,7.32,-0.08,-1.08,"3,261,360",,,,,
2025-01-26,7.40,7.44,7.39,7.40,0.02,0.27,"1,505,677",,,,,
2025-01-23,7.50,7.52,7.36,7.38,-0.12,-1.60,"4,276,445",,,,,
2025-01-22,7.47,7.53,7.46,7.50,0.05,0.67,"2,854,714",,,,,
2025-01-21,7.53,7.54,7.45,7.45,-0.07,-0.93,"2,706,471",,,,,
2025-01-20,7.43,7.54,7.43,7.52,0.07,0.94,"4,216,462",,,,,
2025-01-19,7.47,7.51,7.41,7.45,0.06,0.81,"3,002,482",,,,,
2025-01-16,7.50,7.50,7.38,7.39,-0.10,-1.34,"3,133,078",,,,,
2025-01-15,7.41,7.49,7.39,7.49,0.08,1.08,"2,868,991",,,,,
2025-01-14,7.41,7.51,7.36,7.41,0.05,0.68,"3,497,344",,,,,
2025-01-13,7.49,7.62,7.35,7.36,-0.11,-1.47,"4,751,769",,,,,
2025-01-12,7.33,7.49,7.33,7.47,0.15,2.05,"2,032,473",,,,,
2025-01-09,7.49,7.52,7.26,7.32,-0.16,-2.14,"6,007,024",,,,,
2025-01-08,7.54,7.72,7.48,7.48,-0.06,-0.80,"7,755,056",,,,,
2025-01-07,7.32,7.55,7.24,7.54,0.22,3.01,"6,232,359",,,,,
2025-01-06,7.42,7.50,7.32,7.32,-0.09,-1.21,"5,921,658",,,,,
2025-01-05,7.33,7.54,7.25,7.41,0.09,1.23,"6,974,697",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-01-05,42.45,43.00,42.20,42.65,0.20,0.47,"120,201",,,,,
2025-01-02,42.50,43.15,42.20,42.45,-0.55,-1.28,"145,976",,,,,
2025-01-01,43.85,43.85,42.40,43.00,-0.40,-0.92,"204,053",,,,,
2024-12-31,43.50,43.85,43.05,43.40,-0.50,-1.14,"428,453",,,,,
2024-12-30,41.50,44.00,40.90,43.90,2.55,6.17,"741,792",,,,,
2024-12-29,40.95,41.55,40.65,41.35,0.55,1.35,"148,729",,,,,
2024-12-26,41.20,41.35,40.50,40.80,-0.35,-0.85,"185,143",,,,,
2024-12-25,41.25,41.90,40.70,41.15,-0.10,-0.24,"200,807",,,,,
2024-12-24,43.10,44.00,41.25,41.25,-1.85,-4.29,"630,366",,,,,
2024-12-23,42.60,43.30,42.20,43.10,0.85,2.01,"465,352",,,,,
2024-12-22,41.90,42.95,41.55,42.25,0.35,0.84,"436,347",,,,,
2024-12-19,39.65,42.60,39.45,41.90,2.05,5.14,"983,304",,,,,
2024-12-18,39.85,40.80,39.30,39.85,-0.25,-0.62,"366,662",,,,,
2024-12-17,40.35,40.70,39.75,40.10,-0.20,-0.50,"218,878",,,,,
2024-12-16,40.55,40.55,39.90,40.30,-0.25,-0.62,"182,854",,,,,
2024-12-15,40.45,41.40,40.25,40.55,0.15,0.37,"234,410",,,,,
2024-12-12,39.80,40.80,39.00,40.40,1.10,2.80,"496,658",,,,,
2024-12-11,40.55,40.55,39.30,39.30,-1.00,-2.48,"500,493",,,,,
2024-12-10,40.60,42.00,40.15,40.30,-0.30,-0.74,"566,213",,,,,
2024-12-09,39.65,40.95,39.45,40.60,0.95,2.40,"635,332",,,,,
2024-12-08,39.30,39.75,39.00,39.65,0.65,1.67,"263,860",,,,,
2024-12-05,38.70,39.50,38.45,39.00,0.30,0.78,"521,978",,,,,
2024-12-04,40.40,40.50,38.70,38.70,-1.70,-4.21,"523,402",,,,,
2024-12-03,39.85,40.40,39.55,40.40,0.55,1.38,"809,945",,,,,
2024-12-02,38.70,39.90,38.70,39.85,1.15,2.97,"518,940",,,,,
2024-12-01,38.20,39.15,38.00,38.70,0.55,1.44,"294,728",,,,,
2024-11-28,37.60,38.35,37.50,38.15,0.55,1.46,"232,336",,,,,
2024-11-27,38.50,38.60,37.50,37.60,-0.90,-2.34,"353,366",,,,,
2024-11-26,37.20,39.15,37.10,38.50,1.30,3.49,"801,960",,,,,
2024-11-25,37.85,38.00,37.20,37.20,-0.40,-1.06,"253,515",,,,,
2024-11-24,37.55,38.30,37.45,37.60,0.05,0.13,"446,741",,,,,
2024-11-21,37.60,37.75,37.20,37.55,-0.10,-0.27,"176,322",,,,,
2024-11-20,37.40,37.75,37.30,37.65,0.15,0.40,"145,166",,,,,
2024-11-19,37.45,37.85,37.10,37.50,0.20,0.54,"119,634",,,,,
2024-11-18,37.50,38.20,37.10,37.30,-0.20,-0.53,"545,208",,,,,
2024-11-17,36.80,37.55,36.70,37.50,0.55,1.49,"159,089",,,,,
2024-11-14,37.20,37.35,36.60,36.95,-0.35,-0.94,"214,617",,,,,
2024-11-13,36.10,38.40,35.85,37.30,1.20,3.32,"786,404",,,,,
2024-11-12,37.15,37.40,36.00,36.10,-1.00,-2.70,"458,981",,,,,
2024-11-11,39.25,39.80,36.70,37.10,-0.90,-2.37,"1,210,006",,,,,
2024-11-10,39.00,39.20,37.80,38.00,-1.20,-3.06,"429,550",,,,,
2024-11-07,39.80,40.00,38.95,39.20,-0.55,-1.38,"173,591",,,,,
2024-11-06,39.80,39.95,39.05,39.75,0.30,0.76,"187,907",,,,,
2024-11-05,38.95,39.90,38.50,39.45,0.50,1.28,"399,357",,,,,
2024-11-04,39.30,39.30,38.15,38.95,-0.15,-0.38,"264,556",,,,,
2024-11-03,39.30,40.00,38.75,39.10,-0.15,-0.38,"420,592",,,,,
2024-10-31,40.45,40.45,38.90,39.25,-0.65,-1.63,"485,363",,,,,
2024-10-30,40.00,40.50,39.85,39.90,-0.30,-0.75,"356,365",,,,,
2024-10-29,40.80,40.90,39.80,40.20,-0.60,-1.47,"179,757",,,,,
2024-10-28,41.20,41.30,40.55,40.80,-0.25,-0.61,"147,314",,,,,
2024-10-27,39.80,41.30,39.80,41.05,1.50,3.79,"375,030",,,,,
2024-10-24,40.10,40.40,39.10,39.55,-0.55,-1.37,"231,932",,,,,
2024-10-23,40.65,40.65,39.90,40.10,-0.10,-0.25,"206,875",,,,,
2024-10-22,40.20,41.05,39.85,40.20,-0.20,-0.50,"288,411",,,,,
2024-10-21,41.40,41.40,40.20,40.40,-0.50,-1.22,"273,650",,,,,
2024-10-20,41.20,41.55,40.05,40.90,-0.25,-0.61,"221,889",,,,,
2024-10-17,42.00,42.65,40.80,41.15,-1.30,-3.06,"370,803",,,,,
2024-10-16,42.90,43.00,42.00,42.45,0.05,0.12,"245,588",,,,,
2024-10-15,43.50,43.50,42.25,42.40,-0.75,-1.74,"445,532",,,,,
2024-10-14,40.60,43.30,40.60,43.15,2.55,6.28,"1,211,402",,,,,
2024-10-13,40.15,40.85,40.00,40.60,0.80,2.01,"265,320",,,,,
2024-10-10,40.10,40.65,39.80,39.80,-0.30,-0.75,"161,326",,,,,
2024-10-09,40.95,41.35,39.85,40.10,-0.80,-1.96,"375,763",,,,,
2024-10-08,40.20,41.10,39.55,40.90,1.20,3.02,"419,255",,,,,
2024-10-07,39.25,40.40,38.55,39.70,0.45,1.15,"467,078",,,,,
2024-10-06,38.80,40.75,37.10,39.25,0.35,0.90,"630,296",,,,,
2024-10-03,39.90,40.85,38.80,38.90,-1.00,-2.51,"464,616",,,,,
2024-10-02,41.50,41.50,39.70,39.90,-1.60,-3.86,"827,019",,,,,
2024-10-01,38.40,41.90,38.40,41.50,3.00,7.79,"1,583,726",,,,,
2024-09-30,38.60,38.95,38.40,38.50,-0.05,-0.13,"255,162",,,,,
2024-09-29,38.45,39.10,38.05,38.55,0.15,0.39,"358,040",,,,,
2024-09-26,38.55,38.80,38.10,38.40,0.05,0.13,"320,557",,,,,
2024-09-25,38.50,38.70,37.90,38.35,-0.20,-0.52,"377,342",,,,,
2024-09-24,38.60,39.10,38.35,38.55,0.00,0.00,"312,312",,,,,
2024-09-22,39.50,39.70,38.50,38.55,-0.65,-1.66,"479,928",,,,,
2024-09-19,39.30,39.35,38.70,39.20,0.05,0.13,"276,758",,,,,
2024-09-18,38.80,39.70,38.35,39.15,0.35,0.90,"536,862",,,,,
2024-09-17,37.90,39.25,37.65,38.80,0.55,1.44,"594,988",,,,,
2024-09-16,39.30,39.30,37.10,38.25,-1.05,-2.67,"1,073,718",,,,,
2024-09-15,39.80,40.00,38.75,39.30,-0.80,-2.00,"580,241",,,,,
2024-09-12,40.20,41.20,39.55,40.10,-0.10,-0.25,"1,432,400",,,,,
2024-09-11,39.85,41.90,38.70,40.20,2.00,5.24,"3,581,470",,,,,
2024-09-10,38.50,38.75,38.20,38.20,-0.15,-0.39,"198,933",,,,,
2024-09-09,38.95,39.10,37.70,38.35,-0.20,-0.52,"264,050",,,,,
2024-09-08,37.50,38.90,36.90,38.55,0.55,1.45,"482,693",,,,,
2024-09-05,39.05,39.60,37.50,38.00,-1.00,-2.56,"636,089",,,,,
2024-09-04,38.30,39.90,37.00,39.00,0.70,1.83,"1,384,246",,,,,
2024-09-03,37.00,38.90,36.85,38.30,1.30,3.51,"1,437,154",,,,,
