0,1,2,3,4,5,6,7,8,9
2025-05-29,66.00,67.70,65.60,67.20,1.20,1.82,"35,617",,
2025-05-28,67.30,68.00,66.00,66.00,-0.60,-0.90,"64,602",,
2025-05-27,69.00,69.50,66.50,66.60,-2.30,-3.34,"106,595",,
2025-05-26,72.90,73.40,68.80,68.90,-3.10,-4.31,"197,800",,
2025-05-25,69.20,75.90,69.20,72.00,3.00,4.35,"429,401",,
2025-05-22,70.70,70.80,69.00,69.00,-1.90,-2.68,"25,124",,
2025-05-21,69.30,71.50,69.00,70.90,0.90,1.29,"76,004",,
2025-05-20,67.50,71.60,67.50,70.00,2.60,3.86,"121,547",,
2025-05-19,68.70,69.30,66.50,67.40,-1.10,-1.61,"31,753",,
2025-05-18,69.50,70.50,68.50,68.50,-1.00,-1.44,"19,109",,
2025-05-15,70.60,70.60,68.80,69.50,-1.10,-1.56,"29,004",,
2025-05-14,71.00,71.30,70.30,70.60,0.00,0.00,"16,512",,
2025-05-13,70.90,71.70,70.00,70.60,-0.30,-0.42,"23,914",,
2025-05-12,69.90,72.30,69.90,70.90,1.10,1.58,"48,836",,
2025-05-11,69.20,70.20,66.00,69.80,-0.90,-1.27,"68,058",,
2025-05-08,72.20,73.00,70.00,70.70,-1.60,-2.21,"48,010",,
2025-05-07,73.80,73.80,72.00,72.30,-1.60,-2.17,"28,290",,
2025-05-06,74.50,74.90,73.80,73.90,-0.60,-0.81,"13,734",,
2025-05-05,74.10,75.00,72.40,74.50,0.30,0.40,"19,084",,
2025-05-04,75.70,76.40,74.00,74.20,-1.80,-2.37,"24,667",,
2025-05-01,77.10,77.40,75.20,76.00,-1.00,-1.30,"26,016",,
2025-04-30,77.70,78.10,76.50,77.00,-0.70,-0.90,"32,852",,
2025-04-29,78.00,78.90,77.30,77.70,-0.30,-0.38,"45,056",,
2025-04-28,79.10,79.40,77.80,78.00,-1.50,-1.89,"51,370",,
2025-04-27,80.00,80.30,79.20,79.50,-0.50,-0.63,"27,906",,
2025-04-24,81.50,81.50,79.60,80.00,-0.50,-0.62,"47,933",,
