0,1,2,3,4,5,6,7,8,9
2025-05-29,136.60,140.60,135.80,139.00,3.60,2.66,"247,141",,
2025-05-28,135.80,138.00,135.00,135.40,1.00,0.74,"155,890",,
2025-05-27,138.00,139.00,133.20,134.40,-3.60,-2.61,"190,060",,
2025-05-26,133.00,139.80,131.80,138.00,4.00,2.99,"405,521",,
2025-05-25,136.00,136.00,133.40,134.00,-2.00,-1.47,"92,113",,
2025-05-22,136.20,137.60,133.00,136.00,0.00,0.00,"285,318",,
2025-05-21,135.00,139.00,134.40,136.00,1.00,0.74,"269,736",,
2025-05-20,133.40,136.00,133.40,135.00,0.00,0.00,"305,338",,
2025-05-19,133.00,137.00,133.00,135.00,-0.80,-0.59,"167,609",,
2025-05-18,139.80,139.80,135.00,135.80,-2.00,-1.45,"118,820",,
2025-05-15,139.60,142.20,137.20,137.80,-1.80,-1.29,"240,741",,
2025-05-14,133.80,140.00,132.80,139.60,8.20,6.24,"790,288",,
2025-05-13,128.00,134.40,128.00,131.40,2.80,2.18,"525,113",,
2025-05-12,125.20,129.20,125.00,128.60,3.60,2.88,"158,407",,
2025-05-11,127.80,128.80,124.60,125.00,-2.60,-2.04,"103,976",,
2025-05-08,127.00,128.60,125.20,127.60,0.60,0.47,"187,866",,
2025-05-07,129.00,131.00,125.80,127.00,1.20,0.95,"362,561",,
2025-05-06,123.20,126.80,123.20,125.80,1.20,0.96,"79,825",,
2025-05-05,123.00,125.60,121.00,124.60,1.60,1.30,"152,572",,
2025-05-04,128.00,128.00,122.60,123.00,-3.00,-2.38,"94,241",,
2025-05-01,126.60,126.60,124.20,126.00,-1.20,-0.94,"73,972",,
2025-04-30,129.40,129.40,125.00,127.20,-2.20,-1.70,"179,751",,
2025-04-29,129.20,131.00,128.00,129.40,-0.80,-0.61,"178,378",,
2025-04-28,124.00,132.20,123.80,130.20,6.20,5.00,"526,005",,
2025-04-27,122.40,124.20,122.40,124.00,1.80,1.47,"75,611",,
2025-04-24,123.60,123.80,121.60,122.20,-1.40,-1.13,"298,562",,
2025-04-23,125.40,125.80,122.60,123.60,0.20,0.16,"169,546",,
2025-04-22,126.40,127.20,123.40,123.40,-2.60,-2.06,"152,219",,
2025-04-21,132.20,132.80,126.00,126.00,-5.60,-4.26,"229,009",,
2025-04-20,127.20,132.00,127.20,131.60,3.00,2.33,"180,515",,
2025-04-17,127.00,129.20,126.00,128.60,1.40,1.10,"162,925",,
2025-04-16,129.20,130.40,127.20,127.20,-2.60,-2.00,"140,080",,
2025-04-15,131.40,132.40,129.00,129.80,-1.20,-0.92,"206,836",,
2025-04-14,130.00,135.60,127.20,131.00,2.20,1.71,"654,722",,
2025-04-13,123.20,130.80,123.20,128.80,6.80,5.57,"359,376",,
2025-04-10,122.00,124.00,120.80,122.00,6.00,5.17,"292,679",,
2025-04-09,115.20,120.00,114.60,116.00,-1.20,-1.02,"274,771",,
2025-04-08,117.00,120.20,114.60,117.20,3.60,3.17,"371,098",,
2025-04-07,114.00,115.00,105.40,113.60,-2.00,-1.73,"709,805",,
2025-04-06,116.00,122.20,115.60,115.60,-12.80,-9.97,"360,007",,
2025-04-03,125.00,128.80,124.20,128.40,1.40,1.10,"229,030",,
2025-03-27,129.00,129.80,127.00,127.00,-1.20,-0.94,"107,216",,
2025-03-26,127.00,129.80,127.00,128.20,-0.60,-0.47,"144,795",,
2025-03-25,131.00,132.40,126.00,128.80,-1.40,-1.08,"144,908",,
2025-03-24,128.80,130.60,127.40,130.20,2.20,1.72,"136,957",,
2025-03-23,127.00,130.60,127.00,128.00,1.00,0.79,"42,260",,
2025-03-20,127.20,129.80,126.60,127.00,-0.40,-0.31,"247,995",,
2025-03-19,130.00,131.80,127.20,127.40,-2.40,-1.85,"193,248",,
2025-03-18,133.20,133.80,129.20,129.80,-3.20,-2.41,"185,024",,
2025-03-17,134.00,135.40,132.40,133.00,-1.00,-0.75,"145,085",,
2025-03-16,132.60,136.00,131.20,134.00,0.00,0.00,"164,907",,
2025-03-13,133.40,137.20,129.80,134.00,-1.80,-1.33,"319,413",,
2025-03-12,132.00,138.00,128.80,135.80,6.00,4.62,"555,676",,
2025-03-11,120.00,129.80,116.60,129.80,11.80,10.00,"985,854",,
2025-03-10,127.80,127.80,118.00,118.00,-9.80,-7.67,"401,629",,
2025-03-09,127.80,128.80,121.00,127.80,-0.20,-0.16,"259,935",,
2025-03-06,128.20,132.80,123.60,128.00,-1.40,-1.08,"313,270",,
2025-03-05,133.60,135.80,122.00,129.40,-5.80,-4.29,"640,887",,
2025-03-04,141.60,141.60,132.20,135.20,-4.20,-3.01,"460,455",,
2025-03-03,139.60,142.20,137.40,139.40,-1.40,-0.99,"162,354",,
2025-03-02,144.00,144.80,139.60,140.80,-3.20,-2.22,"90,932",,
2025-02-27,147.60,149.00,142.20,144.00,-4.40,-2.96,"158,380",,
2025-02-26,147.40,151.40,147.00,148.40,0.80,0.54,"119,997",,
2025-02-25,148.00,148.80,145.40,147.60,-1.80,-1.20,"147,567",,
2025-02-24,146.60,150.00,145.60,149.40,1.00,0.67,"135,371",,
2025-02-20,148.00,150.20,145.00,148.40,-0.20,-0.13,"166,658",,
2025-02-19,145.80,151.60,142.60,148.60,2.00,1.36,"266,189",,
2025-02-18,148.00,151.20,146.60,146.60,-1.00,-0.68,"318,121",,
2025-02-17,144.20,148.80,141.00,147.60,3.40,2.36,"264,918",,
2025-02-16,145.00,145.40,144.00,144.20,-0.80,-0.55,"24,850",,
2025-02-13,144.20,145.40,143.00,145.00,0.80,0.55,"90,272",,
2025-02-12,146.00,147.40,143.40,144.20,-1.80,-1.23,"104,645",,
2025-02-11,142.80,147.40,142.80,146.00,2.00,1.39,"231,260",,
2025-02-10,145.60,145.60,142.20,144.00,-1.80,-1.23,"117,111",,
2025-02-09,145.60,147.00,143.00,145.80,0.00,0.00,"142,057",,
2025-02-06,144.80,147.00,143.20,145.80,1.00,0.69,"351,993",,
2025-02-05,142.80,145.60,142.20,144.80,2.00,1.40,"267,280",,
2025-02-04,142.00,142.80,140.40,142.80,0.40,0.28,"132,500",,
2025-02-03,140.80,145.00,140.00,142.40,1.40,0.99,"294,268",,
2025-02-02,140.80,143.00,140.80,141.00,-0.80,-0.56,"57,369",,
2025-01-30,139.60,141.80,139.00,141.80,2.00,1.43,"82,829",,
2025-01-29,141.20,142.60,139.00,139.80,-1.40,-0.99,"152,694",,
2025-01-28,141.20,143.20,141.00,141.20,0.00,0.00,"210,528",,
2025-01-27,145.80,146.60,141.00,141.20,-5.40,-3.68,"263,255",,
2025-01-26,143.00,146.60,143.00,146.60,2.60,1.81,"113,518",,
2025-01-23,147.00,148.20,142.40,144.00,-2.80,-1.91,"281,566",,
2025-01-22,144.00,146.80,142.60,146.80,3.00,2.09,"348,513",,
2025-01-21,141.80,144.00,140.60,143.80,2.00,1.41,"314,903",,
2025-01-20,145.80,145.80,140.60,141.80,-3.40,-2.34,"330,600",,
2025-01-19,142.00,145.40,141.80,145.20,3.40,2.40,"197,800",,
2025-01-16,148.00,148.00,141.80,141.80,-4.20,-2.88,"278,821",,
