0,1,2,3,4,5,6,7,8,9
2025-05-29,21.90,21.90,21.52,21.66,0.06,0.28,"277,673",,
2025-05-28,21.50,21.86,21.50,21.60,0.18,0.84,"271,970",,
2025-05-27,22.10,22.24,21.36,21.42,-0.72,-3.25,"595,516",,
2025-05-26,22.66,22.90,21.92,22.14,-0.50,-2.21,"657,958",,
2025-05-25,22.84,23.26,22.64,22.64,-0.18,-0.79,"513,069",,
2025-05-22,23.60,23.70,22.82,22.82,-0.80,-3.39,"865,488",,
2025-05-21,23.96,24.58,23.62,23.62,-0.28,-1.17,"2,313,252",,
2025-05-20,23.22,23.98,23.22,23.90,0.70,3.02,"1,507,547",,
2025-05-19,22.98,23.84,22.80,23.20,0.26,1.13,"1,585,712",,
2025-05-18,22.70,23.14,22.62,22.94,0.20,0.88,"594,974",,
2025-05-15,23.12,23.14,22.68,22.74,-0.42,-1.81,"383,514",,
2025-05-14,22.14,23.24,22.14,23.16,1.08,4.89,"1,251,549",,
2025-05-13,22.46,22.46,21.90,22.08,-0.36,-1.60,"595,612",,
2025-05-12,21.80,22.46,21.80,22.44,0.64,2.94,"453,064",,
2025-05-11,22.30,22.46,21.78,21.80,-0.42,-1.89,"256,127",,
2025-05-08,22.40,22.60,22.20,22.22,-0.28,-1.24,"252,220",,
2025-05-07,22.70,22.78,22.40,22.50,-0.30,-1.32,"303,815",,
2025-05-06,22.80,23.30,22.76,22.80,0.00,0.00,"581,122",,
2025-05-05,22.42,22.90,22.24,22.80,0.40,1.79,"344,748",,
2025-05-04,23.04,23.16,22.40,22.40,-0.60,-2.61,"258,222",,
2025-05-01,23.18,23.18,22.84,23.00,-0.18,-0.78,"325,090",,
2025-04-30,23.44,23.50,23.02,23.18,-0.36,-1.53,"448,779",,
2025-04-29,23.48,24.00,23.36,23.54,0.06,0.26,"1,160,916",,
2025-04-28,23.60,23.70,23.26,23.48,0.12,0.51,"543,045",,
2025-04-27,23.28,23.78,23.22,23.36,0.26,1.13,"717,726",,
2025-04-24,23.10,23.28,22.94,23.10,0.08,0.35,"428,439",,
2025-04-23,23.14,23.42,22.90,23.02,0.06,0.26,"571,157",,
2025-04-22,23.02,23.42,22.82,22.96,-0.14,-0.61,"482,391",,
2025-04-21,23.80,23.80,23.10,23.10,-0.44,-1.87,"376,036",,
2025-04-20,23.40,23.62,23.20,23.54,0.40,1.73,"292,079",,
2025-04-17,23.70,23.72,23.14,23.14,-0.52,-2.20,"410,492",,
2025-04-16,23.60,23.96,23.52,23.66,0.10,0.42,"597,088",,
2025-04-15,23.84,24.08,23.50,23.56,-0.14,-0.59,"1,042,568",,
2025-04-14,23.00,23.70,22.82,23.70,0.88,3.86,"1,059,988",,
2025-04-13,22.30,23.00,22.30,22.82,0.72,3.26,"774,536",,
2025-04-10,22.88,22.88,21.90,22.10,1.10,5.24,"947,638",,
2025-04-09,21.80,21.82,20.84,21.00,-0.82,-3.76,"723,918",,
2025-04-08,22.00,22.20,21.54,21.82,0.84,4.00,"1,043,721",,
2025-04-07,20.02,21.38,19.58,20.98,-0.50,-2.33,"1,333,588",,
2025-04-06,21.60,22.44,21.48,21.48,-2.38,-9.97,"938,820",,
2025-04-03,24.16,24.36,23.78,23.86,-0.64,-2.61,"773,446",,
2025-03-27,24.60,24.68,24.14,24.50,0.08,0.33,"656,894",,
2025-03-26,23.86,24.42,23.76,24.42,0.72,3.04,"554,740",,
2025-03-25,23.86,24.00,23.58,23.70,-0.14,-0.59,"246,249",,
2025-03-24,23.68,23.84,23.46,23.84,0.16,0.68,"220,798",,
2025-03-23,23.94,24.08,23.66,23.68,-0.26,-1.09,"260,904",,
2025-03-20,24.06,24.20,23.82,23.94,-0.06,-0.25,"386,134",,
2025-03-19,23.92,24.00,23.50,24.00,0.10,0.42,"271,771",,
2025-03-18,24.36,24.36,23.72,23.90,-0.44,-1.81,"626,554",,
2025-03-17,24.80,25.00,24.30,24.34,-0.34,-1.38,"588,861",,
2025-03-16,24.40,24.78,24.22,24.68,0.38,1.56,"489,643",,
2025-03-13,24.48,24.88,24.12,24.30,0.00,0.00,"671,027",,
2025-03-12,24.18,24.42,23.94,24.30,0.28,1.17,"585,579",,
2025-03-11,22.62,24.10,22.60,24.02,0.30,1.26,"900,828",,
2025-03-10,24.02,24.16,23.72,23.72,-0.28,-1.17,"765,744",,
2025-03-09,24.36,24.50,23.48,24.00,-0.30,-1.23,"750,748",,
2025-03-06,24.22,24.56,24.14,24.30,0.10,0.41,"1,205,798",,
2025-03-05,24.20,24.68,24.12,24.20,0.00,0.00,"760,324",,
2025-03-04,24.90,24.90,24.14,24.20,-0.76,-3.04,"1,056,901",,
2025-03-03,24.90,25.30,24.56,24.96,0.14,0.56,"709,569",,
2025-03-02,25.20,25.45,24.50,24.82,-0.43,-1.70,"459,677",,
2025-02-27,25.85,26.10,25.15,25.25,-0.60,-2.32,"637,530",,
2025-02-26,25.55,26.10,25.40,25.85,0.40,1.57,"1,402,646",,
2025-02-25,26.05,26.15,24.98,25.45,-0.60,-2.30,"2,150,862",,
2025-02-24,27.00,27.05,26.00,26.05,-0.95,-3.52,"1,055,633",,
2025-02-20,27.45,27.50,26.90,27.00,-0.55,-2.00,"874,014",,
2025-02-19,28.15,28.15,27.50,27.55,-0.60,-2.13,"731,697",,
2025-02-18,28.20,28.55,28.00,28.15,-0.05,-0.18,"445,355",,
2025-02-17,28.35,28.40,28.00,28.20,-0.15,-0.53,"418,171",,
2025-02-16,28.40,28.95,28.30,28.35,0.10,0.35,"739,482",,
2025-02-13,28.00,28.45,27.95,28.25,0.10,0.36,"509,050",,
2025-02-12,28.55,28.65,27.90,28.15,-0.45,-1.57,"920,276",,
2025-02-11,28.80,28.80,28.50,28.60,-0.20,-0.69,"685,132",,
2025-02-10,29.10,29.10,28.65,28.80,-0.25,-0.86,"791,189",,
2025-02-09,28.90,29.25,28.85,29.05,0.15,0.52,"957,765",,
2025-02-06,28.80,29.05,28.60,28.90,0.10,0.35,"755,189",,
2025-02-05,29.15,29.15,28.70,28.80,-0.30,-1.03,"1,110,023",,
2025-02-04,29.30,29.30,29.05,29.10,0.00,0.00,"892,950",,
2025-02-03,29.40,29.80,29.05,29.10,-0.30,-1.02,"2,141,715",,
2025-02-02,30.50,30.50,28.30,29.40,-1.80,-5.77,"9,600,547",,
2025-01-30,30.20,31.50,30.00,31.20,1.10,3.65,"4,090,479",,
2025-01-29,30.25,30.45,30.00,30.10,-0.10,-0.33,"931,301",,
2025-01-28,30.35,30.40,30.00,30.20,0.05,0.17,"1,076,793",,
2025-01-27,30.15,30.85,29.85,30.15,0.05,0.17,"2,320,907",,
2025-01-26,30.00,30.20,29.90,30.10,0.20,0.67,"677,967",,
2025-01-23,30.25,30.45,29.85,29.90,-0.35,-1.16,"979,557",,
2025-01-22,30.15,30.60,29.95,30.25,0.15,0.50,"1,447,873",,
2025-01-21,29.70,30.50,29.70,30.10,0.45,1.52,"1,578,247",,
2025-01-20,29.95,30.00,29.65,29.65,-0.20,-0.67,"566,050",,
2025-01-19,29.80,30.00,29.60,29.85,0.05,0.17,"552,857",,
2025-01-16,29.80,30.10,29.65,29.80,0.00,0.00,"927,280",,
2025-01-15,30.20,30.35,29.80,29.80,-0.40,-1.32,"937,643",,
2025-01-14,30.05,30.35,30.00,30.20,0.10,0.33,"731,715",,
2025-01-13,30.65,30.95,30.05,30.10,-0.55,-1.79,"1,371,275",,
2025-01-12,29.35,30.65,29.15,30.65,1.15,3.90,"1,353,023",,
2025-01-09,29.75,30.20,29.30,29.50,-0.20,-0.67,"969,707",,
2025-01-08,29.55,29.80,29.40,29.70,0.20,0.68,"606,084",,
2025-01-07,29.45,29.75,29.15,29.50,0.05,0.17,"934,840",,
2025-01-06,29.60,29.75,29.10,29.45,-0.05,-0.17,"1,004,130",,
2025-01-05,29.40,30.25,29.30,29.50,0.55,1.90,"2,484,353",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
