0,1,2,3,4,5,6,7,8,9
2025-05-29,129.00,131.60,127.40,127.80,-1.20,-0.93,"46,952",,
2025-05-28,127.40,130.80,127.00,129.00,1.60,1.26,"55,305",,
2025-05-27,129.00,130.20,127.00,127.40,-1.80,-1.39,"47,754",,
2025-05-26,132.60,133.80,127.20,129.20,-3.40,-2.56,"92,803",,
2025-05-25,134.40,134.80,132.60,132.60,-1.80,-1.34,"31,140",,
2025-05-22,133.00,135.40,133.00,134.40,1.40,1.05,"49,642",,
2025-05-21,138.20,139.80,133.00,133.00,-4.20,-3.06,"177,425",,
2025-05-20,138.20,139.40,137.00,137.20,-1.20,-0.87,"73,517",,
2025-05-19,139.40,141.00,137.40,138.40,-3.40,-2.40,"77,440",,
2025-05-18,145.60,145.60,141.20,141.80,-3.60,-2.48,"106,773",,
2025-05-15,142.00,146.00,140.60,145.40,2.80,1.96,"151,188",,
2025-05-14,145.00,145.00,141.00,142.60,2.40,1.71,"361,524",,
2025-05-13,139.00,141.40,139.00,140.20,1.60,1.15,"96,125",,
2025-05-12,140.00,142.00,138.00,138.60,-1.00,-0.72,"81,425",,
2025-05-11,136.40,144.00,136.40,139.60,3.20,2.35,"169,466",,
2025-05-08,137.60,138.20,135.00,136.40,-1.20,-0.87,"51,890",,
2025-05-07,141.80,141.80,137.60,137.60,-3.20,-2.27,"73,912",,
2025-05-06,138.60,141.80,136.80,140.80,2.00,1.44,"157,486",,
2025-05-05,137.00,139.80,134.40,138.80,1.80,1.31,"104,478",,
2025-05-04,140.00,141.00,137.00,137.00,-2.60,-1.86,"42,120",,
2025-05-01,136.80,143.00,136.00,139.60,3.80,2.80,"264,160",,
2025-04-30,137.60,138.40,134.00,135.80,-2.20,-1.59,"77,202",,
2025-04-29,140.00,140.20,138.00,138.00,-2.00,-1.43,"73,369",,
2025-04-28,138.40,141.80,136.60,140.00,0.40,0.29,"136,289",,
2025-04-27,139.60,142.20,139.00,139.60,0.60,0.43,"74,029",,
2025-04-24,143.40,144.20,138.40,139.00,-4.60,-3.20,"121,995",,
2025-04-23,141.80,146.60,139.60,143.60,3.60,2.57,"331,159",,
2025-04-22,137.40,142.00,135.20,140.00,2.40,1.74,"260,361",,
2025-04-21,138.20,145.00,134.80,137.60,2.20,1.62,"785,100",,
2025-04-20,123.40,135.40,123.40,135.40,12.20,9.90,"440,681",,
2025-04-17,121.80,125.20,121.20,123.20,1.20,0.98,"115,127",,
2025-04-16,123.40,125.60,122.00,122.00,-2.00,-1.61,"67,769",,
2025-04-15,129.80,130.00,124.00,124.00,-4.60,-3.58,"130,462",,
2025-04-14,126.80,132.00,126.20,128.60,2.20,1.74,"153,392",,
2025-04-13,124.20,128.00,124.20,126.40,3.60,2.93,"150,827",,
2025-04-10,123.20,124.80,120.20,122.80,6.80,5.86,"181,440",,
2025-04-09,120.00,122.40,115.00,116.00,-5.60,-4.61,"162,813",,
2025-04-08,117.00,123.80,116.80,121.60,6.00,5.19,"181,723",,
2025-04-07,113.00,116.60,107.60,115.60,1.20,1.05,"121,575",,
2025-04-06,114.20,120.00,112.20,114.40,-8.60,-6.99,"105,908",,
2025-04-03,122.20,128.40,121.60,123.00,0.20,0.16,"175,699",,
2025-03-27,121.80,122.80,119.40,122.80,1.60,1.32,"63,524",,
2025-03-26,118.00,122.20,118.00,121.20,3.80,3.24,"67,042",,
2025-03-25,119.80,119.80,114.80,117.40,-1.20,-1.01,"34,016",,
2025-03-24,120.00,120.00,117.00,118.60,-0.80,-0.67,"40,752",,
2025-03-23,120.00,121.40,118.00,119.40,-0.60,-0.50,"22,291",,
2025-03-20,118.00,122.60,117.00,120.00,3.00,2.56,"92,517",,
2025-03-19,115.00,119.00,113.40,117.00,2.80,2.45,"62,181",,
2025-03-18,120.00,120.00,114.20,114.20,-5.80,-4.83,"61,931",,
2025-03-17,118.60,121.20,118.00,120.00,2.00,1.69,"43,162",,
2025-03-16,121.00,123.20,118.00,118.00,-1.40,-1.17,"63,341",,
2025-03-13,121.40,121.80,119.20,119.40,-2.00,-1.65,"42,256",,
2025-03-12,119.80,123.20,118.00,121.40,2.40,2.02,"90,804",,
2025-03-11,114.00,120.20,110.00,119.00,4.40,3.84,"112,623",,
2025-03-10,120.80,121.20,113.60,114.60,-6.20,-5.13,"111,345",,
2025-03-09,122.60,123.80,120.20,120.80,-1.80,-1.47,"47,525",,
2025-03-06,123.00,124.80,120.00,122.60,-0.40,-0.33,"64,960",,
2025-03-05,122.60,125.00,120.00,123.00,0.60,0.49,"61,681",,
2025-03-04,125.00,129.00,119.20,122.40,-3.20,-2.55,"113,734",,
2025-03-03,132.00,134.80,125.00,125.60,-6.00,-4.56,"215,363",,
2025-03-02,124.60,133.00,124.40,131.60,7.20,5.79,"140,655",,
2025-02-27,126.20,127.40,123.00,124.40,-2.20,-1.74,"53,029",,
2025-02-26,126.00,129.20,124.60,126.60,3.20,2.59,"143,653",,
2025-02-25,125.20,125.40,122.20,123.40,-2.20,-1.75,"51,608",,
2025-02-24,122.00,126.20,118.40,125.60,3.00,2.45,"106,414",,
2025-02-20,123.00,124.40,119.80,122.60,-0.40,-0.33,"98,969",,
2025-02-19,128.40,128.60,122.00,123.00,-4.80,-3.76,"90,741",,
2025-02-18,130.80,133.00,127.40,127.80,-3.00,-2.29,"117,416",,
2025-02-17,131.00,131.60,129.00,130.80,-1.00,-0.76,"79,367",,
2025-02-16,133.00,133.40,131.00,131.80,-0.60,-0.45,"57,223",,
2025-02-13,130.20,134.00,129.20,132.40,2.20,1.69,"157,186",,
2025-02-12,132.20,133.00,128.60,130.20,-2.00,-1.51,"115,560",,
2025-02-11,132.20,134.00,131.20,132.20,0.00,0.00,"103,112",,
2025-02-10,134.20,135.80,130.80,132.20,-1.80,-1.34,"178,098",,
2025-02-09,134.20,136.00,133.00,134.00,-0.20,-0.15,"118,807",,
2025-02-06,133.60,135.20,132.60,134.20,0.60,0.45,"133,412",,
2025-02-05,135.60,138.80,132.00,133.60,-1.40,-1.04,"286,223",,
2025-02-04,130.80,135.00,130.80,135.00,3.40,2.58,"310,084",,
2025-02-03,126.20,134.00,126.20,131.60,4.20,3.30,"481,688",,
2025-02-02,129.60,129.60,126.00,127.40,-1.20,-0.93,"84,403",,
2025-01-30,129.60,130.40,127.20,128.60,-0.80,-0.62,"108,593",,
2025-01-29,126.00,132.60,125.60,129.40,3.40,2.70,"507,573",,
2025-01-28,127.20,127.80,124.80,126.00,-1.20,-0.94,"210,551",,
2025-01-27,128.40,131.20,126.60,127.20,-0.80,-0.63,"260,164",,
2025-01-26,130.20,132.00,127.00,128.00,-1.60,-1.23,"152,324",,
2025-01-23,127.00,132.00,125.00,129.60,2.80,2.21,"421,966",,
2025-01-22,132.00,135.80,126.20,126.80,-1.20,-0.94,"743,497",,
2025-01-21,116.60,128.00,115.60,128.00,11.60,9.97,"800,182",,
2025-01-20,115.20,119.80,112.00,116.40,2.60,2.28,"797,896",,
2025-01-19,104.20,113.80,103.80,113.80,10.20,9.85,"457,391",,
2025-01-16,104.60,105.20,102.20,103.60,-0.40,-0.38,"110,887",,
2025-01-15,106.60,108.00,103.80,104.00,-2.20,-2.07,"173,860",,
2025-01-14,108.20,109.60,105.00,106.20,-1.40,-1.30,"213,146",,
2025-01-13,103.20,109.00,103.20,107.60,4.20,4.06,"434,980",,
2025-01-12,102.00,104.00,100.00,103.40,2.40,2.38,"84,452",,
2025-01-09,103.20,103.20,99.10,101.00,-1.80,-1.75,"162,643",,
2025-01-08,106.20,107.40,102.40,102.80,-1.40,-1.34,"256,293",,
