0,1,2,3,4,5,6,7,8,9
2025-05-29,30.10,30.35,29.35,29.65,-0.35,-1.17,"1,021,906",,
2025-05-28,29.15,30.45,29.15,30.00,0.85,2.92,"1,608,024",,
2025-05-27,29.25,29.30,28.75,29.15,-0.10,-0.34,"541,308",,
2025-05-26,29.05,29.45,28.25,29.25,0.10,0.34,"631,346",,
2025-05-25,29.55,29.70,29.15,29.15,-0.65,-2.18,"314,469",,
2025-05-22,29.00,30.05,29.00,29.80,0.50,1.71,"344,947",,
2025-05-21,30.15,30.30,29.30,29.30,-0.90,-2.98,"391,201",,
2025-05-20,30.00,30.45,29.75,30.20,0.20,0.67,"407,863",,
2025-05-19,29.55,30.30,29.50,30.00,0.45,1.52,"478,461",,
2025-05-18,30.90,30.95,29.45,29.55,-1.00,-3.27,"890,313",,
2025-05-15,30.50,31.20,30.25,30.55,0.00,0.00,"759,424",,
2025-05-14,30.60,31.25,30.25,30.55,-0.05,-0.16,"960,071",,
2025-05-13,30.90,31.30,30.05,30.60,0.20,0.66,"1,478,348",,
2025-05-12,27.80,30.40,27.80,30.40,2.75,9.95,"2,087,665",,
2025-05-11,28.80,28.80,27.65,27.65,-1.15,-3.99,"640,942",,
2025-05-08,29.95,30.05,28.60,28.80,-0.30,-1.03,"1,174,564",,
2025-05-07,29.30,30.20,28.95,29.10,-0.20,-0.68,"1,691,706",,
2025-05-06,28.45,29.50,28.15,29.30,0.90,3.17,"1,140,580",,
2025-05-05,28.90,28.90,28.00,28.40,-0.50,-1.73,"635,371",,
2025-05-04,28.70,29.35,28.50,28.90,0.35,1.23,"938,584",,
2025-05-01,28.10,29.00,27.85,28.55,0.50,1.78,"1,089,602",,
2025-04-30,27.90,28.10,27.20,28.05,0.20,0.72,"731,080",,
2025-04-29,28.00,28.50,27.40,27.85,0.85,3.15,"2,008,775",,
2025-04-28,27.20,27.60,26.85,27.00,-0.20,-0.74,"577,233",,
2025-04-27,26.85,27.40,26.70,27.20,0.55,2.06,"321,926",,
2025-04-24,26.65,26.65,26.30,26.65,0.25,0.95,"306,683",,
2025-04-23,26.50,26.65,25.90,26.40,0.30,1.15,"404,893",,
2025-04-22,26.50,26.55,25.90,26.10,-0.55,-2.06,"413,483",,
2025-04-21,27.25,27.25,26.55,26.65,-0.35,-1.30,"231,163",,
2025-04-20,26.55,27.00,26.55,27.00,0.50,1.89,"261,418",,
2025-04-17,27.20,27.40,26.50,26.50,-0.90,-3.28,"485,811",,
2025-04-16,27.65,27.70,27.15,27.40,-0.30,-1.08,"437,054",,
2025-04-15,28.40,28.40,27.65,27.70,-0.55,-1.95,"502,777",,
2025-04-14,27.95,28.40,27.80,28.25,0.40,1.44,"341,435",,
2025-04-13,27.20,27.90,27.05,27.85,1.15,4.31,"395,338",,
2025-04-10,27.10,27.10,26.65,26.70,0.75,2.89,"643,152",,
2025-04-09,25.90,26.60,25.50,25.95,-0.75,-2.81,"497,378",,
2025-04-08,27.05,27.45,26.65,26.70,0.10,0.38,"515,552",,
2025-04-07,25.50,26.75,24.30,26.60,0.60,2.31,"1,104,509",,
2025-04-06,26.00,27.40,25.95,26.00,-2.70,-9.41,"698,416",,
2025-04-03,29.00,29.15,28.35,28.70,-0.25,-0.86,"406,645",,
2025-03-27,29.20,29.20,28.55,28.95,0.45,1.58,"364,615",,
2025-03-26,27.70,28.55,27.70,28.50,0.80,2.89,"263,527",,
2025-03-25,27.85,27.90,27.40,27.70,-0.15,-0.54,"396,885",,
2025-03-24,28.25,28.45,27.75,27.85,-0.55,-1.94,"324,809",,
2025-03-23,28.90,29.00,28.40,28.40,-0.45,-1.56,"133,988",,
2025-03-20,28.55,29.10,28.55,28.85,0.20,0.70,"287,133",,
2025-03-19,28.85,28.90,28.10,28.65,-0.30,-1.04,"319,059",,
2025-03-18,29.05,29.25,28.40,28.95,-0.05,-0.17,"405,890",,
2025-03-17,29.30,29.70,29.00,29.00,-0.30,-1.02,"508,195",,
2025-03-16,28.75,29.30,28.10,29.30,1.30,4.64,"456,537",,
2025-03-13,28.30,28.45,27.70,28.00,0.05,0.18,"350,731",,
2025-03-12,27.20,28.50,27.20,27.95,0.75,2.76,"741,796",,
2025-03-11,26.55,27.25,26.00,27.20,0.50,1.87,"553,411",,
2025-03-10,26.60,26.85,25.90,26.70,0.25,0.95,"440,662",,
2025-03-09,27.90,27.90,26.35,26.45,-0.90,-3.29,"872,157",,
2025-03-06,27.50,27.90,27.30,27.35,-0.25,-0.91,"528,559",,
2025-03-05,28.40,28.40,27.60,27.60,-0.50,-1.78,"499,661",,
2025-03-04,28.15,28.80,27.50,28.10,-0.05,-0.18,"609,851",,
2025-03-03,27.20,28.20,27.05,28.15,1.00,3.68,"1,006,887",,
2025-03-02,28.00,28.60,26.90,27.15,-1.20,-4.23,"1,285,792",,
2025-02-27,28.75,29.45,28.35,28.35,-0.30,-1.05,"1,624,539",,
2025-02-26,28.90,29.70,28.40,28.65,-1.60,-5.29,"3,204,511",,
2025-02-25,31.60,32.30,30.25,30.25,-3.35,-9.97,"2,166,035",,
2025-02-24,34.35,34.65,33.60,33.60,-0.75,-2.18,"273,029",,
2025-02-20,34.20,34.55,33.95,34.35,0.05,0.15,"203,132",,
2025-02-19,34.60,34.60,34.10,34.30,-0.15,-0.44,"255,143",,
2025-02-18,34.80,34.90,34.45,34.45,0.00,0.00,"277,504",,
2025-02-17,34.70,34.75,34.25,34.45,-0.25,-0.72,"358,837",,
2025-02-16,35.05,35.30,34.70,34.70,-0.35,-1.00,"195,859",,
2025-02-13,34.40,35.05,34.40,35.05,0.65,1.89,"203,776",,
2025-02-12,34.95,35.05,34.40,34.40,-0.55,-1.57,"298,005",,
2025-02-11,35.10,35.20,34.80,34.95,-0.20,-0.57,"291,683",,
2025-02-10,35.50,35.60,35.05,35.15,-0.35,-0.99,"248,696",,
2025-02-09,35.30,35.85,35.20,35.50,0.20,0.57,"268,840",,
2025-02-06,35.25,35.30,34.70,35.30,0.30,0.86,"256,260",,
2025-02-05,35.10,35.30,34.90,35.00,-0.10,-0.28,"292,018",,
2025-02-04,35.10,35.50,35.10,35.10,0.00,0.00,"286,531",,
2025-02-03,35.75,35.85,35.10,35.10,-0.65,-1.82,"376,798",,
2025-02-02,35.80,36.30,35.35,35.75,0.00,0.00,"373,637",,
2025-01-30,35.85,36.25,35.50,35.75,0.15,0.42,"243,871",,
2025-01-29,36.25,36.50,35.40,35.60,-0.70,-1.93,"396,103",,
2025-01-28,36.50,36.80,36.20,36.30,-0.20,-0.55,"332,822",,
2025-01-27,37.00,37.35,36.50,36.50,-0.45,-1.22,"527,227",,
2025-01-26,35.95,37.30,35.80,36.95,1.00,2.78,"1,039,071",,
2025-01-23,35.60,36.00,35.15,35.95,0.35,0.98,"459,234",,
2025-01-22,35.40,35.80,35.20,35.60,0.20,0.56,"407,794",,
