0,1,2,3,4,5,6,7,8,9
2025-05-29,2.15,2.19,2.14,2.15,0.00,0.00,"866,383",,
2025-05-28,2.17,2.19,2.15,2.15,-0.01,-0.46,"683,440",,
2025-05-27,2.25,2.25,2.14,2.16,-0.09,-4.00,"1,699,176",,
2025-05-26,2.22,2.25,2.15,2.25,0.04,1.81,"2,285,726",,
2025-05-25,2.29,2.29,2.19,2.21,-0.10,-4.33,"3,813,650",,
2025-05-22,2.32,2.34,2.30,2.31,-0.01,-0.43,"1,364,841",,
2025-05-21,2.36,2.47,2.31,2.32,-0.04,-1.69,"5,549,178",,
2025-05-20,2.41,2.42,2.36,2.36,-0.05,-2.07,"1,666,181",,
2025-05-19,2.40,2.48,2.40,2.41,0.00,0.00,"3,340,904",,
2025-05-18,2.43,2.45,2.41,2.41,-0.01,-0.41,"1,554,661",,
2025-05-15,2.46,2.46,2.39,2.42,-0.02,-0.82,"788,103",,
2025-05-14,2.39,2.44,2.37,2.44,0.07,2.95,"1,091,156",,
2025-05-13,2.38,2.40,2.36,2.37,0.00,0.00,"636,214",,
2025-05-12,2.32,2.39,2.32,2.37,0.05,2.16,"1,192,401",,
2025-05-11,2.34,2.36,2.31,2.32,-0.01,-0.43,"482,695",,
2025-05-08,2.36,2.38,2.32,2.33,-0.03,-1.27,"903,006",,
2025-05-07,2.38,2.38,2.35,2.36,-0.02,-0.84,"933,162",,
2025-05-06,2.39,2.41,2.37,2.38,0.00,0.00,"1,007,625",,
2025-05-05,2.38,2.42,2.38,2.38,0.00,0.00,"1,159,876",,
2025-05-04,2.41,2.43,2.38,2.38,-0.02,-0.83,"613,133",,
2025-05-01,2.41,2.42,2.38,2.40,-0.02,-0.83,"1,202,524",,
2025-04-30,2.47,2.47,2.41,2.42,-0.03,-1.22,"938,761",,
2025-04-29,2.47,2.51,2.44,2.45,-0.02,-0.81,"2,459,749",,
2025-04-28,2.50,2.60,2.44,2.47,-0.04,-1.59,"9,555,460",,
2025-04-27,2.45,2.54,2.44,2.51,0.06,2.45,"4,607,555",,
2025-04-24,2.50,2.53,2.45,2.45,-0.04,-1.61,"2,480,470",,
2025-04-23,2.40,2.61,2.40,2.49,0.10,4.18,"9,096,939",,
2025-04-22,2.40,2.45,2.37,2.39,-0.02,-0.83,"1,313,423",,
2025-04-21,2.47,2.47,2.40,2.41,-0.06,-2.43,"2,265,367",,
2025-04-20,2.51,2.54,2.44,2.47,0.00,0.00,"3,161,266",,
2025-04-17,2.50,2.63,2.40,2.47,-0.02,-0.80,"10,051,780",,
2025-04-16,2.26,2.49,2.26,2.49,0.22,9.69,"9,199,318",,
2025-04-15,2.27,2.29,2.24,2.27,0.02,0.89,"1,451,813",,
2025-04-14,2.17,2.31,2.15,2.25,0.09,4.17,"2,304,430",,
2025-04-13,2.16,2.19,2.16,2.16,0.01,0.47,"935,574",,
2025-04-10,2.15,2.17,2.13,2.15,0.07,3.37,"1,084,452",,
2025-04-09,2.12,2.15,2.03,2.08,-0.05,-2.35,"1,622,127",,
2025-04-08,2.17,2.21,2.12,2.13,-0.01,-0.47,"989,412",,
2025-04-07,2.00,2.20,1.98,2.14,0.06,2.88,"2,722,763",,
2025-04-06,2.21,2.21,2.08,2.08,-0.22,-9.57,"1,976,298",,
2025-04-03,2.31,2.34,2.30,2.30,-0.02,-0.86,"568,810",,
2025-03-27,2.29,2.32,2.29,2.32,0.04,1.75,"1,130,059",,
2025-03-26,2.28,2.32,2.28,2.28,-0.01,-0.44,"1,123,508",,
2025-03-25,2.28,2.29,2.25,2.29,0.01,0.44,"755,638",,
2025-03-24,2.29,2.29,2.27,2.28,-0.01,-0.44,"455,948",,
2025-03-23,2.30,2.31,2.29,2.29,0.00,0.00,"500,414",,
2025-03-20,2.30,2.31,2.29,2.29,0.00,0.00,"377,094",,
2025-03-19,2.30,2.31,2.29,2.29,-0.01,-0.43,"471,412",,
2025-03-18,2.31,2.32,2.29,2.30,0.00,0.00,"1,103,234",,
2025-03-17,2.30,2.32,2.29,2.30,0.00,0.00,"978,448",,
2025-03-16,2.29,2.33,2.27,2.30,-0.02,-0.86,"1,284,019",,
2025-03-13,2.34,2.35,2.31,2.32,0.00,0.00,"686,208",,
2025-03-12,2.31,2.35,2.31,2.32,-0.01,-0.43,"258,168",,
2025-03-11,2.30,2.34,2.25,2.33,0.01,0.43,"1,230,801",,
2025-03-10,2.31,2.35,2.30,2.32,0.01,0.43,"875,786",,
2025-03-09,2.34,2.35,2.30,2.31,-0.02,-0.86,"1,045,769",,
2025-03-06,2.38,2.39,2.32,2.33,-0.05,-2.10,"1,343,266",,
2025-03-05,2.40,2.41,2.36,2.38,0.01,0.42,"1,034,289",,
2025-03-04,2.39,2.41,2.36,2.37,-0.02,-0.84,"854,496",,
2025-03-03,2.38,2.40,2.35,2.39,0.01,0.42,"1,086,819",,
2025-03-02,2.43,2.43,2.37,2.38,-0.03,-1.24,"678,141",,
2025-02-27,2.42,2.42,2.40,2.41,0.01,0.42,"609,633",,
2025-02-26,2.40,2.43,2.40,2.40,-0.01,-0.41,"775,700",,
2025-02-25,2.44,2.44,2.41,2.41,-0.03,-1.23,"872,569",,
2025-02-24,2.45,2.46,2.43,2.44,-0.01,-0.41,"789,976",,
2025-02-20,2.47,2.48,2.45,2.45,-0.02,-0.81,"788,259",,
2025-02-19,2.46,2.48,2.46,2.47,0.00,0.00,"705,166",,
2025-02-18,2.47,2.48,2.46,2.47,-0.01,-0.40,"538,751",,
2025-02-17,2.46,2.51,2.44,2.48,0.02,0.81,"1,789,699",,
2025-02-16,2.45,2.48,2.45,2.46,0.01,0.41,"993,435",,
2025-02-13,2.46,2.47,2.44,2.45,0.00,0.00,"958,679",,
2025-02-12,2.47,2.48,2.44,2.45,-0.02,-0.81,"1,520,501",,
2025-02-11,2.49,2.50,2.47,2.47,-0.03,-1.20,"1,250,592",,
2025-02-10,2.49,2.51,2.48,2.50,0.01,0.40,"1,371,223",,
2025-02-09,2.49,2.51,2.48,2.49,0.01,0.40,"1,042,087",,
2025-02-06,2.50,2.50,2.48,2.48,-0.01,-0.40,"709,640",,
2025-02-05,2.47,2.51,2.47,2.49,0.01,0.40,"1,581,449",,
2025-02-04,2.49,2.49,2.46,2.48,0.02,0.81,"857,966",,
2025-02-03,2.50,2.50,2.46,2.46,-0.03,-1.20,"1,798,153",,
2025-02-02,2.51,2.52,2.48,2.49,-0.02,-0.80,"1,322,617",,
2025-01-30,2.49,2.52,2.48,2.51,0.03,1.21,"1,242,988",,
2025-01-29,2.51,2.52,2.48,2.48,-0.03,-1.20,"1,631,582",,
2025-01-28,2.50,2.54,2.49,2.51,0.01,0.40,"1,694,893",,
