0,1,2,3,4,5,6,7,8,9
2025-05-29,135.00,137.20,134.80,136.80,2.00,1.48,"39,815",,
2025-05-28,135.40,137.40,133.60,134.80,-0.60,-0.44,"34,287",,
2025-05-27,140.00,140.20,135.40,135.40,-3.40,-2.45,"38,467",,
2025-05-26,135.80,139.00,135.80,138.80,3.40,2.51,"35,030",,
2025-05-25,135.40,137.20,134.80,135.40,-1.20,-0.88,"16,081",,
2025-05-22,139.00,139.60,136.00,136.60,-3.40,-2.43,"28,468",,
2025-05-21,140.00,140.20,138.00,140.00,0.00,0.00,"45,755",,
2025-05-20,140.20,142.20,139.60,140.00,-0.20,-0.14,"51,396",,
2025-05-19,143.00,143.00,139.20,140.20,-2.20,-1.54,"17,230",,
2025-05-18,141.60,143.40,140.40,142.40,0.80,0.56,"20,578",,
2025-05-15,142.00,142.80,140.00,141.60,-0.60,-0.42,"37,450",,
2025-05-14,144.00,144.60,141.80,142.20,-1.80,-1.25,"76,730",,
2025-05-13,149.60,150.80,139.00,144.00,-4.00,-2.70,"313,533",,
2025-05-12,143.00,148.20,143.00,148.00,5.20,3.64,"28,807",,
2025-05-11,148.00,148.00,142.60,142.80,-2.60,-1.79,"21,199",,
2025-05-08,146.60,148.00,145.20,145.40,-2.00,-1.36,"16,861",,
2025-05-07,147.40,148.80,144.00,147.40,-0.40,-0.27,"16,216",,
2025-05-06,146.40,150.80,146.40,147.80,0.00,0.00,"47,017",,
2025-05-05,146.80,149.60,145.60,147.80,1.00,0.68,"22,543",,
2025-05-04,149.00,150.60,146.80,146.80,-4.60,-3.04,"17,351",,
2025-05-01,152.20,152.60,149.00,151.40,-1.00,-0.66,"63,450",,
2025-04-30,152.60,155.40,152.40,152.40,-1.40,-0.91,"98,275",,
2025-04-29,152.40,153.80,150.80,153.80,1.40,0.92,"51,775",,
2025-04-28,151.40,152.80,150.00,152.40,1.80,1.20,"50,271",,
2025-04-27,153.80,153.80,150.40,150.60,0.20,0.13,"39,753",,
2025-04-24,149.20,157.60,149.20,150.40,1.20,0.80,"162,381",,
2025-04-23,147.80,152.00,146.40,149.20,3.60,2.47,"146,342",,
2025-04-22,141.20,148.00,141.20,145.60,1.80,1.25,"47,146",,
2025-04-21,146.00,148.20,143.40,143.80,-2.00,-1.37,"49,069",,
2025-04-20,147.60,148.60,145.80,145.80,0.20,0.14,"80,269",,
2025-04-17,142.00,148.80,140.00,145.60,3.00,2.10,"270,885",,
2025-04-16,150.00,153.00,142.00,142.60,-7.40,-4.93,"412,000",,
2025-04-15,135.60,150.00,135.20,150.00,13.60,9.97,"480,685",,
2025-04-14,137.60,137.60,134.80,136.40,0.40,0.29,"26,464",,
2025-04-13,134.40,137.40,134.40,136.00,1.80,1.34,"38,510",,
2025-04-10,135.20,136.00,131.40,134.20,6.40,5.01,"63,422",,
2025-04-09,133.40,133.60,127.40,127.80,-4.60,-3.47,"28,502",,
2025-04-08,132.00,134.40,130.80,132.40,4.80,3.76,"119,253",,
2025-04-07,118.00,129.20,115.40,127.60,1.80,1.43,"69,925",,
2025-04-06,128.20,134.00,125.80,125.80,-13.80,-9.89,"69,996",,
2025-04-03,138.80,142.00,137.80,139.60,0.60,0.43,"26,575",,
2025-03-27,133.80,143.20,132.40,139.00,8.80,6.76,"250,164",,
2025-03-26,132.00,133.20,130.20,130.20,-0.80,-0.61,"25,640",,
2025-03-25,132.20,133.00,130.20,131.00,-2.20,-1.65,"13,433",,
2025-03-24,131.60,136.40,129.60,133.20,-0.40,-0.30,"41,968",,
2025-03-23,131.00,134.20,131.00,133.60,3.20,2.45,"20,059",,
2025-03-20,130.00,132.40,129.80,130.40,-0.40,-0.31,"18,410",,
