0,1,2,3,4,5,6,7,8,9
2025-05-29,123.40,124.20,117.80,118.40,-3.80,-3.11,"195,333",,
2025-05-28,120.00,124.20,119.80,122.20,2.20,1.83,"78,378",,
2025-05-27,122.20,123.00,119.60,120.00,-2.00,-1.64,"48,152",,
2025-05-26,119.60,122.00,119.60,122.00,2.40,2.01,"95,301",,
2025-05-25,124.20,124.20,119.60,119.60,-3.40,-2.76,"73,587",,
2025-05-22,123.00,123.60,122.00,123.00,-1.00,-0.81,"169,829",,
2025-05-21,122.40,125.80,122.40,124.00,1.60,1.31,"203,205",,
2025-05-20,121.60,123.60,121.60,122.40,0.60,0.49,"137,187",,
2025-05-19,123.60,123.80,121.80,121.80,-1.20,-0.98,"101,754",,
2025-05-18,121.60,123.80,121.60,123.00,1.40,1.15,"92,624",,
2025-05-15,122.60,124.40,121.60,121.60,-1.00,-0.82,"163,791",,
2025-05-14,121.60,123.20,121.20,122.60,1.60,1.32,"114,701",,
2025-05-13,120.60,121.80,120.20,121.00,0.40,0.33,"162,685",,
2025-05-12,120.40,122.00,119.60,120.60,-1.20,-0.99,"296,106",,
2025-05-11,120.20,122.00,120.20,121.80,1.60,1.33,"90,126",,
2025-05-08,120.00,121.80,119.40,120.20,-0.60,-0.50,"104,519",,
2025-05-07,121.80,122.60,119.00,120.80,-1.20,-0.98,"113,977",,
2025-05-06,121.20,123.40,119.60,122.00,1.00,0.83,"253,744",,
2025-05-05,119.00,121.40,118.40,121.00,1.00,0.83,"96,443",,
2025-05-04,118.60,120.20,118.60,120.00,1.40,1.18,"134,587",,
2025-05-01,118.20,119.20,117.00,118.60,0.80,0.68,"139,326",,
2025-04-30,120.00,120.00,116.00,117.80,-2.00,-1.67,"197,342",,
2025-04-29,120.60,123.80,119.20,119.80,-0.80,-0.66,"171,107",,
2025-04-28,119.20,120.60,118.60,120.60,0.80,0.67,"53,102",,
2025-04-27,121.80,121.80,119.20,119.80,-1.40,-1.16,"42,764",,
2025-04-24,118.00,121.40,117.80,121.20,3.20,2.71,"135,834",,
2025-04-23,119.60,119.60,117.60,118.00,0.00,0.00,"70,029",,
2025-04-22,118.00,119.20,117.20,118.00,-1.00,-0.84,"61,336",,
2025-04-21,120.00,120.00,118.00,119.00,-0.20,-0.17,"30,227",,
2025-04-20,118.60,120.00,118.40,119.20,0.20,0.17,"30,438",,
2025-04-17,118.20,119.00,117.80,119.00,-0.60,-0.50,"35,495",,
2025-04-16,121.60,121.60,119.40,119.60,-1.80,-1.48,"46,481",,
2025-04-15,120.00,122.00,119.60,121.40,1.60,1.34,"108,362",,
2025-04-14,119.00,120.60,119.00,119.80,1.00,0.84,"111,010",,
2025-04-13,118.00,119.80,118.00,118.80,1.00,0.85,"83,183",,
2025-04-10,122.60,122.60,117.40,117.80,4.60,4.06,"129,319",,
2025-04-09,118.00,118.40,112.80,113.20,-4.80,-4.07,"109,910",,
2025-04-08,117.80,121.00,116.60,118.00,3.00,2.61,"209,553",,
2025-04-07,109.60,117.00,106.40,115.00,3.40,3.05,"268,923",,
2025-04-06,112.80,114.60,111.00,111.60,-8.20,-6.84,"211,005",,
2025-04-03,120.00,122.20,118.80,119.80,-3.80,-3.07,"79,462",,
2025-03-27,120.80,125.20,120.00,123.60,3.20,2.66,"177,336",,
2025-03-26,119.80,120.80,118.20,120.40,2.40,2.03,"74,573",,
2025-03-25,120.80,121.00,117.60,118.00,-2.60,-2.16,"92,111",,
2025-03-24,116.60,121.00,112.00,120.60,3.80,3.25,"307,689",,
2025-03-23,118.80,119.60,116.40,116.80,-2.80,-2.34,"86,210",,
2025-03-20,120.00,121.20,118.60,119.60,-0.40,-0.33,"156,957",,
2025-03-19,119.80,120.00,117.40,120.00,-0.20,-0.17,"149,729",,
2025-03-18,123.60,123.60,119.80,120.20,-3.00,-2.44,"110,899",,
2025-03-17,122.60,124.00,121.40,123.20,0.60,0.49,"134,566",,
2025-03-16,122.00,124.40,120.60,122.60,-0.20,-0.16,"150,097",,
2025-03-13,120.60,122.80,119.20,122.80,2.40,1.99,"302,897",,
2025-03-12,121.00,121.80,119.00,120.40,-0.40,-0.33,"92,889",,
2025-03-11,120.80,121.40,116.00,120.80,-1.00,-0.82,"131,937",,
2025-03-10,123.00,123.00,119.80,121.80,-1.20,-0.98,"128,319",,
2025-03-09,124.40,124.40,117.00,123.00,-1.20,-0.97,"90,334",,
2025-03-06,128.60,128.60,122.80,124.20,-5.40,-4.17,"93,881",,
2025-03-05,132.00,132.00,127.00,129.60,-2.40,-1.82,"105,446",,
2025-03-04,133.00,135.40,131.00,132.00,-2.80,-2.08,"128,689",,
2025-03-03,133.40,135.20,132.60,134.80,0.80,0.60,"151,063",,
2025-03-02,136.20,136.20,133.00,134.00,-2.00,-1.47,"99,049",,
2025-02-27,137.20,138.20,136.00,136.00,-1.20,-0.87,"75,279",,
2025-02-26,137.80,138.40,136.60,137.20,0.40,0.29,"46,690",,
2025-02-25,137.00,138.40,135.40,136.80,0.20,0.15,"165,297",,
2025-02-24,138.00,138.00,135.00,136.60,-1.40,-1.01,"73,876",,
2025-02-20,134.80,138.60,134.80,138.00,3.00,2.22,"148,244",,
2025-02-19,136.20,136.40,133.80,135.00,-1.20,-0.88,"134,683",,
2025-02-18,132.80,136.20,132.60,136.20,2.20,1.64,"102,691",,
2025-02-17,134.20,134.40,132.20,134.00,-0.20,-0.15,"64,969",,
2025-02-16,136.00,136.00,133.00,134.20,-1.20,-0.89,"75,464",,
2025-02-13,134.40,136.40,134.40,135.40,-0.20,-0.15,"117,348",,
2025-02-12,136.20,136.80,134.60,135.60,-0.40,-0.29,"80,003",,
2025-02-11,137.60,139.40,136.00,136.00,-1.60,-1.16,"150,167",,
2025-02-10,138.00,139.00,137.00,137.60,1.00,0.73,"225,701",,
2025-02-09,134.20,138.40,133.20,136.60,2.60,1.94,"255,888",,
2025-02-06,132.20,135.00,131.80,134.00,1.40,1.06,"216,698",,
2025-02-05,133.20,133.20,130.80,132.60,-1.00,-0.75,"235,903",,
2025-02-04,134.80,135.00,132.40,133.60,-1.20,-0.89,"124,664",,
2025-02-03,132.40,135.60,132.00,134.80,2.00,1.51,"179,697",,
2025-02-02,132.60,134.00,131.00,132.80,0.20,0.15,"73,577",,
2025-01-30,131.20,132.80,131.00,132.60,1.60,1.22,"134,674",,
2025-01-29,134.20,134.20,130.80,131.00,-3.20,-2.38,"268,209",,
2025-01-28,133.80,135.60,132.80,134.20,-0.40,-0.30,"104,334",,
2025-01-27,135.00,135.00,132.80,134.60,-0.40,-0.30,"121,736",,
2025-01-26,134.00,136.40,133.60,135.00,1.00,0.75,"236,128",,
2025-01-23,132.60,135.40,132.40,134.00,1.60,1.21,"361,937",,
2025-01-22,129.00,132.80,127.40,132.40,3.80,2.95,"816,192",,
2025-01-21,129.60,130.60,128.00,128.60,-1.40,-1.08,"168,835",,
2025-01-20,129.00,130.80,128.60,130.00,0.80,0.62,"316,710",,
2025-01-19,131.00,131.20,128.20,129.20,-1.80,-1.37,"357,427",,
2025-01-16,132.60,133.40,130.40,131.00,-1.40,-1.06,"128,819",,
2025-01-15,133.00,134.00,131.00,132.40,-0.60,-0.45,"265,953",,
2025-01-14,131.20,133.80,128.80,133.00,0.80,0.61,"572,223",,
2025-01-13,133.80,134.00,129.60,132.20,-1.60,-1.20,"556,936",,
2025-01-12,136.20,138.60,133.00,133.80,-2.20,-1.62,"408,544",,
2025-01-09,144.00,144.40,135.00,136.00,4.60,3.50,"1,675,963",,
2025-01-08,-,-,-,131.40,0.00,0.00,-,,
2025-01-07,126.60,131.40,125.40,131.40,6.40,5.12,"409,756",,
2025-01-06,122.00,126.60,122.00,125.00,2.00,1.63,"253,233",,
2025-01-05,121.00,124.00,120.40,123.00,2.00,1.65,"89,249",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,121.00,124.00,120.40,123.00,2.00,1.65,"89,249",,
2025-01-02,123.20,124.40,120.40,121.00,-3.00,-2.42,"158,701",,
2025-01-01,122.00,125.40,121.00,124.00,2.00,1.64,"137,887",,
2024-12-31,118.20,122.00,118.20,122.00,3.00,2.52,"116,675",,
2024-12-30,118.60,119.80,117.00,119.00,0.40,0.34,"92,536",,
2024-12-29,120.80,121.80,118.60,118.60,-2.40,-1.98,"56,426",,
2024-12-26,122.00,122.60,120.00,121.00,-1.00,-0.82,"58,261",,
2024-12-25,120.40,122.00,120.20,122.00,1.60,1.33,"134,200",,
2024-12-24,121.20,121.20,118.00,120.40,-0.60,-0.50,"239,303",,
2024-12-23,119.00,121.00,118.40,121.00,1.40,1.17,"156,386",,
2024-12-22,121.20,122.60,119.00,119.60,-1.60,-1.32,"79,588",,
2024-12-19,123.00,123.60,121.00,121.20,-2.20,-1.78,"101,039",,
2024-12-18,124.00,124.80,122.60,123.40,-1.20,-0.96,"56,091",,
2024-12-17,125.60,126.00,123.00,124.60,-1.20,-0.95,"62,328",,
2024-12-16,127.00,127.40,125.60,125.80,-0.80,-0.63,"81,114",,
2024-12-15,127.00,127.20,125.80,126.60,-0.60,-0.47,"137,246",,
2024-12-12,128.40,129.20,126.60,127.20,-1.00,-0.78,"81,472",,
2024-12-11,129.80,130.60,127.80,128.20,-1.60,-1.23,"79,495",,
2024-12-10,129.80,130.60,128.80,129.80,0.20,0.15,"265,299",,
2024-12-09,132.00,134.00,129.40,129.60,-0.40,-0.31,"189,871",,
2024-12-08,129.80,131.60,129.40,130.00,0.20,0.15,"272,737",,
2024-12-05,127.60,130.00,127.00,129.80,2.20,1.72,"181,518",,
2024-12-04,127.40,128.60,126.20,127.60,0.40,0.31,"135,015",,
2024-12-03,125.60,127.20,124.60,127.20,2.20,1.76,"210,264",,
2024-12-02,125.00,126.80,124.20,125.00,0.00,0.00,"228,673",,
2024-12-01,125.00,127.00,124.60,125.00,0.00,0.00,"77,880",,
2024-11-28,125.20,126.20,123.60,125.00,-0.20,-0.16,"64,887",,
2024-11-27,127.00,127.00,122.80,125.20,-1.80,-1.42,"139,500",,
2024-11-26,127.00,128.20,125.40,127.00,-0.60,-0.47,"146,431",,
2024-11-25,129.00,129.00,125.80,127.60,-0.40,-0.31,"148,787",,
2024-11-24,129.00,129.00,127.00,128.00,-0.20,-0.16,"106,761",,
2024-11-21,129.00,129.20,127.60,128.20,-0.80,-0.62,"87,492",,
2024-11-20,128.00,131.00,126.60,129.00,1.00,0.78,"325,208",,
2024-11-19,129.00,131.20,128.00,128.00,-1.00,-0.78,"275,912",,
2024-11-18,125.00,130.80,124.80,129.00,4.00,3.20,"492,752",,
2024-11-17,122.80,126.00,122.00,125.00,2.00,1.63,"199,908",,
2024-11-14,123.00,123.60,120.80,123.00,0.00,0.00,"158,990",,
2024-11-13,123.20,123.40,121.00,123.00,-0.40,-0.32,"182,955",,
