0,1,2,3,4,5,6,7,8,9
2025-05-29,5.19,5.20,5.13,5.13,0.00,0.00,"652,220",,
2025-05-28,5.16,5.20,5.12,5.13,0.00,0.00,"551,038",,
2025-05-27,5.15,5.23,5.10,5.13,-0.03,-0.58,"1,315,933",,
2025-05-26,5.19,5.27,5.11,5.16,-0.03,-0.58,"1,345,540",,
2025-05-25,5.18,5.21,5.13,5.19,0.02,0.39,"1,086,059",,
2025-05-22,5.22,5.22,5.12,5.17,-0.03,-0.58,"943,453",,
2025-05-21,5.25,5.26,5.15,5.20,-0.05,-0.95,"1,371,062",,
2025-05-20,5.27,5.28,5.23,5.25,-0.01,-0.19,"871,282",,
2025-05-19,5.35,5.36,5.23,5.26,-0.10,-1.87,"2,594,727",,
2025-05-18,5.42,5.45,5.36,5.36,-0.08,-1.47,"1,195,020",,
2025-05-15,5.47,5.51,5.38,5.44,-0.02,-0.37,"3,271,102",,
2025-05-14,5.46,5.47,5.41,5.46,0.01,0.18,"2,373,014",,
2025-05-13,5.50,5.50,5.39,5.45,-0.05,-0.91,"4,533,297",,
2025-05-12,5.69,5.69,5.47,5.50,-0.21,-3.68,"6,355,216",,
2025-05-11,5.68,5.76,5.65,5.71,0.04,0.71,"746,261",,
2025-05-08,5.66,5.69,5.59,5.67,0.02,0.35,"568,983",,
2025-05-07,5.68,5.71,5.63,5.65,-0.02,-0.35,"583,361",,
2025-05-06,5.66,5.73,5.63,5.67,0.01,0.18,"919,050",,
2025-05-05,5.62,5.69,5.52,5.66,0.04,0.71,"1,214,377",,
2025-05-04,5.70,5.71,5.27,5.62,-0.09,-1.58,"1,159,814",,
2025-05-01,5.78,5.78,5.70,5.71,-0.03,-0.52,"885,170",,
2025-04-30,5.89,5.89,5.73,5.74,-0.15,-2.55,"1,313,815",,
2025-04-29,5.90,5.93,5.84,5.89,0.00,0.00,"1,188,635",,
2025-04-28,5.82,5.91,5.81,5.89,0.07,1.20,"1,610,195",,
2025-04-27,5.87,5.89,5.82,5.82,-0.03,-0.51,"934,657",,
2025-04-24,5.76,5.86,5.70,5.85,0.13,2.27,"1,776,311",,
2025-04-23,5.79,5.81,5.72,5.72,0.00,0.00,"1,292,174",,
2025-04-22,5.80,5.85,5.68,5.72,-0.13,-2.22,"2,196,977",,
2025-04-21,5.88,5.91,5.85,5.85,-0.06,-1.02,"630,861",,
2025-04-20,5.88,5.99,5.88,5.91,0.03,0.51,"909,130",,
2025-04-17,5.96,5.97,5.87,5.88,-0.10,-1.67,"1,118,932",,
2025-04-16,6.09,6.09,5.95,5.98,-0.11,-1.81,"1,827,509",,
2025-04-15,6.00,6.14,6.00,6.09,0.11,1.84,"4,018,648",,
2025-04-14,5.88,6.00,5.83,5.98,0.09,1.53,"3,333,230",,
2025-04-13,5.71,5.92,5.70,5.89,0.11,1.90,"3,632,832",,
2025-04-10,5.61,5.80,5.55,5.78,0.43,8.04,"5,232,046",,
2025-04-09,5.51,5.58,5.33,5.35,-0.16,-2.90,"2,983,277",,
2025-04-08,5.46,5.60,5.45,5.51,0.10,1.85,"3,154,687",,
2025-04-07,4.96,5.51,4.96,5.41,-0.03,-0.55,"5,004,976",,
2025-04-06,5.37,5.55,5.32,5.44,-0.35,-6.04,"2,924,522",,
2025-04-03,5.85,5.90,5.70,5.79,-0.28,-4.61,"8,989,610",,
2025-03-27,5.96,6.15,5.95,6.07,0.13,2.19,"1,996,576",,
2025-03-26,5.95,5.99,5.88,5.94,0.10,1.71,"1,549,005",,
2025-03-25,5.94,5.94,5.83,5.84,-0.06,-1.02,"691,688",,
2025-03-24,5.90,5.93,5.83,5.90,0.00,0.00,"972,581",,
2025-03-23,5.92,5.99,5.88,5.90,-0.02,-0.34,"764,358",,
2025-03-20,5.93,5.95,5.83,5.92,-0.01,-0.17,"1,193,804",,
2025-03-19,5.91,5.96,5.84,5.93,0.04,0.68,"1,506,824",,
2025-03-18,6.02,6.04,5.85,5.89,-0.13,-2.16,"1,720,172",,
2025-03-17,6.20,6.22,5.99,6.02,-0.18,-2.90,"3,030,457",,
2025-03-16,5.98,6.23,5.90,6.20,0.27,4.55,"1,679,850",,
2025-03-13,5.83,5.98,5.81,5.93,0.10,1.72,"1,741,451",,
2025-03-12,5.73,5.87,5.66,5.83,0.13,2.28,"1,505,103",,
2025-03-11,5.78,5.78,5.48,5.70,-0.05,-0.87,"4,336,474",,
2025-03-10,6.05,6.05,5.71,5.75,-0.22,-3.69,"2,878,535",,
2025-03-09,5.96,6.02,5.81,5.97,0.04,0.67,"1,252,301",,
2025-03-06,6.10,6.10,5.87,5.93,-0.16,-2.63,"3,385,883",,
2025-03-05,6.30,6.30,5.99,6.09,-0.21,-3.33,"2,258,230",,
2025-03-04,6.39,6.39,6.24,6.30,-0.08,-1.25,"968,226",,
2025-03-03,6.39,6.41,6.24,6.38,-0.02,-0.31,"982,329",,
2025-03-02,6.44,6.53,6.31,6.40,-0.08,-1.23,"762,043",,
2025-02-27,6.67,6.67,6.45,6.48,-0.22,-3.28,"1,464,978",,
2025-02-26,6.56,6.70,6.47,6.70,0.14,2.13,"13,363,036",,
2025-02-25,6.52,6.59,6.44,6.56,0.03,0.46,"1,239,946",,
2025-02-24,6.63,6.65,6.46,6.53,-0.11,-1.66,"1,790,146",,
2025-02-20,6.67,6.71,6.62,6.64,-0.06,-0.90,"1,017,362",,
2025-02-19,6.79,6.83,6.68,6.70,-0.09,-1.33,"13,267,472",,
2025-02-18,6.80,6.84,6.75,6.79,-0.05,-0.73,"782,118",,
2025-02-17,6.94,6.94,6.83,6.84,-0.11,-1.58,"1,179,284",,
2025-02-16,6.99,7.01,6.93,6.95,-0.03,-0.43,"1,174,339",,
2025-02-13,6.96,7.09,6.91,6.98,0.02,0.29,"5,106,973",,
2025-02-12,6.80,7.05,6.78,6.96,0.15,2.20,"3,970,755",,
2025-02-11,6.84,6.90,6.76,6.81,-0.02,-0.29,"1,651,084",,
2025-02-10,6.79,6.98,6.78,6.83,0.07,1.04,"6,432,685",,
2025-02-09,6.72,6.80,6.72,6.76,0.02,0.30,"2,154,722",,
2025-02-06,6.73,6.76,6.66,6.74,0.01,0.15,"6,597,224",,
2025-02-05,6.62,6.84,6.62,6.73,0.12,1.82,"5,033,682",,
2025-02-04,6.63,6.64,6.59,6.61,0.01,0.15,"1,925,148",,
2025-02-03,6.67,6.68,6.60,6.60,-0.07,-1.05,"1,842,577",,
2025-02-02,6.64,6.67,6.59,6.67,0.01,0.15,"3,996,660",,
2025-01-30,6.69,6.72,6.64,6.66,-0.02,-0.30,"2,518,673",,
2025-01-29,6.75,6.75,6.64,6.68,-0.02,-0.30,"1,823,762",,
2025-01-28,6.55,6.75,6.53,6.70,0.14,2.13,"3,639,724",,
2025-01-27,6.62,6.63,6.56,6.56,-0.06,-0.91,"1,478,682",,
2025-01-26,6.60,6.67,6.60,6.62,0.01,0.15,"1,693,772",,
2025-01-23,6.67,6.68,6.60,6.61,-0.06,-0.90,"2,018,343",,
2025-01-22,6.64,6.69,6.60,6.67,0.02,0.30,"2,275,312",,
2025-01-21,6.66,6.72,6.62,6.65,-0.03,-0.45,"2,481,230",,
2025-01-20,6.80,6.80,6.66,6.68,-0.07,-1.04,"3,809,264",,
2025-01-19,6.78,6.83,6.73,6.75,-0.03,-0.44,"2,028,582",,
2025-01-16,6.76,6.82,6.68,6.78,0.02,0.30,"3,472,993",,
2025-01-15,6.85,6.91,6.76,6.76,-0.09,-1.31,"3,712,402",,
2025-01-14,6.72,6.85,6.67,6.85,0.13,1.93,"4,646,377",,
2025-01-13,6.75,6.77,6.67,6.72,-0.01,-0.15,"1,685,512",,
2025-01-12,6.92,6.92,6.72,6.73,-0.19,-2.75,"3,154,992",,
2025-01-09,7.20,7.20,6.86,6.92,-0.16,-2.26,"4,544,556",,
2025-01-08,6.72,7.30,6.64,7.08,0.38,5.67,"11,686,445",,
2025-01-07,6.46,6.81,6.39,6.70,0.49,7.89,"18,084,574",,
2025-01-06,6.19,6.26,6.15,6.21,0.02,0.32,"2,899,893",,
2025-01-05,6.20,6.22,6.15,6.19,-0.01,-0.16,"603,728",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,6.20,6.22,6.15,6.19,-0.01,-0.16,"603,728",,
2025-01-02,6.24,6.24,6.16,6.20,-0.03,-0.48,"1,080,277",,
2025-01-01,6.18,6.26,6.11,6.23,0.07,1.14,"1,693,291",,
2024-12-31,6.03,6.17,6.02,6.16,0.13,2.16,"1,642,206",,
2024-12-30,6.04,6.06,6.00,6.03,-0.02,-0.33,"821,406",,
2024-12-29,6.04,6.07,6.01,6.05,0.03,0.50,"479,907",,
2024-12-26,6.05,6.06,5.99,6.02,-0.03,-0.50,"426,555",,
2024-12-25,6.02,6.05,5.95,6.05,0.03,0.50,"646,019",,
2024-12-24,6.01,6.04,6.00,6.02,0.02,0.33,"829,509",,
2024-12-23,6.05,6.05,5.93,6.00,-0.05,-0.83,"1,652,040",,
2024-12-22,6.11,6.12,6.04,6.05,-0.03,-0.49,"752,845",,
2024-12-19,6.11,6.12,6.06,6.08,-0.07,-1.14,"1,133,664",,
2024-12-18,6.17,6.17,6.10,6.15,-0.01,-0.16,"636,691",,
2024-12-17,6.19,6.19,6.13,6.16,0.00,0.00,"1,015,509",,
2024-12-16,6.18,6.20,6.14,6.16,-0.02,-0.32,"1,074,778",,
2024-12-15,6.22,6.25,6.17,6.18,-0.04,-0.64,"984,131",,
2024-12-12,6.21,6.24,6.16,6.22,0.02,0.32,"1,181,641",,
2024-12-11,6.23,6.30,6.20,6.20,-0.06,-0.96,"1,085,746",,
2024-12-10,6.30,6.30,6.25,6.26,-0.02,-0.32,"906,851",,
2024-12-09,6.33,6.33,6.25,6.28,-0.03,-0.48,"1,154,954",,
2024-12-08,6.25,6.32,6.25,6.31,0.08,1.28,"1,298,829",,
2024-12-05,6.19,6.28,6.19,6.23,0.05,0.81,"2,027,613",,
2024-12-04,6.21,6.26,6.16,6.18,-0.02,-0.32,"1,735,607",,
2024-12-03,6.17,6.25,6.15,6.20,0.03,0.49,"2,415,229",,
2024-12-02,6.23,6.28,6.07,6.17,-0.04,-0.64,"3,421,836",,
2024-12-01,6.21,6.36,6.16,6.21,0.01,0.16,"4,245,819",,
2024-11-28,6.18,6.27,6.17,6.20,0.02,0.32,"2,076,769",,
2024-11-27,6.35,6.38,6.16,6.18,-0.12,-1.90,"2,005,037",,
2024-11-26,6.30,6.35,6.20,6.30,-0.01,-0.16,"1,685,994",,
2024-11-25,6.52,6.52,6.28,6.31,-0.22,-3.37,"2,676,827",,
2024-11-24,6.56,6.60,6.50,6.53,-0.03,-0.46,"1,546,548",,
2024-11-21,6.62,6.64,6.47,6.56,-0.08,-1.20,"1,609,917",,
2024-11-20,6.76,6.76,6.62,6.64,-0.10,-1.48,"1,628,001",,
2024-11-19,6.73,6.84,6.73,6.74,0.02,0.30,"731,347",,
2024-11-18,6.76,6.79,6.69,6.72,-0.04,-0.59,"710,084",,
2024-11-17,6.73,6.82,6.72,6.76,0.03,0.45,"706,550",,
2024-11-14,6.82,6.85,6.73,6.73,-0.09,-1.32,"992,824",,
2024-11-13,6.90,6.90,6.79,6.82,-0.04,-0.58,"1,116,506",,
2024-11-12,6.96,6.97,6.82,6.86,-0.10,-1.44,"1,414,994",,
2024-11-11,6.96,7.00,6.90,6.96,0.01,0.14,"1,547,086",,
2024-11-10,7.00,7.19,6.90,6.95,-0.42,-5.70,"6,891,317",,
2024-11-07,7.21,7.38,7.21,7.37,0.12,1.66,"1,199,924",,
2024-11-06,7.25,7.35,7.23,7.25,-0.03,-0.41,"1,019,120",,
2024-11-05,7.11,7.33,7.11,7.28,0.12,1.68,"1,325,711",,
2024-11-04,7.39,7.39,7.09,7.16,-0.23,-3.11,"2,061,550",,
2024-11-03,7.42,7.50,7.35,7.39,-0.10,-1.34,"1,088,654",,
2024-10-31,7.32,7.49,7.30,7.49,0.17,2.32,"1,660,466",,
2024-10-30,7.38,7.42,7.32,7.32,-0.06,-0.81,"1,391,612",,
2024-10-29,7.39,7.41,7.28,7.38,-0.03,-0.40,"1,072,156",,
2024-10-28,7.43,7.50,7.37,7.41,-0.04,-0.54,"1,878,149",,
2024-10-27,7.31,7.48,7.31,7.45,0.15,2.05,"2,464,865",,
2024-10-24,7.30,7.33,7.25,7.30,-0.01,-0.14,"1,560,762",,
2024-10-23,7.26,7.35,7.24,7.31,0.00,0.00,"1,562,137",,
2024-10-22,7.25,7.33,7.21,7.31,0.06,0.83,"2,918,509",,
2024-10-21,7.19,7.28,7.09,7.25,0.05,0.69,"3,282,313",,
2024-10-20,7.11,7.27,7.10,7.20,0.09,1.27,"5,564,923",,
2024-10-17,7.15,7.18,7.08,7.11,-0.02,-0.28,"2,791,404",,
2024-10-16,6.88,7.13,6.86,7.13,0.25,3.63,"5,496,484",,
2024-10-15,6.86,6.92,6.83,6.88,0.02,0.29,"1,677,833",,
2024-10-14,6.94,6.99,6.85,6.86,-0.08,-1.15,"1,235,363",,
2024-10-13,6.89,6.99,6.89,6.94,0.05,0.73,"1,729,170",,
2024-10-10,6.76,6.91,6.75,6.89,0.14,2.07,"1,416,910",,
2024-10-09,6.83,6.83,6.71,6.75,-0.06,-0.88,"1,619,435",,
2024-10-08,6.76,6.82,6.66,6.81,0.05,0.74,"1,948,311",,
2024-10-07,6.70,6.83,6.65,6.76,0.06,0.90,"1,887,411",,
2024-10-06,6.94,7.01,6.70,6.70,-0.23,-3.32,"2,772,833",,
2024-10-03,6.87,7.02,6.87,6.93,0.07,1.02,"2,166,729",,
2024-10-02,7.00,7.08,6.82,6.86,-0.24,-3.38,"2,886,761",,
2024-10-01,7.05,7.15,7.04,7.10,0.07,1.00,"1,891,501",,
2024-09-30,7.25,7.29,6.92,7.03,-0.26,-3.57,"4,248,085",,
2024-09-29,7.28,7.33,7.18,7.29,0.01,0.14,"2,674,058",,
2024-09-26,7.24,7.38,7.17,7.28,0.07,0.97,"5,212,538",,
2024-09-25,7.23,7.25,7.12,7.21,-0.01,-0.14,"3,342,795",,
2024-09-24,7.55,7.55,7.15,7.22,-0.41,-5.37,"10,723,896",,
2024-09-22,7.56,7.69,7.56,7.63,0.08,1.06,"1,350,160",,
2024-09-19,7.34,7.70,7.31,7.55,0.24,3.28,"5,850,020",,
2024-09-18,7.20,7.35,7.18,7.31,0.13,1.81,"2,836,275",,
2024-09-17,7.05,7.18,7.05,7.18,0.11,1.56,"2,076,508",,
2024-09-16,7.07,7.10,6.96,7.07,0.03,0.43,"1,652,621",,
2024-09-15,6.87,7.08,6.86,7.04,0.23,3.38,"2,701,747",,
2024-09-12,6.80,6.88,6.77,6.81,0.05,0.74,"1,837,669",,
2024-09-11,6.90,6.90,6.75,6.76,-0.15,-2.17,"1,824,040",,
2024-09-10,6.89,6.99,6.76,6.91,0.06,0.88,"2,730,548",,
2024-09-09,6.96,7.03,6.79,6.85,-0.11,-1.58,"2,593,052",,
2024-09-08,7.07,7.13,6.96,6.96,-0.22,-3.06,"2,243,024",,
2024-09-05,7.31,7.38,7.15,7.18,-0.11,-1.51,"2,461,450",,
2024-09-04,7.39,7.48,7.25,7.29,-0.19,-2.54,"3,192,428",,
2024-09-03,7.33,7.50,7.33,7.48,0.18,2.47,"4,237,978",,
2024-09-02,7.19,7.33,7.19,7.30,0.11,1.53,"2,819,509",,
2024-09-01,7.29,7.31,7.19,7.19,-0.02,-0.28,"2,348,292",,
2024-08-29,7.25,7.33,7.21,7.21,-0.05,-0.69,"2,429,865",,
2024-08-28,7.28,7.41,7.24,7.26,-0.02,-0.27,"3,045,978",,
2024-08-27,7.26,7.36,7.25,7.28,0.03,0.41,"2,899,445",,
2024-08-26,7.20,7.26,7.10,7.25,0.05,0.69,"2,225,628",,
2024-08-25,7.23,7.30,7.17,7.20,-0.03,-0.41,"4,051,322",,
2024-08-22,7.12,7.34,7.09,7.23,0.11,1.54,"8,782,816",,
2024-08-21,7.03,7.17,6.97,7.12,0.10,1.42,"5,154,921",,
2024-08-20,7.00,7.15,6.99,7.02,0.04,0.57,"5,565,050",,
2024-08-19,6.86,7.00,6.81,6.98,0.10,1.45,"3,667,347",,
2024-08-18,6.76,6.89,6.76,6.88,0.11,1.62,"3,367,359",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024-08-15,6.85,6.89,6.75,6.77,-0.04,-0.59,"3,816,966",,
2024-08-14,6.76,6.91,6.73,6.81,0.05,0.74,"3,597,360",,
2024-08-13,6.79,6.83,6.70,6.76,-0.04,-0.59,"2,321,095",,
2024-08-12,7.00,7.00,6.73,6.80,-0.15,-2.16,"6,321,049",,
2024-08-11,6.60,6.96,6.60,6.95,0.62,9.79,"10,308,730",,
2024-08-08,6.44,6.45,6.24,6.33,-0.10,-1.56,"1,907,366",,
2024-08-07,6.44,6.51,6.37,6.43,0.02,0.31,"2,823,065",,
2024-08-06,6.30,6.53,6.25,6.41,0.21,3.39,"4,638,538",,
2024-08-05,6.57,6.57,6.12,6.20,-0.44,-6.63,"5,736,398",,
2024-08-04,6.70,6.93,6.64,6.64,-0.36,-5.14,"4,850,409",,
2024-08-01,7.12,7.14,6.96,7.00,-0.12,-1.69,"3,786,944",,
2024-07-31,6.98,7.20,6.90,7.12,0.12,1.71,"9,336,047",,
2024-07-30,6.97,7.09,6.94,7.00,0.03,0.43,"4,879,805",,
2024-07-29,7.03,7.10,6.88,6.97,-0.03,-0.43,"6,737,478",,
2024-07-28,6.77,7.05,6.71,7.00,0.26,3.86,"11,414,960",,
2024-07-25,6.78,6.80,6.68,6.74,-0.05,-0.74,"3,664,664",,
2024-07-24,6.82,6.91,6.71,6.79,-0.02,-0.29,"6,758,374",,
2024-07-23,6.78,7.10,6.78,6.81,0.04,0.59,"14,964,669",,
2024-07-22,6.96,7.36,6.70,6.77,-0.15,-2.17,"50,992,947",,
