0,1,2,3,4,5,6,7,8,9
2025-05-29,11.00,11.00,10.78,10.84,0.00,0.00,"75,937",,
2025-05-28,10.88,11.22,10.62,10.84,0.10,0.93,"245,249",,
2025-05-27,11.00,11.16,10.54,10.74,-0.34,-3.07,"125,769",,
2025-05-26,11.00,11.16,10.82,11.08,-0.04,-0.36,"169,360",,
2025-05-25,11.64,11.64,11.06,11.12,-0.32,-2.80,"249,338",,
2025-05-22,11.64,11.64,11.30,11.44,-0.20,-1.72,"216,989",,
2025-05-21,11.72,11.88,11.58,11.64,-0.08,-0.68,"264,166",,
2025-05-20,12.00,12.04,11.60,11.72,-0.14,-1.18,"379,522",,
2025-05-19,11.30,12.04,11.30,11.86,0.58,5.14,"829,838",,
2025-05-18,11.42,11.70,11.24,11.28,-0.24,-2.08,"238,837",,
2025-05-15,11.76,11.80,11.40,11.52,-0.36,-3.03,"449,403",,
2025-05-14,12.00,12.32,11.84,11.88,-0.20,-1.66,"493,203",,
2025-05-13,11.98,12.60,11.72,12.08,0.22,1.85,"1,247,923",,
2025-05-12,11.84,12.02,11.74,11.86,0.10,0.85,"383,816",,
2025-05-11,12.20,12.24,11.70,11.76,-0.32,-2.65,"582,867",,
2025-05-08,12.52,12.70,12.04,12.08,-0.44,-3.51,"308,760",,
2025-05-07,12.60,12.98,12.18,12.52,0.18,1.46,"904,114",,
2025-05-06,12.68,13.04,12.20,12.34,-0.36,-2.83,"713,622",,
2025-05-05,12.74,13.06,12.60,12.70,0.04,0.32,"635,387",,
2025-05-04,13.42,13.50,12.60,12.66,-0.40,-3.06,"1,323,090",,
2025-05-01,12.38,13.52,12.22,13.06,0.76,6.18,"3,148,681",,
2025-04-30,12.78,12.78,12.10,12.30,-0.40,-3.15,"384,284",,
2025-04-29,12.88,12.90,12.66,12.70,-0.16,-1.24,"361,046",,
2025-04-28,13.00,13.12,12.74,12.86,-0.14,-1.08,"373,530",,
2025-04-27,13.00,13.54,12.90,13.00,0.18,1.40,"883,396",,
2025-04-24,12.80,13.76,12.64,12.82,0.02,0.16,"1,651,628",,
2025-04-23,13.28,13.44,12.80,12.80,-0.40,-3.03,"1,106,975",,
2025-04-22,12.98,13.88,12.90,13.20,0.50,3.94,"4,173,566",,
2025-04-21,12.10,12.70,11.86,12.70,1.14,9.86,"2,161,354",,
2025-04-20,10.54,11.56,10.54,11.56,1.04,9.89,"495,008",,
2025-04-17,10.90,11.22,10.52,10.52,-0.48,-4.36,"536,606",,
2025-04-16,12.18,12.18,11.00,11.00,-0.08,-0.72,"1,445,126",,
2025-04-15,10.10,11.08,10.08,11.08,1.00,9.92,"284,151",,
2025-04-14,9.90,10.10,9.88,10.08,0.18,1.82,"88,145",,
2025-04-13,9.69,10.04,9.69,9.90,0.23,2.38,"229,495",,
2025-04-10,9.70,9.75,9.33,9.67,0.52,5.68,"98,409",,
2025-04-09,9.40,9.74,9.15,9.15,-0.24,-2.56,"91,227",,
2025-04-08,9.20,9.55,9.20,9.39,0.24,2.62,"75,837",,
2025-04-07,9.36,9.36,8.61,9.15,-0.23,-2.45,"176,151",,
2025-04-06,10.00,10.00,9.38,9.38,-1.04,-9.98,"118,836",,
2025-04-03,10.50,10.50,10.18,10.42,-0.08,-0.76,"24,759",,
2025-03-27,10.48,10.56,10.40,10.50,0.18,1.74,"23,248",,
2025-03-26,10.40,10.40,10.20,10.32,0.18,1.78,"21,903",,
2025-03-25,10.16,10.26,10.14,10.14,-0.02,-0.20,"30,608",,
2025-03-24,10.24,10.40,10.04,10.16,-0.16,-1.55,"40,872",,
2025-03-23,10.60,10.60,10.26,10.32,-0.10,-0.96,"28,436",,
2025-03-20,10.58,10.66,10.42,10.42,-0.26,-2.43,"54,508",,
2025-03-19,10.72,11.00,10.56,10.68,-0.10,-0.93,"27,503",,
2025-03-18,10.88,11.00,10.78,10.78,-0.22,-2.00,"58,226",,
2025-03-17,11.12,11.22,11.00,11.00,-0.10,-0.90,"63,743",,
2025-03-16,11.00,11.44,10.92,11.10,0.14,1.28,"137,063",,
2025-03-13,11.02,11.10,10.88,10.96,-0.04,-0.36,"37,628",,
2025-03-12,10.80,11.04,10.80,11.00,0.20,1.85,"35,752",,
2025-03-11,10.60,10.80,10.44,10.80,0.10,0.93,"61,902",,
2025-03-10,10.98,10.98,10.60,10.70,-0.28,-2.55,"71,452",,
2025-03-09,10.70,11.00,10.64,10.98,-0.10,-0.90,"125,560",,
2025-03-06,11.50,11.50,10.98,11.08,-0.36,-3.15,"104,104",,
2025-03-05,11.60,11.76,11.40,11.44,-0.16,-1.38,"47,926",,
2025-03-04,11.84,11.84,11.60,11.60,-0.30,-2.52,"23,624",,
2025-03-03,11.70,12.04,11.46,11.90,0.06,0.51,"93,059",,
2025-03-02,12.08,12.08,11.76,11.84,-0.24,-1.99,"25,436",,
2025-02-27,12.16,12.16,11.98,12.08,-0.04,-0.33,"32,353",,
2025-02-26,12.18,12.18,12.02,12.12,0.04,0.33,"19,022",,
2025-02-25,12.00,12.18,11.94,12.08,0.08,0.67,"68,180",,
2025-02-24,12.02,12.10,11.96,12.00,-0.04,-0.33,"48,450",,
2025-02-20,12.10,12.12,11.96,12.04,-0.04,-0.33,"73,206",,
2025-02-19,12.22,12.26,12.08,12.08,-0.18,-1.47,"58,241",,
2025-02-18,12.26,12.32,12.20,12.26,-0.04,-0.33,"36,051",,
2025-02-17,12.46,12.46,12.26,12.30,-0.16,-1.28,"75,637",,
2025-02-16,12.38,12.50,12.32,12.46,0.00,0.00,"54,830",,
2025-02-13,12.34,12.52,12.34,12.46,0.06,0.48,"49,189",,
2025-02-12,12.64,12.76,12.40,12.40,-0.22,-1.74,"124,936",,
2025-02-11,12.60,12.68,12.54,12.62,0.00,0.00,"63,151",,
2025-02-10,12.70,12.70,12.62,12.62,-0.08,-0.63,"155,686",,
2025-02-09,12.70,12.86,12.66,12.70,-0.04,-0.31,"96,257",,
2025-02-06,12.78,12.86,12.72,12.74,-0.08,-0.62,"159,616",,
2025-02-05,12.88,12.92,12.78,12.82,-0.06,-0.47,"113,730",,
2025-02-04,12.90,13.02,12.78,12.88,-0.04,-0.31,"206,267",,
2025-02-03,12.80,13.60,12.70,12.92,0.22,1.73,"907,386",,
2025-02-02,12.76,12.82,12.66,12.70,-0.06,-0.47,"47,256",,
2025-01-30,12.74,12.82,12.66,12.76,0.02,0.16,"80,185",,
2025-01-29,12.84,12.92,12.66,12.74,-0.10,-0.78,"115,262",,
2025-01-28,12.88,13.00,12.84,12.84,-0.16,-1.23,"100,609",,
2025-01-27,12.74,13.14,12.70,13.00,0.22,1.72,"400,600",,
2025-01-26,12.64,12.82,12.64,12.78,0.12,0.95,"126,061",,
2025-01-23,12.72,12.80,12.66,12.66,-0.10,-0.78,"127,658",,
2025-01-22,12.94,12.98,12.70,12.76,-0.06,-0.47,"259,132",,
2025-01-21,12.44,13.02,12.38,12.82,0.40,3.22,"563,267",,
2025-01-20,12.52,12.68,12.40,12.42,-0.08,-0.64,"116,862",,
2025-01-19,12.42,12.54,12.42,12.50,0.06,0.48,"72,081",,
2025-01-16,12.48,12.48,12.36,12.44,0.06,0.48,"30,640",,
2025-01-15,12.32,12.46,12.32,12.38,-0.04,-0.32,"33,187",,
2025-01-14,12.46,12.62,12.42,12.42,-0.02,-0.16,"58,646",,
2025-01-13,12.46,12.48,12.34,12.44,0.02,0.16,"65,182",,
2025-01-12,12.32,12.50,12.32,12.42,0.12,0.98,"87,094",,
2025-01-09,12.32,12.42,12.30,12.30,-0.14,-1.13,"49,585",,
2025-01-08,12.50,12.56,12.40,12.44,-0.06,-0.48,"40,467",,
2025-01-07,12.50,12.52,12.34,12.50,0.00,0.00,"139,169",,
2025-01-06,12.52,12.60,12.48,12.50,0.02,0.16,"109,839",,
2025-01-05,12.52,12.62,12.42,12.48,-0.02,-0.16,"83,225",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,12.52,12.62,12.42,12.48,-0.02,-0.16,"83,225",,
2025-01-02,12.78,12.86,12.46,12.50,-0.08,-0.64,"311,132",,
2025-01-01,12.26,12.76,12.26,12.58,0.34,2.78,"386,007",,
2024-12-31,12.20,12.40,12.20,12.24,0.04,0.33,"100,996",,
2024-12-30,12.08,12.32,12.08,12.20,0.12,0.99,"116,382",,
2024-12-29,12.02,12.22,12.02,12.08,-0.02,-0.17,"68,746",,
2024-12-26,12.22,12.22,12.08,12.10,-0.02,-0.17,"44,955",,
2024-12-25,12.10,12.30,12.08,12.12,0.02,0.17,"52,114",,
2024-12-24,12.16,12.30,12.08,12.10,-0.06,-0.49,"45,046",,
