0,1,2,3,4,5,6,7,8,9
2025-05-29,53.00,53.80,52.50,52.50,-0.10,-0.19,"112,092",,
2025-05-28,52.50,53.60,52.00,52.60,-0.30,-0.57,"130,135",,
2025-05-27,54.00,54.10,52.50,52.90,-1.20,-2.22,"186,804",,
2025-05-26,54.60,55.60,53.20,54.10,-1.30,-2.35,"140,941",,
2025-05-25,55.10,55.70,54.50,55.40,0.20,0.36,"86,717",,
2025-05-22,54.50,55.60,54.40,55.20,0.40,0.73,"126,504",,
2025-05-21,56.60,56.90,54.80,54.80,-1.80,-3.18,"183,569",,
2025-05-20,56.80,57.20,56.50,56.60,0.00,0.00,"90,921",,
2025-05-19,57.30,57.40,56.10,56.60,-0.80,-1.39,"153,739",,
2025-05-18,57.70,58.40,57.00,57.40,0.00,0.00,"191,741",,
2025-05-15,59.90,59.90,57.20,57.40,-2.00,-3.37,"236,606",,
2025-05-14,58.70,59.90,58.40,59.40,0.90,1.54,"241,172",,
2025-05-13,56.50,59.10,55.80,58.50,2.00,3.54,"751,864",,
2025-05-12,54.70,57.50,54.20,56.50,2.00,3.67,"889,591",,
2025-05-11,55.30,55.70,53.80,54.50,1.90,3.61,"614,546",,
2025-05-08,52.50,52.80,52.00,52.60,0.20,0.38,"39,470",,
2025-05-07,53.40,54.00,52.40,52.40,-1.50,-2.78,"83,753",,
2025-05-06,53.90,54.80,53.60,53.90,0.00,0.00,"97,724",,
2025-05-05,53.50,54.10,52.90,53.90,0.20,0.37,"72,605",,
2025-05-04,54.00,54.50,53.30,53.70,-0.10,-0.19,"53,323",,
2025-05-01,54.00,54.70,53.60,53.80,-0.30,-0.55,"80,776",,
2025-04-30,55.10,55.10,53.70,54.10,-0.90,-1.64,"124,279",,
2025-04-29,54.80,55.50,54.50,55.00,0.30,0.55,"132,393",,
2025-04-28,55.40,55.90,54.60,54.70,-0.70,-1.26,"256,366",,
2025-04-27,53.60,56.60,53.60,55.40,2.00,3.75,"373,522",,
2025-04-24,52.60,53.40,52.60,53.40,0.60,1.14,"84,498",,
2025-04-23,52.70,53.30,52.50,52.80,0.60,1.15,"81,057",,
2025-04-22,51.60,52.70,51.60,52.20,0.20,0.38,"83,682",,
2025-04-21,52.80,52.80,51.90,52.00,-0.80,-1.52,"67,858",,
2025-04-20,52.10,53.00,52.10,52.80,0.70,1.34,"55,707",,
2025-04-17,52.60,53.10,52.00,52.10,-0.70,-1.33,"71,002",,
2025-04-16,53.50,53.90,52.60,52.80,-0.60,-1.12,"116,562",,
2025-04-15,53.00,54.80,53.00,53.40,0.30,0.56,"303,997",,
2025-04-14,52.50,53.50,52.50,53.10,0.60,1.14,"192,203",,
2025-04-13,51.20,52.50,50.80,52.50,1.70,3.35,"257,996",,
2025-04-10,51.90,52.00,50.40,50.80,2.35,4.85,"216,452",,
2025-04-09,49.55,50.40,48.05,48.45,-1.50,-3.00,"178,871",,
2025-04-08,50.20,51.20,49.60,49.95,0.50,1.01,"297,908",,
2025-04-07,48.10,49.70,46.80,49.45,0.45,0.92,"303,041",,
2025-04-06,50.90,51.50,49.00,49.00,-4.70,-8.75,"313,445",,
2025-04-03,54.60,55.00,53.60,53.70,-1.10,-2.01,"203,348",,
2025-03-27,54.20,55.80,53.70,54.80,2.30,4.38,"591,133",,
2025-03-26,51.40,52.70,51.40,52.50,1.10,2.14,"66,232",,
2025-03-25,52.20,52.30,51.40,51.40,-0.70,-1.34,"73,831",,
2025-03-24,52.40,52.80,51.80,52.10,-0.40,-0.76,"76,856",,
2025-03-23,52.30,52.80,51.90,52.50,0.20,0.38,"60,620",,
2025-03-20,54.00,54.00,52.20,52.30,-1.20,-2.24,"102,494",,
2025-03-19,53.60,54.20,52.90,53.50,-0.10,-0.19,"71,789",,
2025-03-18,54.50,54.80,53.60,53.60,-0.90,-1.65,"74,941",,
2025-03-17,54.80,56.50,54.00,54.50,-0.30,-0.55,"222,965",,
2025-03-16,54.20,56.20,54.10,54.80,0.60,1.11,"146,107",,
2025-03-13,53.40,54.50,52.90,54.20,0.90,1.69,"145,644",,
2025-03-12,51.00,54.00,50.50,53.30,2.80,5.54,"245,166",,
2025-03-11,50.50,50.70,48.80,50.50,-0.80,-1.56,"270,989",,
2025-03-10,51.50,52.00,50.80,51.30,-0.10,-0.19,"127,322",,
2025-03-09,51.40,51.70,50.40,51.40,0.10,0.19,"115,246",,
2025-03-06,52.60,52.70,50.60,51.30,-1.30,-2.47,"220,767",,
2025-03-05,53.80,54.00,51.00,52.60,-1.20,-2.23,"135,371",,
2025-03-04,55.60,55.80,53.70,53.80,-2.00,-3.58,"267,188",,
2025-03-03,56.00,56.70,55.40,55.80,-0.20,-0.36,"152,402",,
2025-03-02,57.70,58.00,55.60,56.00,-1.60,-2.78,"109,508",,
2025-02-27,58.20,58.50,57.00,57.60,-0.60,-1.03,"121,473",,
2025-02-26,57.90,58.70,57.00,58.20,-0.20,-0.34,"89,560",,
