0,1,2,3,4,5,6,7,8,9
2025-05-29,7.20,7.44,7.20,7.44,0.25,3.48,"965,322",,
2025-05-28,7.08,7.20,7.08,7.19,0.08,1.13,"77,865",,
2025-05-27,7.17,7.17,7.00,7.11,-0.06,-0.84,"292,238",,
2025-05-26,7.19,7.26,7.13,7.17,-0.03,-0.42,"227,942",,
2025-05-25,7.19,7.22,7.15,7.20,0.01,0.14,"77,828",,
2025-05-22,7.20,7.20,7.11,7.19,-0.01,-0.14,"87,194",,
2025-05-21,7.20,7.21,7.16,7.20,0.00,0.00,"99,366",,
2025-05-20,7.18,7.25,7.17,7.20,0.02,0.28,"100,048",,
2025-05-19,7.18,7.22,7.16,7.18,-0.04,-0.55,"120,514",,
2025-05-18,7.22,7.24,7.18,7.22,0.07,0.98,"111,416",,
2025-05-15,7.28,7.28,7.15,7.15,-0.13,-1.79,"201,890",,
2025-05-14,7.30,7.30,7.24,7.28,0.03,0.41,"143,805",,
2025-05-13,7.28,7.33,7.22,7.25,-0.02,-0.28,"212,744",,
2025-05-12,7.18,7.30,7.17,7.27,0.09,1.25,"209,899",,
2025-05-11,7.19,7.20,7.13,7.18,0.02,0.28,"163,498",,
2025-05-08,7.13,7.21,7.12,7.16,0.00,0.00,"204,789",,
2025-05-07,7.11,7.19,7.07,7.16,0.05,0.70,"285,413",,
2025-05-06,7.33,7.34,7.11,7.11,-0.18,-2.47,"343,440",,
2025-05-05,7.17,7.52,7.13,7.29,0.12,1.67,"1,372,879",,
2025-05-04,7.19,7.23,7.16,7.17,-0.01,-0.14,"181,228",,
2025-05-01,7.25,7.25,7.13,7.18,-0.04,-0.55,"248,139",,
2025-04-30,7.29,7.31,7.21,7.22,-0.06,-0.82,"293,268",,
2025-04-29,7.28,7.34,7.28,7.28,-0.03,-0.41,"199,296",,
2025-04-28,7.30,7.40,7.27,7.31,-0.02,-0.27,"150,751",,
2025-04-27,7.23,7.35,7.23,7.33,0.04,0.55,"213,233",,
2025-04-24,7.24,7.33,7.24,7.29,0.06,0.83,"255,913",,
2025-04-23,7.25,7.34,7.23,7.23,-0.10,-1.36,"320,065",,
2025-04-22,7.35,7.37,7.15,7.33,-0.04,-0.54,"599,635",,
2025-04-21,7.42,7.43,7.35,7.37,-0.05,-0.67,"132,907",,
2025-04-20,7.40,7.45,7.39,7.42,0.06,0.82,"130,219",,
2025-04-17,7.43,7.44,7.36,7.36,-0.07,-0.94,"159,463",,
2025-04-16,7.41,7.45,7.35,7.43,0.02,0.27,"293,034",,
2025-04-15,7.47,7.48,7.37,7.41,-0.04,-0.54,"420,138",,
2025-04-14,7.40,7.45,7.37,7.45,0.03,0.40,"269,344",,
2025-04-13,7.40,7.51,7.37,7.42,0.06,0.82,"379,023",,
2025-04-10,7.47,7.47,7.34,7.36,0.07,0.96,"728,986",,
2025-04-09,7.12,7.40,7.12,7.29,-0.06,-0.82,"202,192",,
