0,1,2,3,4,5,6,7,8,9
2025-05-29,5.48,5.54,5.45,5.52,0.05,0.91,"187,110",,
2025-05-28,5.48,5.49,5.40,5.47,0.08,1.48,"294,324",,
2025-05-27,5.55,5.57,5.39,5.39,-0.15,-2.71,"246,125",,
2025-05-26,5.67,5.67,5.50,5.54,-0.07,-1.25,"269,848",,
2025-05-25,5.70,5.74,5.60,5.61,-0.09,-1.58,"279,987",,
2025-05-22,5.73,5.74,5.69,5.70,-0.03,-0.52,"173,095",,
2025-05-21,5.73,5.79,5.69,5.73,-0.01,-0.17,"315,585",,
2025-05-20,5.80,5.82,5.69,5.74,-0.05,-0.86,"462,659",,
2025-05-19,5.94,5.98,5.79,5.79,-0.17,-2.85,"570,323",,
2025-05-18,6.06,6.06,5.95,5.96,-0.08,-1.32,"264,631",,
2025-05-15,6.02,6.15,6.02,6.04,-0.04,-0.66,"492,598",,
2025-05-14,6.00,6.21,6.00,6.08,0.08,1.33,"756,138",,
2025-05-13,6.03,6.08,5.98,6.00,-0.05,-0.83,"192,235",,
2025-05-12,5.98,6.06,5.98,6.05,0.07,1.17,"174,986",,
2025-05-11,5.97,6.00,5.95,5.98,0.00,0.00,"74,105",,
2025-05-08,5.99,6.01,5.95,5.98,0.01,0.17,"124,425",,
2025-05-07,6.04,6.04,5.94,5.97,-0.04,-0.67,"183,701",,
2025-05-06,6.07,6.12,5.99,6.01,-0.03,-0.50,"217,192",,
2025-05-05,6.04,6.29,5.97,6.04,0.02,0.33,"1,080,151",,
2025-05-04,6.07,6.09,6.00,6.02,-0.05,-0.82,"168,031",,
2025-05-01,6.11,6.11,6.04,6.07,-0.04,-0.65,"189,648",,
2025-04-30,6.22,6.22,6.11,6.11,-0.10,-1.61,"219,359",,
2025-04-29,6.23,6.26,6.18,6.21,-0.04,-0.64,"86,448",,
2025-04-28,6.28,6.29,6.22,6.25,-0.01,-0.16,"218,063",,
2025-04-27,6.23,6.28,6.21,6.26,0.04,0.64,"201,877",,
2025-04-24,6.25,6.28,6.19,6.22,-0.02,-0.32,"203,946",,
2025-04-23,6.20,6.31,6.13,6.24,0.08,1.30,"590,622",,
2025-04-22,6.14,6.16,6.09,6.16,0.01,0.16,"153,985",,
2025-04-21,6.20,6.22,6.15,6.15,-0.05,-0.81,"116,510",,
2025-04-20,6.14,6.23,6.14,6.20,0.06,0.98,"297,116",,
2025-04-17,6.21,6.21,6.14,6.14,-0.07,-1.13,"223,583",,
2025-04-16,6.17,6.24,6.14,6.21,0.06,0.98,"289,146",,
2025-04-15,6.20,6.26,6.15,6.15,-0.05,-0.81,"616,347",,
2025-04-14,6.23,6.28,6.17,6.20,-0.03,-0.48,"385,447",,
2025-04-13,6.25,6.29,6.21,6.23,0.02,0.32,"278,195",,
2025-04-10,6.42,6.42,6.16,6.21,0.10,1.64,"628,131",,
2025-04-09,6.11,6.14,6.02,6.11,0.00,0.00,"364,793",,
2025-04-08,6.06,6.22,6.05,6.11,0.07,1.16,"439,570",,
2025-04-07,5.62,6.05,5.62,6.04,0.08,1.34,"539,958",,
2025-04-06,6.01,6.10,5.80,5.96,-0.33,-5.25,"426,371",,
2025-04-03,6.31,6.31,6.22,6.29,-0.01,-0.16,"159,343",,
2025-03-27,6.30,6.35,6.29,6.30,-0.02,-0.32,"231,060",,
2025-03-26,6.25,6.32,6.25,6.32,0.08,1.28,"241,894",,
2025-03-25,6.22,6.25,6.17,6.24,0.04,0.65,"167,076",,
2025-03-24,6.25,6.25,6.16,6.20,0.00,0.00,"153,415",,
2025-03-23,6.23,6.31,6.19,6.20,-0.07,-1.12,"269,779",,
2025-03-20,6.27,6.27,6.19,6.27,0.00,0.00,"211,214",,
2025-03-19,6.25,6.28,6.20,6.27,-0.03,-0.48,"164,213",,
2025-03-18,6.40,6.40,6.25,6.30,-0.10,-1.56,"272,847",,
2025-03-17,6.43,6.50,6.36,6.40,-0.01,-0.16,"274,204",,
2025-03-16,6.34,6.44,6.34,6.41,0.07,1.10,"251,766",,
2025-03-13,6.39,6.39,6.30,6.34,-0.05,-0.78,"144,567",,
2025-03-12,6.39,6.44,6.30,6.39,0.00,0.00,"491,882",,
2025-03-11,6.24,6.39,6.10,6.39,0.14,2.24,"405,506",,
2025-03-10,6.30,6.30,6.20,6.25,-0.02,-0.32,"338,104",,
2025-03-09,6.32,6.37,6.25,6.27,0.01,0.16,"164,924",,
2025-03-06,6.35,6.40,6.26,6.26,-0.12,-1.88,"373,600",,
2025-03-05,6.29,6.42,6.29,6.38,0.06,0.95,"236,565",,
2025-03-04,6.53,6.53,6.27,6.32,-0.15,-2.32,"176,459",,
2025-03-03,6.25,6.48,6.25,6.47,0.16,2.54,"322,915",,
2025-03-02,6.43,6.45,6.24,6.31,-0.12,-1.87,"376,870",,
2025-02-27,6.46,6.50,6.41,6.43,-0.03,-0.46,"178,995",,
2025-02-26,6.49,6.52,6.46,6.46,0.01,0.16,"154,202",,
2025-02-25,6.44,6.50,6.37,6.45,0.01,0.16,"369,584",,
2025-02-24,6.61,6.62,6.44,6.44,-0.18,-2.72,"686,676",,
2025-02-20,6.65,6.66,6.60,6.62,-0.03,-0.45,"285,043",,
2025-02-19,6.68,6.70,6.61,6.65,-0.03,-0.45,"563,613",,
2025-02-18,6.68,6.74,6.67,6.68,0.01,0.15,"673,074",,
2025-02-17,6.78,6.78,6.66,6.67,-0.11,-1.62,"907,722",,
2025-02-16,6.75,6.85,6.75,6.78,0.03,0.44,"441,720",,
2025-02-13,6.73,6.81,6.71,6.75,0.02,0.30,"552,020",,
2025-02-12,6.86,6.93,6.73,6.73,-0.13,-1.90,"1,295,323",,
2025-02-11,6.95,7.08,6.86,6.86,-0.07,-1.01,"1,956,816",,
2025-02-10,7.06,7.06,6.92,6.93,-0.07,-1.00,"1,430,401",,
2025-02-09,6.91,7.14,6.85,7.00,0.17,2.49,"4,792,522",,
2025-02-06,6.95,6.95,6.80,6.83,-0.10,-1.44,"997,468",,
2025-02-05,6.81,6.96,6.76,6.93,0.15,2.21,"1,533,649",,
