0,1,2,3,4,5,6,7,8,9
2025-05-29,16.80,16.84,16.16,16.22,-0.28,-1.70,"1,498,451",,
2025-05-28,15.66,17.08,15.66,16.50,0.90,5.77,"4,766,091",,
2025-05-27,16.28,16.34,15.50,15.60,-0.60,-3.70,"1,567,732",,
2025-05-26,16.90,17.08,16.20,16.20,-0.54,-3.23,"1,960,329",,
2025-05-25,16.90,17.28,16.50,16.74,0.02,0.12,"1,576,254",,
2025-05-22,17.36,17.50,16.72,16.72,-0.60,-3.46,"1,412,625",,
2025-05-21,17.36,17.66,17.04,17.32,0.06,0.35,"2,175,445",,
2025-05-20,17.72,17.78,17.20,17.26,-0.28,-1.60,"1,847,392",,
2025-05-19,16.84,17.74,16.64,17.54,0.74,4.40,"3,392,823",,
2025-05-18,17.50,17.92,16.70,16.80,-0.38,-2.21,"3,089,553",,
2025-05-15,17.50,17.66,16.92,17.18,-0.20,-1.15,"4,334,713",,
2025-05-14,16.10,17.52,16.02,17.38,1.44,9.03,"5,878,844",,
2025-05-13,15.64,16.30,15.46,15.94,0.42,2.71,"3,595,054",,
2025-05-12,15.38,16.42,15.20,15.52,0.58,3.88,"6,523,438",,
2025-05-11,16.06,16.30,14.82,14.94,-1.06,-6.63,"2,495,734",,
2025-05-08,15.48,16.64,15.46,16.00,0.56,3.63,"7,685,329",,
2025-05-07,15.72,16.50,15.00,15.44,-0.14,-0.90,"5,257,661",,
2025-05-06,14.60,15.58,14.44,15.58,1.40,9.87,"5,273,107",,
2025-05-05,12.88,14.18,12.76,14.18,1.28,9.92,"1,587,549",,
2025-05-04,13.34,13.40,12.90,12.90,-0.46,-3.44,"535,964",,
2025-05-01,13.78,13.80,13.18,13.36,-0.42,-3.05,"1,101,147",,
2025-04-30,13.38,14.00,13.20,13.78,0.40,2.99,"1,535,319",,
2025-04-29,13.28,13.60,13.26,13.38,0.18,1.36,"1,061,676",,
2025-04-28,13.68,13.70,13.16,13.20,-0.20,-1.49,"1,209,368",,
2025-04-27,13.04,13.60,13.00,13.40,0.44,3.40,"1,657,121",,
2025-04-24,12.80,13.00,12.60,12.96,0.26,2.05,"1,281,864",,
2025-04-23,12.48,12.86,12.26,12.70,0.42,3.42,"1,489,557",,
2025-04-22,12.12,12.50,11.94,12.28,0.12,0.99,"501,811",,
2025-04-21,12.14,12.22,12.10,12.16,0.02,0.16,"313,323",,
2025-04-20,12.02,12.40,12.02,12.14,0.12,1.00,"317,855",,
2025-04-17,12.28,12.48,11.96,12.02,-0.50,-3.99,"808,991",,
2025-04-16,12.22,12.70,12.22,12.52,0.14,1.13,"966,213",,
2025-04-15,12.24,12.54,12.16,12.38,0.22,1.81,"896,860",,
2025-04-14,11.90,12.20,11.78,12.16,0.28,2.36,"720,440",,
2025-04-13,11.60,11.98,11.60,11.88,0.34,2.95,"867,295",,
2025-04-10,11.78,11.78,11.40,11.54,0.50,4.53,"935,376",,
2025-04-09,11.66,11.84,11.00,11.04,-0.66,-5.64,"1,453,307",,
2025-04-08,11.20,11.78,11.20,11.70,0.68,6.17,"1,040,435",,
2025-04-07,10.20,11.24,10.08,11.02,-0.18,-1.61,"1,785,298",,
2025-04-06,11.20,11.66,11.20,11.20,-1.24,-9.97,"929,870",,
2025-04-03,12.16,12.64,12.02,12.44,0.28,2.30,"924,083",,
2025-03-27,11.80,12.48,11.60,12.16,0.50,4.29,"1,673,928",,
2025-03-26,11.18,11.80,11.18,11.66,0.54,4.86,"897,765",,
2025-03-25,11.48,11.50,11.10,11.12,-0.26,-2.28,"486,579",,
2025-03-24,11.48,11.48,11.14,11.38,0.06,0.53,"413,880",,
2025-03-23,11.68,11.68,11.32,11.32,-0.36,-3.08,"391,091",,
2025-03-20,11.60,11.80,11.46,11.68,0.06,0.52,"569,632",,
2025-03-19,12.18,12.18,11.16,11.62,-0.22,-1.86,"1,233,089",,
2025-03-18,12.82,12.88,11.82,11.84,-0.92,-7.21,"2,784,548",,
2025-03-17,13.12,13.50,12.66,12.76,-0.36,-2.74,"831,379",,
2025-03-16,12.82,13.38,12.72,13.12,0.30,2.34,"651,602",,
2025-03-13,12.90,13.10,12.56,12.82,0.00,0.00,"980,829",,
2025-03-12,12.12,13.02,12.08,12.82,0.74,6.13,"1,090,946",,
2025-03-11,11.82,12.16,11.48,12.08,0.04,0.33,"665,759",,
2025-03-10,12.38,12.38,11.90,12.04,-0.32,-2.59,"453,457",,
2025-03-09,12.38,12.60,12.08,12.36,0.04,0.32,"420,190",,
2025-03-06,12.50,12.66,12.10,12.32,-0.32,-2.53,"839,411",,
2025-03-05,12.92,13.06,12.44,12.64,-0.38,-2.92,"782,225",,
2025-03-04,13.40,13.40,12.74,13.02,-0.42,-3.13,"1,106,959",,
2025-03-03,13.74,13.94,13.00,13.44,-0.30,-2.18,"976,891",,
2025-03-02,14.74,14.90,13.74,13.74,-1.00,-6.78,"941,480",,
2025-02-27,14.84,15.00,14.70,14.74,-0.12,-0.81,"399,668",,
2025-02-26,15.00,15.48,14.86,14.86,-0.04,-0.27,"732,392",,
2025-02-25,14.92,15.10,14.76,14.90,-0.02,-0.13,"450,208",,
2025-02-24,15.02,15.20,14.76,14.92,-0.20,-1.32,"427,060",,
2025-02-20,15.26,15.42,15.02,15.12,-0.14,-0.92,"444,559",,
2025-02-19,15.60,15.74,15.12,15.26,-0.34,-2.18,"443,802",,
2025-02-18,16.12,16.26,15.40,15.60,-0.52,-3.23,"1,032,437",,
2025-02-17,16.26,16.26,15.98,16.12,-0.10,-0.62,"591,719",,
2025-02-16,16.40,16.50,16.14,16.22,-0.12,-0.73,"843,932",,
2025-02-13,16.58,16.70,16.10,16.34,-0.20,-1.21,"2,124,289",,
2025-02-12,15.82,16.76,15.70,16.54,0.86,5.48,"5,621,040",,
2025-02-11,14.92,15.86,14.82,15.68,0.80,5.38,"3,080,181",,
2025-02-10,14.86,15.16,14.82,14.88,0.06,0.40,"802,947",,
2025-02-09,14.94,15.02,14.76,14.82,-0.12,-0.80,"568,599",,
2025-02-06,15.06,15.18,14.82,14.94,-0.12,-0.80,"1,256,506",,
2025-02-05,15.26,15.82,15.04,15.06,-0.24,-1.57,"2,459,084",,
2025-02-04,15.32,15.44,15.26,15.30,-0.02,-0.13,"378,768",,
2025-02-03,15.28,15.46,15.22,15.32,-0.04,-0.26,"747,775",,
2025-02-02,15.34,15.68,15.20,15.36,0.02,0.13,"1,250,028",,
2025-01-30,15.24,15.34,15.20,15.34,0.06,0.39,"604,275",,
2025-01-29,15.32,15.64,15.28,15.28,0.06,0.39,"1,752,029",,
2025-01-28,15.40,15.48,15.22,15.22,-0.18,-1.17,"740,701",,
2025-01-27,15.58,15.68,15.18,15.40,-0.04,-0.26,"1,494,021",,
2025-01-26,15.50,15.62,15.40,15.44,0.02,0.13,"711,326",,
2025-01-23,15.48,15.54,15.32,15.42,-0.06,-0.39,"897,614",,
2025-01-22,15.70,15.80,15.38,15.48,-0.22,-1.40,"1,537,377",,
2025-01-21,15.60,16.08,15.38,15.70,0.20,1.29,"2,579,986",,
2025-01-20,15.72,15.74,15.32,15.50,-0.22,-1.40,"1,542,969",,
2025-01-19,15.98,16.00,15.66,15.72,-0.14,-0.88,"1,733,166",,
2025-01-16,15.60,16.16,15.22,15.86,0.36,2.32,"3,458,167",,
2025-01-15,15.80,15.98,15.40,15.50,-0.28,-1.77,"2,678,476",,
2025-01-14,14.62,15.86,14.52,15.78,1.18,8.08,"5,913,924",,
2025-01-13,15.46,15.46,14.30,14.60,-0.86,-5.56,"4,348,176",,
2025-01-12,14.70,15.94,14.36,15.46,0.72,4.88,"5,430,173",,
2025-01-09,13.84,14.80,13.70,14.74,0.90,6.50,"3,556,806",,
2025-01-08,13.86,14.20,13.80,13.84,-0.06,-0.43,"1,224,285",,
2025-01-07,14.24,14.36,13.80,13.90,-0.46,-3.20,"1,927,729",,
2025-01-06,14.40,14.62,14.22,14.36,-0.04,-0.28,"1,330,388",,
2025-01-05,15.00,15.00,14.28,14.40,-0.04,-0.28,"2,412,955",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
