0,1,2,3,4,5,6,7,8,9
2025-05-29,12.38,12.86,12.30,12.86,0.50,4.05,"4,830,632",,
2025-05-28,12.34,12.38,12.30,12.36,0.04,0.32,"1,197,858",,
2025-05-27,12.40,12.42,12.32,12.32,-0.10,-0.81,"1,601,816",,
2025-05-26,12.38,12.42,12.36,12.42,0.06,0.49,"1,355,189",,
2025-05-25,12.46,12.46,12.34,12.36,-0.12,-0.96,"779,165",,
2025-05-22,12.38,12.48,12.32,12.48,0.10,0.81,"1,162,378",,
2025-05-21,12.40,12.44,12.36,12.38,0.00,0.00,"974,558",,
2025-05-20,12.40,12.44,12.36,12.38,-0.06,-0.48,"755,441",,
2025-05-19,12.44,12.46,12.34,12.44,-0.04,-0.32,"1,528,001",,
2025-05-18,12.50,12.50,12.42,12.48,-0.02,-0.16,"498,765",,
2025-05-15,12.44,12.52,12.40,12.50,0.04,0.32,"1,568,556",,
2025-05-14,12.50,12.52,12.42,12.46,-0.04,-0.32,"1,043,671",,
2025-05-13,12.52,12.54,12.40,12.50,-0.14,-1.11,"1,618,901",,
2025-05-12,12.52,12.66,12.52,12.64,0.14,1.12,"1,607,532",,
2025-05-11,12.38,12.52,12.38,12.50,0.12,0.97,"699,436",,
2025-05-08,12.50,12.56,12.38,12.38,-0.10,-0.80,"1,715,796",,
2025-05-07,12.56,12.60,12.48,12.48,-0.12,-0.95,"1,563,072",,
2025-05-06,12.50,12.60,12.50,12.60,0.08,0.64,"1,161,150",,
2025-05-05,12.58,12.58,12.52,12.52,-0.08,-0.63,"799,887",,
2025-05-04,12.64,12.64,12.52,12.60,-0.04,-0.32,"631,514",,
2025-05-01,12.60,12.64,12.54,12.64,0.02,0.16,"1,023,879",,
2025-04-30,12.64,12.68,12.58,12.62,-0.04,-0.32,"1,358,859",,
2025-04-29,12.66,12.70,12.60,12.66,0.02,0.16,"1,096,386",,
2025-04-28,12.70,12.70,12.64,12.64,-0.06,-0.47,"839,874",,
2025-04-27,12.68,12.70,12.66,12.70,0.06,0.47,"1,081,658",,
2025-04-24,12.66,12.70,12.60,12.64,0.00,0.00,"1,422,221",,
2025-04-23,12.70,12.70,12.56,12.64,-0.06,-0.47,"2,799,800",,
2025-04-22,12.62,12.70,12.54,12.70,0.02,0.16,"1,453,551",,
2025-04-21,12.82,12.82,12.68,12.68,-0.14,-1.09,"1,084,015",,
2025-04-20,12.82,12.84,12.74,12.82,0.00,0.00,"1,046,504",,
2025-04-17,12.88,12.90,12.78,12.82,-0.06,-0.47,"1,302,938",,
2025-04-16,12.86,12.92,12.78,12.88,0.02,0.16,"2,277,595",,
2025-04-15,12.90,12.94,12.84,12.86,-0.04,-0.31,"906,644",,
2025-04-14,12.84,12.90,12.80,12.90,0.06,0.47,"1,833,986",,
2025-04-13,12.82,12.86,12.76,12.84,0.04,0.31,"1,231,548",,
