0,1,2,3,4,5,6,7,8,9
2025-05-29,58.60,59.60,58.20,59.60,1.00,1.71,"68,117",,
2025-05-28,56.90,59.00,56.60,58.60,2.20,3.90,"94,257",,
2025-05-27,57.50,57.90,55.70,56.40,-1.10,-1.91,"91,603",,
2025-05-26,57.70,58.20,57.30,57.50,-0.20,-0.35,"72,692",,
2025-05-25,58.70,58.70,57.70,57.70,-1.10,-1.87,"57,866",,
2025-05-22,58.90,59.00,58.30,58.80,-0.40,-0.68,"32,179",,
2025-05-21,59.80,59.80,58.20,59.20,-0.50,-0.84,"74,631",,
2025-05-20,59.70,59.70,59.10,59.70,0.20,0.34,"58,148",,
2025-05-19,60.30,60.70,58.90,59.50,-1.40,-2.30,"123,368",,
2025-05-18,59.60,61.40,59.50,60.90,1.30,2.18,"169,053",,
2025-05-15,60.10,60.20,59.10,59.60,-0.30,-0.50,"103,936",,
2025-05-14,60.10,60.50,59.20,59.90,-0.10,-0.17,"112,696",,
2025-05-13,60.10,60.90,59.20,60.00,-0.20,-0.33,"250,751",,
2025-05-12,60.90,61.60,59.70,60.20,-0.40,-0.66,"156,145",,
2025-05-11,58.50,61.50,58.00,60.60,2.40,4.12,"132,212",,
2025-05-08,61.00,61.30,58.20,58.20,-2.70,-4.43,"138,628",,
2025-05-07,62.60,62.60,60.80,60.90,-1.70,-2.72,"81,507",,
2025-05-06,62.70,63.00,61.70,62.60,0.30,0.48,"105,948",,
2025-05-05,61.50,63.40,60.30,62.30,0.80,1.30,"247,029",,
2025-05-04,63.10,64.00,61.40,61.50,-3.70,-5.67,"230,778",,
2025-05-01,66.10,66.10,64.60,65.20,-0.90,-1.36,"106,220",,
2025-04-30,66.10,66.40,63.80,66.10,0.20,0.30,"184,573",,
2025-04-29,63.70,67.00,63.20,65.90,2.20,3.45,"452,978",,
2025-04-28,63.00,63.90,62.90,63.70,0.70,1.11,"83,897",,
2025-04-27,63.70,64.20,62.90,63.00,-0.60,-0.94,"66,445",,
2025-04-24,62.90,63.90,62.70,63.60,0.70,1.11,"76,313",,
2025-04-23,63.30,64.00,62.50,62.90,0.20,0.32,"104,351",,
2025-04-22,63.50,63.90,62.70,62.70,-1.20,-1.88,"76,701",,
2025-04-21,63.00,64.40,62.30,63.90,0.90,1.43,"93,186",,
2025-04-20,62.70,63.60,62.70,63.00,0.40,0.64,"26,508",,
2025-04-17,63.50,64.20,62.60,62.60,-0.90,-1.42,"115,622",,
2025-04-16,63.60,64.60,63.40,63.50,-0.60,-0.94,"49,134",,
2025-04-15,64.50,65.50,64.10,64.10,-0.60,-0.93,"142,055",,
2025-04-14,63.90,65.20,63.50,64.70,0.80,1.25,"181,268",,
2025-04-13,64.00,64.60,63.20,63.90,0.90,1.43,"193,907",,
2025-04-10,63.70,64.30,61.80,63.00,2.10,3.45,"342,573",,
2025-04-09,63.20,63.20,60.70,60.90,-2.10,-3.33,"228,401",,
2025-04-08,62.00,63.70,61.90,63.00,2.00,3.28,"219,361",,
2025-04-07,58.00,61.60,55.00,61.00,0.60,0.99,"398,993",,
2025-04-06,64.40,64.40,60.40,60.40,-6.70,-9.99,"237,599",,
2025-04-03,66.70,69.70,66.00,67.10,-0.80,-1.18,"143,572",,
2025-03-27,67.50,69.00,66.80,67.90,0.90,1.34,"106,798",,
2025-03-26,64.60,67.90,64.40,67.00,1.10,1.67,"228,607",,
2025-03-25,66.10,66.30,65.00,65.90,0.00,0.00,"103,541",,
2025-03-24,66.10,67.00,64.60,65.90,-0.40,-0.60,"124,447",,
2025-03-23,67.40,67.90,66.10,66.30,-1.10,-1.63,"21,765",,
2025-03-20,67.00,68.10,66.80,67.40,0.00,0.00,"87,794",,
2025-03-19,68.70,68.70,66.50,67.40,-1.20,-1.75,"125,453",,
2025-03-18,69.70,69.70,67.80,68.60,-1.10,-1.58,"221,951",,
2025-03-17,72.00,72.00,69.70,69.70,-1.90,-2.65,"118,057",,
2025-03-16,69.60,71.60,69.60,71.60,2.00,2.87,"90,435",,
2025-03-13,70.50,71.40,69.60,69.60,-1.20,-1.69,"105,183",,
2025-03-12,70.20,71.00,69.50,70.80,0.00,0.00,"122,562",,
2025-03-11,71.00,71.00,68.20,70.80,-0.40,-0.56,"169,787",,
2025-03-10,70.30,72.00,68.10,71.20,0.90,1.28,"207,022",,
2025-03-09,69.00,70.30,67.40,70.30,1.30,1.88,"79,335",,
2025-03-06,70.00,70.00,63.00,69.00,-1.00,-1.43,"111,647",,
2025-03-05,70.60,73.00,68.60,70.00,-1.00,-1.41,"111,910",,
2025-03-04,71.50,72.20,69.90,71.00,-0.90,-1.25,"78,914",,
2025-03-03,69.80,72.30,69.70,71.90,2.00,2.86,"185,173",,
2025-03-02,72.40,72.40,69.90,69.90,-2.60,-3.59,"86,252",,
2025-02-27,73.20,73.70,72.30,72.50,-0.20,-0.28,"69,454",,
2025-02-26,72.80,73.40,72.00,72.70,-0.10,-0.14,"77,545",,
2025-02-25,71.80,74.00,71.60,72.80,0.80,1.11,"101,402",,
2025-02-24,72.60,73.10,71.10,72.00,-0.70,-0.96,"75,629",,
2025-02-20,72.70,73.20,72.10,72.70,0.00,0.00,"92,507",,
2025-02-19,73.10,73.40,71.90,72.70,-0.30,-0.41,"96,460",,
2025-02-18,73.80,74.80,72.60,73.00,-1.10,-1.48,"105,239",,
2025-02-17,75.40,75.50,73.50,74.10,-1.40,-1.85,"160,005",,
2025-02-16,76.50,76.80,75.30,75.50,-0.30,-0.40,"106,494",,
2025-02-13,76.70,77.70,75.80,75.80,-0.90,-1.17,"217,518",,
2025-02-12,77.50,77.60,76.50,76.70,-0.50,-0.65,"152,680",,
2025-02-11,76.00,78.20,75.00,77.20,1.20,1.58,"446,736",,
2025-02-10,77.00,77.50,75.60,76.00,-1.00,-1.30,"182,726",,
2025-02-09,77.40,77.70,76.60,77.00,-0.40,-0.52,"144,284",,
2025-02-06,76.70,77.70,76.00,77.40,1.00,1.31,"295,380",,
2025-02-05,74.50,76.80,74.50,76.40,1.90,2.55,"286,272",,
2025-02-04,73.70,74.90,73.70,74.50,0.50,0.68,"153,219",,
2025-02-03,75.00,75.00,73.70,74.00,-1.00,-1.33,"186,749",,
2025-02-02,73.30,75.60,73.30,75.00,1.70,2.32,"201,186",,
2025-01-30,73.40,74.30,72.70,73.30,0.30,0.41,"206,046",,
2025-01-29,76.10,76.40,73.00,73.00,-3.00,-3.95,"352,822",,
2025-01-28,76.00,77.30,75.50,76.00,0.00,0.00,"439,284",,
2025-01-27,76.00,77.20,74.70,76.00,-0.20,-0.26,"381,703",,
2025-01-26,74.40,77.50,74.40,76.20,2.20,2.97,"604,054",,
2025-01-23,71.80,74.80,71.70,74.00,2.30,3.21,"699,918",,
