0,1,2,3,4,5,6,7,8,9
2025-05-29,28.75,29.20,28.50,28.85,0.20,0.70,"96,107",,
2025-05-28,28.05,28.95,28.05,28.65,0.60,2.14,"119,761",,
2025-05-27,29.30,29.30,28.05,28.05,-0.85,-2.94,"109,973",,
2025-05-26,29.40,29.85,28.30,28.90,-0.50,-1.70,"233,675",,
2025-05-25,30.55,30.85,29.20,29.40,-1.35,-4.39,"245,886",,
2025-05-22,30.55,31.00,30.20,30.75,0.20,0.65,"142,993",,
2025-05-21,31.30,31.55,30.45,30.55,-0.75,-2.40,"147,873",,
2025-05-20,31.00,31.65,31.00,31.30,0.30,0.97,"179,039",,
2025-05-19,32.35,32.50,30.80,31.00,-1.30,-4.02,"355,529",,
2025-05-18,33.05,34.40,32.25,32.30,0.10,0.31,"1,087,460",,
2025-05-15,31.90,32.60,31.30,32.20,0.40,1.26,"491,994",,
2025-05-14,31.20,31.95,31.05,31.80,0.60,1.92,"106,032",,
2025-05-13,31.50,31.50,30.90,31.20,-0.20,-0.64,"74,983",,
2025-05-12,30.75,31.55,30.60,31.40,0.80,2.61,"92,042",,
2025-05-11,31.10,31.25,30.00,30.60,-0.35,-1.13,"80,327",,
2025-05-08,30.85,31.00,30.60,30.95,0.05,0.16,"57,806",,
2025-05-07,31.20,31.45,30.80,30.90,-0.60,-1.90,"53,744",,
2025-05-06,31.90,32.00,31.10,31.50,-0.40,-1.25,"61,410",,
2025-05-05,31.10,32.00,30.95,31.90,0.85,2.74,"113,090",,
2025-05-04,31.10,31.65,31.05,31.05,-0.20,-0.64,"24,146",,
2025-05-01,31.15,31.55,31.00,31.25,-0.30,-0.95,"59,923",,
2025-04-30,32.25,32.25,31.00,31.55,-0.60,-1.87,"80,329",,
2025-04-29,32.25,32.45,31.80,32.15,-0.15,-0.46,"73,665",,
2025-04-28,32.00,32.90,31.85,32.30,0.15,0.47,"177,053",,
2025-04-27,31.60,32.20,31.60,32.15,0.30,0.94,"76,381",,
2025-04-24,31.80,32.05,31.30,31.85,0.15,0.47,"104,470",,
2025-04-23,31.45,32.40,31.35,31.70,0.60,1.93,"122,121",,
2025-04-22,31.00,31.65,30.75,31.10,-0.10,-0.32,"131,846",,
2025-04-21,30.95,31.45,30.95,31.20,0.20,0.65,"65,032",,
2025-04-20,30.90,31.75,30.90,31.00,0.05,0.16,"92,845",,
2025-04-17,30.85,32.00,30.70,30.95,0.20,0.65,"166,330",,
2025-04-16,30.90,31.30,30.65,30.75,-0.25,-0.81,"117,516",,
2025-04-15,31.35,31.75,31.00,31.00,-0.40,-1.27,"88,405",,
2025-04-14,30.65,32.00,30.65,31.40,0.50,1.62,"195,039",,
2025-04-13,30.20,31.00,30.20,30.90,0.75,2.49,"70,156",,
2025-04-10,30.50,30.60,30.10,30.15,0.95,3.25,"119,357",,
2025-04-09,29.50,29.90,29.10,29.20,-0.70,-2.34,"112,601",,
2025-04-08,29.90,30.40,29.50,29.90,0.40,1.36,"183,346",,
2025-04-07,28.80,29.70,27.45,29.50,0.50,1.72,"186,042",,
2025-04-06,28.50,29.95,28.50,29.00,-2.00,-6.45,"164,943",,
2025-04-03,31.50,31.55,30.85,31.00,-1.05,-3.28,"183,550",,
2025-03-27,32.40,32.40,32.00,32.05,0.05,0.16,"83,596",,
2025-03-26,31.65,32.25,31.65,32.00,0.35,1.11,"233,130",,
2025-03-25,32.40,32.60,31.65,31.65,-0.90,-2.76,"117,296",,
2025-03-24,31.90,32.65,31.85,32.55,0.45,1.40,"105,567",,
2025-03-23,33.20,33.20,32.05,32.10,-1.05,-3.17,"189,134",,
2025-03-20,33.60,34.10,33.00,33.15,-0.70,-2.07,"172,189",,
2025-03-19,33.80,34.10,33.65,33.85,-0.50,-1.46,"71,695",,
2025-03-18,34.35,34.45,33.50,34.35,-0.10,-0.29,"178,094",,
2025-03-17,33.70,34.80,33.15,34.45,0.75,2.23,"263,446",,
2025-03-16,33.05,34.10,32.90,33.70,0.65,1.97,"306,759",,
2025-03-13,32.70,33.20,32.25,33.05,0.35,1.07,"119,927",,
2025-03-12,31.30,32.90,31.10,32.70,1.70,5.48,"210,260",,
2025-03-11,30.50,31.25,29.30,31.00,0.35,1.14,"151,300",,
2025-03-10,31.30,31.95,30.30,30.65,-0.60,-1.92,"131,993",,
2025-03-09,31.15,33.35,30.90,31.25,0.90,2.97,"302,293",,
2025-03-06,30.50,31.00,30.15,30.35,-0.30,-0.98,"43,292",,
2025-03-05,30.65,31.00,30.55,30.65,0.00,0.00,"29,863",,
2025-03-04,31.50,31.50,30.65,30.65,-0.65,-2.08,"48,033",,
2025-03-03,31.10,31.80,30.85,31.30,0.15,0.48,"44,816",,
2025-03-02,32.70,32.70,31.00,31.15,-1.15,-3.56,"38,249",,
2025-02-27,32.00,32.30,31.75,32.30,0.35,1.10,"29,110",,
2025-02-26,32.05,32.65,31.90,31.95,-0.10,-0.31,"54,388",,
2025-02-25,32.05,32.45,31.75,32.05,-0.20,-0.62,"53,680",,
2025-02-24,32.60,33.00,32.25,32.25,-0.50,-1.53,"55,567",,
2025-02-20,33.05,33.10,32.55,32.75,-0.30,-0.91,"45,792",,
2025-02-19,33.60,33.60,33.00,33.05,-0.45,-1.34,"53,802",,
2025-02-18,32.80,33.55,32.80,33.50,0.50,1.52,"66,973",,
2025-02-17,33.55,33.55,32.80,33.00,-0.45,-1.35,"140,340",,
2025-02-16,33.40,33.90,33.30,33.45,-0.05,-0.15,"104,708",,
2025-02-13,33.60,33.90,33.25,33.50,-0.40,-1.18,"79,168",,
2025-02-12,34.00,34.15,33.60,33.90,-0.15,-0.44,"138,854",,
2025-02-11,34.05,34.65,33.90,34.05,-0.05,-0.15,"162,548",,
2025-02-10,34.70,34.85,34.10,34.10,-0.65,-1.87,"89,622",,
2025-02-09,34.75,35.00,34.60,34.75,-0.15,-0.43,"73,835",,
2025-02-06,34.70,35.20,34.45,34.90,0.25,0.72,"122,293",,
