0,1,2,3,4,5,6,7,8,9
2025-05-29,87.10,87.60,86.20,86.90,-0.20,-0.23,"338,880",,
2025-05-28,85.30,87.30,85.30,87.10,2.10,2.47,"251,279",,
2025-05-27,86.30,86.70,84.40,85.00,-1.30,-1.51,"335,701",,
2025-05-26,86.20,87.30,85.70,86.30,-0.30,-0.35,"161,120",,
2025-05-25,86.70,87.20,86.10,86.60,0.10,0.12,"102,374",,
2025-05-22,86.60,87.10,85.80,86.50,-0.40,-0.46,"372,049",,
2025-05-21,87.60,88.00,86.40,86.90,-0.40,-0.46,"325,066",,
2025-05-20,86.60,88.10,85.50,87.30,1.40,1.63,"762,870",,
2025-05-19,89.90,90.00,85.80,85.90,-4.20,-4.66,"665,979",,
2025-05-18,90.20,90.40,89.60,90.10,-0.10,-0.11,"101,765",,
2025-05-15,90.60,90.60,89.50,90.20,-0.80,-0.88,"230,302",,
2025-05-14,91.50,91.50,90.30,91.00,0.00,0.00,"262,205",,
2025-05-13,91.00,91.40,90.60,91.00,0.20,0.22,"163,884",,
2025-05-12,91.80,92.40,90.30,90.80,-0.90,-0.98,"264,291",,
2025-05-11,91.30,92.30,91.30,91.70,0.80,0.88,"80,836",,
2025-05-08,90.80,92.20,90.50,90.90,0.00,0.00,"216,605",,
2025-05-07,90.90,91.30,90.20,90.90,0.00,0.00,"146,868",,
2025-05-06,91.00,91.00,89.80,90.90,0.10,0.11,"224,326",,
2025-05-05,91.30,92.00,90.60,90.80,-0.80,-0.87,"247,991",,
2025-05-04,91.80,92.40,91.60,91.60,0.00,0.00,"55,313",,
2025-05-01,93.30,93.60,91.20,91.60,-2.40,-2.55,"217,843",,
2025-04-30,94.00,94.40,93.10,94.00,0.00,0.00,"138,045",,
2025-04-29,92.50,94.00,92.40,94.00,1.10,1.18,"216,244",,
2025-04-28,92.00,93.00,91.30,92.90,1.10,1.20,"267,436",,
2025-04-27,92.00,92.40,91.20,91.80,-0.10,-0.11,"131,131",,
2025-04-24,92.20,93.40,91.60,91.90,-0.50,-0.54,"349,733",,
2025-04-23,91.90,93.10,91.70,92.40,1.20,1.32,"315,911",,
2025-04-22,92.00,92.00,91.00,91.20,-0.80,-0.87,"356,158",,
2025-04-21,93.80,94.00,91.80,92.00,-1.70,-1.81,"200,748",,
2025-04-20,93.20,94.00,93.20,93.70,0.70,0.75,"90,078",,
2025-04-17,93.50,94.20,92.50,93.00,-1.00,-1.06,"277,556",,
2025-04-16,94.90,95.10,93.60,94.00,-0.80,-0.84,"290,297",,
2025-04-15,93.00,95.50,92.90,94.80,1.80,1.94,"599,498",,
2025-04-14,93.10,93.30,92.50,93.00,0.60,0.65,"246,865",,
2025-04-13,92.10,93.00,91.50,92.40,0.30,0.33,"198,388",,
2025-04-10,93.80,93.80,91.60,92.10,1.90,2.11,"393,260",,
2025-04-09,90.80,91.70,89.30,90.20,-0.70,-0.77,"422,441",,
2025-04-08,91.30,93.50,89.30,90.90,0.90,1.00,"906,233",,
2025-04-07,86.00,90.50,83.80,90.00,2.40,2.74,"798,904",,
2025-04-06,88.70,90.20,87.00,87.60,-5.50,-5.91,"520,352",,
2025-04-03,93.40,94.50,93.00,93.10,-1.10,-1.17,"350,711",,
2025-03-27,93.80,94.30,93.50,94.20,0.30,0.32,"172,616",,
2025-03-26,92.40,93.90,92.40,93.90,2.10,2.29,"240,792",,
2025-03-25,93.60,93.80,91.80,91.80,-1.30,-1.40,"158,737",,
2025-03-24,93.20,93.80,93.10,93.10,-0.10,-0.11,"151,615",,
2025-03-23,93.80,94.00,92.70,93.20,-0.70,-0.75,"91,448",,
2025-03-20,93.00,93.90,92.20,93.90,0.70,0.75,"469,715",,
2025-03-19,94.00,94.00,92.00,93.20,-3.20,-3.32,"516,065",,
2025-03-18,96.10,96.80,95.50,96.40,0.30,0.31,"529,020",,
2025-03-17,95.50,97.20,95.40,96.10,0.70,0.73,"457,687",,
2025-03-16,95.50,95.90,95.00,95.40,0.00,0.00,"438,012",,
2025-03-13,95.70,96.00,95.10,95.40,-0.60,-0.63,"424,843",,
2025-03-12,94.90,96.50,94.80,96.00,1.10,1.16,"323,948",,
2025-03-11,95.00,95.60,93.00,94.90,-0.10,-0.11,"341,879",,
2025-03-10,97.80,98.00,94.80,95.00,-2.80,-2.86,"433,418",,
2025-03-09,97.00,98.00,96.40,97.80,0.70,0.72,"178,958",,
2025-03-06,97.00,97.10,95.30,97.10,0.00,0.00,"489,404",,
2025-03-05,96.20,97.20,96.00,97.10,1.10,1.15,"338,083",,
2025-03-04,96.70,98.00,94.30,96.00,-1.20,-1.23,"712,587",,
2025-03-03,97.30,98.00,96.60,97.20,-0.30,-0.31,"425,671",,
2025-03-02,97.10,97.80,95.60,97.50,-0.30,-0.31,"204,151",,
2025-02-27,96.90,97.80,96.30,97.80,0.90,0.93,"299,328",,
2025-02-26,96.60,97.30,96.00,96.90,0.30,0.31,"182,165",,
2025-02-25,96.80,96.80,95.70,96.60,-0.20,-0.21,"255,788",,
2025-02-24,96.40,97.90,95.90,96.80,0.30,0.31,"285,918",,
2025-02-20,95.50,96.50,94.50,96.50,-0.20,-0.21,"627,884",,
2025-02-19,96.40,96.70,95.50,96.70,0.20,0.21,"254,117",,
2025-02-18,96.60,97.00,96.20,96.50,0.50,0.52,"369,320",,
2025-02-17,97.00,97.40,95.60,96.00,-1.00,-1.03,"253,472",,
2025-02-16,97.90,97.90,96.80,97.00,-0.90,-0.92,"129,877",,
2025-02-13,98.70,98.70,97.40,97.90,-1.10,-1.11,"360,361",,
2025-02-12,99.30,99.30,97.70,99.00,-0.40,-0.40,"348,468",,
2025-02-11,97.80,99.40,97.50,99.40,1.60,1.64,"419,538",,
2025-02-10,98.10,98.40,97.40,97.80,-0.30,-0.31,"190,156",,
2025-02-09,98.50,98.60,97.90,98.10,-0.60,-0.61,"129,421",,
2025-02-06,97.80,98.70,97.40,98.70,0.90,0.92,"298,178",,
2025-02-05,97.50,97.90,96.70,97.80,0.10,0.10,"263,941",,
2025-02-04,97.60,97.70,96.90,97.70,0.00,0.00,"208,255",,
2025-02-03,98.30,98.30,96.80,97.70,-0.80,-0.81,"354,184",,
2025-02-02,98.40,98.80,97.80,98.50,0.10,0.10,"177,985",,
2025-01-30,97.80,98.40,97.60,98.40,0.90,0.92,"186,532",,
2025-01-29,98.90,98.90,97.40,97.50,-1.40,-1.42,"219,911",,
2025-01-28,98.10,99.30,97.30,98.90,0.90,0.92,"606,407",,
2025-01-27,96.20,99.90,95.70,98.00,1.80,1.87,"1,673,568",,
