0,1,2,3,4,5,6,7,8,9
2025-05-29,3.60,3.69,3.60,3.65,0.05,1.39,"973,421",,
2025-05-28,3.53,3.65,3.53,3.60,0.07,1.98,"1,682,094",,
2025-05-27,3.65,3.66,3.52,3.53,-0.13,-3.55,"2,200,957",,
2025-05-26,3.69,3.71,3.57,3.66,-0.03,-0.81,"1,367,188",,
2025-05-25,3.69,3.75,3.65,3.69,0.01,0.27,"1,390,779",,
2025-05-22,3.77,3.84,3.68,3.68,-0.13,-3.41,"2,813,256",,
2025-05-21,3.83,3.84,3.75,3.81,-0.03,-0.78,"1,718,026",,
2025-05-20,3.88,3.89,3.79,3.84,-0.02,-0.52,"1,561,105",,
2025-05-19,3.85,3.90,3.83,3.86,0.01,0.26,"1,937,176",,
2025-05-18,3.97,3.98,3.85,3.85,-0.10,-2.53,"2,633,269",,
2025-05-15,4.00,4.01,3.90,3.95,-0.11,-2.71,"4,266,895",,
2025-05-14,4.04,4.09,4.02,4.06,0.04,1.00,"1,166,690",,
2025-05-13,4.09,4.09,4.02,4.02,-0.05,-1.23,"1,923,436",,
2025-05-12,4.02,4.10,4.02,4.07,0.06,1.50,"2,519,821",,
2025-05-11,4.06,4.06,4.01,4.01,-0.01,-0.25,"1,256,851",,
2025-05-08,4.04,4.12,4.01,4.02,-0.01,-0.25,"3,604,570",,
2025-05-07,4.05,4.06,4.01,4.03,-0.03,-0.74,"2,373,702",,
2025-05-06,4.06,4.09,4.01,4.06,0.00,0.00,"2,831,191",,
2025-05-05,4.08,4.12,4.03,4.06,-0.04,-0.98,"5,054,714",,
2025-05-04,4.04,4.26,4.02,4.10,0.06,1.49,"12,779,206",,
2025-05-01,4.01,4.04,3.99,4.04,0.02,0.50,"2,271,208",,
2025-04-30,4.09,4.10,4.02,4.02,-0.06,-1.47,"2,311,080",,
2025-04-29,4.06,4.10,4.04,4.08,0.02,0.49,"2,220,083",,
2025-04-28,4.06,4.11,4.05,4.06,-0.02,-0.49,"2,758,403",,
2025-04-27,4.10,4.11,4.08,4.08,0.00,0.00,"2,166,391",,
2025-04-24,4.09,4.11,4.07,4.08,-0.01,-0.24,"2,937,303",,
2025-04-23,4.14,4.14,4.07,4.09,0.01,0.25,"4,148,785",,
2025-04-22,4.05,4.13,4.05,4.08,0.00,0.00,"3,135,611",,
2025-04-21,4.16,4.16,4.06,4.08,-0.08,-1.92,"3,626,634",,
2025-04-20,4.13,4.20,4.13,4.16,0.03,0.73,"2,745,122",,
2025-04-17,4.19,4.20,4.12,4.13,-0.08,-1.90,"4,150,222",,
2025-04-16,4.19,4.43,4.14,4.21,0.05,1.20,"21,122,605",,
2025-04-15,4.13,4.20,4.06,4.16,0.05,1.22,"7,418,561",,
2025-04-14,4.15,4.16,4.08,4.11,-0.01,-0.24,"3,706,466",,
2025-04-13,4.12,4.17,4.11,4.12,0.02,0.49,"5,354,118",,
2025-04-10,4.19,4.23,4.09,4.10,0.08,1.99,"5,237,132",,
2025-04-09,4.05,4.26,3.99,4.02,-0.17,-4.06,"4,977,461",,
2025-04-08,4.24,4.36,4.17,4.19,0.01,0.24,"4,241,085",,
2025-04-07,4.03,4.30,3.95,4.18,0.04,0.97,"8,872,376",,
2025-04-06,4.18,4.40,4.10,4.14,-0.29,-6.55,"8,185,501",,
2025-04-03,4.04,4.44,3.97,4.43,0.39,9.65,"14,545,345",,
2025-03-27,4.06,4.08,4.01,4.04,0.01,0.25,"1,283,717",,
2025-03-26,3.94,4.05,3.94,4.03,0.09,2.28,"1,098,653",,
2025-03-25,4.05,4.05,3.89,3.94,-0.03,-0.76,"732,122",,
2025-03-24,3.95,4.03,3.90,3.97,0.06,1.53,"1,185,501",,
2025-03-23,3.94,4.00,3.89,3.91,-0.02,-0.51,"525,026",,
2025-03-20,3.88,3.95,3.88,3.93,0.06,1.55,"558,368",,
2025-03-19,4.00,4.02,3.85,3.87,-0.12,-3.01,"1,269,511",,
2025-03-18,4.03,4.05,3.96,3.99,-0.03,-0.75,"1,015,710",,
2025-03-17,4.08,4.14,3.99,4.02,-0.06,-1.47,"2,007,789",,
2025-03-16,4.06,4.10,4.05,4.08,0.02,0.49,"881,199",,
2025-03-13,4.05,4.15,4.02,4.06,0.04,1.00,"1,557,680",,
2025-03-12,3.95,4.03,3.93,4.02,0.07,1.77,"1,102,296",,
2025-03-11,3.78,3.97,3.60,3.95,0.16,4.22,"3,466,515",,
2025-03-10,4.04,4.04,3.77,3.79,-0.25,-6.19,"3,880,817",,
2025-03-09,4.07,4.12,4.00,4.04,-0.03,-0.74,"921,120",,
2025-03-06,4.12,4.13,4.00,4.07,-0.04,-0.97,"1,852,899",,
2025-03-05,4.20,4.24,4.06,4.11,-0.09,-2.14,"1,619,591",,
2025-03-04,4.26,4.26,4.19,4.20,-0.06,-1.41,"995,436",,
2025-03-03,4.20,4.30,4.20,4.26,0.06,1.43,"901,071",,
2025-03-02,4.31,4.35,4.13,4.20,-0.11,-2.55,"1,469,346",,
2025-02-27,4.38,4.38,4.28,4.31,-0.02,-0.46,"1,161,671",,
2025-02-26,4.34,4.40,4.32,4.33,-0.01,-0.23,"763,007",,
2025-02-25,4.34,4.39,4.25,4.34,0.00,0.00,"2,303,147",,
2025-02-24,4.47,4.49,4.30,4.34,-0.13,-2.91,"3,382,169",,
2025-02-20,4.51,4.55,4.47,4.47,-0.04,-0.89,"1,447,371",,
2025-02-19,4.53,4.53,4.46,4.51,0.01,0.22,"1,398,562",,
2025-02-18,4.45,4.55,4.45,4.50,0.04,0.90,"2,191,209",,
2025-02-17,4.53,4.53,4.44,4.46,-0.07,-1.55,"2,335,794",,
2025-02-16,4.57,4.57,4.50,4.53,0.00,0.00,"1,095,220",,
2025-02-13,4.46,4.58,4.44,4.53,0.09,2.03,"3,795,849",,
2025-02-12,4.53,4.55,4.44,4.44,-0.09,-1.99,"2,763,355",,
2025-02-11,4.56,4.61,4.50,4.53,-0.03,-0.66,"2,234,652",,
2025-02-10,4.66,4.66,4.54,4.56,-0.08,-1.72,"2,574,269",,
2025-02-09,4.70,4.70,4.61,4.64,-0.02,-0.43,"2,122,401",,
2025-02-06,4.53,4.68,4.47,4.66,0.13,2.87,"4,552,111",,
2025-02-05,4.50,4.58,4.49,4.53,0.02,0.44,"3,033,743",,
2025-02-04,4.55,4.60,4.51,4.51,-0.04,-0.88,"2,464,025",,
2025-02-03,4.59,4.61,4.54,4.55,-0.04,-0.87,"2,305,925",,
2025-02-02,4.61,4.67,4.59,4.59,-0.02,-0.43,"1,985,695",,
2025-01-30,4.73,4.76,4.60,4.61,-0.08,-1.71,"3,772,649",,
2025-01-29,4.66,4.72,4.62,4.69,0.03,0.64,"2,903,953",,
2025-01-28,4.69,4.76,4.66,4.66,-0.03,-0.64,"2,983,343",,
2025-01-27,4.73,4.77,4.65,4.69,-0.05,-1.05,"3,834,793",,
2025-01-26,4.74,4.85,4.69,4.74,-0.01,-0.21,"6,471,218",,
2025-01-23,4.59,4.87,4.59,4.75,0.13,2.81,"12,916,099",,
2025-01-22,4.52,4.68,4.51,4.62,0.09,1.99,"7,300,912",,
2025-01-21,4.54,4.62,4.50,4.53,-0.02,-0.44,"6,124,340",,
2025-01-20,4.59,4.61,4.52,4.55,-0.06,-1.30,"4,297,596",,
2025-01-19,4.68,4.70,4.54,4.61,-0.07,-1.50,"4,642,701",,
2025-01-16,4.66,4.72,4.62,4.68,0.02,0.43,"3,318,406",,
2025-01-15,4.75,4.77,4.65,4.66,-0.11,-2.31,"7,140,724",,
2025-01-14,4.56,4.77,4.52,4.77,0.21,4.61,"7,200,052",,
2025-01-13,4.66,4.70,4.55,4.56,-0.10,-2.15,"7,438,129",,
2025-01-12,4.42,4.69,4.42,4.66,0.27,6.15,"17,781,145",,
2025-01-09,4.36,4.40,4.28,4.39,0.03,0.69,"4,024,722",,
2025-01-08,4.38,4.40,4.34,4.36,-0.02,-0.46,"1,700,871",,
2025-01-07,4.36,4.44,4.32,4.38,0.05,1.15,"4,850,392",,
2025-01-06,4.30,4.41,4.27,4.33,0.01,0.23,"4,969,555",,
2025-01-05,4.35,4.37,4.29,4.32,0.00,0.00,"2,534,048",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,4.35,4.37,4.29,4.32,0.00,0.00,"2,534,048",,
2025-01-02,4.24,4.32,4.18,4.32,0.08,1.89,"3,306,123",,
2025-01-01,4.22,4.25,4.20,4.24,0.03,0.71,"2,516,127",,
2024-12-31,4.07,4.21,4.07,4.21,0.14,3.44,"5,411,531",,
2024-12-30,4.06,4.09,4.01,4.07,0.03,0.74,"2,372,796",,
2024-12-29,4.06,4.09,4.03,4.04,-0.04,-0.98,"1,348,577",,
2024-12-26,4.11,4.15,4.05,4.08,-0.02,-0.49,"1,425,351",,
2024-12-25,4.05,4.10,4.02,4.10,0.05,1.23,"1,628,309",,
2024-12-24,4.03,4.08,4.02,4.05,0.03,0.75,"1,896,027",,
2024-12-23,4.05,4.06,3.96,4.02,-0.03,-0.74,"4,874,992",,
2024-12-22,4.09,4.16,4.04,4.05,0.00,0.00,"8,983,616",,
2024-12-19,4.30,4.33,4.00,4.05,-0.29,-6.68,"9,604,437",,
2024-12-18,4.19,4.38,4.17,4.34,0.15,3.58,"4,401,765",,
2024-12-17,4.23,4.29,4.15,4.19,-0.03,-0.71,"2,751,487",,
