0,1,2,3,4,5,6,7,8,9
2025-05-29,12.56,12.90,12.48,12.64,0.08,0.64,"113,697",,
2025-05-28,12.34,12.58,12.34,12.56,0.20,1.62,"120,618",,
2025-05-27,12.54,12.54,12.20,12.36,-0.08,-0.64,"61,955",,
2025-05-26,12.40,12.46,12.12,12.44,0.04,0.32,"139,320",,
2025-05-25,12.52,12.60,12.40,12.40,-0.16,-1.27,"83,800",,
2025-05-22,12.80,12.82,12.50,12.56,-0.24,-1.88,"155,437",,
2025-05-21,12.86,12.92,12.72,12.80,-0.06,-0.47,"91,673",,
2025-05-20,12.94,12.94,12.76,12.86,-0.10,-0.77,"183,087",,
2025-05-19,12.80,13.02,12.70,12.96,0.16,1.25,"237,753",,
2025-05-18,12.80,12.88,12.72,12.80,0.06,0.47,"72,067",,
2025-05-15,13.00,13.00,12.70,12.74,-0.28,-2.15,"174,083",,
2025-05-14,13.00,13.06,12.92,13.02,0.04,0.31,"188,941",,
2025-05-13,13.12,13.14,12.88,12.98,-0.10,-0.76,"145,890",,
2025-05-12,12.80,13.08,12.78,13.08,0.36,2.83,"161,520",,
2025-05-11,12.78,12.84,12.62,12.72,-0.06,-0.47,"84,019",,
2025-05-08,12.72,12.84,12.72,12.78,-0.02,-0.16,"57,500",,
2025-05-07,12.96,12.96,12.76,12.80,-0.08,-0.62,"107,204",,
2025-05-06,13.16,13.20,12.84,12.88,-0.24,-1.83,"113,101",,
2025-05-05,12.90,13.22,12.76,13.12,0.22,1.71,"198,774",,
2025-05-04,13.08,13.12,12.84,12.90,-0.18,-1.38,"176,402",,
2025-05-01,13.14,13.22,12.96,13.08,-0.12,-0.91,"212,895",,
2025-04-30,13.20,13.50,13.12,13.20,-0.10,-0.75,"412,910",,
2025-04-29,13.32,13.46,13.22,13.30,0.00,0.00,"196,058",,
2025-04-28,13.60,13.60,13.30,13.30,-0.20,-1.48,"275,415",,
2025-04-27,13.58,13.80,13.50,13.50,0.00,0.00,"303,282",,
2025-04-24,13.78,13.80,13.46,13.50,-0.14,-1.03,"440,401",,
2025-04-23,13.96,14.06,13.50,13.64,-0.24,-1.73,"659,763",,
2025-04-22,13.80,13.98,13.60,13.88,0.08,0.58,"582,944",,
2025-04-21,14.20,14.20,13.78,13.80,-0.34,-2.40,"729,085",,
2025-04-20,13.40,14.40,13.40,14.14,0.74,5.52,"1,896,273",,
2025-04-17,14.06,14.34,13.32,13.40,-0.68,-4.83,"2,145,290",,
2025-04-16,12.74,14.08,12.74,14.08,1.28,10.00,"3,410,348",,
2025-04-15,12.88,13.20,12.74,12.80,0.04,0.31,"248,831",,
2025-04-14,12.56,12.86,12.50,12.76,0.20,1.59,"158,516",,
2025-04-13,12.50,12.66,12.40,12.56,0.26,2.11,"229,493",,
2025-04-10,12.34,12.48,12.24,12.30,0.26,2.16,"155,008",,
2025-04-09,12.12,12.12,11.82,12.04,-0.12,-0.99,"158,575",,
2025-04-08,12.28,12.56,12.12,12.16,-0.08,-0.65,"276,976",,
2025-04-07,12.08,12.30,11.60,12.24,-0.02,-0.16,"298,239",,
2025-04-06,12.42,12.48,11.90,12.26,-0.78,-5.98,"384,676",,
2025-04-03,12.86,13.48,12.86,13.04,0.06,0.46,"437,554",,
