0,1,2,3,4,5,6,7,8,9
2025-05-29,4.00,4.05,3.96,4.02,0.04,1.01,"675,575",,
2025-05-28,4.00,4.03,3.97,3.98,0.02,0.51,"501,782",,
2025-05-27,3.98,4.01,3.92,3.96,-0.02,-0.50,"514,051",,
2025-05-26,4.00,4.08,3.91,3.98,-0.05,-1.24,"1,423,708",,
2025-05-25,4.18,4.18,4.03,4.03,-0.10,-2.42,"840,593",,
2025-05-22,4.10,4.14,4.10,4.13,0.01,0.24,"391,651",,
2025-05-21,4.16,4.18,4.11,4.12,-0.05,-1.20,"388,400",,
2025-05-20,4.18,4.20,4.14,4.17,-0.01,-0.24,"366,914",,
2025-05-19,4.15,4.20,4.15,4.18,0.01,0.24,"502,765",,
2025-05-18,4.28,4.28,4.17,4.17,0.00,0.00,"649,873",,
2025-05-15,4.25,4.25,4.17,4.17,-0.08,-1.88,"681,492",,
2025-05-14,4.21,4.30,4.20,4.25,0.06,1.43,"2,132,221",,
2025-05-13,4.21,4.23,4.18,4.19,-0.02,-0.48,"949,248",,
2025-05-12,4.09,4.25,4.09,4.21,0.08,1.94,"3,081,111",,
2025-05-11,4.27,4.27,4.06,4.13,0.17,4.29,"3,698,249",,
2025-05-08,4.00,4.04,3.96,3.96,-0.04,-1.00,"534,093",,
2025-05-07,3.96,4.16,3.95,4.00,0.05,1.27,"1,809,413",,
2025-05-06,4.02,4.03,3.95,3.95,-0.07,-1.74,"350,694",,
2025-05-05,3.97,4.02,3.95,4.02,0.04,1.01,"559,137",,
2025-05-04,4.03,4.04,3.97,3.98,-0.05,-1.24,"321,821",,
2025-05-01,4.02,4.03,3.98,4.03,0.01,0.25,"396,290",,
2025-04-30,4.08,4.08,4.00,4.02,-0.04,-0.99,"600,769",,
2025-04-29,4.07,4.11,4.05,4.06,-0.03,-0.73,"580,397",,
2025-04-28,4.09,4.10,4.06,4.09,0.00,0.00,"568,106",,
2025-04-27,4.10,4.13,4.08,4.09,-0.01,-0.24,"437,360",,
2025-04-24,4.10,4.14,4.08,4.10,0.01,0.24,"639,581",,
2025-04-23,4.12,4.15,4.09,4.09,-0.03,-0.73,"306,539",,
2025-04-22,4.07,4.12,4.06,4.12,0.02,0.49,"745,928",,
2025-04-21,4.13,4.13,4.07,4.10,-0.03,-0.73,"292,690",,
2025-04-20,4.10,4.17,4.07,4.13,0.06,1.47,"374,443",,
2025-04-17,4.08,4.14,4.05,4.07,-0.01,-0.25,"650,037",,
2025-04-16,4.05,4.25,4.05,4.08,0.00,0.00,"3,488,677",,
2025-04-15,4.06,4.16,4.05,4.08,0.03,0.74,"1,278,959",,
2025-04-14,4.04,4.08,4.02,4.05,0.01,0.25,"459,790",,
2025-04-13,3.96,4.09,3.96,4.04,0.09,2.28,"838,923",,
2025-04-10,3.99,3.99,3.93,3.95,0.13,3.40,"548,665",,
2025-04-09,3.93,3.93,3.82,3.82,-0.11,-2.80,"474,927",,
2025-04-08,3.95,4.03,3.92,3.93,0.04,1.03,"574,531",,
2025-04-07,3.83,3.91,3.58,3.89,0.04,1.04,"1,151,719",,
2025-04-06,3.85,3.95,3.83,3.85,-0.27,-6.55,"916,667",,
2025-04-03,4.05,4.19,4.04,4.12,0.00,0.00,"927,140",,
2025-03-27,4.02,4.14,4.02,4.12,0.09,2.23,"892,041",,
2025-03-26,4.00,4.06,4.00,4.03,0.03,0.75,"318,788",,
2025-03-25,3.96,4.00,3.95,4.00,0.02,0.50,"293,026",,
2025-03-24,3.96,3.99,3.93,3.98,0.02,0.51,"238,993",,
2025-03-23,3.96,4.01,3.96,3.96,-0.04,-1.00,"168,361",,
2025-03-20,3.97,4.02,3.97,4.00,0.03,0.76,"147,993",,
2025-03-19,4.00,4.00,3.95,3.97,-0.04,-1.00,"162,614",,
2025-03-18,4.08,4.08,3.97,4.01,-0.05,-1.23,"401,746",,
2025-03-17,4.08,4.12,4.06,4.06,-0.02,-0.49,"638,554",,
2025-03-16,4.00,4.08,3.98,4.08,0.08,2.00,"429,142",,
2025-03-13,3.89,4.00,3.89,4.00,0.08,2.04,"499,317",,
2025-03-12,4.03,4.03,3.70,3.92,-0.11,-2.73,"845,611",,
2025-03-11,3.81,4.04,3.70,4.03,0.21,5.50,"1,522,690",,
2025-03-10,3.92,3.92,3.82,3.82,-0.09,-2.30,"617,344",,
2025-03-09,3.94,3.97,3.87,3.91,-0.03,-0.76,"589,117",,
2025-03-06,3.97,3.97,3.92,3.94,-0.03,-0.76,"542,878",,
2025-03-05,4.02,4.02,3.95,3.97,-0.02,-0.50,"413,150",,
2025-03-04,4.06,4.06,3.80,3.99,-0.09,-2.21,"940,273",,
2025-03-03,4.15,4.15,4.08,4.08,-0.07,-1.69,"1,362,991",,
2025-03-02,4.18,4.20,4.11,4.15,-0.02,-0.48,"738,235",,
2025-02-27,4.12,4.17,4.10,4.17,0.05,1.21,"713,698",,
2025-02-26,4.10,4.13,4.09,4.12,0.00,0.00,"337,810",,
2025-02-25,4.15,4.15,4.08,4.12,-0.01,-0.24,"1,241,893",,
2025-02-24,4.16,4.18,4.12,4.13,-0.03,-0.72,"446,403",,
2025-02-20,4.17,4.18,4.15,4.16,0.00,0.00,"397,888",,
2025-02-19,4.18,4.19,4.16,4.16,-0.03,-0.72,"701,735",,
2025-02-18,4.20,4.20,4.17,4.19,-0.01,-0.24,"685,250",,
2025-02-17,4.20,4.20,4.17,4.20,0.00,0.00,"471,176",,
2025-02-16,4.21,4.22,4.19,4.20,0.00,0.00,"414,114",,
2025-02-13,4.19,4.23,4.18,4.20,0.01,0.24,"971,691",,
2025-02-12,4.22,4.22,4.18,4.19,-0.03,-0.71,"1,123,157",,
2025-02-11,4.23,4.24,4.20,4.22,0.00,0.00,"877,473",,
2025-02-10,4.24,4.27,4.22,4.22,-0.01,-0.24,"1,317,530",,
2025-02-09,4.19,4.24,4.18,4.23,0.04,0.95,"1,344,969",,
2025-02-06,4.20,4.21,4.16,4.19,0.00,0.00,"1,667,126",,
2025-02-05,4.21,4.25,4.16,4.19,-0.01,-0.24,"2,131,417",,
2025-02-04,4.20,4.22,4.18,4.20,0.00,0.00,"1,234,190",,
2025-02-03,4.20,4.25,4.19,4.20,0.00,0.00,"1,172,144",,
2025-02-02,4.20,4.27,4.18,4.20,0.00,0.00,"2,837,042",,
2025-01-30,4.30,4.31,4.19,4.20,-0.10,-2.33,"2,799,845",,
2025-01-29,4.35,4.38,4.28,4.30,-0.07,-1.60,"2,487,768",,
2025-01-28,4.34,4.39,4.30,4.37,0.04,0.92,"2,043,595",,
2025-01-27,4.33,4.36,4.32,4.33,0.01,0.23,"820,447",,
2025-01-26,4.33,4.35,4.31,4.32,-0.01,-0.23,"958,409",,
2025-01-23,4.36,4.36,4.31,4.33,0.00,0.00,"798,423",,
2025-01-22,4.34,4.38,4.30,4.33,-0.01,-0.23,"1,231,215",,
2025-01-21,4.34,4.38,4.31,4.34,0.01,0.23,"952,354",,
2025-01-20,4.34,4.35,4.30,4.33,-0.01,-0.23,"928,469",,
2025-01-19,4.39,4.41,4.31,4.34,-0.04,-0.91,"1,871,010",,
2025-01-16,4.42,4.44,4.36,4.38,-0.03,-0.68,"495,974",,
2025-01-15,4.38,4.53,4.37,4.41,0.03,0.68,"2,297,707",,
2025-01-14,4.34,4.39,4.34,4.38,0.03,0.69,"952,371",,
2025-01-13,4.33,4.39,4.33,4.35,0.02,0.46,"521,470",,
2025-01-12,4.29,4.37,4.28,4.33,0.04,0.93,"475,108",,
2025-01-09,4.38,4.39,4.23,4.29,-0.09,-2.05,"1,461,968",,
2025-01-08,4.33,4.43,4.30,4.38,0.06,1.39,"1,391,763",,
2025-01-07,4.33,4.37,4.29,4.32,0.02,0.47,"1,702,948",,
2025-01-06,4.25,4.34,4.25,4.30,0.04,0.94,"1,765,767",,
2025-01-05,4.24,4.31,4.24,4.26,0.01,0.24,"693,758",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,4.24,4.31,4.24,4.26,0.01,0.24,"693,758",,
2025-01-02,4.26,4.28,4.22,4.25,-0.03,-0.70,"858,730",,
2025-01-01,4.30,4.32,4.24,4.28,0.03,0.71,"896,209",,
