0,1,2,3,4,5,6,7,8,9
2025-05-29,61.20,61.90,60.70,61.90,0.80,1.31,"54,146",,
2025-05-28,60.80,61.70,60.60,61.10,0.30,0.49,"35,556",,
2025-05-27,61.90,62.00,60.20,60.80,-0.90,-1.46,"38,839",,
2025-05-26,62.90,63.20,61.20,61.70,-1.20,-1.91,"34,244",,
2025-05-25,63.70,64.10,62.60,62.90,-0.70,-1.10,"25,156",,
2025-05-22,63.90,64.10,63.00,63.60,-0.20,-0.31,"17,415",,
2025-05-21,64.40,64.70,63.40,63.80,-0.50,-0.78,"25,628",,
2025-05-20,64.60,64.60,63.70,64.30,0.30,0.47,"26,441",,
2025-05-19,64.20,64.40,63.50,64.00,-0.10,-0.16,"41,632",,
2025-05-18,65.20,65.70,64.10,64.10,-1.10,-1.69,"88,092",,
2025-05-15,66.00,66.00,65.00,65.20,-0.80,-1.21,"41,004",,
2025-05-14,65.60,66.30,65.40,66.00,0.40,0.61,"69,666",,
2025-05-13,67.00,67.00,65.10,65.60,-1.10,-1.65,"80,350",,
2025-05-12,66.70,67.60,66.10,66.70,0.10,0.15,"118,116",,
2025-05-11,66.00,67.50,66.00,66.60,0.60,0.91,"14,698",,
2025-05-08,66.40,67.10,66.00,66.00,-0.60,-0.90,"25,585",,
2025-05-07,67.10,67.60,66.50,66.60,-0.80,-1.19,"38,087",,
2025-05-06,68.00,68.40,67.40,67.40,-0.50,-0.74,"51,044",,
2025-05-05,68.80,69.00,67.00,67.90,-1.20,-1.74,"92,545",,
2025-05-04,69.00,71.80,68.50,69.10,0.10,0.14,"141,538",,
2025-05-01,67.00,69.00,67.00,69.00,1.50,2.22,"73,970",,
2025-04-30,69.80,69.80,67.20,67.50,-2.50,-3.57,"110,652",,
2025-04-29,70.40,70.90,69.80,70.00,-0.70,-0.99,"37,722",,
2025-04-28,71.20,71.20,70.20,70.70,-0.50,-0.70,"41,212",,
2025-04-27,71.00,71.60,70.70,71.20,0.30,0.42,"43,237",,
2025-04-24,71.30,71.30,70.70,70.90,-0.40,-0.56,"51,631",,
2025-04-23,72.00,72.50,70.80,71.30,-0.20,-0.28,"50,436",,
2025-04-22,72.50,72.90,71.40,71.50,-1.50,-2.05,"14,107",,
2025-04-21,75.10,75.10,72.90,73.00,-1.70,-2.28,"23,398",,
2025-04-20,73.30,74.90,73.30,74.70,0.90,1.22,"13,348",,
2025-04-17,73.30,74.30,72.50,73.80,0.50,0.68,"29,559",,
2025-04-16,73.00,73.90,71.80,73.30,0.80,1.10,"45,306",,
2025-04-15,70.90,72.80,70.90,72.50,1.90,2.69,"53,151",,
2025-04-14,70.30,71.00,69.80,70.60,0.10,0.14,"55,932",,
2025-04-13,70.10,71.00,69.70,70.50,0.50,0.71,"55,714",,
