0,1,2,3,4,5,6,7,8,9
2025-05-29,24.32,24.80,24.20,24.80,0.62,2.56,"187,484",,
2025-05-28,23.74,24.36,23.74,24.18,0.42,1.77,"144,035",,
2025-05-27,24.32,24.40,23.50,23.76,-0.60,-2.46,"327,950",,
2025-05-26,24.76,24.82,24.06,24.36,-0.38,-1.54,"220,831",,
2025-05-25,25.00,25.05,24.54,24.74,-0.31,-1.24,"222,633",,
2025-05-22,24.80,25.10,24.68,25.05,0.05,0.20,"176,050",,
2025-05-21,25.55,25.55,24.70,25.00,-0.60,-2.34,"317,149",,
2025-05-20,26.05,26.05,25.45,25.60,-0.45,-1.73,"275,680",,
2025-05-19,25.40,26.20,25.40,26.05,0.65,2.56,"319,241",,
2025-05-18,25.95,26.00,25.35,25.40,-0.55,-2.12,"323,203",,
2025-05-15,26.90,26.90,25.65,25.95,-0.95,-3.53,"463,938",,
2025-05-14,26.95,27.15,26.70,26.90,0.00,0.00,"301,619",,
2025-05-13,27.95,27.95,26.60,26.90,-1.45,-5.11,"895,632",,
2025-05-12,27.60,28.55,27.60,28.35,0.95,3.47,"274,671",,
2025-05-11,27.60,27.80,27.40,27.40,-0.20,-0.72,"136,523",,
2025-05-08,27.65,27.70,27.15,27.60,0.00,0.00,"118,104",,
2025-05-07,28.00,28.00,27.40,27.60,-0.40,-1.43,"112,688",,
2025-05-06,28.60,28.60,27.65,28.00,-0.30,-1.06,"239,113",,
2025-05-05,27.70,28.45,27.40,28.30,0.60,2.17,"259,404",,
2025-05-04,27.60,28.00,27.40,27.70,0.15,0.54,"169,638",,
2025-05-01,27.95,27.95,27.40,27.55,-0.40,-1.43,"174,950",,
2025-04-30,28.25,28.30,27.75,27.95,-0.30,-1.06,"190,467",,
2025-04-29,28.30,28.55,28.00,28.25,-0.10,-0.35,"356,011",,
2025-04-28,28.55,28.70,28.25,28.35,-0.20,-0.70,"316,999",,
2025-04-27,28.80,29.00,28.45,28.55,-0.10,-0.35,"264,850",,
2025-04-24,28.60,28.85,28.45,28.65,0.05,0.17,"242,648",,
2025-04-23,28.60,28.95,28.40,28.60,0.25,0.88,"138,640",,
2025-04-22,28.35,28.85,28.15,28.35,-0.10,-0.35,"323,519",,
2025-04-21,28.90,28.90,28.30,28.45,-0.50,-1.73,"387,789",,
2025-04-20,27.70,29.10,27.70,28.95,1.45,5.27,"1,026,381",,
2025-04-17,28.10,28.45,27.45,27.50,-0.30,-1.08,"628,890",,
2025-04-16,28.30,28.40,27.70,27.80,-0.40,-1.42,"296,796",,
2025-04-15,28.65,28.75,28.05,28.20,-0.20,-0.70,"781,578",,
2025-04-14,29.05,29.15,28.30,28.40,-0.60,-2.07,"562,598",,
2025-04-13,28.75,29.25,28.50,29.00,0.60,2.11,"343,637",,
2025-04-10,28.90,29.15,28.05,28.40,0.80,2.90,"499,987",,
2025-04-09,27.80,29.05,27.60,27.60,-0.90,-3.16,"420,359",,
