0,1,2,3,4,5,6,7,8,9
2025-05-29,2.16,2.16,2.12,2.13,-0.03,-1.39,"8,240,426",,
2025-05-28,2.11,2.16,2.11,2.16,0.06,2.86,"7,592,907",,
2025-05-27,2.13,2.14,2.09,2.10,-0.02,-0.94,"20,778,315",,
2025-05-26,2.15,2.17,2.09,2.12,-0.03,-1.40,"23,691,893",,
2025-05-25,2.18,2.18,2.14,2.15,-0.03,-1.38,"9,035,928",,
2025-05-22,2.19,2.22,2.16,2.18,-0.02,-0.91,"17,315,897",,
2025-05-21,2.25,2.25,2.20,2.20,-0.04,-1.79,"8,776,315",,
2025-05-20,2.19,2.25,2.19,2.24,0.04,1.82,"12,074,307",,
2025-05-19,2.21,2.21,2.17,2.20,-0.01,-0.45,"11,936,009",,
2025-05-18,2.25,2.25,2.20,2.21,-0.03,-1.34,"7,044,756",,
2025-05-15,2.23,2.25,2.21,2.24,0.01,0.45,"13,221,793",,
2025-05-14,2.20,2.26,2.19,2.23,0.03,1.36,"27,384,185",,
2025-05-13,2.18,2.20,2.15,2.20,0.02,0.92,"15,859,074",,
2025-05-12,2.16,2.19,2.15,2.18,0.04,1.87,"17,204,642",,
2025-05-11,2.12,2.17,2.11,2.14,0.03,1.42,"10,143,150",,
2025-05-08,2.11,2.14,2.10,2.11,-0.05,-2.31,"17,835,773",,
2025-05-07,2.15,2.16,2.13,2.16,0.01,0.47,"13,685,904",,
2025-05-06,2.15,2.18,2.14,2.15,0.00,0.00,"17,585,691",,
2025-05-05,2.12,2.19,2.10,2.15,0.02,0.94,"31,310,951",,
2025-05-04,2.21,2.23,2.12,2.13,-0.09,-4.05,"19,856,176",,
2025-05-01,2.24,2.26,2.20,2.22,-0.01,-0.45,"22,503,506",,
2025-04-30,2.32,2.32,2.22,2.23,-0.07,-3.04,"33,129,529",,
2025-04-29,2.32,2.35,2.28,2.30,-0.02,-0.86,"32,346,228",,
2025-04-28,2.28,2.36,2.27,2.32,0.05,2.20,"41,894,728",,
2025-04-27,2.26,2.28,2.23,2.27,0.01,0.44,"20,502,749",,
2025-04-24,2.20,2.32,2.19,2.26,0.06,2.73,"60,641,124",,
2025-04-23,2.22,2.23,2.19,2.20,-0.01,-0.45,"11,848,571",,
2025-04-22,2.19,2.22,2.16,2.21,0.02,0.91,"20,632,420",,
2025-04-21,2.21,2.23,2.19,2.19,-0.02,-0.90,"9,436,725",,
2025-04-20,2.21,2.26,2.20,2.21,0.01,0.45,"22,266,291",,
2025-04-17,2.18,2.24,2.16,2.20,0.01,0.46,"61,816,203",,
2025-04-16,2.18,2.21,2.14,2.19,-0.01,-0.45,"51,183,414",,
2025-04-15,2.22,2.22,2.16,2.20,0.04,1.85,"79,916,030",,
2025-04-14,2.04,2.18,1.98,2.16,0.16,8.00,"111,406,968",,
2025-04-13,1.95,2.02,1.94,2.00,0.07,3.63,"62,402,882",,
2025-04-10,1.89,1.96,1.87,1.93,0.14,7.82,"125,686,142",,
2025-04-09,1.90,1.91,1.78,1.79,-0.11,-5.79,"105,719,321",,
2025-04-08,2.03,2.04,1.85,1.90,-0.10,-5.00,"122,424,666",,
2025-04-07,1.93,2.03,1.90,2.00,0.00,0.00,"33,697,379",,
2025-04-06,2.00,2.05,1.98,2.00,-0.15,-6.98,"23,471,136",,
2025-04-03,2.20,2.21,2.15,2.15,-0.09,-4.02,"17,352,494",,
2025-03-27,2.19,2.26,2.19,2.24,0.07,3.23,"26,031,592",,
2025-03-26,2.12,2.19,2.12,2.17,0.05,2.36,"15,498,822",,
2025-03-25,2.09,2.14,2.06,2.12,0.03,1.44,"20,806,928",,
2025-03-24,2.08,2.13,2.05,2.09,0.02,0.97,"19,361,669",,
2025-03-23,2.10,2.11,2.07,2.07,-0.01,-0.48,"9,529,526",,
2025-03-20,2.06,2.12,2.04,2.08,0.02,0.97,"21,036,043",,
2025-03-19,2.10,2.10,2.03,2.06,-0.04,-1.90,"28,701,623",,
2025-03-18,2.15,2.17,2.09,2.10,-0.05,-2.33,"39,449,354",,
2025-03-17,2.20,2.21,2.14,2.15,-0.04,-1.83,"31,944,098",,
2025-03-16,2.22,2.22,2.16,2.19,-0.02,-0.90,"31,549,465",,
2025-03-13,2.26,2.26,2.21,2.21,-0.05,-2.21,"20,320,260",,
2025-03-12,2.23,2.29,2.22,2.26,0.04,1.80,"22,188,345",,
2025-03-11,2.18,2.26,2.12,2.22,0.02,0.91,"27,819,623",,
2025-03-10,2.25,2.25,2.20,2.20,-0.05,-2.22,"19,940,092",,
2025-03-09,2.34,2.35,2.24,2.25,-0.11,-4.66,"13,123,810",,
2025-03-06,2.42,2.42,2.35,2.36,-0.06,-2.48,"16,282,813",,
2025-03-05,2.41,2.44,2.39,2.42,0.02,0.83,"17,707,361",,
2025-03-04,2.43,2.44,2.37,2.40,-0.04,-1.64,"13,524,856",,
2025-03-03,2.40,2.44,2.36,2.44,0.04,1.67,"9,024,545",,
2025-03-02,2.51,2.51,2.38,2.40,-0.12,-4.76,"7,669,979",,
2025-02-27,2.50,2.53,2.48,2.52,0.02,0.80,"7,770,287",,
2025-02-26,2.47,2.54,2.45,2.50,0.02,0.81,"13,421,659",,
2025-02-25,2.50,2.51,2.42,2.48,-0.02,-0.80,"20,717,776",,
2025-02-24,2.57,2.59,2.47,2.50,-0.07,-2.72,"16,613,992",,
2025-02-20,2.63,2.63,2.52,2.57,-0.06,-2.28,"24,852,668",,
2025-02-19,2.65,2.67,2.60,2.63,0.01,0.38,"12,550,008",,
2025-02-18,2.68,2.69,2.60,2.62,-0.05,-1.87,"17,539,656",,
2025-02-17,2.74,2.76,2.67,2.67,-0.07,-2.55,"18,941,782",,
2025-02-16,2.67,2.75,2.67,2.74,0.08,3.01,"19,248,741",,
2025-02-13,2.63,2.68,2.63,2.66,0.04,1.53,"13,124,234",,
2025-02-12,2.60,2.69,2.59,2.62,0.00,0.00,"42,796,941",,
2025-02-11,2.61,2.64,2.58,2.62,0.01,0.38,"19,449,908",,
2025-02-10,2.57,2.64,2.57,2.61,0.03,1.16,"17,140,998",,
2025-02-09,2.57,2.62,2.57,2.58,0.02,0.78,"11,881,316",,
2025-02-06,2.59,2.61,2.55,2.56,-0.03,-1.16,"18,826,984",,
2025-02-05,2.48,2.67,2.47,2.59,0.11,4.44,"73,486,509",,
2025-02-04,2.47,2.48,2.43,2.48,0.01,0.40,"22,808,234",,
2025-02-03,2.49,2.49,2.46,2.47,-0.03,-1.20,"19,919,187",,
2025-02-02,2.45,2.51,2.45,2.50,0.05,2.04,"11,859,082",,
2025-01-30,2.51,2.52,2.45,2.45,-0.07,-2.78,"25,887,974",,
2025-01-29,2.48,2.52,2.47,2.52,0.04,1.61,"22,607,898",,
2025-01-28,2.45,2.49,2.44,2.48,0.03,1.22,"12,642,727",,
2025-01-27,2.50,2.52,2.44,2.45,-0.07,-2.78,"17,618,569",,
