0,1,2,3,4,5,6,7,8,9
2025-05-29,62.00,63.80,61.60,63.80,2.00,3.24,"41,508",,
2025-05-28,58.00,61.80,58.00,61.80,3.20,5.46,"42,754",,
2025-05-27,60.50,61.90,58.20,58.60,-1.70,-2.82,"68,416",,
2025-05-26,61.10,61.30,59.40,60.30,-0.80,-1.31,"21,892",,
2025-05-25,62.70,63.00,61.00,61.10,-1.50,-2.40,"20,455",,
2025-05-22,62.60,63.10,61.70,62.60,0.10,0.16,"20,098",,
2025-05-21,63.70,63.70,62.30,62.50,-0.50,-0.79,"14,764",,
2025-05-20,62.40,63.60,62.40,63.00,0.50,0.80,"18,692",,
2025-05-19,62.90,64.50,62.30,62.50,0.20,0.32,"81,268",,
2025-05-18,62.50,63.30,62.30,62.30,-0.20,-0.32,"38,396",,
2025-05-15,64.40,64.40,62.50,62.50,-1.90,-2.95,"29,744",,
2025-05-14,64.50,64.50,63.60,64.40,1.00,1.58,"23,891",,
2025-05-13,65.00,65.10,63.40,63.40,-0.80,-1.25,"23,666",,
2025-05-12,62.00,64.90,62.00,64.20,2.30,3.72,"110,913",,
2025-05-11,62.70,63.70,61.00,61.90,-0.40,-0.64,"35,747",,
2025-05-08,63.50,63.70,62.30,62.30,-1.20,-1.89,"30,759",,
2025-05-07,65.00,65.00,63.40,63.50,-0.90,-1.40,"13,672",,
2025-05-06,64.00,65.50,64.00,64.40,0.60,0.94,"25,161",,
2025-05-05,63.10,64.80,63.10,63.80,0.00,0.00,"13,828",,
2025-05-04,65.10,65.30,63.80,63.80,-1.30,-2.00,"17,065",,
2025-05-01,66.50,66.60,65.00,65.10,-1.30,-1.96,"40,116",,
2025-04-30,67.70,70.00,66.30,66.40,-1.30,-1.92,"177,666",,
2025-04-29,67.80,68.10,67.00,67.70,-0.10,-0.15,"24,853",,
2025-04-28,68.40,68.40,67.40,67.80,-0.60,-0.88,"22,782",,
2025-04-27,68.50,68.60,68.00,68.40,-0.20,-0.29,"9,630",,
2025-04-24,68.90,69.00,68.10,68.60,-0.20,-0.29,"22,235",,
2025-04-23,68.40,69.40,67.80,68.80,1.00,1.47,"64,473",,
2025-04-22,66.60,68.40,66.60,67.80,0.50,0.74,"62,192",,
2025-04-21,67.60,67.90,66.50,67.30,-0.30,-0.44,"17,599",,
2025-04-20,67.00,68.70,67.00,67.60,0.60,0.90,"15,532",,
2025-04-17,67.30,69.20,66.00,67.00,-0.30,-0.45,"42,073",,
2025-04-16,67.10,67.90,66.90,67.30,-0.70,-1.03,"38,613",,
2025-04-15,69.40,69.40,68.00,68.00,-1.00,-1.45,"39,524",,
2025-04-14,69.80,71.50,68.60,69.00,0.30,0.44,"132,917",,
2025-04-13,70.00,70.60,68.10,68.70,-0.90,-1.29,"38,080",,
