0,1,2,3,4,5,6,7,8,9
2025-05-29,106.40,107.20,105.00,106.20,0.20,0.19,"18,894",,
2025-05-28,105.00,106.80,104.80,106.00,1.60,1.53,"14,382",,
2025-05-27,107.80,109.20,103.40,104.40,-2.40,-2.25,"30,729",,
2025-05-26,109.00,109.20,105.20,106.80,-1.00,-0.93,"23,148",,
2025-05-25,111.40,112.20,107.60,107.80,-3.60,-3.23,"31,653",,
2025-05-22,109.00,112.40,108.60,111.40,1.00,0.91,"17,073",,
2025-05-21,112.20,112.60,110.00,110.40,-2.20,-1.95,"26,244",,
2025-05-20,113.40,114.00,112.40,112.60,-0.20,-0.18,"23,834",,
2025-05-19,116.80,117.00,112.60,112.80,-4.00,-3.42,"33,660",,
2025-05-18,119.20,121.00,116.80,116.80,0.40,0.34,"60,225",,
2025-05-15,117.60,117.60,115.20,116.40,-1.20,-1.02,"16,539",,
2025-05-14,117.00,118.80,116.80,117.60,0.60,0.51,"24,163",,
2025-05-13,117.60,117.60,116.00,117.00,0.80,0.69,"21,813",,
2025-05-12,115.60,118.80,115.40,116.20,1.00,0.87,"50,704",,
2025-05-11,112.80,116.00,112.80,115.20,2.80,2.49,"38,329",,
2025-05-08,112.20,113.40,112.00,112.40,-1.00,-0.88,"11,164",,
2025-05-07,114.80,115.00,112.60,113.40,-2.00,-1.73,"19,648",,
2025-05-06,117.00,118.20,115.00,115.40,-2.60,-2.20,"20,594",,
2025-05-05,115.00,118.00,114.20,118.00,2.00,1.72,"27,927",,
2025-05-04,122.00,123.60,115.60,116.00,-2.80,-2.36,"106,417",,
2025-05-01,119.60,119.60,117.40,118.80,0.20,0.17,"29,928",,
2025-04-30,121.20,121.40,118.00,118.60,-3.20,-2.63,"62,258",,
2025-04-29,120.60,122.40,120.20,121.80,1.60,1.33,"35,029",,
2025-04-28,122.80,125.80,119.80,120.20,-2.00,-1.64,"86,611",,
2025-04-27,120.00,124.00,118.00,122.20,5.60,4.80,"125,464",,
2025-04-24,113.40,119.60,113.40,116.60,4.40,3.92,"156,077",,
2025-04-23,115.40,117.00,112.20,112.20,-1.80,-1.58,"79,071",,
2025-04-22,112.20,115.00,111.60,114.00,1.00,0.88,"49,297",,
2025-04-21,114.60,114.60,112.20,113.00,-1.20,-1.05,"20,480",,
2025-04-20,112.00,116.40,111.40,114.20,2.20,1.96,"55,252",,
2025-04-17,113.80,115.00,111.60,112.00,-1.80,-1.58,"16,163",,
2025-04-16,115.60,116.20,113.80,113.80,-1.80,-1.56,"18,894",,
2025-04-15,115.00,117.40,113.80,115.60,0.60,0.52,"49,737",,
2025-04-14,112.80,115.60,111.40,115.00,2.80,2.50,"63,478",,
2025-04-13,109.00,113.20,109.00,112.20,3.40,3.13,"66,330",,
2025-04-10,110.00,111.00,108.20,108.80,4.40,4.21,"46,409",,
2025-04-09,106.00,108.60,104.40,104.40,-3.80,-3.51,"29,443",,
2025-04-08,109.60,114.40,107.60,108.20,0.60,0.56,"78,721",,
2025-04-07,101.00,108.40,100.20,107.60,-1.60,-1.47,"49,655",,
2025-04-06,110.00,114.60,109.20,109.20,-12.00,-9.90,"40,769",,
2025-04-03,-,-,-,121.20,0.00,0.00,-,,
2025-03-27,120.00,121.40,119.20,121.20,1.40,1.17,"13,976",,
2025-03-26,117.40,120.00,117.40,119.80,3.00,2.57,"14,761",,
2025-03-25,119.00,119.40,116.80,116.80,-2.00,-1.68,"11,986",,
2025-03-24,115.40,119.00,115.20,118.80,3.40,2.95,"24,127",,
2025-03-23,117.40,118.20,115.40,115.40,-2.00,-1.70,"13,685",,
2025-03-20,117.40,120.60,116.60,117.40,0.00,0.00,"23,967",,
2025-03-19,119.20,119.40,115.00,117.40,-1.80,-1.51,"16,833",,
2025-03-18,119.20,120.60,117.80,119.20,-1.40,-1.16,"39,857",,
2025-03-17,123.00,123.40,119.80,120.60,-2.60,-2.11,"35,025",,
2025-03-16,121.00,124.40,121.00,123.20,2.20,1.82,"29,823",,
2025-03-13,118.80,122.60,118.80,121.00,2.20,1.85,"30,886",,
2025-03-12,118.80,119.20,117.40,118.80,1.60,1.37,"32,022",,
2025-03-11,117.20,118.60,114.00,117.20,0.00,0.00,"32,303",,
2025-03-10,119.20,121.00,116.80,117.20,-2.80,-2.33,"33,168",,
2025-03-09,119.00,120.80,116.20,120.00,1.80,1.52,"17,958",,
2025-03-06,120.80,120.80,117.00,118.20,-2.40,-1.99,"31,214",,
2025-03-05,124.40,124.40,119.60,120.60,-3.00,-2.43,"28,924",,
2025-03-04,127.00,127.00,121.60,123.60,-2.20,-1.75,"41,735",,
2025-03-03,126.00,129.20,124.00,125.80,-1.40,-1.10,"50,847",,
2025-03-02,130.00,130.00,125.40,127.20,-3.00,-2.30,"17,258",,
2025-02-27,130.60,132.00,129.80,130.20,-0.40,-0.31,"16,430",,
2025-02-26,131.80,132.20,130.60,130.60,-0.80,-0.61,"12,047",,
2025-02-25,130.20,132.40,130.00,131.40,-0.20,-0.15,"21,881",,
2025-02-24,133.80,134.20,130.20,131.60,-2.20,-1.64,"27,523",,
2025-02-20,135.20,135.20,132.80,133.80,-1.40,-1.04,"35,773",,
2025-02-19,134.80,138.60,134.80,135.20,0.60,0.45,"75,283",,
2025-02-18,136.00,137.00,134.20,134.60,-1.40,-1.03,"31,028",,
2025-02-17,138.40,138.40,136.00,136.00,-2.40,-1.73,"44,982",,
2025-02-16,138.00,140.00,137.60,138.40,0.60,0.44,"48,529",,
2025-02-13,139.00,139.00,137.80,137.80,-0.40,-0.29,"36,953",,
2025-02-12,140.00,141.20,138.00,138.20,-1.40,-1.00,"51,254",,
2025-02-11,144.00,144.00,139.60,139.60,-3.40,-2.38,"91,957",,
2025-02-10,140.20,144.80,140.00,143.00,3.20,2.29,"296,180",,
2025-02-09,139.60,141.00,139.00,139.80,0.00,0.00,"44,032",,
2025-02-06,140.20,140.60,139.20,139.80,-0.40,-0.29,"32,736",,
