0,1,2,3,4,5,6,7,8,9
2023-12-04,-,-,-,27.00,0.00,0.00,-,,
2023-12-03,-,-,-,27.00,0.00,0.00,-,,
2023-11-30,27.10,27.10,26.40,27.00,0.20,0.75,"162,456",,
2023-11-29,27.30,27.30,26.75,26.80,-0.15,-0.56,"59,990",,
2023-11-28,27.05,27.10,26.80,26.95,0.00,0.00,"47,654",,
2023-11-27,26.55,27.15,26.55,26.95,0.45,1.70,"126,104",,
2023-11-26,27.20,27.20,26.50,26.50,-0.45,-1.67,"299,386",,
2023-11-23,27.20,27.20,26.70,26.95,0.10,0.37,"140,658",,
2023-11-22,27.00,27.10,26.70,26.85,-0.15,-0.56,"88,972",,
2023-11-21,27.30,27.40,26.85,27.00,-0.50,-1.82,"225,479",,
2023-11-20,27.65,27.65,27.15,27.50,0.10,0.36,"107,410",,
2023-11-19,27.05,27.95,27.05,27.40,0.60,2.24,"522,200",,
2023-11-16,26.25,27.65,26.15,26.80,1.00,3.88,"393,499",,
2023-11-15,25.65,25.90,25.40,25.80,0.40,1.57,"40,653",,
2023-11-14,26.00,26.15,25.25,25.40,-0.70,-2.68,"147,566",,
2023-11-13,26.00,26.15,25.70,26.10,0.15,0.58,"69,234",,
2023-11-12,25.70,26.10,25.60,25.95,0.45,1.76,"98,808",,
2023-11-09,25.15,25.50,24.88,25.50,-0.05,-0.20,"121,077",,
2023-11-08,25.20,26.10,25.20,25.55,0.15,0.59,"454,322",,
2023-11-07,24.34,25.60,24.26,25.40,1.32,5.48,"513,695",,
2023-11-06,24.22,24.42,23.80,24.08,-0.06,-0.25,"135,982",,
2023-11-05,23.64,24.14,23.60,24.14,0.50,2.12,"98,980",,
2023-11-02,23.50,23.66,23.30,23.64,0.20,0.85,"40,998",,
2023-11-01,23.70,23.70,23.14,23.44,-0.30,-1.26,"131,134",,
2023-10-31,23.48,23.76,23.34,23.74,0.32,1.37,"34,157",,
2023-10-30,23.30,23.72,23.10,23.42,0.28,1.21,"34,918",,
2023-10-29,22.72,23.32,22.72,23.14,-0.06,-0.26,"46,620",,
2023-10-26,23.20,24.00,22.96,23.20,0.04,0.17,"42,658",,
2023-10-25,22.08,23.24,22.08,23.16,0.78,3.49,"57,648",,
2023-10-24,22.50,22.74,22.00,22.38,-0.12,-0.53,"45,417",,
2023-10-23,23.52,23.60,22.50,22.50,-1.10,-4.66,"61,829",,
2023-10-22,23.80,24.00,23.60,23.60,-0.38,-1.58,"27,347",,
2023-10-19,23.86,24.10,23.76,23.98,0.12,0.50,"38,758",,
2023-10-18,24.12,24.16,23.84,23.86,-0.10,-0.42,"34,877",,
2023-10-17,24.00,24.20,23.84,23.96,0.00,0.00,"56,641",,
2023-10-16,24.00,24.00,23.68,23.96,-0.02,-0.08,"45,103",,
2023-10-15,23.60,24.00,23.14,23.98,0.54,2.30,"64,838",,
2023-10-12,23.12,23.44,22.68,23.44,0.32,1.38,"69,488",,
2023-10-11,23.68,23.68,22.90,23.12,-0.56,-2.36,"124,104",,
2023-10-10,24.10,24.28,23.66,23.68,-0.62,-2.55,"110,580",,
2023-10-09,24.04,24.48,24.04,24.30,0.06,0.25,"83,181",,
2023-10-08,25.30,25.30,24.14,24.24,-0.40,-1.62,"37,199",,
2023-10-05,24.26,24.76,24.26,24.64,0.14,0.57,"46,558",,
2023-10-04,25.05,25.55,24.36,24.50,-0.70,-2.78,"193,690",,
2023-10-03,25.45,25.75,25.10,25.20,-0.20,-0.79,"52,203",,
2023-10-02,25.75,26.20,25.40,25.40,-0.30,-1.17,"56,064",,
2023-10-01,25.95,26.05,25.55,25.70,-0.25,-0.96,"16,621",,
2023-09-28,26.15,26.40,25.60,25.95,-0.10,-0.38,"52,802",,
2023-09-27,25.55,26.10,25.55,26.05,0.60,2.36,"54,176",,
2023-09-26,25.30,25.90,25.25,25.45,0.20,0.79,"98,406",,
2023-09-25,26.00,26.15,25.25,25.25,-1.00,-3.81,"179,561",,
2023-09-21,26.70,26.70,26.05,26.25,-0.35,-1.32,"56,532",,
2023-09-20,26.35,26.60,26.00,26.60,0.20,0.76,"73,041",,
2023-09-19,26.20,26.45,25.75,26.40,0.10,0.38,"102,055",,
2023-09-18,26.25,26.75,26.00,26.30,-0.10,-0.38,"55,554",,
2023-09-17,26.70,26.85,26.40,26.40,-0.35,-1.31,"43,511",,
2023-09-14,27.05,27.05,26.70,26.75,-0.35,-1.29,"50,536",,
2023-09-13,27.00,27.25,26.80,27.10,0.10,0.37,"163,708",,
2023-09-12,27.85,27.85,26.95,27.00,-0.30,-1.10,"289,529",,
2023-09-11,27.75,28.30,27.30,27.30,-0.35,-1.27,"703,018",,
2023-09-10,27.00,27.75,27.00,27.65,0.40,1.47,"141,533",,
2023-09-07,27.50,27.65,26.85,27.25,-0.45,-1.62,"96,450",,
2023-09-06,27.85,28.00,27.50,27.70,-0.15,-0.54,"140,620",,
2023-09-05,27.85,28.00,27.45,27.85,0.00,0.00,"107,617",,
2023-09-04,28.15,28.20,27.70,27.85,-0.15,-0.54,"143,065",,
2023-09-03,27.80,28.20,27.60,28.00,0.20,0.72,"157,138",,
2023-08-31,28.00,28.30,27.80,27.80,-0.10,-0.36,"184,058",,
2023-08-30,27.75,28.25,27.50,27.90,0.15,0.54,"122,038",,
2023-08-29,26.65,28.20,26.50,27.75,1.00,3.74,"269,554",,
2023-08-28,26.25,26.80,26.25,26.75,0.30,1.13,"75,547",,
2023-08-27,26.30,26.80,26.30,26.45,0.10,0.38,"70,430",,
2023-08-24,26.55,26.55,26.10,26.35,-0.10,-0.38,"56,789",,
2023-08-23,26.25,26.60,26.10,26.45,0.25,0.95,"73,469",,
2023-08-22,26.60,26.60,26.00,26.20,-0.40,-1.50,"90,425",,
2023-08-21,26.90,27.90,26.20,26.60,0.50,1.92,"334,922",,
2023-08-20,26.65,26.95,26.10,26.10,-0.55,-2.06,"74,819",,
2023-08-17,27.00,27.15,25.95,26.65,-0.35,-1.30,"203,001",,
2023-08-16,26.90,27.30,26.70,27.00,0.10,0.37,"207,973",,
2023-08-15,27.55,27.80,26.70,26.90,-0.70,-2.54,"77,301",,
2023-08-14,28.10,28.10,27.50,27.60,-0.40,-1.43,"55,013",,
2023-08-13,27.70,28.20,27.70,28.00,-0.05,-0.18,"90,874",,
2023-08-10,28.00,28.20,28.00,28.05,0.05,0.18,"49,086",,
2023-08-09,27.80,28.15,27.35,28.00,0.20,0.72,"82,939",,
2023-08-08,27.95,28.15,27.50,27.80,-0.85,-2.97,"233,291",,
2023-08-07,28.80,28.80,27.80,28.65,0.00,0.00,"117,685",,
2023-08-06,28.30,28.95,28.25,28.65,0.10,0.35,"122,840",,
2023-08-03,28.40,28.95,28.20,28.55,0.40,1.42,"158,174",,
2023-08-02,28.30,28.50,28.15,28.15,-0.10,-0.35,"50,030",,
2023-08-01,28.10,28.25,28.10,28.25,0.35,1.25,"145,517",,
2023-07-31,28.20,28.20,27.80,27.90,-0.25,-0.89,"75,289",,
2023-07-30,28.00,28.20,27.70,28.15,0.05,0.18,"112,750",,
2023-07-27,28.10,28.25,28.00,28.10,0.00,0.00,"61,275",,
2023-07-26,28.15,28.45,28.05,28.10,-0.35,-1.23,"55,172",,
2023-07-25,28.15,28.65,28.00,28.45,0.35,1.25,"123,627",,
2023-07-24,27.95,28.10,27.90,28.10,0.05,0.18,"85,062",,
2023-07-23,28.00,28.30,27.85,28.05,-0.20,-0.71,"170,176",,
2023-07-20,28.50,28.50,28.00,28.25,-0.25,-0.88,"39,129",,
2023-07-19,28.35,28.50,28.35,28.50,0.05,0.18,"44,022",,
