0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,22.46,22.70,21.70,21.70,-0.78,-3.47,"954,006",,,,,
2025-05-28,22.30,22.72,22.30,22.48,0.16,0.72,"84,310",,,,,
2025-05-27,22.50,22.74,22.20,22.32,-0.22,-0.98,"82,294",,,,,
2025-05-26,23.06,23.06,22.30,22.54,-0.46,-2.00,"288,017",,,,,
2025-05-25,22.88,23.02,22.40,23.00,0.06,0.26,"106,393",,,,,
2025-05-22,23.02,23.22,22.72,22.94,-0.06,-0.26,"137,700",,,,,
2025-05-21,23.26,23.32,23.00,23.00,-0.28,-1.20,"103,564",,,,,
2025-05-20,23.76,23.76,23.20,23.28,-0.46,-1.94,"126,060",,,,,
2025-05-19,24.20,24.26,23.68,23.74,-0.80,-3.26,"136,067",,,,,
2025-05-18,24.14,24.80,24.14,24.54,0.40,1.66,"247,676",,,,,
2025-05-15,24.48,24.48,23.90,24.14,-0.36,-1.47,"118,683",,,,,
2025-05-14,24.26,24.74,24.24,24.50,0.24,0.99,"143,128",,,,,
2025-05-13,24.66,24.76,24.24,24.26,-0.40,-1.62,"105,959",,,,,
2025-05-12,24.58,24.92,24.58,24.66,0.00,0.00,"95,981",,,,,
2025-05-11,24.96,25.15,24.58,24.66,-0.44,-1.75,"87,931",,,,,
2025-05-08,25.40,25.80,24.90,25.10,-0.30,-1.18,"447,586",,,,,
2025-05-07,25.60,26.50,25.10,25.40,-0.45,-1.74,"488,940",,,,,
2025-05-06,25.00,26.35,25.00,25.85,-0.45,-1.71,"536,182",,,,,
2025-05-05,24.72,26.75,24.50,26.30,1.56,6.31,"1,598,521",,,,,
2025-05-04,24.30,25.50,24.30,24.74,0.40,1.64,"524,483",,,,,
2025-05-01,24.44,25.05,24.12,24.34,0.00,0.00,"476,841",,,,,
2025-04-30,24.68,24.68,24.00,24.34,0.02,0.08,"243,426",,,,,
2025-04-29,24.20,24.62,24.20,24.32,0.02,0.08,"176,867",,,,,
2025-04-28,24.66,24.82,24.30,24.30,-0.36,-1.46,"176,332",,,,,
2025-04-27,24.86,24.88,24.50,24.66,-0.24,-0.96,"459,594",,,,,
2025-04-24,24.92,25.00,24.24,24.90,0.10,0.40,"603,063",,,,,
2025-04-23,23.24,25.35,23.20,24.80,1.60,6.90,"1,827,983",,,,,
2025-04-22,21.80,23.30,21.80,23.20,1.28,5.84,"1,015,158",,,,,
2025-04-21,21.46,22.36,21.24,21.92,0.24,1.11,"626,525",,,,,
2025-04-20,20.70,21.72,20.70,21.68,1.00,4.84,"518,838",,,,,
2025-04-17,20.62,21.26,20.34,20.68,-0.04,-0.19,"649,203",,,,,
2025-04-16,20.88,20.90,20.62,20.72,-0.18,-0.86,"200,305",,,,,
2025-04-15,21.00,21.24,20.60,20.90,-0.02,-0.10,"253,272",,,,,
2025-04-14,19.84,21.08,19.78,20.92,1.14,5.76,"662,778",,,,,
2025-04-13,19.86,19.96,19.54,19.78,0.38,1.96,"160,787",,,,,
2025-04-10,19.88,19.88,19.16,19.40,0.42,2.21,"280,245",,,,,
2025-04-09,18.70,19.26,18.70,18.98,-0.06,-0.32,"262,852",,,,,
2025-04-08,19.32,19.74,19.00,19.04,-0.16,-0.83,"266,648",,,,,
2025-04-07,18.00,19.26,18.00,19.20,-0.12,-0.62,"412,169",,,,,
2025-04-06,20.00,20.30,19.20,19.32,-1.20,-5.85,"307,527",,,,,
2025-04-03,21.00,21.04,20.50,20.52,-0.68,-3.21,"181,537",,,,,
2025-03-27,21.18,21.36,21.02,21.20,0.10,0.47,"158,801",,,,,
2025-03-26,20.80,21.26,20.80,21.10,0.36,1.74,"82,810",,,,,
2025-03-25,20.80,20.92,20.58,20.74,-0.08,-0.38,"82,217",,,,,
2025-03-24,21.02,21.02,20.72,20.82,-0.14,-0.67,"116,757",,,,,
2025-03-23,20.64,20.96,20.64,20.96,0.34,1.65,"91,228",,,,,
2025-03-20,21.00,21.38,20.62,20.62,-0.38,-1.81,"491,572",,,,,
2025-03-19,21.08,21.20,20.86,21.00,-0.02,-0.10,"71,495",,,,,
2025-03-18,21.38,21.56,20.90,21.02,-0.44,-2.05,"144,210",,,,,
2025-03-17,21.98,22.00,21.44,21.46,-0.50,-2.28,"89,575",,,,,
2025-03-16,21.84,22.10,21.52,21.96,0.18,0.83,"138,605",,,,,
2025-03-13,21.30,22.12,21.08,21.78,0.60,2.83,"343,094",,,,,
2025-03-12,21.50,21.50,21.06,21.18,-0.18,-0.84,"116,382",,,,,
2025-03-11,20.02,21.56,20.02,21.36,0.88,4.30,"279,816",,,,,
2025-03-10,21.08,21.08,20.46,20.48,-0.42,-2.01,"167,843",,,,,
2025-03-09,21.12,21.30,20.64,20.90,-0.22,-1.04,"298,590",,,,,
2025-03-06,21.26,21.44,20.58,21.12,-0.14,-0.66,"359,864",,,,,
2025-03-05,23.00,23.00,21.04,21.26,-1.74,-7.57,"653,331",,,,,
2025-03-04,23.72,23.86,22.82,23.00,-0.98,-4.09,"258,930",,,,,
2025-03-03,23.76,24.42,23.66,23.98,0.22,0.93,"86,428",,,,,
2025-03-02,24.26,24.26,23.70,23.76,-0.26,-1.08,"64,881",,,,,
2025-02-27,24.16,24.42,24.02,24.02,-0.14,-0.58,"67,970",,,,,
2025-02-26,24.84,24.84,24.16,24.16,-0.36,-1.47,"103,742",,,,,
2025-02-25,24.00,24.82,23.30,24.52,0.54,2.25,"132,090",,,,,
2025-02-24,24.60,24.80,23.72,23.98,-0.58,-2.36,"177,167",,,,,
2025-02-20,24.42,24.70,24.36,24.56,0.14,0.57,"66,890",,,,,
2025-02-19,25.05,25.05,24.36,24.42,-0.58,-2.32,"196,834",,,,,
2025-02-18,25.20,25.45,24.98,25.00,-0.40,-1.57,"180,747",,,,,
2025-02-17,25.65,25.75,25.25,25.40,-0.35,-1.36,"132,306",,,,,
2025-02-16,25.80,26.00,25.65,25.75,-0.05,-0.19,"143,493",,,,,
2025-02-13,25.90,26.15,25.70,25.80,-0.15,-0.58,"152,809",,,,,
2025-02-12,25.55,26.25,25.55,25.95,0.30,1.17,"343,444",,,,,
2025-02-11,26.00,26.20,25.60,25.65,-0.35,-1.35,"210,638",,,,,
2025-02-10,26.25,26.40,25.90,26.00,-0.25,-0.95,"309,046",,,,,
2025-02-09,26.15,26.55,26.10,26.25,0.10,0.38,"328,480",,,,,
2025-02-06,25.85,26.35,25.70,26.15,0.20,0.77,"444,812",,,,,
2025-02-05,25.65,25.95,25.55,25.95,0.30,1.17,"356,000",,,,,
2025-02-04,25.55,25.85,25.55,25.65,0.10,0.39,"212,382",,,,,
2025-02-03,25.90,25.90,25.55,25.55,-0.35,-1.35,"164,957",,,,,
2025-02-02,25.60,25.90,25.60,25.90,0.30,1.17,"80,160",,,,,
2025-01-30,25.80,26.00,25.60,25.60,-0.20,-0.78,"122,302",,,,,
2025-01-29,25.80,26.20,25.60,25.80,0.00,0.00,"245,598",,,,,
2025-01-28,26.05,26.20,25.80,25.80,-0.25,-0.96,"270,007",,,,,
2025-01-27,26.15,26.60,26.05,26.05,-0.20,-0.76,"328,443",,,,,
2025-01-26,25.80,26.30,25.80,26.25,0.45,1.74,"457,756",,,,,
2025-01-23,26.15,26.15,25.65,25.80,-0.35,-1.34,"323,937",,,,,
2025-01-22,26.00,26.25,25.75,26.15,0.30,1.16,"301,770",,,,,
2025-01-21,26.15,26.35,25.85,25.85,-0.35,-1.34,"241,694",,,,,
2025-01-20,26.50,26.50,26.15,26.20,-0.40,-1.50,"264,147",,,,,
2025-01-19,26.35,26.85,26.10,26.60,0.35,1.33,"577,206",,,,,
2025-01-16,26.80,26.80,26.10,26.25,-0.45,-1.69,"530,815",,,,,
2025-01-15,25.75,26.80,25.75,26.70,0.95,3.69,"947,960",,,,,
2025-01-14,25.70,26.10,25.65,25.75,0.05,0.19,"349,464",,,,,
2025-01-13,25.70,26.15,25.65,25.70,0.00,0.00,"451,367",,,,,
2025-01-12,26.10,26.20,25.70,25.70,-0.45,-1.72,"513,110",,,,,
2025-01-09,26.05,26.45,25.70,26.15,0.15,0.58,"544,829",,,,,
2025-01-08,25.50,26.40,25.40,26.00,0.55,2.16,"1,151,846",,,,,
2025-01-07,25.40,25.60,25.05,25.45,0.15,0.59,"533,250",,,,,
2025-01-06,25.25,25.70,25.15,25.30,0.05,0.20,"395,611",,,,,
2025-01-05,24.88,25.50,24.80,25.25,0.37,1.49,"353,937",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-01-05,30.25,30.65,29.90,30.45,0.20,0.66,"966,956",,,,,
