0,1,2,3,4,5,6,7,8,9
2025-05-29,127.20,128.20,125.60,127.20,0.80,0.63,"32,097",,
2025-05-28,127.20,129.00,126.40,126.40,-0.80,-0.63,"33,351",,
2025-05-27,127.80,128.60,127.00,127.20,-1.20,-0.93,"59,950",,
2025-05-26,130.00,130.40,125.00,128.40,-2.00,-1.53,"38,806",,
2025-05-25,132.00,132.40,130.00,130.40,-1.40,-1.06,"28,088",,
2025-05-22,131.80,133.60,129.80,131.80,0.00,0.00,"69,829",,
2025-05-21,130.60,131.80,129.80,131.80,1.20,0.92,"43,517",,
2025-05-20,131.00,131.60,129.00,130.60,-0.40,-0.31,"77,625",,
2025-05-19,131.00,131.60,129.20,131.00,0.60,0.46,"63,586",,
2025-05-18,128.20,133.00,128.20,130.40,2.40,1.88,"144,867",,
2025-05-15,129.00,129.00,126.80,128.00,-1.00,-0.78,"55,139",,
2025-05-14,126.80,129.00,125.00,129.00,3.00,2.38,"99,666",,
2025-05-13,126.20,126.60,124.00,126.00,0.60,0.48,"111,143",,
2025-05-12,124.40,126.00,122.20,125.40,1.80,1.46,"90,897",,
2025-05-11,125.80,125.80,121.80,123.60,-1.20,-0.96,"124,725",,
2025-05-08,121.40,127.20,121.00,124.80,0.60,0.48,"443,878",,
2025-05-07,130.00,130.80,124.20,124.20,-13.80,-10.00,"427,758",,
2025-05-06,137.00,138.00,136.00,138.00,1.20,0.88,"47,184",,
2025-05-05,135.00,137.40,135.00,136.80,0.80,0.59,"58,327",,
2025-05-04,136.80,137.20,135.00,136.00,-1.20,-0.87,"56,131",,
2025-05-01,139.60,141.00,137.00,137.20,-2.80,-2.00,"45,494",,
2025-04-30,141.40,141.60,138.20,140.00,-1.20,-0.85,"142,468",,
2025-04-29,138.40,142.40,138.40,141.20,3.00,2.17,"133,025",,
2025-04-28,139.20,139.20,137.20,138.20,-1.00,-0.72,"36,014",,
2025-04-27,142.40,142.80,138.60,139.20,-0.80,-0.57,"30,938",,
2025-04-24,137.40,141.20,137.40,140.00,3.20,2.34,"146,355",,
2025-04-23,135.00,138.20,134.00,136.80,3.40,2.55,"151,466",,
2025-04-22,134.80,134.80,133.00,133.40,-1.60,-1.19,"61,363",,
2025-04-21,135.80,136.60,134.20,135.00,-0.20,-0.15,"110,104",,
2025-04-20,138.80,140.00,134.60,135.20,-2.80,-2.03,"230,283",,
2025-04-17,142.40,142.60,137.40,138.00,-4.80,-3.36,"161,831",,
2025-04-16,145.00,145.00,142.40,142.80,-1.80,-1.24,"95,780",,
2025-04-15,144.20,146.40,143.60,144.60,0.40,0.28,"143,915",,
2025-04-14,144.80,145.40,141.80,144.20,0.20,0.14,"313,841",,
2025-04-13,146.00,148.80,144.00,144.00,0.00,0.00,"91,566",,
2025-04-10,145.20,145.60,141.60,144.00,7.00,5.11,"154,934",,
2025-04-09,137.80,138.80,135.00,137.00,-1.40,-1.01,"110,818",,
2025-04-08,139.20,143.40,138.40,138.40,1.00,0.73,"137,484",,
2025-04-07,131.00,137.80,129.20,137.40,2.40,1.78,"255,647",,
2025-04-06,135.20,141.80,134.60,135.00,-13.80,-9.27,"215,627",,
2025-04-03,149.60,151.00,148.20,148.80,-2.40,-1.59,"114,073",,
2025-03-27,151.20,154.40,150.20,151.20,0.20,0.13,"78,745",,
2025-03-26,149.80,152.20,147.40,151.00,1.40,0.94,"152,164",,
2025-03-25,154.00,154.40,148.80,149.60,-4.40,-2.86,"143,388",,
2025-03-24,155.60,155.60,150.20,154.00,-1.60,-1.03,"180,415",,
2025-03-23,156.40,159.40,155.20,155.60,-1.20,-0.77,"45,914",,
2025-03-20,157.00,159.40,154.60,156.80,-0.20,-0.13,"130,357",,
2025-03-19,159.00,159.00,153.80,157.00,-1.00,-0.63,"55,218",,
2025-03-18,159.20,159.20,156.80,158.00,-1.00,-0.63,"84,572",,
2025-03-17,160.00,160.00,156.40,159.00,-0.80,-0.50,"168,109",,
2025-03-16,154.20,159.80,153.20,159.80,5.60,3.63,"126,945",,
2025-03-13,150.60,155.20,147.40,154.20,4.40,2.94,"297,979",,
2025-03-12,152.40,152.60,149.00,149.80,-2.00,-1.32,"122,715",,
2025-03-11,151.00,152.60,147.20,151.80,-1.40,-0.91,"138,410",,
2025-03-10,154.00,154.20,150.20,153.20,-0.60,-0.39,"106,450",,
2025-03-09,152.00,156.00,148.40,153.80,4.00,2.67,"72,939",,
2025-03-06,152.40,152.60,148.40,149.80,-2.40,-1.58,"69,723",,
2025-03-05,150.40,152.40,149.80,152.20,2.20,1.47,"51,356",,
2025-03-04,153.00,153.00,146.40,150.00,-3.20,-2.09,"275,170",,
2025-03-03,156.80,157.40,151.00,153.20,-3.20,-2.05,"302,546",,
2025-03-02,160.00,160.20,155.40,156.40,-4.60,-2.86,"96,275",,
2025-02-27,164.60,164.60,161.00,161.00,-3.40,-2.07,"76,156",,
2025-02-26,163.60,164.40,162.00,164.40,1.80,1.11,"107,919",,
2025-02-25,157.80,163.60,157.40,162.60,4.60,2.91,"132,494",,
2025-02-24,160.00,160.20,155.60,158.00,-3.00,-1.86,"273,469",,
2025-02-20,162.00,162.00,158.20,161.00,-1.00,-0.62,"198,440",,
2025-02-19,161.20,163.60,159.40,162.00,-0.60,-0.37,"308,121",,
2025-02-18,162.20,164.00,160.20,162.60,-1.20,-0.73,"225,734",,
2025-02-17,165.80,165.80,162.40,163.80,-2.00,-1.21,"89,306",,
2025-02-16,167.00,167.20,165.40,165.80,-1.20,-0.72,"68,033",,
2025-02-13,167.60,168.40,165.40,167.00,0.20,0.12,"203,383",,
2025-02-12,165.60,168.00,165.60,166.80,1.60,0.97,"157,514",,
2025-02-11,169.20,169.40,161.80,165.20,-4.00,-2.36,"701,970",,
2025-02-10,170.00,172.00,167.60,169.20,-8.60,-4.84,"751,962",,
2025-02-09,178.20,178.40,177.00,177.80,-0.20,-0.11,"36,514",,
2025-02-06,178.60,179.00,176.80,178.00,-0.60,-0.34,"135,766",,
2025-02-05,179.60,179.80,178.60,178.60,-1.00,-0.56,"81,897",,
2025-02-04,178.60,180.20,178.40,179.60,1.20,0.67,"62,639",,
2025-02-03,181.00,181.80,178.40,178.40,-2.60,-1.44,"84,901",,
2025-02-02,183.00,183.40,181.00,181.00,-1.20,-0.66,"66,209",,
2025-01-30,181.20,182.20,179.60,182.20,1.20,0.66,"78,177",,
2025-01-29,184.40,184.40,178.60,181.00,-2.60,-1.42,"130,902",,
