0,1,2,3,4,5,6,7,8,9
2025-05-29,158.60,162.20,157.60,160.80,2.60,1.64,"65,561",,
2025-05-28,154.20,159.60,154.20,158.20,4.40,2.86,"37,582",,
2025-05-27,153.20,163.00,153.20,153.80,-0.20,-0.13,"73,469",,
2025-05-26,157.00,157.80,154.00,154.00,-2.20,-1.41,"30,427",,
2025-05-25,160.40,160.40,156.20,156.20,0.20,0.13,"24,616",,
2025-05-22,157.80,160.60,155.80,156.00,-2.20,-1.39,"37,897",,
2025-05-21,161.00,161.00,155.60,158.20,1.20,0.76,"34,084",,
2025-05-20,157.20,162.60,156.40,157.00,0.40,0.26,"81,180",,
2025-05-19,151.00,161.60,148.60,156.60,7.20,4.82,"177,173",,
2025-05-18,148.00,151.00,147.00,149.40,2.00,1.36,"25,553",,
2025-05-15,151.00,151.00,146.00,147.40,-2.60,-1.73,"23,540",,
2025-05-14,148.60,150.40,147.20,150.00,1.40,0.94,"28,666",,
2025-05-13,153.00,153.20,148.20,148.60,-2.60,-1.72,"31,711",,
2025-05-12,148.80,152.00,148.80,151.20,3.00,2.02,"26,130",,
2025-05-11,150.00,150.00,147.00,148.20,-2.00,-1.33,"9,073",,
2025-05-08,153.00,153.00,149.00,150.20,-2.40,-1.57,"22,446",,
2025-05-07,152.60,154.20,152.20,152.60,-1.20,-0.78,"17,021",,
2025-05-06,151.20,155.60,151.20,153.80,1.80,1.18,"29,579",,
2025-05-05,152.60,154.00,150.80,152.00,-0.60,-0.39,"17,509",,
2025-05-04,154.20,154.20,151.00,152.60,-1.60,-1.04,"14,848",,
2025-05-01,156.80,157.00,153.00,154.20,-2.60,-1.66,"34,069",,
2025-04-30,161.00,161.00,155.40,156.80,-4.20,-2.61,"28,993",,
2025-04-29,156.40,163.00,155.20,161.00,5.40,3.47,"73,051",,
2025-04-28,156.40,156.40,154.20,155.60,1.00,0.65,"39,913",,
2025-04-27,156.60,156.60,153.40,154.60,-0.20,-0.13,"17,177",,
2025-04-24,154.60,157.40,153.00,154.80,0.60,0.39,"66,827",,
2025-04-23,153.00,155.60,152.00,154.20,0.40,0.26,"83,226",,
2025-04-22,157.00,157.80,153.80,153.80,-3.60,-2.29,"21,731",,
2025-04-21,158.60,158.80,155.40,157.40,-1.20,-0.76,"72,648",,
2025-04-20,160.40,161.60,158.00,158.60,0.60,0.38,"20,198",,
2025-04-17,162.40,162.80,157.00,158.00,-4.20,-2.59,"37,510",,
2025-04-16,162.00,165.00,160.80,162.20,0.20,0.12,"22,570",,
2025-04-15,164.20,165.20,162.00,162.00,-2.00,-1.22,"22,417",,
2025-04-14,162.00,164.20,161.60,164.00,2.40,1.49,"32,411",,
2025-04-13,160.60,164.00,160.60,161.60,1.00,0.62,"38,315",,
2025-04-10,167.60,167.60,160.60,160.60,-1.40,-0.86,"98,880",,
2025-04-09,167.60,167.80,161.60,162.00,-5.40,-3.23,"40,430",,
2025-04-08,160.00,169.40,159.00,167.40,7.40,4.63,"77,179",,
2025-04-07,143.20,161.60,138.20,160.00,13.00,8.84,"148,140",,
2025-04-06,161.20,161.20,147.00,147.00,-14.40,-8.92,"44,600",,
2025-04-03,159.60,162.80,157.20,161.40,1.80,1.13,"28,052",,
2025-03-27,158.00,161.60,157.60,159.60,0.60,0.38,"26,508",,
2025-03-26,158.00,159.80,157.40,159.00,1.00,0.63,"31,999",,
2025-03-25,161.80,161.80,154.00,158.00,0.60,0.38,"31,726",,
2025-03-24,158.00,159.00,155.00,157.40,-0.60,-0.38,"28,540",,
2025-03-23,157.80,160.60,157.20,158.00,0.20,0.13,"10,849",,
2025-03-20,160.00,161.60,154.60,157.80,-2.20,-1.38,"39,510",,
2025-03-19,159.20,160.00,157.00,160.00,0.80,0.50,"28,369",,
2025-03-18,164.00,164.60,159.00,159.20,-4.80,-2.93,"16,519",,
2025-03-17,164.40,169.80,162.40,164.00,-2.00,-1.20,"26,280",,
2025-03-16,156.80,167.60,156.60,166.00,9.60,6.14,"45,594",,
2025-03-13,162.80,163.00,156.00,156.40,-4.60,-2.86,"36,559",,
2025-03-12,167.20,168.20,159.20,161.00,-4.60,-2.78,"57,400",,
2025-03-11,168.60,169.60,162.60,165.60,-4.40,-2.59,"34,384",,
2025-03-10,168.80,171.00,166.00,170.00,1.20,0.71,"180,829",,
2025-03-09,165.00,168.80,161.00,168.80,3.80,2.30,"29,121",,
2025-03-06,168.60,168.60,163.00,165.00,-0.20,-0.12,"25,646",,
2025-03-05,170.20,174.60,165.00,165.20,-6.20,-3.62,"37,333",,
2025-03-04,169.40,171.40,166.60,171.40,2.00,1.18,"25,870",,
2025-03-03,169.80,171.40,167.60,169.40,-2.60,-1.51,"26,163",,
2025-03-02,172.00,172.20,168.20,172.00,0.20,0.12,"22,297",,
2025-02-27,168.80,171.80,166.40,171.80,3.00,1.78,"32,899",,
2025-02-26,168.00,169.00,166.40,168.80,-0.40,-0.24,"12,324",,
2025-02-25,165.40,170.00,163.00,169.20,3.20,1.93,"76,752",,
2025-02-24,171.60,172.60,166.00,166.00,-5.60,-3.26,"29,429",,
2025-02-20,169.40,172.80,165.40,171.60,2.40,1.42,"29,141",,
2025-02-19,177.20,177.20,169.00,169.20,-7.40,-4.19,"52,837",,
2025-02-18,173.40,178.40,173.00,176.60,2.40,1.38,"145,028",,
2025-02-17,177.00,177.00,172.40,174.20,-2.80,-1.58,"40,886",,
2025-02-16,177.00,179.00,176.60,177.00,0.00,0.00,"32,225",,
2025-02-13,177.00,178.40,175.60,177.00,0.20,0.11,"46,595",,
2025-02-12,182.20,182.20,176.60,176.80,-5.40,-2.96,"68,316",,
2025-02-11,184.20,184.20,181.60,182.20,-2.20,-1.19,"18,732",,
2025-02-10,183.40,184.40,181.60,184.40,1.00,0.55,"31,654",,
2025-02-09,185.00,185.00,182.80,183.40,-1.40,-0.76,"125,395",,
2025-02-06,184.80,185.00,182.20,184.80,0.00,0.00,"33,327",,
2025-02-05,183.00,185.60,182.80,184.80,1.80,0.98,"38,765",,
2025-02-04,182.40,184.60,182.40,183.00,0.00,0.00,"37,628",,
2025-02-03,184.00,184.80,182.40,183.00,-1.80,-0.97,"24,950",,
2025-02-02,182.00,185.60,182.00,184.80,2.80,1.54,"44,241",,
