0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,14.92,15.12,14.68,14.68,-0.32,-2.13,"143,818",,,,,
2025-05-28,15.02,15.28,14.90,15.00,0.00,0.00,"34,524",,,,,
2025-05-27,15.40,15.46,14.90,15.00,-0.22,-1.45,"125,159",,,,,
2025-05-26,15.82,15.82,15.12,15.22,-0.36,-2.31,"53,113",,,,,
2025-05-25,15.68,16.30,15.48,15.58,-0.10,-0.64,"103,255",,,,,
2025-05-22,15.78,15.86,15.60,15.68,-0.12,-0.76,"87,163",,,,,
2025-05-21,16.30,16.30,15.74,15.80,-0.38,-2.35,"130,541",,,,,
2025-05-20,16.38,16.38,16.14,16.18,-0.22,-1.34,"59,920",,,,,
2025-05-19,16.50,16.52,16.18,16.40,0.04,0.24,"75,171",,,,,
2025-05-18,16.06,16.48,16.06,16.36,0.02,0.12,"77,886",,,,,
2025-05-15,17.00,17.00,16.22,16.34,-0.68,-4.00,"183,463",,,,,
2025-05-14,17.08,17.30,17.02,17.02,-0.06,-0.35,"84,160",,,,,
2025-05-13,17.42,17.46,17.08,17.08,-0.26,-1.50,"69,084",,,,,
2025-05-12,17.20,17.44,17.08,17.34,0.24,1.40,"55,636",,,,,
2025-05-11,17.02,17.38,17.00,17.10,0.04,0.23,"36,845",,,,,
2025-05-08,17.56,17.56,17.02,17.06,-0.34,-1.95,"38,797",,,,,
2025-05-07,17.62,17.68,17.36,17.40,-0.20,-1.14,"44,610",,,,,
2025-05-06,17.82,18.08,17.60,17.60,-0.22,-1.23,"59,697",,,,,
2025-05-05,17.66,17.90,17.50,17.82,0.12,0.68,"54,807",,,,,
2025-05-04,17.94,17.94,17.60,17.70,0.10,0.57,"22,196",,,,,
2025-05-01,17.92,17.92,17.60,17.60,-0.34,-1.90,"36,253",,,,,
2025-04-30,18.40,18.40,17.78,17.94,-0.32,-1.75,"71,912",,,,,
2025-04-29,18.48,18.48,18.20,18.26,-0.12,-0.65,"78,500",,,,,
2025-04-28,18.70,18.86,18.30,18.38,-0.32,-1.71,"111,528",,,,,
2025-04-27,18.62,18.74,18.40,18.70,0.18,0.97,"108,461",,,,,
2025-04-24,18.62,18.80,18.50,18.52,-0.16,-0.86,"65,660",,,,,
2025-04-23,18.78,18.90,18.58,18.68,-0.02,-0.11,"110,013",,,,,
2025-04-22,18.60,19.18,18.54,18.70,0.16,0.86,"298,497",,,,,
2025-04-21,18.50,19.80,18.50,18.54,0.22,1.20,"803,546",,,,,
2025-04-20,17.60,18.40,17.60,18.32,0.72,4.09,"106,228",,,,,
2025-04-17,17.90,18.00,17.58,17.60,-0.30,-1.68,"76,194",,,,,
2025-04-16,17.88,18.14,17.66,17.90,0.14,0.79,"110,517",,,,,
2025-04-15,18.26,18.44,17.72,17.76,-0.38,-2.09,"150,878",,,,,
2025-04-14,17.66,18.16,17.54,18.14,0.48,2.72,"157,488",,,,,
2025-04-13,17.30,17.72,17.26,17.66,0.52,3.03,"97,173",,,,,
2025-04-10,17.34,17.40,17.02,17.14,0.62,3.75,"209,775",,,,,
2025-04-09,17.02,17.10,16.52,16.52,-0.58,-3.39,"108,618",,,,,
2025-04-08,16.54,17.20,16.50,17.10,0.76,4.65,"216,435",,,,,
2025-04-07,15.96,16.90,15.54,16.34,-0.92,-5.33,"579,066",,,,,
2025-04-06,17.84,18.62,17.26,17.26,-1.90,-9.92,"309,027",,,,,
2025-04-03,20.38,20.38,19.12,19.16,-1.54,-7.44,"339,416",,,,,
2025-03-27,21.00,21.30,20.52,20.70,-0.30,-1.43,"207,520",,,,,
2025-03-26,20.56,21.06,20.56,21.00,0.18,0.86,"53,890",,,,,
2025-03-25,21.00,21.00,20.64,20.82,-0.06,-0.29,"25,454",,,,,
2025-03-24,20.64,20.92,20.44,20.88,0.18,0.87,"65,092",,,,,
2025-03-23,21.20,21.20,20.60,20.70,-0.40,-1.90,"24,644",,,,,
2025-03-20,21.02,21.20,20.94,21.10,0.00,0.00,"47,760",,,,,
2025-03-19,20.86,21.10,20.56,21.10,0.12,0.57,"91,837",,,,,
2025-03-18,20.88,20.98,20.60,20.98,0.12,0.58,"103,972",,,,,
2025-03-17,21.46,21.46,20.82,20.86,-0.42,-1.97,"171,540",,,,,
2025-03-16,21.08,21.40,20.80,21.28,0.20,0.95,"68,982",,,,,
2025-03-13,20.40,21.08,20.22,21.08,0.60,2.93,"344,031",,,,,
2025-03-12,20.34,20.54,20.20,20.48,0.14,0.69,"320,305",,,,,
2025-03-11,20.50,20.60,19.90,20.34,-0.28,-1.36,"312,769",,,,,
2025-03-10,21.26,21.26,20.62,20.62,-0.46,-2.18,"88,971",,,,,
2025-03-09,20.98,21.28,20.86,21.08,0.08,0.38,"192,095",,,,,
2025-03-06,21.22,21.22,20.50,21.00,-0.22,-1.04,"151,161",,,,,
2025-03-05,21.34,21.38,21.00,21.22,-0.26,-1.21,"146,392",,,,,
2025-03-04,22.04,22.04,21.40,21.48,-0.80,-3.59,"198,652",,,,,
2025-03-03,22.50,22.50,21.78,22.28,-0.24,-1.07,"125,554",,,,,
2025-03-02,23.00,23.08,22.26,22.52,-0.48,-2.09,"123,477",,,,,
2025-02-27,23.30,23.30,22.86,23.00,-0.20,-0.86,"190,672",,,,,
2025-02-26,23.06,23.28,22.98,23.20,0.20,0.87,"291,104",,,,,
2025-02-25,22.88,23.08,22.60,23.00,0.04,0.17,"249,317",,,,,
2025-02-24,23.34,23.46,22.90,22.96,-0.72,-3.04,"475,152",,,,,
2025-02-20,23.88,23.88,23.52,23.68,-0.20,-0.84,"160,187",,,,,
2025-02-19,23.92,24.14,23.66,23.88,-0.10,-0.42,"224,915",,,,,
2025-02-18,23.98,24.16,23.64,23.98,-0.04,-0.17,"549,633",,,,,
2025-02-17,24.30,24.30,24.00,24.02,-0.28,-1.15,"368,173",,,,,
2025-02-16,24.20,24.54,24.04,24.30,0.30,1.25,"834,497",,,,,
2025-02-13,24.14,24.22,23.74,24.00,-0.14,-0.58,"626,231",,,,,
2025-02-12,23.96,24.18,23.64,24.14,0.44,1.86,"906,951",,,,,
2025-02-11,23.88,24.00,23.48,23.70,-0.22,-0.92,"776,127",,,,,
2025-02-10,23.38,24.22,23.18,23.92,0.54,2.31,"1,713,323",,,,,
2025-02-09,23.20,23.42,23.12,23.38,0.20,0.86,"207,014",,,,,
2025-02-06,23.28,23.28,22.88,23.18,-0.08,-0.34,"596,162",,,,,
2025-02-05,22.84,23.28,22.72,23.26,0.42,1.84,"735,083",,,,,
2025-02-04,22.80,22.86,22.70,22.84,0.04,0.18,"105,207",,,,,
2025-02-03,22.96,22.96,22.64,22.80,-0.18,-0.78,"68,692",,,,,
2025-02-02,22.94,23.00,22.76,22.98,0.04,0.17,"101,949",,,,,
2025-01-30,22.70,22.98,22.54,22.94,0.24,1.06,"398,484",,,,,
2025-01-29,23.24,23.24,22.70,22.70,-0.48,-2.07,"183,317",,,,,
2025-01-28,23.22,23.30,23.16,23.18,-0.10,-0.43,"157,041",,,,,
