0,1,2,3,4,5,6,7,8,9
2025-05-29,16.04,16.28,15.98,16.28,0.28,1.75,"215,288",,
2025-05-28,15.94,16.16,15.92,16.00,0.04,0.25,"161,459",,
2025-05-27,16.06,16.30,15.78,15.96,-0.32,-1.97,"171,381",,
2025-05-26,16.46,16.46,15.98,16.28,-0.18,-1.09,"129,938",,
2025-05-25,16.24,16.46,16.00,16.46,0.24,1.48,"103,017",,
2025-05-22,16.34,16.44,16.22,16.22,-0.28,-1.70,"157,134",,
2025-05-21,16.86,16.92,16.44,16.50,-0.38,-2.25,"178,787",,
2025-05-20,16.84,16.94,16.68,16.88,0.08,0.48,"234,341",,
2025-05-19,16.98,17.04,16.72,16.80,-0.20,-1.18,"213,525",,
2025-05-18,17.08,17.20,16.94,17.00,-0.08,-0.47,"177,671",,
2025-05-15,17.34,17.36,16.90,17.08,-0.20,-1.16,"285,801",,
2025-05-14,17.36,17.42,17.24,17.28,-0.08,-0.46,"248,930",,
2025-05-13,17.46,17.46,17.24,17.36,0.00,0.00,"228,114",,
2025-05-12,17.12,17.50,17.12,17.36,0.24,1.40,"269,024",,
2025-05-11,17.00,17.30,16.94,17.12,-0.18,-1.04,"197,932",,
2025-05-08,17.04,17.30,16.90,17.30,0.24,1.41,"260,856",,
2025-05-07,17.24,17.34,16.82,17.06,-0.20,-1.16,"271,465",,
2025-05-06,17.66,17.72,17.26,17.26,-0.44,-2.49,"256,877",,
2025-05-05,17.46,17.70,17.16,17.70,0.58,3.39,"508,201",,
2025-05-04,17.50,17.62,17.08,17.12,-0.38,-2.17,"341,443",,
2025-05-01,17.80,17.98,17.42,17.50,-0.40,-2.23,"402,042",,
2025-04-30,18.58,18.58,17.74,17.90,-0.60,-3.24,"789,368",,
2025-04-29,18.30,18.98,18.24,18.50,0.24,1.31,"1,039,956",,
2025-04-28,18.82,19.02,18.20,18.26,-0.34,-1.83,"1,233,075",,
2025-04-27,18.16,18.64,17.98,18.60,0.46,2.54,"797,315",,
2025-04-24,17.94,18.20,17.76,18.14,0.28,1.57,"683,338",,
2025-04-23,17.70,18.06,17.68,17.86,0.18,1.02,"563,712",,
2025-04-22,17.66,17.88,17.54,17.68,-0.06,-0.34,"408,145",,
2025-04-21,17.88,18.00,17.68,17.74,-0.12,-0.67,"426,434",,
2025-04-20,17.94,18.06,17.66,17.86,0.06,0.34,"555,723",,
2025-04-17,17.52,18.12,17.52,17.80,0.14,0.79,"586,179",,
2025-04-16,18.24,18.48,17.66,17.66,-0.40,-2.21,"695,747",,
2025-04-15,18.20,18.56,18.06,18.06,-0.04,-0.22,"543,273",,
2025-04-14,17.86,18.40,17.68,18.10,0.30,1.69,"549,689",,
2025-04-13,17.36,18.06,17.34,17.80,0.54,3.13,"587,536",,
2025-04-10,17.40,17.42,16.88,17.26,1.02,6.28,"714,264",,
2025-04-09,16.30,16.90,16.10,16.24,-0.40,-2.40,"599,578",,
2025-04-08,16.30,17.22,16.10,16.64,0.60,3.74,"1,120,142",,
2025-04-07,15.00,16.34,14.90,16.04,-0.10,-0.62,"1,048,513",,
2025-04-06,16.24,17.00,16.14,16.14,-1.78,-9.93,"582,187",,
2025-04-03,18.38,18.56,17.90,17.92,-0.68,-3.66,"555,783",,
2025-03-27,18.52,18.78,18.32,18.60,0.10,0.54,"408,443",,
2025-03-26,18.32,18.66,18.28,18.50,0.20,1.09,"439,751",,
2025-03-25,19.00,19.06,18.24,18.30,-0.66,-3.48,"561,097",,
2025-03-24,18.84,19.06,18.72,18.96,0.18,0.96,"247,569",,
2025-03-23,19.16,19.22,18.74,18.78,-0.22,-1.16,"238,151",,
2025-03-20,18.84,19.18,18.70,19.00,0.20,1.06,"435,066",,
2025-03-19,18.72,19.04,18.64,18.80,-0.02,-0.11,"403,126",,
2025-03-18,19.52,19.54,18.70,18.82,-0.70,-3.59,"815,318",,
2025-03-17,20.20,20.56,19.50,19.52,-0.68,-3.37,"603,179",,
2025-03-16,20.20,20.40,20.00,20.20,0.00,0.00,"356,470",,
2025-03-13,20.14,20.70,19.82,20.20,0.26,1.30,"560,146",,
2025-03-12,19.64,20.30,19.48,19.94,0.40,2.05,"517,974",,
2025-03-11,18.54,19.74,18.22,19.54,0.84,4.49,"1,034,703",,
2025-03-10,19.08,19.14,18.56,18.70,-0.42,-2.20,"436,391",,
2025-03-09,19.72,19.88,19.00,19.12,-0.46,-2.35,"435,809",,
2025-03-06,19.72,20.04,19.20,19.58,-0.14,-0.71,"733,790",,
2025-03-05,20.44,20.68,19.62,19.72,-0.72,-3.52,"478,246",,
2025-03-04,20.44,20.78,20.30,20.44,-0.18,-0.87,"336,568",,
2025-03-03,21.14,21.36,20.32,20.62,-0.52,-2.46,"574,379",,
2025-03-02,21.50,22.32,21.08,21.14,-0.62,-2.85,"898,801",,
2025-02-27,21.50,21.98,21.36,21.76,0.26,1.21,"597,698",,
2025-02-26,21.42,21.64,21.34,21.50,0.16,0.75,"370,585",,
2025-02-25,21.78,21.98,21.18,21.34,-0.56,-2.56,"739,709",,
2025-02-24,22.56,22.70,21.80,21.90,-0.66,-2.93,"513,732",,
2025-02-20,22.90,23.06,22.36,22.56,-0.32,-1.40,"512,366",,
2025-02-19,23.08,23.20,22.48,22.88,-0.20,-0.87,"888,118",,
2025-02-18,23.30,23.90,22.98,23.08,-0.18,-0.77,"1,876,057",,
2025-02-17,22.60,23.50,22.38,23.26,0.82,3.65,"2,691,159",,
2025-02-16,22.30,22.96,22.30,22.44,0.10,0.45,"1,195,834",,
2025-02-13,22.34,22.64,22.22,22.34,0.06,0.27,"960,014",,
2025-02-12,23.08,23.46,22.16,22.28,-0.72,-3.13,"1,787,372",,
2025-02-11,22.94,23.66,22.86,23.00,0.06,0.26,"1,467,600",,
2025-02-10,23.78,23.88,22.90,22.94,-0.74,-3.13,"1,509,290",,
2025-02-09,22.46,24.24,22.46,23.68,1.26,5.62,"4,638,612",,
2025-02-06,22.24,22.92,22.14,22.42,0.20,0.90,"2,763,477",,
2025-02-05,22.22,22.46,22.18,22.22,0.02,0.09,"701,797",,
2025-02-04,21.90,22.54,21.90,22.20,0.32,1.46,"2,120,823",,
2025-02-03,22.10,22.14,21.84,21.88,-0.24,-1.08,"469,497",,
2025-02-02,22.20,22.38,21.90,22.12,0.12,0.55,"1,267,495",,
2025-01-30,21.82,22.26,21.74,22.00,0.20,0.92,"1,112,124",,
2025-01-29,21.84,21.94,21.72,21.80,-0.04,-0.18,"302,827",,
2025-01-28,21.82,22.04,21.82,21.84,0.02,0.09,"684,289",,
2025-01-27,22.04,22.18,21.82,21.82,-0.26,-1.18,"722,412",,
2025-01-26,22.30,22.46,22.00,22.08,-0.12,-0.54,"1,013,939",,
2025-01-23,22.04,22.38,21.88,22.20,0.20,0.91,"1,443,180",,
2025-01-22,21.78,22.60,21.64,22.00,0.22,1.01,"2,571,831",,
2025-01-21,21.64,22.16,21.62,21.78,-0.04,-0.18,"1,425,988",,
2025-01-20,22.28,22.28,21.78,21.82,-0.44,-1.98,"1,178,568",,
2025-01-19,22.90,22.98,22.22,22.26,-0.36,-1.59,"1,722,590",,
2025-01-16,21.56,23.18,21.48,22.62,1.14,5.31,"5,618,372",,
2025-01-15,21.66,21.82,21.42,21.48,-0.18,-0.83,"1,093,830",,
2025-01-14,21.26,21.82,21.16,21.66,0.40,1.88,"1,888,671",,
2025-01-13,21.22,21.40,21.14,21.26,-0.02,-0.09,"337,296",,
2025-01-12,21.12,21.44,21.04,21.28,0.06,0.28,"516,671",,
2025-01-09,21.50,21.50,21.18,21.22,-0.28,-1.30,"489,055",,
2025-01-08,21.10,21.70,21.00,21.50,0.26,1.22,"1,180,266",,
2025-01-07,21.64,21.66,21.18,21.24,-0.34,-1.58,"742,113",,
2025-01-06,21.64,21.84,21.52,21.58,0.14,0.65,"785,891",,
2025-01-05,21.26,21.74,21.10,21.44,0.32,1.52,"1,045,461",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,21.26,21.74,21.10,21.44,0.32,1.52,"1,045,461",,
2025-01-02,21.90,21.90,21.10,21.12,-0.56,-2.58,"911,400",,
2025-01-01,21.12,22.18,21.00,21.68,0.72,3.44,"3,119,935",,
2024-12-31,20.66,21.30,20.58,20.96,0.38,1.85,"1,746,374",,
2024-12-30,20.46,20.80,20.36,20.58,0.14,0.68,"669,161",,
2024-12-29,20.64,20.90,20.44,20.44,-0.12,-0.58,"564,200",,
2024-12-26,20.96,21.10,20.52,20.56,-0.34,-1.63,"581,017",,
