0,1,2,3,4,5,6,7,8,9
2025-05-29,0.79,0.80,0.78,0.78,-0.01,-1.27,"6,562,461",,
2025-05-28,0.78,0.80,0.78,0.79,0.02,2.60,"9,313,792",,
2025-05-27,0.80,0.80,0.77,0.77,-0.03,-3.75,"15,702,033",,
2025-05-26,0.81,0.81,0.78,0.80,-0.01,-1.23,"15,798,379",,
2025-05-25,0.81,0.81,0.80,0.81,0.01,1.25,"5,560,994",,
2025-05-22,0.83,0.84,0.80,0.80,-0.03,-3.61,"26,493,430",,
2025-05-21,0.84,0.85,0.83,0.83,-0.01,-1.19,"7,536,385",,
2025-05-20,0.84,0.85,0.84,0.84,0.00,0.00,"6,683,091",,
2025-05-19,0.84,0.85,0.83,0.84,0.00,0.00,"6,930,427",,
2025-05-18,0.84,0.85,0.84,0.84,0.00,0.00,"6,964,846",,
2025-05-15,0.85,0.86,0.84,0.84,-0.02,-2.33,"9,502,850",,
2025-05-14,0.86,0.86,0.85,0.86,0.00,0.00,"4,451,020",,
2025-05-13,0.85,0.87,0.85,0.86,0.01,1.18,"13,362,424",,
2025-05-12,0.84,0.86,0.84,0.85,0.01,1.19,"7,606,366",,
2025-05-11,0.85,0.86,0.84,0.84,0.00,0.00,"9,505,548",,
2025-05-08,0.84,0.85,0.84,0.84,0.00,0.00,"6,024,804",,
2025-05-07,0.85,0.86,0.84,0.84,-0.01,-1.18,"6,404,015",,
2025-05-06,0.86,0.87,0.85,0.85,-0.01,-1.16,"12,217,708",,
2025-05-05,0.86,0.86,0.84,0.86,0.00,0.00,"13,268,763",,
2025-05-04,0.86,0.87,0.85,0.86,0.01,1.18,"8,708,904",,
2025-05-01,0.86,0.87,0.85,0.85,-0.01,-1.16,"11,262,003",,
2025-04-30,0.89,0.89,0.86,0.86,-0.02,-2.27,"15,180,219",,
2025-04-29,0.89,0.89,0.87,0.88,-0.01,-1.12,"14,971,975",,
2025-04-28,0.90,0.91,0.88,0.89,0.00,0.00,"34,433,078",,
2025-04-27,0.86,0.89,0.86,0.89,0.03,3.49,"57,041,542",,
2025-04-24,0.87,0.88,0.84,0.86,0.00,0.00,"36,612,915",,
2025-04-23,0.84,0.87,0.83,0.86,0.03,3.61,"42,746,740",,
2025-04-22,0.83,0.84,0.83,0.83,-0.01,-1.19,"6,718,308",,
2025-04-21,0.85,0.85,0.83,0.84,0.00,0.00,"13,873,932",,
2025-04-20,0.84,0.85,0.83,0.84,0.01,1.20,"16,028,924",,
2025-04-17,0.86,0.86,0.83,0.83,-0.03,-3.49,"18,211,321",,
2025-04-16,0.84,0.87,0.83,0.86,0.02,2.38,"32,735,992",,
2025-04-15,0.84,0.85,0.83,0.84,0.01,1.20,"12,307,971",,
2025-04-14,0.81,0.84,0.81,0.83,0.02,2.47,"25,517,072",,
2025-04-13,0.81,0.82,0.80,0.81,0.01,1.25,"7,883,355",,
2025-04-10,0.80,0.82,0.80,0.80,0.03,3.90,"15,978,669",,
2025-04-09,0.78,0.79,0.77,0.77,-0.02,-2.53,"9,987,348",,
2025-04-08,0.79,0.81,0.78,0.79,0.01,1.28,"17,029,844",,
2025-04-07,0.72,0.79,0.71,0.78,0.03,4.00,"24,546,780",,
2025-04-06,0.78,0.79,0.74,0.75,-0.07,-8.54,"19,462,564",,
2025-04-03,0.82,0.83,0.81,0.82,0.00,0.00,"8,849,554",,
2025-03-27,0.83,0.84,0.82,0.82,-0.01,-1.20,"8,602,640",,
