0,1,2,3,4,5,6,7,8,9
2025-05-29,8.13,8.19,8.07,8.07,-0.03,-0.37,"3,353,063",,
2025-05-28,8.08,8.11,8.08,8.10,0.07,0.87,"1,483,891",,
2025-05-27,8.15,8.19,8.03,8.03,-0.09,-1.11,"3,204,359",,
2025-05-26,8.15,8.20,8.09,8.12,-0.03,-0.37,"2,029,142",,
2025-05-25,8.12,8.21,8.11,8.15,0.03,0.37,"1,517,957",,
2025-05-22,8.29,8.31,8.10,8.12,-0.17,-2.05,"2,934,520",,
2025-05-21,8.29,8.35,8.26,8.29,-0.02,-0.24,"2,967,323",,
2025-05-20,8.32,8.36,8.28,8.31,0.01,0.12,"3,318,506",,
2025-05-19,8.33,8.38,8.28,8.30,-0.03,-0.36,"2,098,222",,
2025-05-18,8.35,8.38,8.30,8.33,-0.03,-0.36,"2,201,745",,
2025-05-15,8.44,8.44,8.34,8.36,-0.08,-0.95,"3,704,468",,
2025-05-14,8.46,8.49,8.42,8.44,0.00,0.00,"2,390,604",,
2025-05-13,8.52,8.52,8.41,8.44,-0.09,-1.06,"2,382,377",,
2025-05-12,8.60,8.61,8.49,8.53,-0.13,-1.50,"4,960,506",,
2025-05-11,8.68,8.72,8.65,8.66,0.00,0.00,"1,052,807",,
2025-05-08,8.69,8.80,8.66,8.66,-0.02,-0.23,"1,117,307",,
2025-05-07,8.75,8.79,8.67,8.68,-0.09,-1.03,"1,991,171",,
2025-05-06,8.76,8.77,8.66,8.77,0.01,0.11,"1,326,660",,
2025-05-05,8.79,8.83,8.76,8.76,0.00,0.00,"1,933,312",,
2025-05-04,8.91,8.93,8.76,8.76,-0.12,-1.35,"2,276,971",,
2025-05-01,9.03,9.05,8.87,8.88,-0.14,-1.55,"3,647,133",,
2025-04-30,9.17,9.17,9.02,9.02,-0.14,-1.53,"2,987,432",,
2025-04-29,9.22,9.22,9.14,9.16,-0.04,-0.43,"1,386,741",,
2025-04-28,9.22,9.22,9.18,9.20,-0.01,-0.11,"627,981",,
2025-04-27,9.23,9.24,9.18,9.21,0.01,0.11,"824,649",,
2025-04-24,9.26,9.26,9.18,9.20,-0.04,-0.43,"1,720,871",,
2025-04-23,9.20,9.27,9.15,9.24,0.05,0.54,"1,419,171",,
2025-04-22,9.20,9.21,9.14,9.19,-0.05,-0.54,"1,192,983",,
2025-04-21,9.23,9.24,9.19,9.24,0.04,0.43,"775,760",,
2025-04-20,9.21,9.27,9.20,9.20,-0.01,-0.11,"926,967",,
2025-04-17,9.22,9.24,9.15,9.21,-0.05,-0.54,"1,472,356",,
2025-04-16,9.29,9.34,9.19,9.26,-0.02,-0.22,"2,599,218",,
2025-04-15,9.18,9.32,9.12,9.28,0.13,1.42,"5,137,518",,
2025-04-14,9.19,9.19,9.10,9.15,-0.03,-0.33,"3,754,942",,
2025-04-13,9.37,9.39,9.17,9.18,-0.17,-1.82,"5,520,318",,
2025-04-10,9.61,9.65,9.31,9.35,0.02,0.21,"3,488,038",,
2025-04-09,9.54,9.54,9.30,9.33,-0.27,-2.81,"1,392,636",,
2025-04-08,9.47,9.75,9.47,9.60,0.13,1.37,"2,116,843",,
2025-04-07,9.24,9.49,9.00,9.47,0.23,2.49,"2,316,476",,
2025-04-06,9.45,9.48,9.20,9.24,-0.42,-4.35,"2,047,664",,
2025-04-03,9.78,9.81,9.64,9.66,-0.12,-1.23,"1,409,772",,
2025-03-27,9.75,9.79,9.62,9.78,0.03,0.31,"1,624,481",,
2025-03-26,9.55,9.81,9.53,9.75,0.25,2.63,"2,429,949",,
2025-03-25,9.34,9.55,9.31,9.50,0.15,1.60,"1,907,939",,
2025-03-24,9.34,9.38,9.22,9.35,0.03,0.32,"1,665,860",,
2025-03-23,9.40,9.47,9.31,9.32,-0.08,-0.85,"1,049,764",,
2025-03-20,9.33,9.43,9.30,9.40,0.07,0.75,"2,003,218",,
2025-03-19,9.47,9.47,9.25,9.33,-0.15,-1.58,"2,220,683",,
2025-03-18,9.58,9.62,9.43,9.48,-0.08,-0.84,"2,815,217",,
2025-03-17,9.55,9.59,9.53,9.56,0.01,0.10,"2,080,702",,
2025-03-16,9.65,9.67,9.50,9.55,-0.10,-1.04,"3,068,783",,
2025-03-13,9.69,9.69,9.59,9.65,-0.04,-0.41,"1,151,731",,
2025-03-12,9.74,9.74,9.61,9.69,-0.04,-0.41,"1,339,610",,
2025-03-11,9.80,9.80,9.54,9.73,-0.07,-0.71,"1,439,003",,
2025-03-10,9.98,9.98,9.80,9.80,-0.18,-1.80,"1,614,620",,
2025-03-09,9.96,10.02,9.94,9.98,0.02,0.20,"683,349",,
2025-03-06,10.00,10.02,9.88,9.96,-0.04,-0.40,"1,773,261",,
2025-03-05,10.08,10.10,10.00,10.00,-0.08,-0.79,"1,008,450",,
2025-03-04,10.18,10.18,10.06,10.08,-0.10,-0.98,"1,027,037",,
2025-03-03,10.12,10.20,10.02,10.18,0.06,0.59,"1,145,760",,
2025-03-02,10.20,10.22,10.02,10.12,-0.06,-0.59,"892,272",,
2025-02-27,10.26,10.28,10.18,10.18,-0.08,-0.78,"2,133,850",,
2025-02-26,10.38,10.38,10.26,10.26,-0.12,-1.16,"600,693",,
2025-02-25,10.34,10.38,10.30,10.38,-0.02,-0.19,"834,981",,
2025-02-24,10.44,10.50,10.34,10.40,-0.04,-0.38,"725,992",,
2025-02-20,10.40,10.44,10.32,10.44,0.04,0.38,"1,075,657",,
2025-02-19,10.46,10.46,10.32,10.40,-0.04,-0.38,"1,028,218",,
2025-02-18,10.46,10.48,10.38,10.44,-0.04,-0.38,"1,251,208",,
2025-02-17,10.56,10.58,10.42,10.48,-0.08,-0.76,"1,083,020",,
2025-02-16,10.60,10.62,10.52,10.56,-0.04,-0.38,"578,862",,
2025-02-13,10.52,10.60,10.44,10.60,0.08,0.76,"1,051,778",,
2025-02-12,10.58,10.66,10.46,10.52,-0.04,-0.38,"1,723,804",,
2025-02-11,10.60,10.62,10.54,10.56,-0.02,-0.19,"509,629",,
2025-02-10,10.68,10.68,10.58,10.58,-0.06,-0.56,"1,089,620",,
2025-02-09,10.72,10.74,10.60,10.64,-0.08,-0.75,"1,210,505",,
2025-02-06,10.74,10.76,10.64,10.72,0.00,0.00,"1,589,518",,
2025-02-05,10.78,10.82,10.72,10.72,0.00,0.00,"850,657",,
2025-02-04,10.72,10.80,10.70,10.72,0.00,0.00,"1,611,890",,
2025-02-03,10.70,10.72,10.62,10.72,0.00,0.00,"794,040",,
2025-02-02,10.72,10.76,10.68,10.72,0.02,0.19,"789,194",,
2025-01-30,10.72,10.72,10.64,10.70,-0.02,-0.19,"735,654",,
2025-01-29,10.74,10.76,10.62,10.72,-0.02,-0.19,"1,101,337",,
2025-01-28,10.64,10.76,10.58,10.74,0.14,1.32,"1,594,754",,
2025-01-27,10.54,10.64,10.54,10.60,0.06,0.57,"1,942,226",,
2025-01-26,10.50,10.56,10.48,10.54,0.04,0.38,"439,063",,
2025-01-23,10.48,10.56,10.44,10.50,0.00,0.00,"911,028",,
2025-01-22,10.60,10.60,10.50,10.50,-0.06,-0.57,"952,710",,
2025-01-21,10.60,10.60,10.52,10.56,0.00,0.00,"1,047,438",,
2025-01-20,10.60,10.64,10.50,10.56,-0.02,-0.19,"1,661,558",,
2025-01-19,10.44,10.60,10.44,10.58,0.14,1.34,"1,451,978",,
2025-01-16,10.40,10.48,10.34,10.44,0.04,0.38,"1,625,827",,
2025-01-15,10.44,10.44,10.34,10.40,-0.02,-0.19,"1,688,615",,
2025-01-14,10.40,10.42,10.38,10.42,0.02,0.19,"754,750",,
2025-01-13,10.32,10.40,10.32,10.40,0.04,0.39,"856,959",,
2025-01-12,10.38,10.46,10.30,10.36,-0.02,-0.19,"1,558,478",,
2025-01-09,10.24,10.40,10.20,10.38,0.18,1.76,"1,327,336",,
2025-01-08,10.28,10.30,10.20,10.20,-0.08,-0.78,"1,495,165",,
2025-01-07,10.34,10.36,10.22,10.28,-0.02,-0.19,"1,826,138",,
2025-01-06,10.48,10.48,10.28,10.30,-0.14,-1.34,"2,527,675",,
2025-01-05,10.50,10.50,10.38,10.44,-0.04,-0.38,"1,167,985",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,10.50,10.50,10.38,10.44,-0.04,-0.38,"1,167,985",,
2025-01-02,10.56,10.56,10.48,10.48,-0.08,-0.76,"651,832",,
2025-01-01,10.52,10.56,10.48,10.56,0.06,0.57,"714,673",,
2024-12-31,10.48,10.52,10.38,10.50,0.02,0.19,"2,072,664",,
2024-12-30,10.48,10.50,10.38,10.48,0.00,0.00,"1,428,779",,
2024-12-29,10.62,10.68,10.46,10.48,-0.12,-1.13,"1,632,823",,
2024-12-26,10.70,10.70,10.56,10.60,-0.08,-0.75,"1,321,755",,
2024-12-25,10.66,10.70,10.62,10.68,0.08,0.75,"333,087",,
2024-12-24,10.76,10.80,10.56,10.60,-0.12,-1.12,"1,223,168",,
2024-12-23,10.78,10.80,10.70,10.72,-0.06,-0.56,"1,211,155",,
2024-12-22,10.84,10.90,10.76,10.78,-0.06,-0.55,"933,011",,
2024-12-19,10.96,10.96,10.82,10.84,-0.08,-0.73,"1,856,906",,
2024-12-18,10.94,10.96,10.88,10.92,-0.04,-0.36,"724,084",,
2024-12-17,10.96,10.96,10.90,10.96,0.04,0.37,"738,492",,
2024-12-16,10.98,10.98,10.92,10.92,-0.04,-0.36,"675,477",,
2024-12-15,10.94,10.98,10.92,10.96,0.02,0.18,"600,172",,
2024-12-12,10.98,11.02,10.92,10.94,-0.02,-0.18,"838,047",,
2024-12-11,10.98,10.98,10.94,10.96,0.00,0.00,"1,000,762",,
2024-12-10,10.98,10.98,10.94,10.96,-0.02,-0.18,"731,351",,
2024-12-09,10.98,10.98,10.92,10.98,0.00,0.00,"1,041,702",,
2024-12-08,10.94,11.00,10.92,10.98,0.04,0.37,"754,224",,
2024-12-05,10.90,10.94,10.86,10.94,0.08,0.74,"910,977",,
2024-12-04,10.96,10.96,10.84,10.86,-0.04,-0.37,"1,201,648",,
2024-12-03,10.96,10.98,10.86,10.90,-0.06,-0.55,"1,328,409",,
2024-12-02,11.00,11.02,10.94,10.96,-0.04,-0.36,"869,684",,
2024-12-01,11.00,11.00,10.96,11.00,0.00,0.00,"655,497",,
2024-11-28,11.00,11.00,10.96,11.00,0.02,0.18,"5,651,627",,
2024-11-27,10.98,11.02,10.94,10.98,0.02,0.18,"674,857",,
2024-11-26,11.00,11.00,10.94,10.96,-0.06,-0.54,"893,352",,
