0,1,2,3,4,5,6,7,8,9
2025-05-29,77.30,78.50,76.50,76.50,-1.10,-1.42,"56,006",,
2025-05-28,76.50,78.80,76.50,77.60,0.60,0.78,"16,525",,
2025-05-27,78.20,78.20,76.30,77.00,-1.20,-1.53,"38,151",,
2025-05-26,78.00,79.30,77.70,78.20,0.00,0.00,"39,036",,
2025-05-25,80.60,80.60,78.20,78.20,-1.80,-2.25,"26,246",,
2025-05-22,78.70,80.10,78.70,80.00,0.90,1.14,"58,884",,
2025-05-21,81.10,81.10,78.50,79.10,-2.00,-2.47,"117,753",,
2025-05-20,79.10,81.30,79.10,81.10,1.50,1.88,"95,155",,
2025-05-19,79.70,79.70,78.80,79.60,-0.40,-0.50,"61,374",,
2025-05-18,80.20,80.60,79.70,80.00,-0.10,-0.12,"33,470",,
2025-05-15,80.90,80.90,79.20,80.10,-0.80,-0.99,"85,036",,
2025-05-14,80.90,81.50,80.10,80.90,0.00,0.00,"90,656",,
2025-05-13,82.40,82.40,80.30,80.90,-1.50,-1.82,"114,570",,
2025-05-12,79.90,82.70,79.80,82.40,2.70,3.39,"112,411",,
2025-05-11,81.10,81.60,79.50,79.70,-1.50,-1.85,"47,737",,
2025-05-08,85.90,85.90,80.40,81.20,-4.80,-5.58,"295,499",,
2025-05-07,83.60,86.70,83.10,86.00,2.60,3.12,"293,388",,
2025-05-06,84.20,84.30,82.50,83.40,-0.30,-0.36,"69,260",,
2025-05-05,83.20,85.00,82.60,83.70,0.70,0.84,"242,201",,
2025-05-04,82.40,83.90,82.00,83.00,0.30,0.36,"70,931",,
2025-05-01,84.50,85.00,82.20,82.70,-1.80,-2.13,"148,745",,
2025-04-30,81.80,87.30,81.70,84.50,2.70,3.30,"986,181",,
2025-04-29,81.20,82.80,81.20,81.80,0.60,0.74,"152,213",,
2025-04-28,79.40,81.20,79.30,81.20,1.80,2.27,"134,889",,
2025-04-27,79.70,79.70,78.80,79.40,-0.20,-0.25,"28,425",,
2025-04-24,79.80,80.30,78.70,79.60,-0.20,-0.25,"116,329",,
2025-04-23,78.90,80.00,78.80,79.80,1.40,1.79,"47,415",,
2025-04-22,80.10,80.10,77.90,78.40,-1.80,-2.24,"172,450",,
2025-04-21,80.00,80.50,79.50,80.20,-0.10,-0.12,"77,740",,
2025-04-20,79.00,80.40,79.00,80.30,1.30,1.65,"60,410",,
2025-04-17,77.40,81.40,77.30,79.00,1.30,1.67,"494,966",,
2025-04-16,79.60,79.60,77.60,77.70,-2.20,-2.75,"146,105",,
2025-04-15,80.00,80.80,79.60,79.90,-0.10,-0.13,"117,257",,
2025-04-14,81.00,81.50,79.50,80.00,0.00,0.00,"178,588",,
2025-04-13,78.10,80.40,78.10,80.00,1.90,2.43,"163,254",,
2025-04-10,78.90,79.00,76.80,78.10,4.30,5.83,"132,812",,
2025-04-09,76.00,77.20,73.60,73.80,-2.50,-3.28,"131,453",,
2025-04-08,75.10,77.20,75.00,76.30,2.30,3.11,"208,106",,
2025-04-07,71.00,74.00,68.10,74.00,2.00,2.78,"283,257",,
2025-04-06,73.10,74.60,70.10,72.00,-5.80,-7.46,"312,679",,
2025-04-03,81.80,81.90,77.70,77.80,-4.80,-5.81,"292,303",,
2025-03-27,81.10,83.30,80.80,82.60,1.00,1.23,"207,465",,
2025-03-26,77.80,81.70,77.70,81.60,3.70,4.75,"336,966",,
2025-03-25,77.40,78.60,76.70,77.90,0.50,0.65,"127,973",,
2025-03-24,78.00,78.20,76.40,77.40,-0.80,-1.02,"174,772",,
2025-03-23,76.40,78.20,76.10,78.20,1.10,1.43,"124,603",,
2025-03-20,77.40,78.00,75.60,77.10,-0.20,-0.26,"217,807",,
2025-03-19,77.40,78.80,75.60,77.30,-0.70,-0.90,"250,310",,
2025-03-18,77.00,78.30,75.90,78.00,6.80,9.55,"967,915",,
2025-03-17,71.80,73.20,71.20,71.20,-0.60,-0.84,"208,551",,
2025-03-16,70.00,71.80,69.80,71.80,2.10,3.01,"90,303",,
2025-03-13,69.70,70.30,69.10,69.70,0.00,0.00,"113,019",,
2025-03-12,68.30,70.00,68.00,69.70,2.10,3.11,"281,289",,
2025-03-11,67.80,68.00,65.80,67.60,-0.50,-0.73,"399,380",,
2025-03-10,68.30,69.20,68.00,68.10,-0.20,-0.29,"152,706",,
2025-03-09,69.00,69.40,67.90,68.30,-0.60,-0.87,"115,920",,
2025-03-06,70.30,70.50,68.60,68.90,-1.40,-1.99,"127,623",,
2025-03-05,70.60,71.00,69.50,70.30,-0.20,-0.28,"123,039",,
2025-03-04,72.10,72.10,70.10,70.50,-1.50,-2.08,"253,056",,
2025-03-03,71.90,72.50,71.20,72.00,0.10,0.14,"59,403",,
2025-03-02,73.10,73.30,71.30,71.90,-1.10,-1.51,"68,997",,
2025-02-27,74.00,74.00,73.00,73.00,-1.00,-1.35,"160,028",,
2025-02-26,73.40,74.20,73.10,74.00,0.50,0.68,"86,536",,
2025-02-25,75.00,75.00,73.00,73.50,-1.50,-2.00,"171,747",,
2025-02-24,75.50,75.60,75.00,75.00,-0.50,-0.66,"106,673",,
2025-02-20,75.30,75.60,74.90,75.50,0.20,0.27,"101,104",,
2025-02-19,77.00,77.00,75.20,75.30,-1.70,-2.21,"178,102",,
2025-02-18,76.90,77.40,76.90,77.00,-0.30,-0.39,"84,666",,
2025-02-17,77.60,77.80,77.00,77.30,-0.30,-0.39,"125,228",,
2025-02-16,77.20,77.80,76.90,77.60,0.60,0.78,"128,312",,
2025-02-13,77.10,78.00,76.60,77.00,-0.10,-0.13,"269,046",,
2025-02-12,77.30,77.60,77.00,77.10,-0.40,-0.52,"186,820",,
2025-02-11,77.40,77.70,77.10,77.50,0.00,0.00,"188,872",,
2025-02-10,77.80,78.00,77.20,77.50,-0.50,-0.64,"224,750",,
2025-02-09,78.00,78.60,77.60,78.00,0.00,0.00,"240,266",,
2025-02-06,78.80,78.80,77.40,78.00,-0.80,-1.02,"439,051",,
2025-02-05,80.00,80.00,78.80,78.80,-0.80,-1.01,"126,186",,
2025-02-04,80.50,80.90,79.50,79.60,-0.60,-0.75,"99,184",,
2025-02-03,80.00,80.50,78.70,80.20,0.50,0.63,"127,020",,
2025-02-02,79.70,80.00,79.30,79.70,0.00,0.00,"45,790",,
2025-01-30,79.70,80.10,79.10,79.70,0.00,0.00,"72,762",,
2025-01-29,80.20,80.90,79.30,79.70,-0.50,-0.62,"127,479",,
2025-01-28,81.50,82.10,80.20,80.20,-1.30,-1.60,"102,670",,
2025-01-27,82.30,82.60,81.20,81.50,-1.00,-1.21,"61,515",,
2025-01-26,82.20,83.20,82.20,82.50,0.50,0.61,"41,124",,
