0,1,2,3,4,5,6,7,8,9
2025-05-29,66.50,67.70,66.50,67.00,0.90,1.36,"336,659",,
2025-05-28,66.40,67.60,66.00,66.10,0.10,0.15,"199,926",,
2025-05-27,67.40,67.40,65.50,66.00,-1.10,-1.64,"121,428",,
2025-05-26,67.80,68.50,66.30,67.10,-0.70,-1.03,"181,413",,
2025-05-25,68.90,69.40,66.70,67.80,-1.10,-1.60,"275,616",,
2025-05-22,68.50,69.70,68.20,68.90,0.00,0.00,"81,971",,
2025-05-21,70.90,70.90,68.70,68.90,-1.40,-1.99,"159,034",,
2025-05-20,68.80,70.60,68.80,70.30,1.50,2.18,"172,531",,
2025-05-19,69.90,69.90,68.30,68.80,-1.10,-1.57,"173,185",,
2025-05-18,70.70,71.70,69.80,69.90,-0.70,-0.99,"207,829",,
2025-05-15,71.00,71.50,69.80,70.60,-0.40,-0.56,"254,996",,
2025-05-14,71.50,71.60,70.90,71.00,-0.20,-0.28,"209,703",,
2025-05-13,72.50,72.90,71.00,71.20,-0.70,-0.97,"211,912",,
2025-05-12,72.50,72.60,70.50,71.90,-1.10,-1.51,"264,181",,
2025-05-11,76.00,76.00,72.90,73.00,-4.00,-5.19,"165,952",,
2025-05-08,78.00,78.40,75.90,77.00,-0.60,-0.77,"131,026",,
2025-05-07,79.60,79.80,77.30,77.60,-2.10,-2.63,"77,227",,
2025-05-06,80.10,81.00,79.40,79.70,0.00,0.00,"52,320",,
2025-05-05,81.00,81.00,79.00,79.70,-1.30,-1.60,"105,365",,
2025-05-04,82.60,82.80,80.90,81.00,-1.50,-1.82,"26,076",,
2025-05-01,82.60,83.60,82.20,82.50,0.00,0.00,"57,750",,
2025-04-30,84.90,84.90,82.50,82.50,-2.00,-2.37,"75,517",,
2025-04-29,84.50,86.00,84.00,84.50,0.00,0.00,"100,874",,
2025-04-28,84.70,85.20,83.90,84.50,-0.40,-0.47,"32,643",,
2025-04-27,85.70,85.70,83.90,84.90,0.40,0.47,"41,213",,
2025-04-24,83.50,84.80,83.00,84.50,1.30,1.56,"92,024",,
