0,1,2,3,4,5,6,7,8,9
2025-05-29,15.64,15.64,15.40,15.52,0.04,0.26,"250,665",,
2025-05-28,15.58,15.76,15.48,15.48,0.02,0.13,"338,921",,
2025-05-27,15.82,15.84,15.28,15.46,-0.34,-2.15,"264,502",,
2025-05-26,15.84,15.94,15.34,15.80,-0.10,-0.63,"357,514",,
2025-05-25,16.30,16.40,15.90,15.90,-0.38,-2.33,"214,899",,
2025-05-22,16.44,16.62,16.26,16.28,-0.14,-0.85,"269,090",,
2025-05-21,16.60,16.74,16.42,16.42,-0.22,-1.32,"351,216",,
2025-05-20,16.78,16.80,16.54,16.64,-0.02,-0.12,"249,832",,
2025-05-19,17.02,17.18,16.66,16.66,-0.26,-1.54,"804,795",,
2025-05-18,16.68,17.34,16.68,16.92,0.22,1.32,"807,858",,
2025-05-15,16.96,16.96,16.62,16.70,-0.22,-1.30,"235,281",,
2025-05-14,16.72,17.08,16.64,16.92,0.26,1.56,"417,163",,
2025-05-13,16.88,16.98,16.60,16.66,-0.28,-1.65,"497,395",,
2025-05-12,16.40,17.44,16.40,16.94,0.62,3.80,"1,129,124",,
2025-05-11,16.56,16.74,16.32,16.32,-0.18,-1.09,"224,621",,
2025-05-08,16.68,16.92,16.48,16.50,-0.16,-0.96,"463,403",,
2025-05-07,17.08,17.14,16.64,16.66,-0.42,-2.46,"343,840",,
2025-05-06,17.40,17.52,17.02,17.08,-0.26,-1.50,"518,234",,
2025-05-05,17.18,17.46,16.96,17.34,0.22,1.29,"574,786",,
2025-05-04,17.56,17.78,17.12,17.12,-0.32,-1.83,"536,916",,
2025-05-01,17.52,17.78,17.32,17.44,-0.20,-1.13,"608,669",,
2025-04-30,18.46,18.46,17.64,17.64,-0.60,-3.29,"823,010",,
2025-04-29,18.40,18.70,18.18,18.24,-0.12,-0.65,"1,434,847",,
2025-04-28,18.80,19.72,18.14,18.36,-0.38,-2.03,"4,438,482",,
2025-04-27,17.34,18.84,17.26,18.74,1.60,9.33,"4,181,919",,
2025-04-24,17.46,17.58,17.10,17.14,-0.34,-1.95,"1,106,459",,
2025-04-23,16.90,17.72,16.88,17.48,0.76,4.55,"1,677,957",,
2025-04-22,16.50,17.16,16.38,16.72,0.18,1.09,"1,223,928",,
2025-04-21,16.80,16.98,16.52,16.54,-0.30,-1.78,"308,529",,
2025-04-20,16.88,16.98,16.66,16.84,0.34,2.06,"292,629",,
2025-04-17,16.74,16.88,16.40,16.50,-0.26,-1.55,"421,160",,
2025-04-16,16.84,17.58,16.68,16.76,-0.10,-0.59,"1,441,224",,
2025-04-15,17.00,17.36,16.86,16.86,-0.04,-0.24,"446,542",,
2025-04-14,16.58,17.10,16.46,16.90,0.50,3.05,"680,377",,
2025-04-13,16.00,16.68,15.94,16.40,0.44,2.76,"842,911",,
2025-04-10,15.98,16.14,15.76,15.96,0.84,5.56,"940,684",,
2025-04-09,15.60,15.70,15.00,15.12,-0.76,-4.79,"667,312",,
2025-04-08,15.70,16.20,15.36,15.88,0.38,2.45,"755,815",,
2025-04-07,14.70,15.60,14.08,15.50,0.08,0.52,"1,237,891",,
2025-04-06,16.20,16.82,15.42,15.42,-1.70,-9.93,"861,751",,
2025-04-03,17.70,17.80,17.12,17.12,-0.62,-3.49,"424,031",,
2025-03-27,17.74,18.04,17.50,17.74,0.08,0.45,"386,814",,
2025-03-26,17.40,17.76,17.26,17.66,0.16,0.91,"475,292",,
2025-03-25,17.36,17.58,17.26,17.50,0.16,0.92,"338,140",,
2025-03-24,17.30,17.48,17.06,17.34,0.04,0.23,"203,969",,
2025-03-23,18.00,18.00,17.26,17.30,-0.58,-3.24,"339,590",,
2025-03-20,17.80,18.04,17.70,17.88,0.08,0.45,"285,116",,
2025-03-19,17.94,17.98,17.60,17.80,-0.18,-1.00,"289,780",,
2025-03-18,18.60,18.70,17.90,17.98,-0.60,-3.23,"464,845",,
2025-03-17,19.10,19.26,18.58,18.58,-0.48,-2.52,"407,782",,
2025-03-16,18.88,19.30,18.68,19.06,0.20,1.06,"335,960",,
2025-03-13,18.84,19.10,18.64,18.86,0.04,0.21,"303,449",,
2025-03-12,18.52,19.40,18.46,18.82,0.36,1.95,"606,264",,
2025-03-11,17.98,18.46,17.30,18.46,0.30,1.65,"702,355",,
2025-03-10,18.50,18.74,17.96,18.16,-0.38,-2.05,"491,581",,
2025-03-09,19.32,19.44,18.50,18.54,-0.72,-3.74,"718,615",,
2025-03-06,19.30,19.64,18.68,19.26,-0.06,-0.31,"870,367",,
2025-03-05,19.88,20.00,19.20,19.32,-0.56,-2.82,"490,359",,
2025-03-04,20.50,20.62,19.76,19.88,-0.62,-3.02,"670,932",,
2025-03-03,20.12,20.60,20.10,20.50,0.40,1.99,"423,434",,
2025-03-02,21.02,21.20,20.00,20.10,-0.92,-4.38,"524,661",,
2025-02-27,21.24,21.86,20.94,21.02,-0.22,-1.04,"965,990",,
2025-02-26,21.96,22.30,21.14,21.24,-0.66,-3.01,"1,383,352",,
2025-02-25,22.60,22.94,21.76,21.90,-0.74,-3.27,"1,336,089",,
2025-02-24,24.10,24.26,22.60,22.64,-1.20,-5.03,"1,105,244",,
2025-02-20,22.50,24.42,22.20,23.84,1.42,6.33,"2,795,900",,
2025-02-19,23.56,23.76,22.42,22.42,-1.00,-4.27,"1,511,818",,
2025-02-18,24.56,24.98,23.30,23.42,-1.26,-5.11,"1,666,821",,
2025-02-17,25.95,25.95,24.64,24.68,-1.52,-5.80,"2,713,052",,
2025-02-16,-,-,-,26.20,0.00,0.00,-,,
2025-02-13,-,-,-,26.20,0.00,0.00,-,,
2025-02-12,26.20,26.40,25.60,26.20,0.20,0.77,"1,344,759",,
2025-02-11,25.60,26.40,25.40,26.00,0.60,2.36,"1,727,235",,
2025-02-10,25.60,25.80,25.40,25.40,-0.20,-0.78,"710,720",,
2025-02-09,25.20,25.80,25.00,25.60,0.20,0.79,"1,416,603",,
2025-02-06,25.40,25.40,25.00,25.40,0.00,0.00,"398,192",,
2025-02-05,25.20,25.40,25.00,25.40,0.40,1.60,"377,730",,
2025-02-04,24.80,25.40,24.80,25.00,0.20,0.81,"723,568",,
2025-02-03,24.80,25.00,24.60,24.80,-0.20,-0.80,"215,040",,
2025-02-02,25.00,25.20,24.80,25.00,0.00,0.00,"496,581",,
2025-01-30,25.00,25.20,25.00,25.00,-0.20,-0.79,"255,315",,
2025-01-29,25.40,25.40,25.00,25.20,-0.20,-0.79,"252,781",,
2025-01-28,25.20,25.40,25.00,25.40,0.40,1.60,"379,872",,
2025-01-27,25.20,25.40,25.00,25.00,-0.20,-0.79,"273,049",,
2025-01-26,25.20,25.60,25.20,25.20,0.20,0.80,"732,174",,
2025-01-23,25.40,25.40,25.00,25.00,-0.20,-0.79,"278,019",,
2025-01-22,25.20,25.40,25.00,25.20,0.20,0.80,"372,905",,
2025-01-21,25.20,25.40,25.00,25.00,-0.20,-0.79,"471,058",,
2025-01-20,25.20,25.40,25.00,25.20,0.00,0.00,"383,023",,
2025-01-19,25.20,25.40,25.00,25.20,0.00,0.00,"309,287",,
2025-01-16,25.60,25.60,25.00,25.20,-0.20,-0.79,"639,819",,
2025-01-15,25.80,25.80,25.40,25.40,-0.60,-2.31,"713,846",,
2025-01-14,26.00,26.20,25.60,26.00,0.00,0.00,"805,480",,
2025-01-13,26.40,26.40,25.80,26.00,-0.20,-0.76,"521,190",,
2025-01-12,26.00,26.40,25.80,26.20,0.20,0.77,"531,876",,
2025-01-09,25.60,26.20,25.60,26.00,0.40,1.56,"533,311",,
2025-01-08,25.40,26.00,25.40,25.60,0.20,0.79,"632,844",,
2025-01-07,25.40,25.60,25.40,25.40,0.00,0.00,"330,107",,
2025-01-06,25.60,25.60,25.20,25.40,-0.20,-0.78,"729,722",,
2025-01-05,26.20,26.20,25.60,25.60,-0.40,-1.54,"407,315",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,26.20,26.20,25.60,25.60,-0.40,-1.54,"407,315",,
2025-01-02,26.40,26.80,26.00,26.00,-0.40,-1.52,"445,408",,
2025-01-01,26.60,26.80,26.20,26.40,0.00,0.00,"430,313",,
2024-12-31,26.20,26.80,26.00,26.40,0.20,0.76,"1,126,661",,
2024-12-30,25.60,26.20,25.40,26.20,0.80,3.15,"613,411",,
2024-12-29,26.00,26.20,25.20,25.40,-0.60,-2.31,"556,533",,
2024-12-26,26.60,26.80,25.80,26.00,-0.40,-1.52,"775,599",,
2024-12-25,25.80,27.00,25.40,26.40,0.80,3.13,"1,933,421",,
2024-12-24,25.40,26.00,25.00,25.60,0.40,1.59,"1,661,572",,
2024-12-23,25.20,25.20,24.80,25.20,0.00,0.00,"600,190",,
2024-12-22,25.40,25.60,25.00,25.20,0.00,0.00,"760,284",,
2024-12-19,25.80,25.80,24.80,25.20,-0.60,-2.33,"1,091,483",,
2024-12-18,25.40,26.00,25.20,25.80,0.40,1.57,"800,982",,
2024-12-17,26.20,26.20,25.20,25.40,-0.60,-2.31,"788,394",,
2024-12-16,26.60,26.80,25.80,26.00,-0.40,-1.52,"672,662",,
2024-12-15,26.80,27.20,26.40,26.40,-0.20,-0.75,"756,529",,
2024-12-12,26.60,27.20,26.00,26.60,0.20,0.76,"2,562,399",,
2024-12-11,29.40,31.00,26.00,26.40,-2.00,-7.04,"9,078,698",,
2024-12-10,26.80,28.40,26.40,28.40,1.80,6.77,"2,863,986",,
2024-12-09,26.20,26.80,26.20,26.60,0.40,1.53,"1,211,907",,
2024-12-08,26.20,26.40,25.80,26.20,0.20,0.77,"711,731",,
2024-12-05,25.40,26.20,25.40,26.00,0.80,3.17,"923,715",,
2024-12-04,24.60,25.40,24.60,25.20,0.60,2.44,"829,200",,
2024-12-03,24.40,25.00,24.20,24.60,0.20,0.82,"495,045",,
2024-12-02,24.80,24.80,24.00,24.40,0.00,0.00,"567,729",,
2024-12-01,24.80,25.00,24.40,24.40,-0.40,-1.61,"269,660",,
2024-11-28,24.80,25.00,24.20,24.80,0.00,0.00,"491,111",,
2024-11-27,23.40,24.80,23.40,24.80,1.40,5.98,"1,060,908",,
2024-11-26,24.20,24.20,23.20,23.40,-0.60,-2.50,"338,523",,
2024-11-25,24.60,24.60,23.80,24.00,-0.40,-1.64,"504,707",,
2024-11-24,25.00,25.20,24.40,24.40,-0.40,-1.61,"402,561",,
2024-11-21,25.00,25.00,24.40,24.80,-0.20,-0.80,"732,510",,
2024-11-20,24.60,25.20,24.60,25.00,0.40,1.63,"439,488",,
2024-11-19,24.60,25.00,24.20,24.60,0.00,0.00,"508,897",,
2024-11-18,25.20,25.20,24.40,24.60,-0.60,-2.38,"420,056",,
2024-11-17,25.40,25.60,25.00,25.20,0.00,0.00,"383,542",,
2024-11-14,25.40,25.80,25.20,25.20,-0.20,-0.79,"498,771",,
2024-11-13,25.80,25.80,25.40,25.40,-0.20,-0.78,"314,708",,
2024-11-12,25.80,26.20,25.40,25.60,-0.20,-0.78,"757,476",,
2024-11-11,25.60,26.00,25.00,25.80,0.40,1.57,"1,431,805",,
2024-11-10,26.00,26.00,25.40,25.40,-0.40,-1.55,"630,541",,
2024-11-07,26.40,26.80,25.60,25.80,-0.40,-1.53,"1,716,826",,
2024-11-06,27.00,27.00,25.80,26.20,-0.80,-2.96,"2,326,277",,
2024-11-05,26.80,27.80,26.20,27.00,0.60,2.27,"2,032,077",,
2024-11-04,27.00,27.00,26.00,26.40,-0.60,-2.22,"1,616,536",,
2024-11-03,25.00,27.00,25.00,27.00,2.00,8.00,"2,358,105",,
2024-10-31,25.20,25.20,24.60,25.00,-0.20,-0.79,"455,251",,
2024-10-30,25.20,25.40,24.60,25.20,0.00,0.00,"504,047",,
2024-10-29,24.80,25.20,24.20,25.20,-0.20,-0.79,"1,838,500",,
2024-10-28,25.60,25.80,25.00,25.40,-0.20,-0.78,"798,275",,
2024-10-27,25.80,26.20,25.60,25.60,0.00,0.00,"733,161",,
2024-10-24,26.00,26.20,25.20,25.60,-0.40,-1.54,"622,459",,
2024-10-23,26.60,26.80,25.80,26.00,-0.60,-2.26,"1,250,709",,
2024-10-22,26.80,27.20,26.40,26.60,-0.20,-0.75,"1,356,717",,
2024-10-21,26.20,26.80,25.80,26.80,0.80,3.08,"2,028,484",,
2024-10-20,25.60,26.00,24.80,26.00,0.40,1.56,"1,163,418",,
2024-10-17,27.00,27.00,25.40,25.60,-1.20,-4.48,"2,313,763",,
2024-10-16,27.40,27.80,26.40,26.80,-0.60,-2.19,"2,085,572",,
2024-10-15,27.00,28.00,26.80,27.40,0.60,2.24,"3,196,838",,
