0,1,2,3,4,5,6,7,8,9
2025-05-29,6.11,6.28,6.11,6.28,0.18,2.95,"812,802",,
2025-05-28,6.11,6.17,6.10,6.10,0.02,0.33,"265,371",,
2025-05-27,6.17,6.18,6.06,6.08,-0.09,-1.46,"388,213",,
2025-05-26,6.24,6.28,6.10,6.17,-0.07,-1.12,"484,342",,
2025-05-25,6.30,6.31,6.20,6.24,-0.08,-1.27,"459,980",,
2025-05-22,6.36,6.39,6.31,6.32,-0.04,-0.63,"344,869",,
2025-05-21,6.36,6.43,6.28,6.36,-0.01,-0.16,"1,033,737",,
2025-05-20,6.21,6.40,6.21,6.37,0.13,2.08,"953,406",,
2025-05-19,6.24,6.30,6.19,6.24,-0.01,-0.16,"988,209",,
2025-05-18,6.32,6.34,6.21,6.25,-0.10,-1.57,"862,823",,
2025-05-15,6.45,6.45,6.29,6.35,-0.08,-1.24,"2,078,975",,
2025-05-14,6.22,6.65,6.21,6.43,0.25,4.05,"6,763,807",,
2025-05-13,6.22,6.23,6.14,6.18,-0.02,-0.32,"527,595",,
2025-05-12,6.18,6.22,6.16,6.20,0.02,0.32,"435,049",,
2025-05-11,6.18,6.21,6.16,6.18,0.00,0.00,"231,738",,
2025-05-08,6.15,6.18,6.15,6.18,0.00,0.00,"266,929",,
2025-05-07,6.15,6.18,6.12,6.18,0.04,0.65,"366,170",,
2025-05-06,6.16,6.20,6.14,6.14,-0.02,-0.32,"480,502",,
2025-05-05,6.19,6.22,6.13,6.16,-0.03,-0.48,"393,683",,
2025-05-04,6.22,6.26,6.19,6.19,-0.05,-0.80,"334,175",,
2025-05-01,6.29,6.29,6.21,6.24,-0.06,-0.95,"568,090",,
2025-04-30,6.31,6.36,6.25,6.30,0.00,0.00,"541,970",,
2025-04-29,6.34,6.43,6.29,6.30,-0.02,-0.32,"821,339",,
2025-04-28,6.33,6.33,6.27,6.32,-0.01,-0.16,"479,178",,
2025-04-27,6.27,6.36,6.27,6.33,0.06,0.96,"621,046",,
2025-04-24,6.25,6.27,6.23,6.27,0.02,0.32,"400,324",,
2025-04-23,6.27,6.29,6.21,6.25,0.05,0.81,"431,181",,
2025-04-22,6.20,6.25,6.13,6.20,-0.04,-0.64,"358,313",,
2025-04-21,6.28,6.31,6.23,6.24,-0.04,-0.64,"305,673",,
2025-04-20,6.20,6.30,6.20,6.28,0.08,1.29,"521,639",,
2025-04-17,6.33,6.33,6.20,6.20,-0.15,-2.36,"691,424",,
2025-04-16,6.18,6.35,6.16,6.35,0.17,2.75,"1,209,636",,
2025-04-15,6.21,6.25,6.17,6.18,-0.02,-0.32,"629,973",,
2025-04-14,6.21,6.25,6.18,6.20,-0.01,-0.16,"523,369",,
2025-04-13,6.25,6.28,6.18,6.21,0.04,0.65,"460,585",,
2025-04-10,6.40,6.40,6.14,6.17,0.21,3.52,"709,952",,
2025-04-09,6.02,6.09,5.90,5.96,-0.08,-1.32,"1,077,279",,
2025-04-08,5.98,6.17,5.97,6.04,0.06,1.00,"1,028,200",,
2025-04-07,5.70,6.00,5.55,5.98,0.18,3.10,"1,401,630",,
2025-04-06,6.00,6.07,5.80,5.80,-0.45,-7.20,"1,485,936",,
2025-04-03,6.38,6.38,6.24,6.25,-0.14,-2.19,"491,612",,
2025-03-27,6.20,6.42,6.19,6.39,0.21,3.40,"1,481,491",,
2025-03-26,6.10,6.25,6.08,6.18,0.10,1.64,"921,517",,
2025-03-25,6.13,6.14,6.05,6.08,-0.05,-0.82,"476,238",,
2025-03-24,6.03,6.14,5.94,6.13,0.10,1.66,"1,241,246",,
2025-03-23,6.10,6.10,6.00,6.03,0.02,0.33,"605,381",,
2025-03-20,6.12,6.14,6.01,6.01,-0.09,-1.48,"1,519,815",,
2025-03-19,6.20,6.24,6.09,6.10,-0.10,-1.61,"586,232",,
2025-03-18,6.42,6.42,6.20,6.20,-0.22,-3.43,"1,242,620",,
2025-03-17,6.38,6.49,6.38,6.42,0.04,0.63,"576,920",,
2025-03-16,6.31,6.42,6.28,6.38,0.07,1.11,"788,225",,
2025-03-13,6.36,6.38,6.27,6.31,-0.02,-0.32,"1,023,959",,
2025-03-12,6.35,6.38,6.32,6.33,-0.02,-0.31,"427,284",,
2025-03-11,6.40,6.40,6.20,6.35,-0.06,-0.94,"966,007",,
2025-03-10,6.50,6.51,6.38,6.41,-0.08,-1.23,"594,274",,
2025-03-09,6.50,6.56,6.45,6.49,0.00,0.00,"560,948",,
2025-03-06,6.55,6.61,6.43,6.49,-0.11,-1.67,"983,503",,
2025-03-05,6.59,6.62,6.52,6.60,0.00,0.00,"466,478",,
2025-03-04,6.62,6.64,6.59,6.60,-0.03,-0.45,"643,798",,
2025-03-03,6.60,6.65,6.60,6.63,0.02,0.30,"578,462",,
2025-03-02,6.65,6.67,6.61,6.61,-0.04,-0.60,"754,971",,
2025-02-27,6.65,6.68,6.61,6.65,-0.01,-0.15,"1,246,151",,
2025-02-26,6.71,6.74,6.65,6.66,-0.05,-0.75,"750,754",,
2025-02-25,6.61,6.74,6.60,6.71,0.08,1.21,"1,546,122",,
2025-02-24,6.66,6.69,6.60,6.63,-0.02,-0.30,"700,743",,
2025-02-20,6.67,6.71,6.63,6.65,0.00,0.00,"1,441,061",,
2025-02-19,6.72,6.75,6.63,6.65,0.02,0.30,"1,872,722",,
2025-02-18,6.60,6.66,6.59,6.63,0.03,0.45,"941,110",,
2025-02-17,6.64,6.64,6.58,6.60,-0.04,-0.60,"651,215",,
2025-02-16,6.64,6.67,6.64,6.64,0.00,0.00,"403,792",,
2025-02-13,6.65,6.67,6.63,6.64,-0.01,-0.15,"685,570",,
2025-02-12,6.69,6.70,6.64,6.65,-0.04,-0.60,"651,250",,
2025-02-11,6.70,6.74,6.65,6.69,-0.01,-0.15,"894,040",,
2025-02-10,6.66,6.73,6.64,6.70,0.05,0.75,"2,187,409",,
2025-02-09,6.64,6.65,6.62,6.65,0.01,0.15,"734,368",,
2025-02-06,6.64,6.65,6.61,6.64,0.01,0.15,"789,354",,
2025-02-05,6.63,6.67,6.61,6.63,0.02,0.30,"823,497",,
2025-02-04,6.64,6.64,6.60,6.61,-0.03,-0.45,"1,051,330",,
2025-02-03,6.69,6.69,6.59,6.64,0.03,0.45,"1,488,511",,
2025-02-02,6.59,6.72,6.59,6.61,0.02,0.30,"1,570,094",,
