0,1,2,3,4,5,6,7,8,9
2025-05-29,122.00,122.60,119.60,122.00,1.20,0.99,"412,567",,
2025-05-28,118.80,120.80,118.60,120.80,2.20,1.85,"95,126",,
2025-05-27,119.60,120.60,118.00,118.60,-1.20,-1.00,"135,089",,
2025-05-26,118.60,120.00,117.80,119.80,0.60,0.50,"122,524",,
2025-05-25,120.60,120.60,118.40,119.20,-1.20,-1.00,"55,976",,
2025-05-22,118.00,120.40,118.00,120.40,1.60,1.35,"139,090",,
2025-05-21,120.00,120.20,118.00,118.80,-0.80,-0.67,"94,449",,
2025-05-20,119.40,120.20,119.00,119.60,0.20,0.17,"85,070",,
2025-05-19,118.80,121.00,118.80,119.40,-1.20,-1.00,"120,221",,
2025-05-18,122.80,122.80,119.40,120.60,-1.60,-1.31,"125,998",,
2025-05-15,121.00,122.40,120.00,122.20,0.40,0.33,"273,443",,
2025-05-14,123.00,123.40,120.80,121.80,-1.20,-0.98,"201,075",,
2025-05-13,122.40,123.60,121.60,123.00,0.80,0.65,"312,324",,
2025-05-12,120.00,122.60,119.00,122.20,1.60,1.33,"242,940",,
2025-05-11,120.80,121.00,119.20,120.60,-0.40,-0.33,"131,427",,
2025-05-08,120.80,122.80,119.20,121.00,-0.20,-0.17,"300,154",,
2025-05-07,117.20,123.20,117.00,121.20,8.20,7.26,"1,258,913",,
2025-05-06,113.20,113.60,112.40,113.00,-0.40,-0.35,"36,851",,
2025-05-05,113.60,113.60,112.60,113.40,-0.20,-0.18,"36,827",,
2025-05-04,113.60,114.00,112.80,113.60,-0.40,-0.35,"36,203",,
2025-05-01,113.60,114.40,112.80,114.00,0.40,0.35,"114,871",,
2025-04-30,112.80,113.60,112.00,113.60,0.80,0.71,"150,110",,
2025-04-29,114.20,114.40,112.80,112.80,-1.00,-0.88,"121,488",,
2025-04-28,114.40,114.60,113.40,113.80,-0.60,-0.52,"98,015",,
2025-04-27,114.60,114.60,113.60,114.40,-0.20,-0.17,"45,509",,
2025-04-24,113.80,114.60,113.00,114.60,0.60,0.53,"110,635",,
2025-04-23,114.60,114.80,112.80,114.00,-0.20,-0.18,"171,421",,
2025-04-22,113.00,114.20,112.00,114.20,0.40,0.35,"71,422",,
2025-04-21,114.00,114.20,112.80,113.80,-0.20,-0.18,"44,234",,
2025-04-20,114.20,115.20,113.60,114.00,-0.20,-0.18,"56,358",,
2025-04-17,113.60,114.20,113.00,114.20,-0.20,-0.17,"79,414",,
2025-04-16,114.00,114.40,113.20,114.40,0.20,0.18,"96,186",,
2025-04-15,115.00,115.00,112.80,114.20,0.20,0.18,"160,800",,
2025-04-14,113.20,114.40,112.20,114.00,0.80,0.71,"100,968",,
2025-04-13,113.00,113.40,112.60,113.20,0.60,0.53,"68,086",,
2025-04-10,113.00,113.60,110.80,112.60,2.60,2.36,"179,917",,
2025-04-09,110.60,112.00,108.40,110.00,-0.40,-0.36,"146,877",,
2025-04-08,111.00,113.20,110.40,110.40,-0.60,-0.54,"316,833",,
2025-04-07,109.00,113.40,106.00,111.00,2.00,1.83,"240,706",,
2025-04-06,111.60,112.00,108.60,109.00,-7.00,-6.03,"174,931",,
2025-04-03,114.80,116.00,114.00,116.00,0.80,0.69,"79,868",,
2025-03-27,115.20,115.80,115.00,115.20,0.20,0.17,"84,143",,
2025-03-26,113.80,115.20,113.80,115.00,1.40,1.23,"122,234",,
2025-03-25,113.80,114.80,113.00,113.60,-0.20,-0.18,"72,874",,
2025-03-24,114.60,114.60,112.40,113.80,-0.80,-0.70,"130,472",,
2025-03-23,115.00,116.00,114.60,114.60,-0.20,-0.17,"54,460",,
2025-03-20,113.80,114.80,113.00,114.80,1.20,1.06,"152,252",,
2025-03-19,114.20,114.20,113.40,113.60,-0.20,-0.18,"63,449",,
2025-03-18,114.40,115.40,113.80,113.80,-3.40,-2.90,"131,269",,
2025-03-17,117.20,118.00,116.40,117.20,-0.20,-0.17,"175,087",,
2025-03-16,115.40,117.80,114.80,117.40,2.20,1.91,"194,612",,
2025-03-13,116.20,116.20,113.80,115.20,-0.20,-0.17,"134,100",,
2025-03-12,116.00,116.20,114.80,115.40,-0.40,-0.35,"93,693",,
2025-03-11,115.80,116.60,113.40,115.80,0.00,0.00,"158,063",,
2025-03-10,113.40,116.20,113.40,115.80,-2.20,-1.86,"105,520",,
2025-03-09,113.60,118.00,111.60,118.00,4.80,4.24,"100,372",,
2025-03-06,115.80,116.20,113.20,113.20,-2.60,-2.25,"127,917",,
2025-03-05,116.00,116.80,115.20,115.80,-0.20,-0.17,"69,074",,
2025-03-04,116.00,117.20,115.40,116.00,0.20,0.17,"72,466",,
2025-03-03,116.80,117.40,115.00,115.80,-0.40,-0.34,"87,734",,
2025-03-02,117.80,118.00,116.20,116.20,-1.60,-1.36,"51,249",,
2025-02-27,117.20,118.80,117.00,117.80,0.60,0.51,"397,904",,
2025-02-26,118.00,118.20,116.00,117.20,0.00,0.00,"129,517",,
2025-02-25,117.60,118.00,117.00,117.20,-0.60,-0.51,"80,632",,
2025-02-24,117.60,119.00,117.20,117.80,0.20,0.17,"96,538",,
2025-02-20,118.20,118.60,117.60,117.60,-1.40,-1.18,"84,910",,
2025-02-19,118.20,119.00,117.60,119.00,0.60,0.51,"73,345",,
2025-02-18,117.80,118.40,117.60,118.40,0.40,0.34,"83,128",,
2025-02-17,118.20,118.20,117.20,118.00,-0.20,-0.17,"57,652",,
2025-02-16,118.60,119.00,118.00,118.20,-0.20,-0.17,"61,902",,
2025-02-13,118.20,119.00,117.80,118.40,-0.20,-0.17,"74,771",,
2025-02-12,118.20,119.00,118.00,118.60,0.40,0.34,"69,471",,
2025-02-11,118.80,119.00,118.20,118.20,-0.60,-0.51,"59,957",,
2025-02-10,118.40,119.00,118.20,118.80,0.20,0.17,"66,584",,
2025-02-09,119.00,119.40,118.60,118.60,-0.60,-0.50,"37,823",,
2025-02-06,119.60,119.60,118.80,119.20,0.00,0.00,"79,938",,
2025-02-05,118.40,119.80,118.40,119.20,0.20,0.17,"93,188",,
2025-02-04,119.00,119.00,118.00,119.00,0.00,0.00,"70,672",,
2025-02-03,119.00,119.40,118.20,119.00,-0.20,-0.17,"94,683",,
2025-02-02,118.00,119.20,118.00,119.20,1.20,1.02,"122,826",,
2025-01-30,118.00,118.40,117.80,118.00,0.00,0.00,"63,876",,
2025-01-29,118.00,118.80,117.60,118.00,0.00,0.00,"63,926",,
2025-01-28,117.60,118.60,117.40,118.00,0.80,0.68,"125,648",,
2025-01-27,117.80,118.40,117.20,117.20,-0.60,-0.51,"113,097",,
2025-01-26,118.20,118.60,117.80,117.80,-0.20,-0.17,"95,230",,
2025-01-23,118.00,118.40,117.80,118.00,0.00,0.00,"87,281",,
2025-01-22,119.00,119.20,118.00,118.00,-1.00,-0.84,"108,408",,
2025-01-21,118.80,119.20,118.20,119.00,0.40,0.34,"104,203",,
2025-01-20,119.20,119.40,118.60,118.60,-0.40,-0.34,"77,988",,
2025-01-19,118.40,119.20,118.40,119.00,0.80,0.68,"83,314",,
2025-01-16,119.00,119.60,118.20,118.20,-1.00,-0.84,"116,872",,
2025-01-15,118.80,120.00,118.60,119.20,-0.20,-0.17,"102,364",,
2025-01-14,117.80,119.40,117.40,119.40,1.40,1.19,"84,524",,
2025-01-13,118.60,119.00,117.60,118.00,-0.60,-0.51,"102,432",,
2025-01-12,119.20,120.20,118.40,118.60,-0.60,-0.50,"64,016",,
2025-01-09,119.00,120.20,118.20,119.20,-0.80,-0.67,"106,053",,
2025-01-08,120.00,120.40,118.40,120.00,0.00,0.00,"144,498",,
2025-01-07,117.80,120.00,117.20,120.00,2.40,2.04,"144,299",,
2025-01-06,117.20,118.40,116.80,117.60,0.40,0.34,"145,819",,
2025-01-05,117.60,117.60,116.80,117.20,0.20,0.17,"35,314",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,117.60,117.60,116.80,117.20,0.20,0.17,"35,314",,
2025-01-02,118.00,118.00,117.00,117.00,-0.40,-0.34,"55,902",,
2025-01-01,117.60,119.00,117.40,117.40,-0.20,-0.17,"65,270",,
