0,1,2,3,4,5,6,7,8,9
2025-05-29,18.74,18.82,18.54,18.54,-0.14,-0.75,"33,711",,
2025-05-28,18.78,18.80,18.48,18.68,0.08,0.43,"50,239",,
2025-05-27,18.90,18.90,18.24,18.60,-0.20,-1.06,"37,185",,
2025-05-26,19.00,19.00,18.66,18.80,-0.18,-0.95,"11,147",,
2025-05-25,19.00,19.00,18.80,18.98,-0.02,-0.11,"22,045",,
2025-05-22,18.80,19.28,18.64,19.00,0.10,0.53,"49,030",,
2025-05-21,19.30,19.30,18.80,18.90,-0.46,-2.38,"74,717",,
2025-05-20,19.38,19.48,19.24,19.36,-0.08,-0.41,"25,913",,
2025-05-19,19.46,19.60,19.10,19.44,-0.04,-0.21,"50,366",,
2025-05-18,19.80,19.80,19.48,19.48,-0.20,-1.02,"36,583",,
2025-05-15,19.80,19.80,19.42,19.68,-0.12,-0.61,"44,645",,
2025-05-14,19.80,19.98,19.64,19.80,-0.26,-1.30,"64,490",,
2025-05-13,20.20,20.32,20.00,20.06,-0.52,-2.53,"114,554",,
2025-05-12,19.78,20.58,19.60,20.58,0.80,4.04,"63,889",,
2025-05-11,19.50,19.78,19.34,19.78,0.18,0.92,"80,221",,
2025-05-08,19.98,19.98,19.60,19.60,-0.30,-1.51,"38,605",,
2025-05-07,20.16,20.16,19.82,19.90,-0.16,-0.80,"41,288",,
2025-05-06,20.28,20.28,19.98,20.06,-0.22,-1.08,"35,324",,
2025-05-05,20.00,20.28,19.92,20.28,0.16,0.80,"59,629",,
2025-05-04,20.32,20.44,20.12,20.12,-0.20,-0.98,"56,006",,
2025-05-01,20.46,20.46,20.18,20.32,-0.18,-0.88,"75,752",,
2025-04-30,20.58,20.66,20.34,20.50,-0.16,-0.77,"120,103",,
2025-04-29,20.88,20.88,20.60,20.66,-0.22,-1.05,"29,133",,
2025-04-28,20.80,20.94,20.70,20.88,0.18,0.87,"77,705",,
2025-04-27,20.80,20.80,20.64,20.70,-0.04,-0.19,"33,958",,
