0,1,2,3,4,5,6,7,8,9
2025-05-29,13.78,13.96,13.78,13.96,0.22,1.60,"5,146,235","71,574,486.54",
2025-05-28,13.74,13.88,13.72,13.74,0.06,0.44,"1,206,259","16,652,696.22",
2025-05-27,13.80,13.86,13.50,13.68,-0.12,-0.87,"1,766,221","24,091,940.12",
2025-05-26,13.86,14.06,13.60,13.80,-0.06,-0.43,"1,915,198","26,427,234.34",
2025-05-25,14.02,14.02,13.86,13.86,-0.16,-1.14,"1,143,397","15,942,693.02",
2025-05-22,14.20,14.22,13.98,14.02,-0.22,-1.54,"2,357,638","33,163,550.64",
2025-05-21,14.56,14.56,14.22,14.24,-0.28,-1.93,"2,270,625","32,544,665.72",
2025-05-20,14.70,14.74,14.46,14.52,-0.10,-0.68,"1,876,736","27,297,421.46",
2025-05-19,14.82,15.12,14.60,14.62,0.10,0.69,"3,833,725","56,938,683.98",
2025-05-18,14.68,14.74,14.50,14.52,-0.16,-1.09,"1,034,051","15,081,108.68",
2025-05-15,14.92,14.92,14.66,14.68,-0.14,-0.94,"1,188,516","17,528,175.98",
2025-05-14,14.98,14.98,14.82,14.82,-0.08,-0.54,"1,555,240","23,151,752.28",
2025-05-13,14.88,14.96,14.82,14.90,0.04,0.27,"1,087,737","16,185,550.26",
2025-05-12,14.74,14.96,14.72,14.86,0.14,0.95,"1,336,484","19,878,773.64",
2025-05-11,14.90,14.90,14.66,14.72,-0.18,-1.21,"782,656","11,546,523.44",
2025-05-08,14.70,14.90,14.66,14.90,0.20,1.36,"746,169","11,005,798.56",
2025-05-07,14.80,14.90,14.70,14.70,-0.10,-0.68,"1,061,068","15,695,388.36",
2025-05-06,15.00,15.12,14.78,14.80,-0.20,-1.33,"1,210,855","18,078,345.32",
2025-05-05,14.90,15.00,14.70,15.00,0.08,0.54,"1,307,219","19,428,457.72",
2025-05-04,15.08,15.12,14.80,14.92,-0.10,-0.67,"941,102","14,037,580.54",
2025-05-01,15.14,15.16,14.96,15.02,-0.12,-0.79,"1,279,472","19,231,923.16",
2025-04-30,15.12,15.24,15.04,15.14,0.02,0.13,"1,398,231","21,143,746.54",
2025-04-29,15.38,15.52,15.12,15.12,-0.24,-1.56,"1,679,995","25,716,832.92",
2025-04-28,15.50,15.60,15.30,15.36,-0.12,-0.78,"1,523,427","23,448,009.34",
2025-04-27,15.46,15.68,15.42,15.48,0.06,0.39,"1,813,373","28,199,806.94",
2025-04-24,15.36,15.46,15.30,15.42,0.08,0.52,"1,786,122","27,458,682.14",
2025-04-23,15.24,15.38,15.24,15.34,0.20,1.32,"1,746,510","26,736,239.14",
2025-04-22,15.08,15.26,14.98,15.14,0.02,0.13,"1,350,729","20,428,315.98",
2025-04-21,15.32,15.38,15.12,15.12,-0.20,-1.31,"1,023,607","15,612,854.32",
