0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,13.78,13.96,13.78,13.96,0.22,1.60,"5,146,235",,,,,
2025-05-28,13.74,13.88,13.72,13.74,0.06,0.44,"1,206,259",,,,,
2025-05-27,13.80,13.86,13.50,13.68,-0.12,-0.87,"1,766,221",,,,,
2025-05-26,13.86,14.06,13.60,13.80,-0.06,-0.43,"1,915,198",,,,,
2025-05-25,14.02,14.02,13.86,13.86,-0.16,-1.14,"1,143,397",,,,,
2025-05-22,14.20,14.22,13.98,14.02,-0.22,-1.54,"2,357,638",,,,,
2025-05-21,14.56,14.56,14.22,14.24,-0.28,-1.93,"2,270,625",,,,,
2025-05-20,14.70,14.74,14.46,14.52,-0.10,-0.68,"1,876,736",,,,,
2025-05-19,14.82,15.12,14.60,14.62,0.10,0.69,"3,833,725",,,,,
2025-05-18,14.68,14.74,14.50,14.52,-0.16,-1.09,"1,034,051",,,,,
2025-05-15,14.92,14.92,14.66,14.68,-0.14,-0.94,"1,188,516",,,,,
2025-05-14,14.98,14.98,14.82,14.82,-0.08,-0.54,"1,555,240",,,,,
2025-05-13,14.88,14.96,14.82,14.90,0.04,0.27,"1,087,737",,,,,
2025-05-12,14.74,14.96,14.72,14.86,0.14,0.95,"1,336,484",,,,,
2025-05-11,14.90,14.90,14.66,14.72,-0.18,-1.21,"782,656",,,,,
2025-05-08,14.70,14.90,14.66,14.90,0.20,1.36,"746,169",,,,,
2025-05-07,14.80,14.90,14.70,14.70,-0.10,-0.68,"1,061,068",,,,,
2025-05-06,15.00,15.12,14.78,14.80,-0.20,-1.33,"1,210,855",,,,,
2025-05-05,14.90,15.00,14.70,15.00,0.08,0.54,"1,307,219",,,,,
2025-05-04,15.08,15.12,14.80,14.92,-0.10,-0.67,"941,102",,,,,
2025-05-01,15.14,15.16,14.96,15.02,-0.12,-0.79,"1,279,472",,,,,
2025-04-30,15.12,15.24,15.04,15.14,0.02,0.13,"1,398,231",,,,,
2025-04-29,15.38,15.52,15.12,15.12,-0.24,-1.56,"1,679,995",,,,,
2025-04-28,15.50,15.60,15.30,15.36,-0.12,-0.78,"1,523,427",,,,,
2025-04-27,15.46,15.68,15.42,15.48,0.06,0.39,"1,813,373",,,,,
2025-04-24,15.36,15.46,15.30,15.42,0.08,0.52,"1,786,122",,,,,
2025-04-23,15.24,15.38,15.24,15.34,0.20,1.32,"1,746,510",,,,,
2025-04-22,15.08,15.26,14.98,15.14,0.02,0.13,"1,350,729",,,,,
2025-04-21,15.32,15.38,15.12,15.12,-0.20,-1.31,"1,023,607",,,,,
2025-04-20,15.20,15.38,15.20,15.32,0.12,0.79,"882,622",,,,,
2025-04-17,15.36,15.36,15.14,15.20,-0.24,-1.55,"2,154,201",,,,,
2025-04-16,15.40,15.56,15.26,15.44,0.04,0.26,"2,198,485",,,,,
2025-04-15,15.52,15.56,15.32,15.40,-0.12,-0.77,"2,050,183",,,,,
2025-04-14,15.20,15.56,15.08,15.52,0.36,2.37,"3,274,247",,,,,
2025-04-13,15.04,15.24,15.04,15.16,0.16,1.07,"2,586,367",,,,,
2025-04-10,15.50,15.58,14.88,15.00,0.40,2.74,"6,185,109",,,,,
2025-04-09,15.20,15.38,14.58,14.60,-0.60,-3.95,"3,818,939",,,,,
2025-04-08,14.70,15.46,14.56,15.20,0.94,6.59,"5,525,055",,,,,
2025-04-07,14.56,14.58,13.80,14.26,-0.30,-2.06,"6,035,247",,,,,
2025-04-06,15.00,15.20,14.56,14.56,-1.60,-9.90,"4,300,762",,,,,
2025-04-03,16.30,16.30,16.04,16.16,-0.16,-0.98,"1,953,673",,,,,
2025-03-27,16.38,16.46,16.28,16.32,-0.04,-0.24,"1,769,067",,,,,
2025-03-26,16.20,16.36,16.20,16.36,0.16,0.99,"1,426,437",,,,,
2025-03-25,16.70,16.70,16.14,16.20,-0.08,-0.49,"1,399,575",,,,,
2025-03-24,16.22,16.38,16.10,16.28,0.06,0.37,"903,424",,,,,
2025-03-23,16.44,16.46,16.18,16.22,-0.48,-2.87,"891,765",,,,,
2025-03-20,16.08,16.70,16.00,16.70,0.70,4.38,"1,398,682",,,,,
2025-03-19,16.18,16.18,15.96,16.00,-0.18,-1.11,"1,053,346",,,,,
2025-03-18,16.24,16.30,16.08,16.18,-0.04,-0.25,"1,199,039",,,,,
2025-03-17,16.30,16.46,16.20,16.22,-0.08,-0.49,"987,823",,,,,
2025-03-16,16.20,16.30,16.14,16.30,0.20,1.24,"1,168,847",,,,,
2025-03-13,16.22,16.26,16.08,16.10,-0.12,-0.74,"1,242,529",,,,,
2025-03-12,16.42,16.42,16.10,16.22,-0.16,-0.98,"1,403,340",,,,,
2025-03-11,16.06,16.38,15.80,16.38,0.12,0.74,"2,151,195",,,,,
2025-03-10,16.32,16.46,16.20,16.26,-0.04,-0.25,"1,476,231",,,,,
2025-03-09,16.64,16.80,16.22,16.30,-0.32,-1.93,"1,711,426",,,,,
2025-03-06,16.94,16.94,16.56,16.62,-0.32,-1.89,"2,067,626",,,,,
2025-03-05,16.82,16.94,16.62,16.94,0.12,0.71,"1,407,498",,,,,
2025-03-04,17.04,17.08,16.74,16.82,-0.24,-1.41,"2,506,790",,,,,
2025-03-03,17.08,17.24,16.98,17.06,0.08,0.47,"2,600,881",,,,,
2025-03-02,17.20,17.30,16.94,16.98,-0.22,-1.28,"1,316,169",,,,,
2025-02-27,17.50,17.58,17.20,17.20,-0.30,-1.71,"2,212,333",,,,,
2025-02-26,17.70,17.70,17.44,17.50,-0.18,-1.02,"1,172,782",,,,,
