0,1,2,3,4,5,6,7,8,9
2025-05-29,80.00,84.20,79.90,84.20,4.10,5.12,"868,425",,
2025-05-28,79.10,80.30,79.10,80.10,1.00,1.26,"190,508",,
2025-05-27,80.10,80.20,78.60,79.10,-0.90,-1.13,"136,085",,
2025-05-26,82.50,82.50,79.10,80.00,-1.60,-1.96,"415,899",,
2025-05-25,83.10,83.10,81.60,81.60,-1.00,-1.21,"70,662",,
2025-05-22,82.60,83.10,82.10,82.60,-0.10,-0.12,"126,181",,
2025-05-21,82.90,83.20,82.40,82.70,-0.20,-0.24,"82,474",,
2025-05-20,82.90,83.40,81.90,82.90,0.10,0.12,"148,962",,
2025-05-19,83.60,84.40,82.80,82.80,-0.80,-0.96,"124,146",,
2025-05-18,84.60,84.60,83.20,83.60,-0.60,-0.71,"109,127",,
2025-05-15,85.10,85.10,83.60,84.20,-0.90,-1.06,"118,085",,
2025-05-14,83.50,85.60,83.00,85.10,2.20,2.65,"284,606",,
2025-05-13,83.90,84.70,82.90,82.90,-1.50,-1.78,"270,287",,
2025-05-12,82.90,84.40,82.90,84.40,1.60,1.93,"134,485",,
2025-05-11,83.50,83.90,82.80,82.80,-0.70,-0.84,"97,473",,
2025-05-08,84.10,84.70,83.50,83.50,-0.70,-0.83,"156,519",,
2025-05-07,85.80,85.90,83.80,84.20,-1.80,-2.09,"154,856",,
2025-05-06,87.00,87.90,85.30,86.00,1.70,2.02,"385,211",,
2025-05-05,84.70,85.00,84.00,84.30,-0.40,-0.47,"166,098",,
2025-05-04,85.50,85.80,84.60,84.70,-0.70,-0.82,"64,806",,
2025-05-01,86.40,86.50,85.00,85.40,-1.00,-1.16,"77,586",,
2025-04-30,86.00,86.50,84.80,86.40,0.40,0.47,"221,171",,
2025-04-29,87.10,87.80,85.70,86.00,-1.10,-1.26,"368,646",,
2025-04-28,87.40,87.60,86.80,87.10,-0.10,-0.11,"174,733",,
2025-04-27,87.70,88.00,86.90,87.20,0.30,0.35,"230,620",,
2025-04-24,87.10,87.60,86.70,86.90,-0.20,-0.23,"211,396",,
2025-04-23,87.10,88.00,86.70,87.10,0.40,0.46,"147,533",,
2025-04-22,87.30,88.20,86.30,86.70,-0.60,-0.69,"188,496",,
2025-04-21,89.00,89.30,87.30,87.30,-1.70,-1.91,"120,458",,
2025-04-20,88.80,89.60,88.80,89.00,0.30,0.34,"45,414",,
2025-04-17,89.00,89.00,88.20,88.70,-0.40,-0.45,"73,610",,
2025-04-16,90.70,90.70,88.70,89.10,-1.40,-1.55,"143,646",,
2025-04-15,91.50,92.20,90.30,90.50,-1.00,-1.09,"148,713",,
2025-04-14,89.70,91.50,89.00,91.50,1.60,1.78,"230,710",,
2025-04-13,88.80,90.50,88.60,89.90,2.10,2.39,"172,496",,
2025-04-10,90.00,90.20,87.30,87.80,2.90,3.42,"423,933",,
2025-04-09,88.40,88.40,84.80,84.90,-3.60,-4.07,"272,361",,
2025-04-08,86.00,91.30,85.90,88.50,4.30,5.11,"467,471",,
2025-04-07,83.30,85.60,79.90,84.20,0.10,0.12,"522,177",,
2025-04-06,88.90,89.00,84.10,84.10,-9.20,-9.86,"374,113",,
2025-04-03,95.50,95.50,93.30,93.30,-2.50,-2.61,"166,057",,
2025-03-27,94.80,95.80,93.80,95.80,1.30,1.38,"130,125",,
2025-03-26,92.90,94.50,92.90,94.50,1.60,1.72,"115,995",,
2025-03-25,92.50,93.10,91.70,92.90,0.40,0.43,"89,357",,
2025-03-24,92.70,93.00,91.50,92.50,-0.20,-0.22,"82,299",,
2025-03-23,92.90,93.90,92.50,92.70,-0.10,-0.11,"39,196",,
2025-03-20,92.90,94.00,92.60,92.80,-0.40,-0.43,"176,446",,
2025-03-19,93.00,93.30,91.70,93.20,-0.10,-0.11,"105,191",,
2025-03-18,94.60,95.00,93.00,93.30,-1.30,-1.37,"157,439",,
2025-03-17,93.40,95.30,92.40,94.60,1.20,1.28,"243,807",,
2025-03-16,92.10,93.40,91.10,93.40,1.60,1.74,"163,512",,
2025-03-13,92.30,92.50,91.10,91.80,0.00,0.00,"296,936",,
2025-03-12,91.40,92.10,90.40,91.80,-0.50,-0.54,"403,949",,
2025-03-11,90.40,92.40,87.70,92.30,2.10,2.33,"490,275",,
2025-03-10,89.20,92.00,89.00,90.20,1.30,1.46,"678,838",,
2025-03-09,90.00,90.80,88.40,88.90,-1.60,-1.77,"380,191",,
2025-03-06,93.10,93.10,90.30,90.50,-2.40,-2.58,"456,528",,
2025-03-05,93.40,94.20,92.10,92.90,-0.50,-0.54,"315,103",,
2025-03-04,95.00,95.10,93.10,93.40,-1.60,-1.68,"380,334",,
2025-03-03,96.00,97.30,94.50,95.00,-1.00,-1.04,"375,575",,
2025-03-02,100.20,100.20,96.00,96.00,-4.20,-4.19,"245,591",,
2025-02-27,99.50,100.40,99.30,100.20,0.70,0.70,"203,402",,
2025-02-26,100.80,100.80,98.90,99.50,-1.30,-1.29,"321,403",,
2025-02-25,102.20,102.40,100.00,100.80,-1.40,-1.37,"323,179",,
2025-02-24,103.60,103.80,101.80,102.20,-1.20,-1.16,"150,886",,
2025-02-20,102.60,103.40,101.80,103.40,0.80,0.78,"180,683",,
2025-02-19,104.00,104.40,102.60,102.60,-1.40,-1.35,"193,810",,
2025-02-18,104.60,105.00,103.80,104.00,-0.20,-0.19,"135,128",,
2025-02-17,105.00,105.20,103.60,104.20,-1.00,-0.95,"334,507",,
2025-02-16,105.40,106.20,104.80,105.20,-0.20,-0.19,"177,471",,
2025-02-13,105.20,105.60,104.80,105.40,0.00,0.00,"115,123",,
2025-02-12,105.60,105.80,105.00,105.40,0.20,0.19,"162,850",,
2025-02-11,105.80,106.20,105.00,105.20,-0.60,-0.57,"145,717",,
2025-02-10,106.20,106.60,105.60,105.80,-0.40,-0.38,"138,869",,
2025-02-09,106.40,107.20,105.80,106.20,-0.20,-0.19,"332,651",,
2025-02-06,106.20,106.80,106.00,106.40,0.20,0.19,"149,471",,
2025-02-05,105.60,107.60,105.60,106.20,0.60,0.57,"608,182",,
2025-02-04,105.80,106.00,105.20,105.60,-0.20,-0.19,"98,778",,
2025-02-03,106.00,106.00,105.00,105.80,-0.20,-0.19,"283,658",,
2025-02-02,106.40,106.60,105.60,106.00,-0.20,-0.19,"142,375",,
2025-01-30,105.60,106.40,105.40,106.20,0.80,0.76,"145,297",,
2025-01-29,106.40,106.60,104.80,105.40,-0.80,-0.75,"282,232",,
2025-01-28,106.20,107.20,105.80,106.20,-0.20,-0.19,"442,514",,
2025-01-27,107.00,107.00,106.20,106.40,-0.40,-0.37,"228,273",,
2025-01-26,108.00,108.40,106.60,106.80,-1.00,-0.93,"332,707",,
2025-01-23,107.00,108.20,106.80,107.80,0.80,0.75,"219,417",,
2025-01-22,107.00,107.40,106.40,107.00,0.00,0.00,"342,475",,
2025-01-21,109.00,109.00,106.60,107.00,-1.60,-1.47,"333,297",,
2025-01-20,109.40,109.40,108.20,108.60,-0.40,-0.37,"132,969",,
2025-01-19,108.80,109.80,108.40,109.00,0.40,0.37,"200,000",,
2025-01-16,109.00,109.40,108.20,108.60,0.20,0.18,"302,666",,
2025-01-15,107.40,108.80,107.00,108.40,1.20,1.12,"329,813",,
2025-01-14,107.40,107.60,106.60,107.20,0.00,0.00,"197,207",,
2025-01-13,108.20,108.60,107.00,107.20,-1.00,-0.92,"161,966",,
2025-01-12,105.60,108.20,105.60,108.20,2.80,2.66,"255,488",,
2025-01-09,106.60,107.20,105.00,105.40,-1.40,-1.31,"499,370",,
2025-01-08,109.20,109.60,106.80,106.80,-2.40,-2.20,"452,635",,
2025-01-07,110.00,110.00,108.60,109.20,-0.80,-0.73,"210,596",,
2025-01-06,109.00,110.60,108.00,110.00,1.00,0.92,"299,766",,
2025-01-05,111.60,111.80,108.00,109.00,-2.60,-2.33,"479,852",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
