0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,30.90,30.95,30.25,30.50,-0.40,-1.29,"420,482",,,,,
2025-05-28,30.30,30.90,30.25,30.90,0.65,2.15,"98,841",,,,,
2025-05-27,31.10,31.15,30.05,30.25,-0.60,-1.94,"282,273",,,,,
2025-05-26,30.95,31.25,30.80,30.85,-0.10,-0.32,"375,236",,,,,
2025-05-25,30.85,31.25,30.80,30.95,0.00,0.00,"275,492",,,,,
2025-05-22,31.40,31.50,30.95,30.95,-0.40,-1.28,"561,541",,,,,
2025-05-21,31.10,31.45,30.90,31.35,0.15,0.48,"212,026",,,,,
2025-05-20,31.05,31.30,30.85,31.20,0.20,0.65,"558,671",,,,,
2025-05-19,30.80,31.25,30.50,31.00,-0.20,-0.64,"540,439",,,,,
2025-05-18,31.55,31.90,30.95,31.20,-0.30,-0.95,"567,137",,,,,
2025-05-15,30.70,32.40,30.50,31.50,0.85,2.77,"1,941,126",,,,,
2025-05-14,30.40,31.10,30.30,30.65,0.30,0.99,"487,324",,,,,
2025-05-13,30.00,30.35,30.00,30.35,0.45,1.51,"616,729",,,,,
2025-05-12,29.95,30.20,29.70,29.90,0.20,0.67,"511,945",,,,,
2025-05-11,30.10,30.15,29.50,29.70,-0.20,-0.67,"710,187",,,,,
2025-05-08,30.80,30.80,29.80,29.90,-1.10,-3.55,"1,112,989",,,,,
2025-05-07,31.00,31.05,30.60,31.00,0.00,0.00,"460,772",,,,,
2025-05-06,30.85,31.10,30.40,31.00,0.05,0.16,"1,378,402",,,,,
2025-05-05,31.00,31.10,30.50,30.95,-0.15,-0.48,"970,393",,,,,
2025-05-04,30.80,31.20,30.70,31.10,0.30,0.97,"748,805",,,,,
2025-05-01,30.50,30.95,30.15,30.80,0.20,0.65,"822,888",,,,,
2025-04-30,30.65,30.70,30.10,30.60,0.10,0.33,"414,874",,,,,
2025-04-29,30.80,31.00,30.40,30.50,-0.45,-1.45,"595,773",,,,,
2025-04-28,30.80,31.00,30.45,30.95,0.25,0.81,"716,411",,,,,
2025-04-27,30.10,30.70,30.10,30.70,0.60,1.99,"758,810",,,,,
2025-04-24,29.95,30.20,29.85,30.10,0.15,0.50,"1,161,684",,,,,
2025-04-23,29.40,29.95,29.40,29.95,0.60,2.04,"772,561",,,,,
2025-04-22,29.10,29.40,29.05,29.35,0.05,0.17,"504,073",,,,,
2025-04-21,29.75,29.75,29.20,29.30,-0.45,-1.51,"597,485",,,,,
2025-04-20,29.85,30.00,29.75,29.75,-0.20,-0.67,"627,503",,,,,
2025-04-17,30.30,30.50,29.90,29.95,-0.35,-1.16,"1,129,054",,,,,
2025-04-16,31.00,31.25,30.25,30.30,-0.70,-2.26,"1,059,416",,,,,
2025-04-15,31.30,31.45,31.00,31.00,-0.30,-0.96,"410,416",,,,,
2025-04-14,31.75,31.80,31.25,31.30,-0.45,-1.42,"739,160",,,,,
2025-04-13,31.00,31.80,30.90,31.75,0.85,2.75,"920,665",,,,,
2025-04-10,31.45,31.55,30.75,30.90,0.30,0.98,"604,772",,,,,
2025-04-09,30.40,30.75,30.35,30.60,0.10,0.33,"824,405",,,,,
2025-04-08,30.25,30.90,30.25,30.50,0.45,1.50,"419,978",,,,,
2025-04-07,30.00,30.90,28.90,30.05,-0.15,-0.50,"1,054,631",,,,,
2025-04-06,28.90,30.20,28.70,30.20,-0.65,-2.11,"6,743,294",,,,,
2025-04-03,31.45,31.50,30.60,30.85,-0.70,-2.22,"354,207",,,,,
2025-03-27,31.40,31.65,31.35,31.55,0.15,0.48,"253,699",,,,,
2025-03-26,30.90,31.60,30.90,31.40,0.40,1.29,"733,980",,,,,
2025-03-25,31.00,31.20,30.50,31.00,0.10,0.32,"331,828",,,,,
2025-03-24,31.25,31.45,30.85,30.90,-0.30,-0.96,"357,906",,,,,
2025-03-23,31.10,31.65,31.10,31.20,0.15,0.48,"775,216",,,,,
2025-03-20,31.15,31.70,30.80,31.05,0.35,1.14,"1,036,665",,,,,
2025-03-19,30.20,32.20,30.20,30.70,0.70,2.33,"3,489,573",,,,,
2025-03-18,29.60,30.05,29.55,30.00,0.40,1.35,"470,888",,,,,
2025-03-17,30.25,30.55,29.60,29.60,-0.60,-1.99,"537,033",,,,,
2025-03-16,28.85,30.20,28.80,30.20,1.20,4.14,"4,768,785",,,,,
