0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,64.70,65.00,63.10,63.50,-1.00,-1.55,"152,566",,,,,
2025-05-28,63.70,65.10,63.40,64.50,1.00,1.57,"193,814",,,,,
2025-05-27,67.00,67.30,63.40,63.50,-3.40,-5.08,"418,067",,,,,
2025-05-26,69.40,70.30,66.00,66.90,-2.10,-3.04,"481,373",,,,,
2025-05-25,69.00,71.90,68.40,69.00,0.40,0.58,"810,996",,,,,
2025-05-22,68.90,73.00,68.60,68.60,-0.50,-0.72,"1,026,623",,,,,
2025-05-21,66.20,71.50,66.10,69.10,2.90,4.38,"784,999",,,,,
2025-05-20,67.10,67.50,66.10,66.20,-0.80,-1.19,"115,457",,,,,
2025-05-19,66.30,69.20,66.20,67.00,0.70,1.06,"338,319",,,,,
2025-05-18,67.00,69.00,66.10,66.30,-0.60,-0.90,"203,455",,,,,
2025-05-15,68.10,68.30,66.20,66.90,-1.00,-1.47,"310,333",,,,,
2025-05-14,68.20,72.30,67.00,67.90,2.10,3.19,"1,775,502",,,,,
2025-05-13,60.60,65.80,60.60,65.80,5.90,9.85,"374,157",,,,,
2025-05-12,58.40,59.90,58.40,59.90,1.50,2.57,"26,071",,,,,
2025-05-11,59.00,59.40,58.30,58.40,-0.50,-0.85,"25,220",,,,,
2025-05-08,59.10,59.40,58.60,58.90,-0.10,-0.17,"27,435",,,,,
2025-05-07,60.00,60.00,58.80,59.00,-0.50,-0.84,"36,475",,,,,
2025-05-06,60.20,60.60,59.50,59.50,-0.60,-1.00,"28,071",,,,,
2025-05-05,59.80,60.30,59.10,60.10,0.10,0.17,"29,564",,,,,
2025-05-04,60.50,60.70,59.50,60.00,-0.50,-0.83,"45,896",,,,,
2025-05-01,61.00,61.30,60.20,60.50,-0.70,-1.14,"42,761",,,,,
2025-04-30,62.10,62.30,61.00,61.20,-0.90,-1.45,"38,922",,,,,
2025-04-29,62.50,62.90,62.00,62.10,-0.20,-0.32,"36,415",,,,,
2025-04-28,63.90,64.20,62.20,62.30,-0.90,-1.42,"73,527",,,,,
2025-04-27,62.60,64.50,62.50,63.20,1.20,1.94,"149,156",,,,,
2025-04-24,61.30,62.40,61.30,62.00,0.70,1.14,"30,312",,,,,
2025-04-23,61.20,61.80,61.00,61.30,0.40,0.66,"47,582",,,,,
2025-04-22,62.30,62.30,60.80,60.90,-1.40,-2.25,"45,563",,,,,
2025-04-21,62.80,62.80,61.80,62.30,-0.10,-0.16,"51,844",,,,,
2025-04-20,62.10,62.90,62.10,62.40,0.20,0.32,"25,612",,,,,
2025-04-17,63.40,63.40,61.90,62.20,-1.20,-1.89,"40,480",,,,,
2025-04-16,62.40,63.50,62.40,63.40,0.90,1.44,"67,091",,,,,
2025-04-15,62.70,63.40,61.90,62.50,-0.20,-0.32,"74,424",,,,,
2025-04-14,62.20,62.90,61.40,62.70,0.90,1.46,"41,803",,,,,
2025-04-13,62.00,63.00,61.70,61.80,0.10,0.16,"57,483",,,,,
2025-04-10,62.00,63.00,60.80,61.70,1.70,2.83,"89,923",,,,,
2025-04-09,61.50,61.80,59.70,60.00,-1.50,-2.44,"79,987",,,,,
2025-04-08,59.00,61.50,58.40,61.50,3.30,5.67,"123,308",,,,,
2025-04-07,55.00,58.90,52.50,58.20,0.80,1.39,"139,460",,,,,
2025-04-06,62.60,62.60,57.30,57.40,-6.10,-9.61,"97,184",,,,,
2025-04-03,65.50,65.50,63.50,63.50,-1.80,-2.76,"53,588",,,,,
2025-03-27,65.00,65.70,64.70,65.30,-0.10,-0.15,"32,454",,,,,
2025-03-26,63.50,65.40,63.50,65.40,1.90,2.99,"39,747",,,,,
2025-03-25,64.10,64.10,63.40,63.50,-0.40,-0.63,"24,066",,,,,
2025-03-24,63.80,64.20,63.30,63.90,0.10,0.16,"13,965",,,,,
2025-03-23,64.30,64.90,63.80,63.80,-0.50,-0.78,"14,546",,,,,
2025-03-20,63.30,64.40,63.30,64.30,1.10,1.74,"26,556",,,,,
2025-03-19,64.50,64.50,63.20,63.20,-1.30,-2.02,"27,151",,,,,
2025-03-18,66.50,66.50,64.40,64.50,-1.60,-2.42,"35,127",,,,,
2025-03-17,66.60,67.50,66.00,66.10,-0.40,-0.60,"46,669",,,,,
2025-03-16,65.00,66.60,65.00,66.50,1.50,2.31,"46,690",,,,,
2025-03-13,65.40,65.50,64.80,65.00,0.00,0.00,"22,512",,,,,
2025-03-12,66.00,66.10,64.90,65.00,-0.60,-0.91,"35,508",,,,,
2025-03-11,64.50,65.80,62.60,65.60,1.10,1.71,"45,066",,,,,
2025-03-10,65.80,65.80,64.40,64.50,-1.00,-1.53,"38,298",,,,,
2025-03-09,67.00,67.10,65.20,65.50,-2.10,-3.11,"69,708",,,,,
2025-03-06,68.30,68.30,67.10,67.60,-0.70,-1.02,"46,157",,,,,
2025-03-05,68.60,69.00,68.00,68.30,-0.30,-0.44,"26,375",,,,,
2025-03-04,68.90,69.10,67.90,68.60,-0.50,-0.72,"32,740",,,,,
2025-03-03,68.70,69.50,68.50,69.10,0.40,0.58,"38,507",,,,,
2025-03-02,70.10,70.30,68.50,68.70,-1.40,-2.00,"43,292",,,,,
2025-02-27,70.50,70.80,70.00,70.10,-0.70,-0.99,"53,511",,,,,
2025-02-26,71.00,71.30,70.00,70.80,-0.20,-0.28,"44,337",,,,,
2025-02-25,71.40,71.40,70.60,71.00,-0.40,-0.56,"74,512",,,,,
2025-02-24,72.30,72.30,71.20,71.40,-0.90,-1.24,"46,432",,,,,
2025-02-20,72.20,72.50,71.90,72.30,-0.30,-0.41,"50,065",,,,,
2025-02-19,73.60,74.10,72.10,72.60,-1.00,-1.36,"68,446",,,,,
2025-02-18,73.50,74.20,73.10,73.60,0.00,0.00,"76,498",,,,,
2025-02-17,73.40,75.00,72.90,73.60,0.20,0.27,"283,085",,,,,
2025-02-16,72.40,73.60,72.40,73.40,0.50,0.69,"88,652",,,,,
2025-02-13,72.10,72.90,71.70,72.90,0.40,0.55,"83,104",,,,,
2025-02-12,72.80,72.80,72.10,72.50,-0.40,-0.55,"43,163",,,,,
2025-02-11,73.30,73.60,72.60,72.90,-0.30,-0.41,"54,738",,,,,
2025-02-10,73.10,73.90,73.00,73.20,0.10,0.14,"93,199",,,,,
2025-02-09,73.50,73.90,73.00,73.10,-0.40,-0.54,"80,598",,,,,
2025-02-06,72.50,74.00,72.30,73.50,1.20,1.66,"172,492",,,,,
2025-02-05,72.20,72.60,72.00,72.30,0.10,0.14,"43,775",,,,,
2025-02-04,71.60,72.50,71.60,72.20,-0.30,-0.41,"88,496",,,,,
2025-02-03,73.30,73.30,72.50,72.50,-0.90,-1.23,"55,466",,,,,
2025-02-02,73.30,73.50,72.90,73.40,0.10,0.14,"25,497",,,,,
2025-01-30,73.00,73.60,73.00,73.30,0.10,0.14,"37,849",,,,,
2025-01-29,73.60,73.90,73.10,73.20,-0.50,-0.68,"65,019",,,,,
2025-01-28,73.80,74.20,73.70,73.70,0.00,0.00,"75,700",,,,,
2025-01-27,74.00,74.50,73.60,73.70,-0.40,-0.54,"83,720",,,,,
2025-01-26,74.20,74.60,74.10,74.10,0.00,0.00,"70,698",,,,,
2025-01-23,75.40,75.40,74.10,74.10,-0.90,-1.20,"118,091",,,,,
2025-01-22,73.20,75.50,73.20,75.00,2.00,2.74,"484,394",,,,,
2025-01-21,73.00,73.30,72.60,73.00,0.00,0.00,"83,801",,,,,
2025-01-20,73.30,73.30,72.70,73.00,-0.30,-0.41,"81,340",,,,,
2025-01-19,73.10,74.10,73.10,73.30,0.30,0.41,"134,717",,,,,
2025-01-16,72.40,73.10,72.10,73.00,0.80,1.11,"123,650",,,,,
2025-01-15,71.80,72.40,71.80,72.20,0.30,0.42,"72,146",,,,,
2025-01-14,72.20,72.20,71.70,71.90,-0.10,-0.14,"59,142",,,,,
2025-01-13,72.30,72.60,71.90,72.00,-0.10,-0.14,"40,795",,,,,
2025-01-12,71.80,72.40,71.70,72.10,0.30,0.42,"33,776",,,,,
2025-01-09,72.50,72.50,71.70,71.80,-0.70,-0.97,"42,846",,,,,
